time_seconds,type,message
0.005,"telemetry","packetCounter: 37345 | sampleTimeFine: 10323111 | Roll: -179.47° Pitch: 1.01° Yaw: 152.83° | Acc: (-0.16, -0.12, -9.81) m/s² | Gyro: (-0.08, -0.01, -0.48) deg/s"
0.009,"telemetry","packetCounter: 37346 | sampleTimeFine: 10323211 | Roll: -179.47° Pitch: 1.00° Yaw: 152.83° | Acc: (-0.16, -0.10, -9.81) m/s² | Gyro: (-0.62, 0.03, -0.25) deg/s"
0.014,"telemetry","packetCounter: 37347 | sampleTimeFine: 10323311 | Roll: -179.47° Pitch: 1.01° Yaw: 152.83° | Acc: (-0.17, -0.11, -9.81) m/s² | Gyro: (-0.35, -0.51, -0.56) deg/s"
0.018,"telemetry","packetCounter: 37348 | sampleTimeFine: 10323411 | Roll: -179.47° Pitch: 1.01° Yaw: 152.83° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (-0.33, -0.48, -0.79) deg/s"
0.022,"telemetry","packetCounter: 37349 | sampleTimeFine: 10323511 | Roll: -179.47° Pitch: 1.01° Yaw: 152.83° | Acc: (-0.16, -0.11, -9.80) m/s² | Gyro: (-0.04, -0.52, -0.22) deg/s"
0.027,"telemetry","packetCounter: 37350 | sampleTimeFine: 10323611 | Roll: -179.47° Pitch: 1.01° Yaw: 152.83° | Acc: (-0.15, -0.09, -9.82) m/s² | Gyro: (-0.22, -0.31, -0.25) deg/s"
0.031,"telemetry","packetCounter: 37351 | sampleTimeFine: 10323711 | Roll: -179.47° Pitch: 1.01° Yaw: 152.83° | Acc: (-0.15, -0.10, -9.82) m/s² | Gyro: (-0.52, -0.34, -0.22) deg/s"
0.035,"telemetry","packetCounter: 37352 | sampleTimeFine: 10323811 | Roll: -179.47° Pitch: 1.02° Yaw: 152.83° | Acc: (-0.15, -0.12, -9.81) m/s² | Gyro: (-0.40, -0.46, -0.06) deg/s"
0.039,"telemetry","packetCounter: 37353 | sampleTimeFine: 10323911 | Roll: -179.47° Pitch: 1.02° Yaw: 152.83° | Acc: (-0.17, -0.11, -9.81) m/s² | Gyro: (-0.32, -0.40, -0.14) deg/s"
0.044,"telemetry","packetCounter: 37354 | sampleTimeFine: 10324011 | Roll: -179.46° Pitch: 1.02° Yaw: 152.83° | Acc: (-0.16, -0.10, -9.81) m/s² | Gyro: (0.10, -0.48, -0.48) deg/s"
0.048,"telemetry","packetCounter: 37355 | sampleTimeFine: 10324111 | Roll: -179.46° Pitch: 1.02° Yaw: 152.84° | Acc: (-0.16, -0.11, -9.81) m/s² | Gyro: (0.47, -0.56, -0.46) deg/s"
0.052,"telemetry","packetCounter: 37356 | sampleTimeFine: 10324211 | Roll: -179.45° Pitch: 1.02° Yaw: 152.84° | Acc: (-0.16, -0.12, -9.80) m/s² | Gyro: (-0.21, -0.20, -0.44) deg/s"
0.056,"telemetry","packetCounter: 37357 | sampleTimeFine: 10324311 | Roll: -179.45° Pitch: 1.02° Yaw: 152.84° | Acc: (-0.16, -0.12, -9.81) m/s² | Gyro: (-0.39, -0.32, -0.17) deg/s"
0.061,"telemetry","packetCounter: 37358 | sampleTimeFine: 10324411 | Roll: -179.45° Pitch: 1.02° Yaw: 152.83° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-0.09, -0.29, -0.12) deg/s"
0.065,"telemetry","packetCounter: 37359 | sampleTimeFine: 10324511 | Roll: -179.45° Pitch: 1.02° Yaw: 152.83° | Acc: (-0.16, -0.10, -9.81) m/s² | Gyro: (-0.45, -0.33, -0.45) deg/s"
0.069,"telemetry","packetCounter: 37360 | sampleTimeFine: 10324611 | Roll: -179.45° Pitch: 1.03° Yaw: 152.83° | Acc: (-0.15, -0.12, -9.81) m/s² | Gyro: (-0.32, -0.28, -0.65) deg/s"
0.073,"telemetry","packetCounter: 37361 | sampleTimeFine: 10324711 | Roll: -179.45° Pitch: 1.02° Yaw: 152.83° | Acc: (-0.15, -0.11, -9.80) m/s² | Gyro: (-0.52, -0.06, -0.08) deg/s"
0.078,"telemetry","packetCounter: 37362 | sampleTimeFine: 10324811 | Roll: -179.45° Pitch: 1.02° Yaw: 152.83° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (-0.26, -0.01, -0.08) deg/s"
0.082,"telemetry","packetCounter: 38813 | sampleTimeFine: 10471998 | Acc: (-0.10, -0.08, -7.35) m/s² | Gyro: (-0.36, 0.47, -0.88) deg/s"
0.087,"telemetry","packetCounter: 38814 | sampleTimeFine: 10472098 | Roll: -179.40° Pitch: 0.85° Yaw: -179.99° | Acc: (-0.16, -0.10, -9.82) m/s² | Gyro: (-0.67, 0.15, -0.37) deg/s"
0.091,"telemetry","packetCounter: 38815 | sampleTimeFine: 10472198 | Roll: -179.41° Pitch: 0.85° Yaw: -179.99° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-0.87, -0.07, -0.31) deg/s"
0.095,"telemetry","packetCounter: 38816 | sampleTimeFine: 10472298 | Roll: -179.42° Pitch: 0.85° Yaw: -179.98° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-0.69, -0.75, -0.32) deg/s"
0.099,"telemetry","packetCounter: 38817 | sampleTimeFine: 10472398 | Roll: -179.42° Pitch: 0.85° Yaw: -179.98° | Acc: (-0.16, -0.10, -9.80) m/s² | Gyro: (-0.23, -0.06, 0.12) deg/s"
0.104,"telemetry","packetCounter: 38818 | sampleTimeFine: 10472498 | Roll: -179.42° Pitch: 0.86° Yaw: -179.98° | Acc: (-0.15, -0.11, -9.82) m/s² | Gyro: (-0.02, -0.68, -0.26) deg/s"
0.108,"telemetry","packetCounter: 38819 | sampleTimeFine: 10472598 | Roll: -179.43° Pitch: 0.86° Yaw: -179.98° | Acc: (-0.15, -0.12, -9.81) m/s² | Gyro: (-0.78, -0.06, -0.17) deg/s"
0.112,"telemetry","packetCounter: 38820 | sampleTimeFine: 10472698 | Roll: -179.43° Pitch: 0.86° Yaw: -179.98° | Acc: (-0.14, -0.11, -9.82) m/s² | Gyro: (0.02, 0.26, -0.13) deg/s"
0.116,"telemetry","packetCounter: 38821 | sampleTimeFine: 10472798 | Roll: -179.43° Pitch: 0.86° Yaw: -179.97° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (0.16, -0.27, -0.42) deg/s"
0.120,"telemetry","packetCounter: 38822 | sampleTimeFine: 10472898 | Roll: -179.43° Pitch: 0.87° Yaw: -179.97° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (-0.67, -0.55, -0.66) deg/s"
0.125,"telemetry","packetCounter: 38823 | sampleTimeFine: 10472998 | Roll: -179.43° Pitch: 0.87° Yaw: -179.97° | Acc: (-0.16, -0.11, -9.81) m/s² | Gyro: (-0.23, -0.13, 0.05) deg/s"
0.129,"telemetry","packetCounter: 38824 | sampleTimeFine: 10473098 | Roll: -179.44° Pitch: 0.87° Yaw: -179.97° | Acc: (-0.16, -0.11, -9.80) m/s² | Gyro: (-0.34, -0.21, 0.11) deg/s"
0.139,"telemetry","packetCounter: 38825 | sampleTimeFine: 10473198 | Roll: -179.44° Pitch: 0.88° Yaw: -179.96° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-0.55, -0.27, -0.34) deg/s"
0.149,"telemetry","packetCounter: 38826 | sampleTimeFine: 10473298 | Roll: -179.45° Pitch: 0.88° Yaw: -179.96° | Acc: (-0.15, -0.10, -9.82) m/s² | Gyro: (-0.36, -0.50, -0.45) deg/s"
0.159,"telemetry","packetCounter: 38827 | sampleTimeFine: 10473398 | Roll: -179.45° Pitch: 0.88° Yaw: -179.96° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (-0.26, 0.55, -0.24) deg/s"
0.169,"telemetry","packetCounter: 38828 | sampleTimeFine: 10473498 | Roll: -179.45° Pitch: 0.88° Yaw: -179.95° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (-0.60, -0.56, -0.56) deg/s"
0.179,"telemetry","packetCounter: 38829 | sampleTimeFine: 10473598 | Roll: -179.46° Pitch: 0.88° Yaw: -179.95° | Acc: (-0.15, -0.11, -9.82) m/s² | Gyro: (-0.43, -0.28, -0.43) deg/s"
0.189,"telemetry","packetCounter: 38830 | sampleTimeFine: 10473698 | Roll: -179.47° Pitch: 0.88° Yaw: -179.95° | Acc: (-0.15, -0.10, -9.80) m/s² | Gyro: (-0.72, -0.49, -0.40) deg/s"
0.199,"telemetry","packetCounter: 38831 | sampleTimeFine: 10473798 | Roll: -179.47° Pitch: 0.89° Yaw: -179.94° | Acc: (-0.15, -0.10, -9.82) m/s² | Gyro: (-0.75, -0.13, -0.47) deg/s"
0.209,"telemetry","packetCounter: 38832 | sampleTimeFine: 10473898 | Roll: -179.47° Pitch: 0.89° Yaw: -179.93° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (0.02, -0.18, -0.35) deg/s"
0.219,"telemetry","packetCounter: 38833 | sampleTimeFine: 10473998 | Roll: -179.48° Pitch: 0.89° Yaw: -179.93° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-1.05, -0.45, -0.13) deg/s"
