time_seconds,total_vibration,rms_x,rms_y,rms_z
0.018,0.008643,0.004844,0.005411,0.004685
0.019,0.536005,0.019368,0.007000,0.535609
0.028,0.536343,0.026905,0.007386,0.535617
0.038,0.536567,0.032133,0.007624,0.535550
0.048,0.536893,0.036616,0.008554,0.535575
0.058,0.537060,0.040005,0.008260,0.535504
0.068,0.537193,0.042832,0.008199,0.535420
0.078,0.537359,0.043845,0.008609,0.535498
0.088,0.537536,0.045680,0.008348,0.535526
0.098,0.537554,0.046465,0.008890,0.535468
0.108,0.537732,0.046637,0.008565,0.535638
0.118,0.537743,0.045887,0.008565,0.535713
0.128,0.537663,0.044901,0.008999,0.535709
0.138,0.537361,0.043280,0.009398,0.535533
0.148,0.537183,0.041508,0.009353,0.535495
0.158,0.536981,0.039397,0.008736,0.535463
0.168,0.536746,0.036022,0.008039,0.535476
0.178,0.536503,0.032703,0.007674,0.535451
0.188,0.536270,0.028160,0.007733,0.535474
0.198,0.535986,0.021229,0.007133,0.535518
0.208,0.535688,0.005836,0.007083,0.535609
0.218,0.010012,0.005745,0.006901,0.004428
0.228,0.009945,0.005831,0.006886,0.004180
0.238,0.009982,0.005841,0.006950,0.004151
0.252,0.009912,0.005676,0.006779,0.004481
0.258,0.009868,0.005586,0.006791,0.004478
0.268,0.009970,0.005682,0.006680,0.004743
0.278,0.009647,0.005406,0.006503,0.004642
0.288,0.009508,0.005270,0.006442,0.004597
0.298,0.009294,0.005472,0.006002,0.004517
0.308,0.009617,0.005849,0.006084,0.004612
0.318,0.009876,0.005890,0.005997,0.005186
0.328,0.009804,0.006080,0.005753,0.005105
0.338,0.009616,0.006085,0.005497,0.005023
0.348,0.009379,0.006061,0.005348,0.004757
0.358,0.009358,0.005892,0.005230,0.005050
0.368,0.009714,0.006427,0.005197,0.005103
0.378,0.009856,0.006431,0.004903,0.005635
0.388,0.009772,0.006105,0.005248,0.005537
0.398,0.009315,0.005612,0.004977,0.005524
0.408,0.009554,0.005245,0.005055,0.006182
