time_seconds,packet_counter,sample_time_fine,utc_time,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,free_acc_x,free_acc_y,free_acc_z,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x,mag_y,mag_z,lat,lon,altitude,vel_x,vel_y,vel_z,status_word,temperature,baropressure,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z
0.001526,5796,7197267,,-179.96913147,2.86549520,-106.28697205,,,,,-0.18376522,0.20891470,-9.81381226,-0.29126287,-0.23515517,-0.00502777,-0.66503065,-0.03615032,-0.73189431,-0.09398857,-0.40487427,0.98570973,,,,,,,3,,,,,,,,,
0.003284,5797,7197367,,-179.97363281,2.86087799,-106.28981018,,,,,-0.18527496,0.19896694,-9.81109810,-0.28083915,-0.23575175,-0.00763106,-0.28127754,-0.26040568,-0.33559281,-0.09393586,-0.40679532,0.98617435,,,,,,,3,,,,,,,,,
0.004408,5798,7197467,,-179.97425842,2.85677290,-106.29882050,,,,,-0.18435626,0.20598616,-9.81004429,-0.28773832,-0.23378900,-0.00871110,0.16337974,-0.18016145,-0.77131715,-0.09346670,-0.40488371,0.98719651,,,,,,,3,,,,,,,,,
0.005861,5799,7197567,,-179.96899414,2.85530376,-106.30076599,,,,,-0.18541820,0.20626663,-9.80900192,-0.28815103,-0.23246944,-0.00970650,-0.03630940,-0.59043335,-0.10974075,-0.09392853,-0.40439615,0.98769665,,,,,,,3,,,,,,,,,
0.006946,5800,7197667,,-179.96818542,2.85061955,-106.30535126,,,,,-0.16939408,0.19980250,-9.80977821,-0.28669789,-0.24860825,-0.00970840,0.18248673,-0.25974238,-0.15628283,-0.09443213,-0.40630674,0.98568487,,,,,,,3,,,,,,,,,
0.008041,5801,7197767,,-179.97276306,2.84883356,-106.32451630,,,,,-0.18983288,0.21040735,-9.81274986,-0.29028034,-0.22610307,-0.00569844,-0.25150360,-0.45380246,0.26105877,-0.09446710,-0.40534598,0.98520511,,,,,,,3,,,,,,,,,
0.009095,5802,7197867,,-179.98101807,2.84484553,-106.33902740,,,,,-0.18954545,0.21362512,-9.81066799,-0.29169989,-0.22493555,-0.00773239,-0.67238821,-0.14039251,-0.19792981,-0.09354448,-0.40440154,0.98522472,,,,,,,3,,,,,,,,,
0.010395,5803,7197967,,-179.97975159,2.84188557,-106.33851624,,,,,-0.18393470,0.20933309,-9.81312275,-0.28945079,-0.23124665,-0.00555587,-0.04789102,-0.45080124,-0.01190325,-0.09492005,-0.40533859,0.98569775,,,,,,,3,,,,,,,,,
0.011855,5804,7198067,,-179.98443604,2.84059525,-106.35361481,,,,,-0.18015729,0.20597751,-9.80213642,-0.28634346,-0.23506948,-0.01668787,-0.29749612,-0.32768075,-0.19051700,-0.09491171,-0.40485895,0.98620009,,,,,,,3,,,,,,,,,
0.013384,5805,7198167,,-179.98690796,2.83755088,-106.36715698,,,,,-0.17905581,0.21892118,-9.81033134,-0.29876214,-0.23258626,-0.00854015,-0.15847553,-0.46091280,0.17990274,-0.09396246,-0.40535492,0.98619705,,,,,,,3,,,,,,,,,
