time_seconds,total_vibration,rms_x,rms_y,rms_z
10.121,6.947497,3.184146,2.101712,5.806181
10.131,6.823746,3.186362,2.15004,5.638079
10.141,6.91153,3.184051,2.150246,5.745216
10.151,6.873769,3.180098,2.175287,5.692434
10.161,6.911942,3.191088,2.174755,5.732569
10.171,6.918963,3.194638,2.205252,5.727407
10.181,6.941129,3.191933,2.219605,5.750147
10.191,6.837977,3.173548,2.245849,5.625184
10.201,6.865827,3.19882,2.262045,5.638288
10.211,6.945404,3.208466,2.261113,5.7299
10.221,6.925011,3.211782,2.247343,5.708738
10.231,6.801148,3.189568,2.264381,5.563709
10.241,6.783676,3.219776,2.263858,5.525056
10.251,6.841333,3.213517,2.272186,5.595919
10.261,6.858542,3.238629,2.225204,5.62133
10.271,6.82935,3.201985,2.287488,5.581641
10.281,6.895457,3.235795,2.254436,5.656365
10.291,6.938745,3.239085,2.277562,5.698002
10.301,6.923466,3.239009,2.255289,5.68831
10.311,6.900918,3.22532,2.264676,5.664911
10.321,6.943081,3.201881,2.271009,5.726854
10.331,6.890319,3.194926,2.239274,5.679313
10.341,6.791223,3.138698,2.264556,5.580419
10.351,6.7871,3.145618,2.235345,5.583283
10.361,6.790927,3.112955,2.259027,5.596695
10.371,6.85615,3.130563,2.209457,5.685479
10.381,6.658877,3.063922,2.177558,5.496478
10.391,6.628502,3.044191,2.233677,5.447992
10.401,6.656501,3.029563,2.258946,5.479774
10.411,6.545879,2.988508,2.27099,5.362831
10.421,6.63902,3.020037,2.317225,5.439341
10.431,6.67681,2.991254,2.308709,5.50473
10.441,6.722007,3.036279,2.310837,5.534115
10.451,6.548656,2.977623,2.32118,5.350773
10.461,6.520504,3.025576,2.355268,5.274048
10.471,6.484678,2.963456,2.376912,5.255404
10.481,6.517073,3.004972,2.372368,5.273922
10.491,6.435367,2.95951,2.350791,5.208553
10.501,6.415434,2.959423,2.345903,5.186169
10.511,6.360483,2.90147,2.366503,5.141681
10.521,6.27587,2.881816,2.383404,5.039947
10.531,6.246358,2.858056,2.42374,4.997399
10.541,6.380594,2.873982,2.36826,5.181076
10.551,6.275646,2.839479,2.336658,5.085383
10.561,6.196178,2.798038,2.349901,5.004156
10.571,6.270346,2.822507,2.348717,5.082737
10.581,6.319582,2.827233,2.323448,5.152229
10.591,6.178781,2.809169,2.2789,5.009244
10.601,6.01553,2.784811,2.302105,4.809546
10.611,6.039707,2.785644,2.313983,4.833605
10.621,6.025238,2.722573,2.312785,4.852022
10.631,6.027069,2.761332,2.273414,4.850999
10.641,5.892198,2.707823,2.301507,4.699868
10.651,5.97864,2.758481,2.268417,4.794706
10.661,5.92079,2.701089,2.287278,4.746391
10.671,5.982755,2.738593,2.250121,4.819795
10.681,5.946733,2.701226,2.291846,4.776448
10.691,5.999953,2.717366,2.262998,4.847082
10.701,5.935979,2.667642,2.282719,4.786307
10.711,5.976414,2.684809,2.280603,4.827855
10.721,5.971931,2.667697,2.293272,4.82579
10.731,6.017154,2.716196,2.293658,4.854642
10.741,6.022228,2.669025,2.333014,4.868324
10.751,6.013977,2.707242,2.341965,4.832593
10.761,6.002103,2.696243,2.381376,4.80464
10.771,5.993489,2.723347,2.331138,4.803237
10.781,5.927062,2.686536,2.347372,4.733121
10.791,5.860295,2.639731,2.31928,4.68997
10.801,5.859872,2.62621,2.312159,4.700536
10.811,5.890823,2.669597,2.280758,4.730031
10.821,5.864942,2.64321,2.282697,4.711717
10.831,6.035131,2.632227,2.248633,4.943464
10.841,6.006436,2.621019,2.235015,4.920593
10.851,6.025479,2.638797,2.235296,4.934227
10.861,6.023529,2.624743,2.228087,4.942595
10.871,6.031609,2.631686,2.225095,4.9501
10.881,6.092168,2.648721,2.237736,5.009124
10.891,6.096482,2.645508,2.169119,5.046118
10.901,5.969973,2.626835,2.107605,4.929332
10.911,5.923396,2.626421,2.087127,4.881847
10.921,5.824383,2.587862,2.042613,4.801472
10.931,5.900497,2.586834,2.044992,4.893073
10.941,5.876494,2.542913,2.039496,4.889502
10.951,5.86516,2.522798,2.022173,4.893507
10.961,5.87902,2.517571,1.984111,4.928287
10.971,5.849451,2.495472,1.961294,4.913453
10.981,5.852729,2.451151,1.955265,4.941987
10.991,5.8609,2.42116,1.941348,4.971851
11.001,5.846031,2.419062,1.954019,4.950356
11.011,5.894698,2.412711,1.919479,5.024131
11.021,5.842903,2.410502,1.9013,4.971323
11.031,5.842782,2.43859,1.845184,4.978621
11.041,5.677073,2.399979,1.868851,4.793397
11.051,5.862129,2.446791,1.875735,4.985919
11.061,5.818056,2.442751,1.849576,4.945888
11.071,5.727944,2.386661,1.835731,4.872708
11.081,5.702391,2.391385,1.822313,4.84538
11.091,5.70387,2.373108,1.824842,4.855146
11.101,5.712876,2.338749,1.797854,4.892334
11.111,5.83442,2.365585,1.746292,5.039338
11.121,5.797858,2.363442,1.741153,4.999769
11.131,5.820257,2.315008,1.736774,5.049727
11.141,5.851558,2.33665,1.701982,5.087637
11.151,5.721097,2.286247,1.678717,4.968494
11.161,5.74148,2.283366,1.661734,4.998948
11.171,5.726165,2.239028,1.650305,5.005219
11.181,5.755369,2.242593,1.596818,5.054228
11.191,5.731553,2.205359,1.607211,5.040235
11.201,5.710716,2.213495,1.567104,5.025624
11.211,5.572408,2.157432,1.538747,4.901987
11.221,5.552525,2.140465,1.508229,4.896344
11.231,5.483559,2.036192,1.482185,4.870982
11.241,5.500628,2.037153,1.418883,4.908532
11.251,5.433149,1.917959,1.371716,4.894787
11.261,5.425981,1.899058,1.293454,4.915468
