time_seconds,total_vibration,rms_x,rms_y,rms_z
6.448,22.179009,12.924037,13.82997,11.558964
6.458,22.424372,13.597195,13.186587,12.003443
6.468,22.868908,14.443993,12.630009,12.443508
6.478,23.553787,15.364765,12.360504,12.881104
6.488,24.430974,16.269716,12.283034,13.464617
6.498,25.156962,16.972724,12.221931,13.979405
6.508,25.421033,17.357857,12.192251,14.010094
6.518,25.437495,17.284369,12.502448,13.856607
6.528,25.105057,16.89365,12.810872,13.444331
6.538,24.495327,16.19528,13.040206,12.949402
6.548,23.874542,15.546959,12.929752,12.692807
6.558,23.557849,15.324299,12.698085,12.605425
6.568,23.558387,15.424602,12.40241,12.777303
6.578,23.752813,15.710343,12.120445,13.056648
6.588,23.81651,15.951313,11.852087,13.126683
6.598,23.621408,16.030664,11.279872,13.181549
6.608,23.427736,16.056922,10.814843,13.193681
6.618,23.405159,16.056878,10.777808,13.183967
6.628,23.495274,16.007407,11.07641,13.156898
6.639,23.250296,15.864713,11.153682,12.825074
6.648,22.853911,15.609082,11.161186,12.413127
6.658,22.768754,15.501062,11.136774,12.413923
6.668,22.448905,15.181751,11.078709,12.277215
6.678,21.89709,14.68561,11.005317,11.945643
6.688,20.991798,13.864529,10.833717,11.448187
6.699,20.162453,13.092689,10.791051,10.893082
6.709,19.637533,12.425136,10.932618,10.570077
6.718,19.247032,12.118248,10.930423,10.204028
6.729,19.067048,12.052174,10.661191,10.229195
6.738,19.29685,12.469921,10.178113,10.643096
6.748,20.029294,13.209188,10.012449,11.244591
6.758,20.569224,13.65394,10.290649,11.435272
6.768,20.69874,13.754089,10.712898,11.157807
6.778,20.360846,13.42305,10.720618,10.929508
6.788,19.992333,13.050688,10.569136,10.847409
6.798,19.900924,12.893763,10.70748,10.730682
6.808,19.975873,12.915989,10.719742,10.830506
6.818,19.964588,13.104774,10.199579,11.082339
6.828,20.360003,13.658325,9.762681,11.518243
6.838,21.205108,14.428947,9.86667,12.004621
6.848,21.705259,14.785052,10.177756,12.203843
6.858,21.73284,14.776664,10.553376,11.941222
6.868,21.639863,14.658484,10.756379,11.735111
6.878,21.580541,14.448112,10.875226,11.77715
6.888,21.630549,14.370561,11.1224,11.732854
6.898,21.662675,14.341817,11.272185,11.684245
6.908,21.613032,14.33119,11.186918,11.687302
6.918,21.555027,14.400996,10.961746,11.707717
6.929,21.774335,14.636258,10.795728,11.973049
6.938,22.123588,14.860535,10.946071,12.198408
6.948,22.16762,14.878834,11.284183,11.945329
6.958,21.8463,14.602894,11.278427,11.696726
6.968,21.354972,14.140205,11.007679,11.615525
6.978,20.937964,13.812521,10.888825,11.359846
6.988,20.875675,13.810841,10.664847,11.459298
6.998,21.129987,14.154389,10.271825,11.858298
7.008,21.78421,14.846086,10.100108,12.334236
7.018,22.54525,15.482203,10.421842,12.648119
7.028,22.787269,15.599538,10.717318,12.690671
7.038,22.613746,15.389366,10.839497,12.532127
7.048,22.12868,15.036575,10.851014,12.076233
7.058,21.509736,14.466039,10.754121,11.736752
7.068,20.924065,13.919173,10.635655,11.443599
7.078,20.421679,13.652261,10.176599,11.273755
7.088,20.4338,13.840625,9.660337,11.517603
7.098,20.772011,14.293409,9.385851,11.793248
7.104,21.094889,14.59928,9.275578,12.075555
7.118,21.025836,14.565439,9.273951,11.996983
7.128,20.668891,14.27167,9.288162,11.715482
7.138,20.279572,13.948114,9.093734,11.576491
7.144,20.257308,13.823851,8.756161,11.941076
7.158,20.531373,14.067505,8.950131,11.980725
7.168,20.611627,14.2063,9.000533,11.91682
7.174,20.613131,14.22485,8.904444,11.969365
7.187,20.463295,14.158939,8.884155,11.804349
7.197,20.56914,14.17935,8.933784,11.92573
7.207,20.650039,14.150382,8.883597,12.135587
7.217,20.76516,14.266847,8.611743,12.38898
7.227,20.818625,14.473194,8.515266,12.305773
7.237,20.607605,14.350483,8.312646,12.232619
7.247,20.319498,14.124123,8.124732,12.140012
7.257,20.069182,13.980319,7.859566,12.064409
7.267,20.316971,14.259474,7.548015,12.348043
7.277,20.938247,14.763109,7.803217,12.632126
7.287,21.003138,14.785447,8.068635,12.546692
7.297,20.569884,14.416211,7.986019,12.309204
7.307,20.108988,14.119394,7.605595,12.131324
7.317,20.519715,14.400556,7.533945,12.526866
7.328,21.36861,15.072787,7.849519,12.954291
7.337,21.749359,15.369143,8.144062,13.057501
7.347,21.435828,15.18317,8.391317,12.591739
7.357,20.880394,14.707834,8.115937,12.401695
7.367,20.595547,14.474568,7.972709,12.292247
7.377,20.706112,14.486127,8.127165,12.363024
7.388,21.026527,14.693807,8.148657,12.641451
7.397,21.070747,14.7448,8.116078,12.676613
7.407,20.766423,14.5452,8.299683,12.279931
7.417,20.019516,13.883403,8.541081,11.622481
7.427,18.965349,12.964093,8.218406,11.138876
7.437,18.659982,12.636744,8.101804,11.084601
7.447,19.188091,12.947888,8.524846,11.30761
7.457,19.548797,13.215336,8.749628,11.44353
7.467,19.215899,12.977986,8.798727,11.108782
7.478,18.442043,12.350954,8.545555,10.702167
7.487,18.269459,12.188226,8.269196,10.809287
7.497,19.025636,12.765682,8.177075,11.495548
7.507,20.04161,13.554341,8.432677,12.117588
7.517,20.343202,13.860924,8.715849,12.072888
7.527,19.686224,13.358137,8.580277,11.639864
7.538,18.787109,12.677505,8.365641,11.056779
7.547,18.391296,12.370438,7.926587,11.062606
7.557,18.861992,12.718375,7.849098,11.506925
7.568,19.667942,13.323146,8.217685,11.90762
7.577,19.904758,13.60253,8.224207,11.980527
7.588,19.517212,13.345726,8.256541,11.603564
7.597,19.004133,12.965593,8.229119,11.195181
7.607,18.992405,12.873068,8.085105,11.385369
7.618,19.552008,13.319173,8.099819,11.801422
7.628,20.226331,13.842855,8.35607,12.151376
7.637,20.115774,13.818969,8.423969,11.946431
7.648,19.391182,13.377828,7.84638,11.639845
7.658,19.244047,13.265933,7.499777,11.751668
7.667,19.760907,13.609903,7.514462,12.198231
7.678,20.520507,14.217164,7.795985,12.577204
7.687,20.900523,14.545371,8.163008,12.594814
7.697,20.341211,14.169615,8.308302,11.998292
7.707,19.298021,13.410379,8.034018,11.31503
7.717,18.719519,12.87823,7.66355,11.217914
7.727,19.138499,13.07871,7.937792,11.498736
7.737,19.75791,13.471754,8.513527,11.679328
7.747,19.673915,13.422014,8.681109,11.46956
7.757,18.991622,12.936382,8.504929,10.999905
7.768,18.464059,12.558887,8.058463,10.874605
7.778,18.862126,12.797445,8.143757,11.210906
7.788,19.706569,13.396824,8.633242,11.59056
7.797,20.025013,13.656413,8.944677,11.597253
7.808,19.426549,13.245434,8.893112,11.084305
7.817,18.418269,12.468901,8.555317,10.515023
7.828,18.101352,12.144717,8.330271,10.524798
7.838,18.558888,12.479943,8.40946,10.861139
7.848,19.325398,13.093458,8.697386,11.242235
7.857,19.567466,13.308883,8.977787,11.187434
7.868,18.996767,12.907817,8.934425,10.697732
7.877,18.332362,12.327722,8.739735,10.378816
7.888,18.180216,12.144809,8.710193,10.351638
7.898,18.403023,12.311191,8.792019,10.478847
7.907,18.610316,12.451194,8.912401,10.57737
7.918,18.288801,12.268231,8.889212,10.244641
7.928,17.939496,12.011131,8.586321,10.189865
7.938,18.094054,12.199528,8.266792,10.498878
7.948,18.784699,12.78763,8.398227,10.900056
7.958,19.245601,13.138048,8.635267,11.100317
7.967,18.953012,12.928671,8.690883,10.795123
7.977,18.240845,12.447616,8.35341,10.392586
7.988,17.920227,12.190472,8.004553,10.414128
7.997,18.056848,12.26629,8.108593,10.480391
8.008,18.139612,12.306736,8.283632,10.438928
8.018,18.152881,12.315269,8.306892,10.433446
8.028,18.215307,12.388124,8.267471,10.487169
8.038,18.194645,12.362374,8.041779,10.655824
8.047,18.299573,12.43448,7.940707,10.826045
8.058,18.388038,12.545869,7.951093,10.839798
8.067,18.432481,12.57567,7.997652,10.846495
8.078,18.323763,12.504181,7.918763,10.802728
8.088,18.047197,12.312227,7.560099,10.814587
8.097,18.275689,12.456649,7.519633,11.058382
8.107,18.657288,12.744976,7.829467,11.151656
8.118,18.74141,12.785424,7.972989,11.144723
8.128,18.399358,12.612536,7.870275,10.840622
8.138,17.939994,12.293418,7.641343,10.598355
8.147,17.868308,12.163261,7.65518,10.617426
8.157,18.016151,12.299618,7.789873,10.612209
8.167,18.106743,12.381667,7.76918,10.685893
8.178,17.98208,12.302482,7.772837,10.563482
8.188,17.61412,12.060846,7.529929,10.396796
8.197,17.652743,12.113079,7.225567,10.615264
8.207,18.282681,12.635726,7.41632,10.93586
8.217,18.812762,13.075025,7.671403,11.140616
8.228,18.519497,12.872778,7.78072,10.803877
8.237,17.829244,12.388877,7.694725,10.256161
8.248,17.487592,12.037565,7.532539,10.206555
8.258,17.746665,12.172671,7.626307,10.421595
8.267,18.01237,12.369953,7.714975,10.578701
8.277,17.926187,12.341429,7.723272,10.458891
8.287,17.743266,12.192614,7.694748,10.341882
8.298,17.70776,12.119775,7.531606,10.485739
8.307,17.869603,12.29196,7.430689,10.630865
8.318,18.087756,12.49325,7.465612,10.740124
8.327,18.059083,12.456752,7.547172,10.677078
8.338,17.833271,12.259857,7.441153,10.599561
8.347,17.779342,12.157745,7.241974,10.763273
8.357,17.940565,12.233577,7.421352,10.822524
8.368,18.058351,12.308336,7.557321,10.839549
8.377,18.046605,12.309115,7.550486,10.823854
8.388,18.034955,12.308239,7.666506,10.723411
8.397,18.124215,12.359593,7.830049,10.696634
8.407,17.937717,12.200288,7.822924,10.569604
8.417,17.447157,11.801594,7.642758,10.330243
8.428,17.286642,11.708951,7.525196,10.251822
8.437,17.5508,11.860629,7.536144,10.514875
8.448,17.751759,12.001224,7.646136,10.612829
8.458,17.751968,12.042491,7.65975,10.556467
8.467,18.091412,12.307615,7.858307,10.6803
8.478,18.456407,12.556184,8.115496,10.822195
8.487,18.227622,12.435401,8.176275,10.524046
8.497,17.645926,12.051582,8.023385,10.087782
8.507,17.482174,11.815135,8.063835,10.050053
8.517,17.543739,11.802021,8.192179,10.068926
8.528,17.515558,11.791296,8.146756,10.069285
8.537,17.602692,11.866144,8.164344,10.118937
8.548,17.66179,11.927323,8.254432,10.076813
8.558,17.771224,12.054423,8.095164,10.24576
8.568,18.032822,12.287624,8.160522,10.373179
8.578,18.288592,12.424484,8.379176,10.483044
8.588,18.06464,12.256321,8.40607,10.268973
8.598,17.43768,11.753074,8.09383,10.02137
8.608,17.260247,11.598713,7.840081,10.095501
8.618,17.675125,11.930634,8.028929,10.276493
8.628,17.891617,12.06583,8.224465,10.338467
8.638,17.600705,11.887194,8.224364,10.041875
8.648,17.208335,11.620931,8.060423,9.803588
8.658,17.072526,11.468294,7.987633,9.805462
8.668,17.002464,11.367867,8.050158,9.749376
8.678,16.926206,11.274626,8.028167,9.74309
8.688,16.921382,11.251187,8.045069,9.747862
8.697,16.935238,11.241359,8.032522,9.793505
8.708,16.850869,11.227963,7.875862,9.79058
8.718,17.218923,11.523138,7.956052,10.020471
8.728,17.675387,11.824857,8.248311,10.225333
8.737,17.496492,11.696931,8.368356,9.963917
8.747,16.697921,11.144289,8.148216,9.393187
8.758,16.112498,10.605557,7.772146,9.312815
8.768,16.331646,10.669365,7.628037,9.73141
8.778,16.830438,11.076078,7.936562,9.879025
8.787,17.174542,11.375871,8.075957,10.016654
8.798,17.088275,11.35953,8.189109,9.7933
8.807,16.609784,10.983741,8.056887,9.504154
8.817,16.374956,10.766868,7.748418,9.600821
8.827,16.936152,11.202583,7.805424,10.020515
8.838,17.382838,11.549348,8.096723,10.159659
8.848,17.01504,11.301661,8.172285,9.746682
8.857,16.358152,10.781402,7.83065,9.48849
8.868,16.345722,10.749061,7.429189,9.820767
8.878,16.885256,11.191359,7.666657,10.054238
8.888,17.433771,11.587475,8.061749,10.231081
8.898,17.445581,11.601617,8.223867,10.105384
8.907,16.926387,11.209793,8.027549,9.818431
8.918,16.542111,10.850413,7.619596,9.892003
8.928,16.803492,11.13275,7.441453,10.151059
8.938,17.58802,11.745104,7.658506,10.617828
8.948,18.073799,12.049188,8.022035,10.822486
8.958,17.78007,11.851307,8.207221,10.407638
8.967,17.029425,11.348422,8.04775,9.820813
8.978,16.536697,10.966021,7.512266,9.837407
8.987,16.928558,11.186931,7.363955,10.353783
8.998,17.665962,11.777916,7.659493,10.709765
9.008,18.017129,12.09505,7.836924,10.812461
9.017,17.749381,11.919329,7.874958,10.533524
9.028,17.08909,11.3734,7.701041,10.167436
9.038,16.98049,11.236842,7.374678,10.377116
9.048,17.465639,11.646556,7.410546,10.700004
9.058,17.906723,12.044928,7.755706,10.743345
9.068,17.548564,11.825893,7.892389,10.286425
9.078,16.742271,11.220984,7.453682,9.941619
9.088,16.410076,10.97623,6.966045,10.014348
9.098,16.959949,11.42684,6.945644,10.431932
9.108,17.796949,12.077262,7.305056,10.840079
9.118,17.944458,12.225438,7.741253,10.612033
9.128,17.319361,11.697124,7.724602,10.171927
9.138,16.531521,11.087572,7.370862,9.799353
9.148,16.292661,10.965731,6.979525,9.82292
9.157,16.922722,11.441277,7.125941,10.23214
9.168,17.712733,12.016628,7.610361,10.555755
9.178,17.729004,12.055397,7.799166,10.399904
9.188,16.983255,11.561255,7.721116,9.754625
9.198,16.272411,10.968776,7.315928,9.537007
9.208,16.466994,11.018169,7.090719,9.974144
9.218,17.207044,11.569655,7.180764,10.519605
9.228,18.000257,12.276687,7.528784,10.798594
9.238,18.442465,12.71931,7.817309,10.827436
9.248,18.204302,12.563846,7.787294,10.62565
9.258,17.632583,12.112778,7.499117,10.389987
9.268,17.663399,12.101631,7.279583,10.60914
9.278,18.443204,12.616133,7.586346,11.11001
9.288,18.826774,12.890175,8.043278,11.117394
9.298,18.249418,12.447771,8.07141,10.627634
9.308,17.452335,11.83964,7.716611,10.240158
9.318,17.288379,11.747216,7.311979,10.364648
9.328,18.039277,12.30828,7.525328,10.830105
9.338,18.87491,12.953167,7.9492,11.193208
9.348,19.182162,13.222571,8.174952,11.237844
9.358,18.715588,12.90958,8.018247,10.923538
9.368,17.996337,12.375076,7.611025,10.620637
9.378,18.079623,12.365491,7.425478,10.900903
9.388,18.628484,12.79287,7.468626,11.295242
9.398,19.31193,13.380735,7.788647,11.543117
9.408,19.57419,13.661523,8.099286,11.441734
9.418,19.198344,13.416641,8.085265,11.099488
9.428,18.363556,12.766388,7.700697,10.72095
9.438,17.879745,12.311098,7.446502,10.614696
9.448,18.354193,12.565037,7.687198,10.950033
9.458,18.962575,12.988097,8.167363,11.143732
9.468,18.816444,12.911318,8.322428,10.867089
9.478,18.071359,12.404091,8.04397,10.392646
9.488,17.637908,12.086204,7.563773,10.383102
9.498,18.192407,12.42728,7.510985,10.959539
9.508,19.055642,13.085051,7.826269,11.430155
9.518,19.493145,13.532669,8.117322,11.443717
9.528,19.275013,13.420622,8.026666,11.268791
9.538,18.545227,12.890118,7.73636,10.859053
9.548,17.939183,12.418907,7.499941,10.551584
9.558,18.081142,12.441536,7.32635,10.883955
9.568,18.841033,12.981029,7.4403,11.450735
9.578,19.262665,13.338615,7.937857,11.407105
9.588,18.936199,13.096023,8.025015,11.075783
9.598,18.089106,12.422595,7.718259,10.645344
9.608,17.452464,11.880088,7.419009,10.412026
9.618,17.840991,12.03189,7.549833,10.79512
9.628,18.752292,12.732681,7.966772,11.227548
9.637,19.171732,13.164371,8.216057,11.258376
9.648,18.914427,13.026108,8.063962,11.092727
9.658,18.385869,12.677836,7.667196,10.887
9.667,18.283593,12.597974,7.488123,10.932009
9.678,18.536882,12.771317,7.437398,11.189039
9.688,19.041149,13.111483,7.663051,11.486167
9.698,19.187556,13.308703,7.979417,11.285816
9.708,18.720166,12.988253,7.919922,10.909845
9.718,17.976075,12.332564,7.687813,10.58039
9.728,17.516508,11.927725,7.430603,10.456747
9.738,17.962542,12.203682,7.474858,10.855853
9.749,18.835821,12.832809,7.886587,11.309681
9.758,19.155002,13.145394,8.278926,11.205896
9.768,18.697572,12.845204,8.304327,10.753515
9.778,18.005129,12.338723,7.955811,10.423322
9.788,17.871168,12.176541,7.80555,10.496851
9.798,18.117788,12.322812,7.783649,10.761847
9.81,18.580789,12.720441,7.82921,11.051678
9.818,18.734963,12.955836,7.872417,11.007734
9.828,18.388195,12.648039,7.795018,10.83469
9.838,17.756154,12.112693,7.610401,10.518816
9.848,17.385586,11.799556,7.374182,10.423556
9.858,17.91447,12.140787,7.361783,10.923994
9.869,18.680613,12.755214,7.784659,11.210215
9.878,19.174833,13.195198,8.184647,11.250446
9.888,19.074881,13.219402,8.250447,11.0013
9.898,18.507518,12.8042,7.949915,10.741487
9.908,18.093132,12.471057,7.723631,10.591491
9.918,18.287331,12.50728,7.706041,10.890884
9.928,18.801934,12.812453,7.711108,11.397042
9.938,18.854828,12.922749,7.571404,11.453425
9.948,18.837836,12.97854,7.385741,11.483569
9.958,18.945208,13.096756,7.424285,11.501125
9.968,18.879884,13.055272,7.407559,11.451547
9.978,18.826711,13.038392,7.301319,11.451468
9.988,19.007288,13.151138,7.276969,11.634874
9.998,19.556377,13.537573,7.522736,11.941292
10.008,19.898611,13.845765,7.746944,12.009761
10.018,19.877119,13.861831,7.666524,12.007245
10.028,19.849608,13.872149,7.656771,11.955931
10.038,19.83559,13.864526,7.661787,11.938281
10.048,19.770867,13.83496,7.698367,11.841292
10.058,19.528253,13.607333,7.649278,11.733785
10.068,19.386039,13.393166,7.191356,12.030214
10.078,19.331986,13.338468,6.805406,12.226914
10.088,19.610233,13.588243,6.720237,12.44023
10.098,20.208624,14.0747,7.086515,12.65198
10.108,20.447399,14.252532,7.240526,12.748971
10.118,20.193981,14.170889,7.171442,12.472096
10.128,19.808407,13.943273,7.176988,12.10161
10.138,19.920648,13.99282,7.24357,12.188679
10.148,20.224852,14.214033,7.158291,12.480576
10.158,20.612258,14.511745,6.961953,12.876554
10.168,21.115237,14.985828,7.179118,13.028371
10.178,21.443164,15.233241,7.396994,13.154548
10.188,21.282709,15.155919,7.55254,12.892283
10.198,20.597647,14.655867,7.456989,12.404109
10.208,19.857623,14.026685,7.149056,12.10241
10.218,19.660166,13.753693,6.850477,12.264951
10.228,20.051663,14.025483,6.548464,12.746476
10.238,20.788323,14.633945,6.948204,13.027836
10.248,21.257703,15.013458,7.257793,13.183719
10.258,21.154169,15.030174,7.368489,12.934377
10.268,20.540404,14.667693,7.395304,12.331929
10.278,20.074025,14.283353,7.343212,12.042822
10.288,19.826091,13.95165,7.131153,12.147922
10.298,19.971143,14.029521,6.793796,12.484527
10.308,20.74276,14.760471,6.897559,12.838002
10.318,21.764591,15.598975,7.181417,13.371487
10.328,22.359977,16.100726,7.421731,13.625458
10.338,21.915764,15.823028,7.475959,13.192517
10.348,20.891884,15.047062,7.394832,12.464878
10.358,20.03109,14.329901,7.113543,12.053881
10.368,20.035456,14.155148,6.761419,12.463326
10.378,20.694107,14.695678,6.843085,12.862943
10.388,21.656974,15.470155,6.976294,13.454744
10.398,22.34461,16.041662,7.163595,13.806867
10.408,22.301709,16.04849,7.336204,13.6379
10.418,21.769348,15.747856,7.387556,13.089445
10.428,21.187497,15.284152,7.303331,12.726589
10.438,21.096362,15.071843,6.821924,13.090356
10.448,21.4278,15.304127,6.544751,13.494464
10.458,22.183226,15.963901,6.533865,13.948405
10.468,23.107101,16.720943,6.931381,14.363291
10.478,23.589903,17.138078,7.335762,14.455324
10.488,23.558001,17.206936,7.674814,14.142065
10.498,23.098104,16.830714,7.804392,13.760123
10.508,22.345064,16.111462,7.764706,13.395223
10.518,21.428656,15.301027,7.653638,12.903012
10.528,20.965774,14.890016,7.409321,12.765307
10.538,21.498053,15.207339,7.36342,13.292223
10.548,22.212555,15.750663,7.541374,13.727415
10.558,22.486497,16.024522,7.970641,13.613454
10.568,21.9477,15.692286,8.021042,13.081153
10.578,21.02309,14.95352,7.801928,12.5496
10.588,20.186658,14.203938,7.557288,12.191665
10.598,20.024698,13.956301,7.227273,12.408737
10.608,20.577336,14.369382,7.206317,12.845879
10.618,21.36833,15.029133,7.483777,13.218313
10.628,21.917656,15.572969,7.941365,13.221233
10.638,21.726261,15.517946,8.214267,12.796468
10.648,21.04283,14.997308,8.243466,12.244457
10.658,20.040918,14.125667,8.102531,11.681307
10.668,19.469373,13.505048,7.800172,11.654505
10.678,19.517033,13.50005,7.735717,11.782271
10.688,19.799114,13.684906,7.743463,12.031917
10.698,20.111083,13.931535,7.92603,12.146852
