time_seconds,total_vibration,rms_x,rms_y,rms_z
5.258,2.513192,0.485765,2.027579,1.403242
5.268,2.496075,0.495925,2.04487,1.342743
5.278,2.473389,0.548213,1.978527,1.379329
5.288,2.461019,0.548401,1.960894,1.382304
5.298,2.267909,0.579352,1.728413,1.349204
5.308,2.229166,0.574561,1.715487,1.302368
5.318,2.253429,0.576382,1.649545,1.42293
5.328,2.270621,0.56064,1.650457,1.455127
5.338,2.217593,0.558994,1.584517,1.447256
5.348,2.180384,0.60083,1.590361,1.365221
5.358,2.123896,0.605433,1.534554,1.337733
5.368,2.148843,0.600664,1.604129,1.297496
5.378,1.950537,0.601994,1.507352,1.081706
5.388,1.92451,0.59251,1.505651,1.041963
5.398,2.025149,0.609615,1.587365,1.099941
5.408,1.943975,0.630305,1.584801,0.932823
5.418,1.841278,0.628581,1.499205,0.864624
5.428,1.849316,0.658791,1.499165,0.85934
5.438,1.831359,0.675718,1.498608,0.807128
5.448,1.839331,0.654751,1.474293,0.883685
5.458,1.81828,0.653341,1.474652,0.839457
5.468,1.815735,0.638904,1.48516,0.826434
5.478,1.834591,0.616772,1.516666,0.827673
5.488,1.811475,0.644456,1.502908,0.77935
5.498,1.834681,0.62655,1.537258,0.781236
5.508,1.853833,0.668246,1.536303,0.793673
5.518,1.728317,0.670393,1.403387,0.753763
5.528,1.766316,0.687846,1.442947,0.751429
5.538,1.834334,0.694403,1.456868,0.871849
5.548,1.819134,0.658354,1.459308,0.863851
5.558,1.824074,0.68556,1.444036,0.878644
5.568,1.811238,0.692611,1.411846,0.898646
5.578,1.906832,0.691187,1.498183,0.955885
5.588,1.883171,0.682201,1.470104,0.959024
5.598,1.755145,0.69259,1.340287,0.896931
5.608,1.84456,0.69042,1.455353,0.898705
5.618,1.854579,0.679551,1.406672,0.999474
5.628,1.863699,0.688591,1.411135,1.00395
5.638,1.851665,0.686049,1.411133,0.983211
5.648,1.868189,0.683106,1.446393,0.965115
5.658,1.876473,0.681814,1.445699,0.982973
5.668,1.882648,0.70906,1.424258,1.006521
5.678,1.855986,0.702798,1.412586,0.977426
5.688,1.842877,0.662803,1.416064,0.975525
5.698,1.927994,0.728217,1.378554,1.134218
5.708,2.092129,0.696573,1.575346,1.187465
5.718,2.115323,0.735573,1.579124,1.199955
5.728,2.086075,0.715679,1.558829,1.187252
5.738,2.055842,0.752169,1.525535,1.154761
5.748,2.160742,0.753901,1.591307,1.252271
5.758,2.15405,0.727901,1.590115,1.257628
5.768,2.131727,0.716893,1.560658,1.262803
5.778,2.048012,0.768672,1.483297,1.184621
5.788,2.098829,0.770125,1.531232,1.21133
5.798,2.106261,0.78574,1.523633,1.223721
5.808,2.070479,0.757836,1.441929,1.278049
5.818,2.067192,0.762199,1.487286,1.216683
5.828,2.053043,0.747747,1.486559,1.202499
5.838,2.079588,0.800958,1.486612,1.213729
5.848,2.033794,0.802843,1.402499,1.23481
5.858,2.022333,0.804312,1.413148,1.202467
5.868,1.997105,0.7763,1.403801,1.189592
5.878,1.997355,0.798315,1.386144,1.19613
5.888,2.1103,0.810897,1.522977,1.215052
5.898,2.034563,0.767899,1.524163,1.107566
5.908,1.838013,0.789,1.348667,0.967919
5.918,1.864425,0.746382,1.412597,0.961022
5.928,1.904381,0.740225,1.471101,0.956345
5.938,1.904077,0.745818,1.434805,1.005286
5.948,1.884831,0.745792,1.452135,0.942171
5.958,1.893697,0.792443,1.442137,0.93721
5.968,1.913646,0.79233,1.475632,0.925615
5.978,1.937382,0.805797,1.468687,0.97319
5.988,2.034688,0.803827,1.496063,1.120542
5.998,2.027614,0.788101,1.496545,1.118245
6.008,2.027898,0.80719,1.515932,1.078315
6.018,2.048667,0.853577,1.489289,1.11824
6.028,2.129164,0.853159,1.530408,1.209673
6.038,2.100635,0.788115,1.540943,1.190392
6.048,2.043531,0.788184,1.487593,1.158383
6.058,2.084661,0.850982,1.487989,1.186393
6.068,2.242088,0.852359,1.59449,1.325913
6.078,2.214447,0.812345,1.572335,1.331027
6.088,2.13047,0.821928,1.454081,1.322492
6.098,2.20385,0.841173,1.563631,1.305542
6.108,2.241917,0.820821,1.592595,1.347623
6.118,2.216835,0.809593,1.549192,1.363423
6.128,2.235288,0.84872,1.50387,1.419353
6.138,2.319418,0.811458,1.650516,1.413165
6.148,2.250542,0.816894,1.583965,1.374293
6.158,2.240949,0.763823,1.595391,1.37592
6.168,2.231852,0.795372,1.539018,1.407114
6.178,2.288828,0.752957,1.677802,1.362633
6.188,2.172102,0.756817,1.609214,1.24727
6.198,2.181855,0.719819,1.665824,1.211356
6.208,2.161182,0.751124,1.613417,1.226135
6.218,2.143077,0.698593,1.613523,1.225271
6.228,2.078852,0.724406,1.600637,1.111227
6.238,2.120122,0.707187,1.630814,1.155529
6.248,2.122792,0.71264,1.627844,1.161257
6.258,2.10115,0.706475,1.625745,1.12813
6.268,2.020809,0.715996,1.599776,1.005851
6.278,2.04263,0.713265,1.63546,0.994415
6.288,2.008793,0.705768,1.59666,0.99389
6.298,1.996109,0.698236,1.553112,1.041518
6.308,1.9527,0.7064,1.537338,0.975002
6.318,1.947702,0.717837,1.530897,0.966751
6.328,1.869202,0.669659,1.525655,0.84726
6.338,1.76594,0.658246,1.417781,0.821678
6.348,1.756539,0.643865,1.411408,0.823889
6.358,1.823652,0.712091,1.399945,0.926707
6.368,1.880616,0.690383,1.458301,0.966149
6.378,1.782957,0.681235,1.355324,0.936991
6.388,1.788208,0.687603,1.354609,0.943358
6.398,1.744012,0.695217,1.290645,0.944715
6.408,1.701012,0.649461,1.288698,0.9005
6.419,1.675429,0.661947,1.263716,0.878584
6.428,1.671971,0.620547,1.278454,0.880888
6.439,1.623883,0.636871,1.239896,0.833097
6.448,1.61656,0.634375,1.239641,0.821052
6.459,1.593144,0.598714,1.231998,0.813529
6.468,1.527901,0.597228,1.140829,0.82238
6.479,1.498122,0.602992,1.102782,0.815256
6.488,1.582862,0.601748,1.197382,0.842393
6.499,1.470137,0.581728,1.108724,0.770471
6.509,1.462341,0.563912,1.106949,0.771434
6.518,1.520739,0.568382,1.113344,0.866056
6.529,1.519502,0.551465,1.087999,0.906108
6.538,1.514723,0.597899,1.058915,0.903107
6.548,1.575947,0.602179,1.10763,0.945592
6.558,1.51167,0.517634,1.146188,0.838722
6.568,1.406154,0.510707,1.067883,0.758995
6.578,1.393966,0.551894,1.006198,0.791277
6.588,1.517392,0.558726,1.170736,0.787198
6.598,1.546611,0.553082,1.178498,0.835015
6.608,1.548086,0.54345,1.178784,0.843623
6.618,1.701134,0.553822,1.310009,0.933282
6.628,1.78208,0.585814,1.406531,0.924284
6.638,1.783935,0.576702,1.389362,0.958912
6.648,1.792479,0.591451,1.382804,0.975203
6.658,1.894676,0.572318,1.503596,1.000723
6.668,1.928642,0.56477,1.545127,1.006616
6.678,1.92139,0.593637,1.535606,0.99058
6.688,1.916154,0.600549,1.535418,0.976463
6.698,1.925571,0.603412,1.532215,0.998015
6.708,1.917666,0.61143,1.520622,0.995642
6.719,1.875496,0.602892,1.515457,0.925956
6.728,1.914301,0.648382,1.573394,0.876687
6.738,1.912844,0.618583,1.570331,0.900215
6.749,1.893923,0.617112,1.572948,0.855542
6.758,1.915291,0.689849,1.543142,0.900645
6.768,2.025541,0.690973,1.599607,1.032778
6.778,2.028418,0.653029,1.619448,1.032194
6.788,1.959613,0.659299,1.529393,1.032649
6.798,2.018579,0.695016,1.563223,1.071423
6.808,2.054243,0.7155,1.614668,1.0492
6.818,2.065754,0.70793,1.601431,1.096172
6.828,2.025976,0.683273,1.54596,1.117015
6.838,2.082413,0.691703,1.614439,1.118739
6.848,2.135731,0.684765,1.652708,1.16662
6.858,2.145583,0.689453,1.675268,1.149633
6.869,2.206308,0.709037,1.646539,1.286068
6.879,2.222722,0.669584,1.716941,1.242685
6.888,2.18087,0.712621,1.650777,1.23422
6.898,2.341108,0.72077,1.729097,1.404102
6.908,2.384776,0.724282,1.781261,1.41056
6.918,2.386171,0.721486,1.809499,1.378036
6.928,2.523135,0.685506,1.984934,1.398688
6.938,2.478481,0.725048,1.9921,1.284022
6.949,2.56439,0.73506,2.11564,1.24894
6.959,2.521312,0.683639,2.20696,1.009446
6.969,2.519318,0.726106,2.180886,1.031246
6.979,2.673169,0.730925,2.351126,1.041051
6.989,2.669148,0.718868,2.379682,0.971952
6.998,2.751648,0.679177,2.457855,1.034038
7.009,2.754591,0.66793,2.482067,0.990448
7.018,2.70246,0.677316,2.422351,0.988306
7.028,2.761081,0.680198,2.473692,1.020659
7.038,2.770021,0.702942,2.478338,1.0182
7.048,2.811708,0.757967,2.482729,1.08039
7.058,2.863156,0.747212,2.542343,1.084357
7.068,2.857082,0.746067,2.544209,1.064565
7.078,2.861896,0.746619,2.574554,1.002335
7.088,2.918401,0.68924,2.657514,0.989764
7.098,2.886609,0.691994,2.635453,0.952913
7.108,3.016315,0.682175,2.762964,0.99941
7.119,3.003138,0.717623,2.739149,1.000458
7.124,2.935658,0.723317,2.667207,0.99041
7.138,2.984623,0.694791,2.716786,1.021919
7.144,2.880527,0.71552,2.601196,1.00958
7.157,2.949883,0.700652,2.621929,1.156023
7.168,2.947527,0.666324,2.630798,1.150142
7.177,2.841725,0.659244,2.509687,1.158564
7.188,2.90364,0.67562,2.576504,1.155982
7.197,2.798542,0.672266,2.483696,1.100522
7.208,2.858615,0.670021,2.52872,1.15253
7.217,2.873995,0.657595,2.528781,1.196948
7.228,2.84432,0.653701,2.533868,1.114604
7.238,2.797315,0.613659,2.481427,1.136183
7.247,2.800705,0.564954,2.451518,1.230786
7.258,2.712223,0.572187,2.310268,1.300545
7.267,2.789071,0.565499,2.32063,1.440072
7.278,2.779771,0.584173,2.291553,1.461046
7.287,2.705791,0.583086,2.206203,1.453954
7.298,2.654782,0.559723,2.187173,1.396729
7.308,2.515929,0.589982,1.968147,1.45197
7.317,2.564585,0.560633,1.974495,1.537581
7.327,2.52354,0.555205,1.90159,1.563317
7.337,2.503833,0.548016,1.827451,1.621506
7.347,2.563291,0.515566,1.840571,1.707908
