time_seconds,total_vibration,rms_x,rms_y,rms_z
4.728,3.150789,1.633553,2.12298,1.658894
4.738,3.016468,1.606106,1.910771,1.693653
4.748,3.140074,1.740661,1.981588,1.703958
4.758,3.062654,1.748013,1.891174,1.657638
4.768,2.966019,1.76435,1.917516,1.416852
4.778,3.027128,1.77086,1.997445,1.427506
4.788,3.047702,1.806301,1.957806,1.480797
4.798,3.0492,1.772458,1.988458,1.48393
4.808,2.943741,1.774028,1.833547,1.468518
4.818,3.020018,1.818158,1.920355,1.458438
4.828,3.034927,1.800838,1.937866,1.487429
4.838,3.048552,1.806488,1.9127,1.540082
4.848,3.07747,1.785463,2.006092,1.502844
4.858,3.063312,1.785257,1.994779,1.48916
4.868,3.11866,1.816703,2.04554,1.49713
4.878,3.080052,1.774195,1.950899,1.591523
4.888,3.066665,1.773561,1.903649,1.62328
4.898,3.226885,1.863072,2.059689,1.642995
4.908,3.203302,1.81289,2.074648,1.634138
4.918,3.127814,1.800757,2.011734,1.579057
4.928,3.245406,1.844819,2.05345,1.706647
4.938,3.246163,1.908563,2.056871,1.632249
4.948,3.312685,1.848939,2.219699,1.621184
4.958,3.303768,1.799825,2.19708,1.687706
4.968,3.356222,1.871114,2.214327,1.69113
4.978,3.387798,1.856993,2.1833,1.806089
4.994,3.238397,1.772926,2.157612,1.639713
4.998,3.31707,1.827425,2.247408,1.616362
5.009,3.307619,1.77591,2.263475,1.631921
5.018,3.218167,1.732157,2.178037,1.616286
5.028,3.381559,1.836259,2.205763,1.788213
5.038,3.372064,1.809812,2.210652,1.791205
5.048,3.323811,1.784932,2.224187,1.707257
5.059,3.345162,1.801449,2.269101,1.672147
5.068,3.309055,1.770397,2.23662,1.677221
5.078,3.401857,1.791159,2.313071,1.736112
5.088,3.397325,1.778774,2.310157,1.743834
5.099,3.388268,1.748471,2.364604,1.682811
5.109,3.39923,1.74744,2.347032,1.72993
5.118,3.418454,1.783457,2.370031,1.69943
5.128,3.439671,1.78143,2.348976,1.772048
5.138,3.426052,1.759449,2.345398,1.772365
5.148,3.416873,1.774423,2.28425,1.818969
5.158,3.388214,1.785023,2.317139,1.710133
5.168,3.464101,1.76725,2.435584,1.716029
5.178,3.50224,1.766759,2.410251,1.826181
5.188,3.514947,1.789254,2.415793,1.821364
5.198,3.587914,1.813606,2.466856,1.87045
5.208,3.583346,1.829835,2.436291,1.885883
5.218,3.702058,1.918328,2.530339,1.903322
5.228,3.605955,1.834645,2.500303,1.839965
5.238,3.611219,1.853226,2.497667,1.835242
5.248,3.641929,1.850622,2.466879,1.937357
5.258,3.598513,1.883767,2.421244,1.881037
5.268,3.750766,1.894155,2.636048,1.879274
5.278,3.673187,1.857836,2.530453,1.907238
5.288,3.764951,1.908108,2.638398,1.890193
5.298,3.733676,1.85324,2.490128,2.074874
5.308,3.793425,1.970588,2.505567,2.056451
5.318,3.803286,1.932444,2.547258,2.059641
5.328,3.74092,1.905984,2.53791,1.98008
5.338,3.781892,1.925837,2.575027,1.990751
5.348,3.721866,1.843314,2.494444,2.057239
5.358,3.779276,1.917865,2.520947,2.061443
5.368,3.775115,1.899952,2.498074,2.097927
5.378,3.736498,1.914974,2.533318,1.968906
5.388,3.797472,1.922902,2.596725,1.995058
5.398,3.680758,1.839668,2.441565,2.049967
5.408,3.779056,1.93979,2.497473,2.069083
5.418,3.668734,1.830945,2.446014,2.030828
5.428,3.722707,1.873178,2.506566,2.016651
5.438,3.804571,1.890342,2.589032,2.04897
5.448,3.774161,1.843752,2.529146,2.109096
5.458,3.971598,1.959772,2.635865,2.232735
5.468,3.805221,1.905029,2.426874,2.227297
5.478,3.818903,1.941466,2.477063,2.163074
5.488,3.799186,1.934475,2.387866,2.233768
5.498,3.705916,1.91035,2.413761,2.063525
5.508,3.800405,1.871548,2.610898,2.030665
5.518,3.735697,1.861157,2.509366,2.048074
5.528,3.743558,1.872076,2.516211,2.044075
5.538,3.831405,1.916458,2.543762,2.129818
5.548,3.784122,1.916312,2.519874,2.073056
5.558,3.811905,1.967288,2.518123,2.078329
5.568,3.704454,1.951788,2.400714,2.037174
5.578,3.67531,1.912406,2.357316,2.072117
5.588,3.717275,1.941683,2.357581,2.118918
5.598,3.750532,1.941438,2.497412,2.015004
5.608,3.717415,1.842856,2.531778,2.003285
5.618,3.85275,1.975919,2.503109,2.161914
5.628,3.78755,1.937905,2.461284,2.128883
5.638,3.771639,1.963731,2.440436,2.100784
5.648,3.751217,1.997752,2.463862,2.002498
5.658,3.532939,1.882086,2.333666,1.869067
5.668,3.648818,1.959663,2.423014,1.89805
5.678,3.608792,1.916596,2.408288,1.884194
5.688,3.575322,1.897536,2.414943,1.830392
5.698,3.672026,1.945634,2.510546,1.842673
5.708,3.526085,1.863199,2.261405,1.961585
5.718,3.667206,1.989181,2.3655,1.973821
5.728,3.634637,1.968814,2.362795,1.936894
5.738,3.505908,1.879748,2.28254,1.883599
5.748,3.623426,1.999812,2.336746,1.915616
5.758,3.529124,1.865902,2.319194,1.895906
5.768,3.58606,1.90263,2.362117,1.913174
5.778,3.656004,1.956742,2.389263,1.95677
5.788,3.553713,1.868306,2.333008,1.922336
5.798,3.604547,1.9564,2.334995,1.926929
5.808,3.533445,1.954399,2.264437,1.880926
5.818,3.387747,1.868199,2.24438,1.717388
5.828,3.534618,1.928674,2.292829,1.875281
5.838,3.469726,1.863365,2.196442,1.934557
5.848,3.560452,1.908616,2.333232,1.894739
5.858,3.541831,1.862095,2.356385,1.877397
5.868,3.613566,1.881015,2.41102,1.925259
5.878,3.653657,1.890258,2.400401,2.00355
5.888,3.768055,1.900863,2.574843,1.988754
5.898,3.655566,1.84334,2.469197,1.966807
5.908,3.835793,1.895782,2.780055,1.841361
5.918,3.781054,1.769669,2.700956,1.967099
5.928,3.890528,1.790077,2.83751,1.969866
5.938,3.893836,1.789287,2.844207,1.96746
5.948,3.868027,1.684501,2.929784,1.881609
5.958,3.91691,1.698588,2.902056,2.008745
5.968,3.946666,1.686107,2.938028,2.025145
5.978,3.899979,1.63442,2.92886,1.990047
5.988,4.020487,1.64936,3.015853,2.085321
5.998,3.967292,1.572287,3.000902,2.064438
6.008,3.982931,1.54929,3.013752,2.093022
6.018,4.009042,1.539069,3.095729,2.029814
6.028,3.980354,1.460043,3.053617,2.094496
6.038,4.062881,1.463846,3.164043,2.086381
6.048,3.954329,1.347679,3.07384,2.09093
6.058,4.028836,1.360168,3.127529,2.144766
6.068,3.997741,1.241094,3.132228,2.151921
6.078,3.993922,1.228625,3.117076,2.173875
6.088,4.072347,1.181298,3.209348,2.211025
6.098,4.049385,1.213173,3.194737,2.172416
6.108,3.950794,1.119218,3.051842,2.245525
6.118,3.982595,1.146,3.115228,2.200705
6.128,3.905537,1.083292,2.983922,2.275062
6.138,4.084524,1.067368,3.23961,2.246997
6.148,4.08027,1.010545,3.235901,2.270759
6.158,4.134229,0.998467,3.285177,2.302721
6.168,4.177124,0.984508,3.431136,2.169426
6.178,4.177283,0.956809,3.419881,2.199687
6.188,4.202809,0.970983,3.407432,2.260577
6.198,4.18932,1.015518,3.381003,2.255647
6.208,4.145224,1.006994,3.373627,2.188034
6.218,4.179376,0.949684,3.423514,2.201099
6.228,4.17359,0.95202,3.417207,2.198911
6.238,4.258486,0.956608,3.459676,2.291342
6.248,4.245443,0.964393,3.478798,2.234212
6.258,4.277802,0.968498,3.527484,2.21776
6.268,4.297338,1.011066,3.544797,2.208908
6.278,4.346134,1.016614,3.536717,2.31236
6.288,4.240324,1.042879,3.416116,2.285368
6.298,4.229898,1.053753,3.415832,2.261356
6.308,4.225453,1.075502,3.438901,2.207195
6.318,4.189563,1.040753,3.387679,2.234479
6.328,4.24422,1.088123,3.50093,2.13843
6.338,4.075245,1.12917,3.294578,2.116211
6.348,4.06015,1.17044,3.228256,2.166392
6.358,3.990539,1.25546,3.203181,2.021844
6.368,3.850705,1.238411,3.018302,2.045512
6.378,3.943016,1.328951,3.119813,2.011972
6.388,3.812847,1.285162,3.038855,1.910896
6.398,3.793267,1.324041,2.998268,1.909497
6.408,3.804996,1.324417,3.054445,1.842358
6.418,3.714478,1.327406,2.947701,1.829316
6.428,3.784935,1.374382,3.051258,1.76823
6.438,3.730902,1.352734,2.885408,1.940145
6.448,3.850477,1.536459,2.909322,2.000329
6.458,3.684382,1.511803,2.790341,1.871663
6.468,3.58013,1.546858,2.650318,1.844011
6.478,3.621127,1.598101,2.670205,1.851659
6.488,3.548664,1.555946,2.553808,1.910528
6.498,3.604188,1.601044,2.650614,1.8442
6.508,3.49977,1.608565,2.498739,1.848571
6.518,3.511836,1.62755,2.499292,1.85408
6.528,3.438235,1.677322,2.397419,1.805668
6.538,3.468986,1.676944,2.374209,1.893371
6.548,3.445471,1.697223,2.307684,1.914498
6.558,3.458402,1.728412,2.291811,1.928921
6.568,3.384623,1.719992,2.264471,1.835612
6.578,3.266537,1.687098,2.113872,1.831805
6.588,3.349173,1.757492,2.178511,1.839094
6.598,3.362673,1.682626,2.213012,1.891802
6.608,3.302387,1.7233,2.106358,1.87063
6.618,3.377371,1.811752,2.17926,1.837121
6.628,3.253509,1.787368,2.002566,1.838577
6.638,3.25604,1.84869,2.065715,1.707912
6.648,3.128145,1.724244,2.038867,1.629508
6.658,3.145135,1.812289,1.996991,1.618491
6.668,3.274359,1.807197,2.186909,1.634898
6.678,3.250944,1.754848,2.141811,1.703465
6.688,3.224329,1.787283,2.123384,1.641083
6.698,3.255441,1.771113,2.081422,1.768825
6.708,3.215979,1.792136,2.018841,1.747869
6.718,3.41318,1.834697,2.300861,1.729081
6.728,3.355932,1.751605,2.220015,1.807124
6.738,3.344286,1.797126,2.266018,1.679211
6.748,3.388478,1.775114,2.290635,1.756059
6.758,3.318844,1.73494,2.250063,1.715205
6.768,3.415471,1.791746,2.29815,1.781457
6.778,3.426035,1.771126,2.305055,1.813159
6.788,3.404912,1.754082,2.305379,1.789371
6.798,3.390423,1.771978,2.309759,1.737835
6.808,3.399599,1.741942,2.280477,1.822727
6.818,3.437513,1.77569,2.24967,1.898
6.828,3.465946,1.766296,2.291776,1.908074
6.838,3.455075,1.781319,2.261756,1.910211
6.849,3.363274,1.747601,2.27953,1.749642
6.858,3.39522,1.675551,2.277875,1.879184
6.868,3.354305,1.697583,2.117044,1.971724
6.878,3.396775,1.698269,2.190154,1.963973
6.888,3.49393,1.741335,2.282151,1.991754
6.898,3.418239,1.691643,2.308829,1.868692
6.908,3.498014,1.689617,2.415972,1.882652
6.918,3.38084,1.683877,2.184776,1.954838
6.928,3.382208,1.715664,2.182162,1.932356
6.939,3.383762,1.708615,2.143412,1.984003
6.948,3.359424,1.68932,2.177731,1.920784
6.958,3.425418,1.700585,2.258002,1.934665
6.968,3.386671,1.652408,2.243523,1.925017
6.978,3.420574,1.685389,2.273964,1.920645
6.988,3.440033,1.677498,2.270854,1.965464
6.998,3.429247,1.666479,2.212579,2.021651
7.008,3.499138,1.763291,2.247231,2.02107
7.018,3.353075,1.634054,2.207528,1.923487
7.028,3.382078,1.67606,2.233362,1.908237
7.038,3.406787,1.614824,2.295339,1.93131
7.048,3.412966,1.618589,2.256516,1.984097
7.058,3.483963,1.691915,2.322485,1.97015
7.068,3.4006,1.634197,2.278522,1.92401
7.078,3.426377,1.701606,2.284781,1.903777
7.088,3.356044,1.624037,2.227254,1.914385
7.099,3.323134,1.687151,2.151016,1.889409
7.108,3.314166,1.667271,2.146455,1.89648
7.118,3.288563,1.627598,2.129097,1.905917
7.128,3.363075,1.666162,2.219487,1.899488
7.138,3.361453,1.603762,2.201168,1.970323
7.148,3.374305,1.703685,2.163811,1.949696
7.158,3.358648,1.646019,2.184366,1.949278
7.168,3.299264,1.660138,2.095456,1.933429
7.178,3.330657,1.674611,2.138136,1.928037
7.188,3.303067,1.628766,2.107043,1.953905
7.198,3.302039,1.678785,2.158906,1.850478
7.208,3.342499,1.628997,2.187633,1.932081
7.218,3.360571,1.727885,2.147176,1.922884
7.228,3.441034,1.729048,2.210642,1.991022
7.238,3.398758,1.758994,2.13649,1.973045
7.248,3.418167,1.795127,2.191078,1.913261
7.258,3.293343,1.717296,2.121817,1.842524
7.268,3.305474,1.732932,2.13091,1.83911
7.278,3.347582,1.758164,2.131199,1.89028
7.288,3.357285,1.755451,2.117065,1.925563
7.298,3.376041,1.781294,2.106158,1.94647
7.308,3.394397,1.814964,2.106409,1.947018
7.318,3.362973,1.813116,2.113337,1.885738
7.328,3.367687,1.816121,2.145328,1.854882
7.338,3.36245,1.849879,2.179673,1.770041
7.348,3.322685,1.789754,2.150589,1.7922
7.358,3.337729,1.836656,2.118278,1.811084
7.368,3.384488,1.851186,2.131677,1.8665
7.378,3.314715,1.830504,2.047248,1.856171
7.388,3.331832,1.910717,2.071936,1.776893
7.398,3.333607,1.877135,2.088683,1.796303
7.408,3.1598,1.837029,2.006206,1.60773
7.418,3.303387,1.80104,2.2548,1.607636
7.428,3.309752,1.759524,2.20943,1.725384
7.438,3.329348,1.786747,2.226939,1.712552
7.448,3.386017,1.816262,2.203011,1.820177
7.458,3.407453,1.819668,2.255385,1.792424
7.469,3.389802,1.820437,2.258758,1.753506
7.478,3.38315,1.840055,2.236393,1.748842
7.488,3.313403,1.841436,2.210729,1.643297
7.498,3.280065,1.786506,2.214284,1.632228
7.508,3.19567,1.745225,2.119588,1.635188
7.518,3.263336,1.796981,2.182413,1.630121
7.528,3.185401,1.734571,2.083582,1.672343
7.538,3.155906,1.707876,2.04119,1.69601
7.548,3.184664,1.729188,2.07736,1.684211
7.558,3.190476,1.733193,2.003984,1.777422
7.568,3.135184,1.714042,1.997419,1.703453
7.578,3.1315,1.704714,1.996323,1.707319
7.588,3.123935,1.661111,2.022297,1.70587
7.599,3.130332,1.685068,1.998853,1.721658
7.608,3.108474,1.661214,2.006623,1.696007
7.618,2.930087,1.619782,1.719252,1.733751
7.628,2.880911,1.632405,1.815498,1.529336
7.638,2.921317,1.626918,1.825148,1.59877
7.648,2.761204,1.495507,1.750785,1.523963
7.658,2.703606,1.516783,1.652646,1.509176
7.668,2.728569,1.559616,1.652521,1.510584
7.678,2.586659,1.420889,1.615736,1.435714
7.688,2.650779,1.443009,1.611643,1.53198
7.698,2.638706,1.43607,1.592214,1.537963
7.708,2.641178,1.506154,1.565175,1.502515
7.718,2.624313,1.471647,1.578651,1.493029
7.728,2.714011,1.490073,1.723055,1.475336
7.738,2.660872,1.486566,1.725886,1.375383
7.748,2.599293,1.465168,1.687601,1.327256
7.758,2.519341,1.417793,1.726479,1.164566
7.768,2.563063,1.419775,1.787431,1.1656
7.779,2.577937,1.393768,1.774068,1.247339
7.788,2.527494,1.37792,1.688353,1.280246
7.799,2.526203,1.406977,1.673178,1.265936
7.809,2.560412,1.438633,1.680806,1.288773
7.822,2.554634,1.422266,1.686368,1.288206
7.832,2.431849,1.407816,1.473409,1.327031
7.839,2.472869,1.451758,1.506399,1.318425
7.849,2.484414,1.461488,1.559683,1.266394
7.861,2.531982,1.45282,1.579768,1.343346
7.869,2.547851,1.474229,1.582191,1.34717
7.882,2.753825,1.59007,1.70951,1.460413
7.889,2.700373,1.541782,1.747647,1.364057
7.898,2.712189,1.579303,1.714201,1.386827
7.908,2.883809,1.619951,1.911627,1.427513
7.921,2.857957,1.563049,1.895717,1.459813
7.929,2.774033,1.609055,1.745531,1.435033
7.938,2.938554,1.731062,1.811389,1.53538
7.949,3.044659,1.691821,1.988923,1.565847
7.958,3.043968,1.704045,1.971781,1.572911
7.969,3.124758,1.750809,2.020597,1.617395
7.978,3.114031,1.751257,2.04999,1.558149
7.988,3.155113,1.806894,2.087556,1.527083
7.998,3.234625,1.782005,2.16283,1.615371
8.008,3.220761,1.797545,2.120796,1.626149
8.018,3.297381,1.873497,2.15937,1.643122
8.028,3.365926,1.864847,2.259027,1.657891
8.039,3.321747,1.818556,2.261577,1.616209
8.048,3.493153,1.904839,2.299711,1.812467
8.058,3.446938,1.957974,2.276732,1.692399
8.068,3.491343,1.976533,2.315861,1.708677
8.078,3.458324,1.852014,2.331892,1.758502
8.088,3.455951,1.891228,2.290559,1.766406
8.099,3.625181,1.973364,2.359905,1.917974
8.108,3.492666,1.925663,2.215563,1.892568
8.118,3.483054,1.972323,2.187106,1.859617
8.128,3.555216,1.925393,2.251616,1.965362
8.138,3.498664,1.881302,2.26209,1.893224
