time_seconds,total_vibration,rms_x,rms_y,rms_z
3.918,12.208629,6.316989,5.958461,8.581551
3.928,12.259492,6.226949,6.006766,8.685564
3.938,12.276231,6.241616,6.031491,8.681543
3.948,11.931826,6.242886,5.837896,8.325492
3.958,11.916567,6.084656,5.852032,8.410426
3.968,11.871002,6.184325,5.536691,8.486452
3.978,11.881866,6.156094,5.581633,8.492738
3.988,11.956594,6.146889,5.702612,8.523856
3.998,12.031041,6.222483,5.657057,8.60374
4.008,12.006001,6.274102,5.675606,8.518639
4.018,11.754347,6.268853,5.656468,8.17744
4.028,11.675263,6.227491,5.600075,8.13445
4.038,11.740547,6.188994,5.730629,8.166803
4.048,11.804911,6.209644,5.882729,8.135708
4.058,11.851317,6.341404,5.89343,8.093689
4.068,11.832997,6.447274,5.870775,7.999155
4.078,12.00917,6.430546,6.304321,7.945047
4.088,12.137596,6.43756,6.457858,8.010938
4.098,12.112612,6.458173,6.567214,7.866325
4.108,12.532566,6.451768,7.23052,7.947294
4.118,12.699726,6.428994,7.466871,8.012297
4.128,12.699295,6.523228,7.493854,7.909598
4.138,12.988396,6.487188,7.927775,7.985312
4.148,13.101125,6.508501,8.049597,8.030124
4.158,13.122408,6.594058,8.114017,7.929611
4.168,13.258512,6.442695,8.433073,7.947522
4.178,13.200704,6.396778,8.391153,7.93274
4.188,13.297151,6.403714,8.477493,7.996173
4.198,13.463604,6.358114,8.650642,8.124617
4.208,13.458061,6.453003,8.597062,8.097449
4.218,13.414798,6.464106,8.544008,8.072922
4.228,13.434349,6.580753,8.553256,8.001078
4.238,13.418721,6.542841,8.48071,8.082752
4.248,13.418297,6.546612,8.423009,8.139133
4.258,13.251155,6.395472,8.452918,7.95231
4.268,13.264179,6.235826,8.429699,8.123613
4.278,13.334634,6.321519,8.234982,8.368747
4.288,13.39028,6.538275,8.162809,8.361765
4.298,13.315173,6.509584,8.039003,8.384127
4.308,13.070393,6.553579,7.538636,8.429398
4.318,12.931627,6.610237,7.355064,8.332754
4.328,13.028872,6.445088,7.395411,8.574395
4.338,13.118542,6.530639,7.202544,8.807397
4.348,13.1546,6.694476,7.111192,8.812404
4.358,13.060274,6.691841,6.980012,8.778921
4.368,13.172922,6.720473,6.907943,8.980058
4.378,13.287986,6.784338,6.973698,9.050463
4.388,13.165944,6.826407,6.795106,8.976011
4.398,13.547022,6.671551,7.013696,9.477357
4.408,13.670782,6.723569,7.122965,9.536627
4.418,13.733807,6.80885,7.09246,9.589267
4.428,14.044469,6.524825,7.442436,9.964132
4.438,14.007562,6.722313,7.414161,9.800639
4.448,13.731583,6.78362,7.158146,9.555094
4.458,14.006821,6.599718,7.287564,9.97628
4.468,14.022417,6.715775,7.371607,9.858293
4.478,13.624964,6.644188,7.039704,9.588377
4.488,13.9477,6.200779,7.327404,10.119181
4.498,14.116483,6.372134,7.517038,10.107677
4.508,13.863474,6.462945,7.343852,9.82314
4.518,14.127269,6.1819,7.53868,10.224096
4.528,13.990756,6.440959,7.425117,9.95605
4.538,13.527081,6.556936,7.01046,9.531105
4.548,13.604815,6.112121,7.244123,9.7599
4.558,13.630166,6.215732,7.238449,9.73401
4.568,13.171901,6.304201,6.847501,9.320287
4.578,13.26094,5.974167,7.004817,9.544339
4.588,13.209105,6.111986,6.966418,9.412391
4.598,12.57779,6.204473,6.497271,8.802885
4.608,12.76042,5.799513,6.764541,9.134274
4.618,12.656161,5.890221,6.787005,8.911805
4.628,12.222998,6.027675,6.373093,8.511903
4.638,12.363393,5.686604,6.616847,8.759758
4.648,12.53102,5.656523,6.919537,8.78352
4.658,12.219709,5.748886,6.832618,8.341878
4.668,12.10426,5.643783,6.701704,8.351526
4.678,12.332394,5.595967,7.000866,8.471184
4.688,11.73209,5.77899,6.646168,7.750719
4.698,11.561749,5.547833,6.545778,7.749089
4.708,11.718939,5.397209,6.792926,7.877806
4.718,11.408458,5.722187,6.559339,7.374589
4.728,11.321113,5.388541,6.56499,7.485461
4.738,11.886049,5.170357,7.008812,8.088395
4.748,11.825608,5.387003,6.984093,7.877034
4.758,11.632935,5.264673,6.842998,7.796266
4.768,12.013978,5.058178,7.219405,8.162763
4.778,12.065952,5.311066,7.273665,8.029544
4.788,11.869345,5.296095,7.110015,7.891794
4.798,12.103815,5.099199,7.239341,8.251815
4.808,12.24349,5.209423,7.203488,8.418713
4.818,12.178067,5.241826,7.079613,8.408785
4.828,12.250677,5.146741,7.124998,8.53373
4.838,12.357551,5.185367,7.092597,8.689999
4.848,12.20051,5.355233,6.770408,8.621804
4.858,12.077637,5.36165,6.579068,8.592897
4.868,12.499426,5.21227,6.86649,9.050923
4.878,12.51298,5.267675,6.913382,9.001746
4.888,12.579609,5.159376,7.107113,9.006461
4.898,12.384737,5.144967,6.967725,8.852222
4.908,12.392388,5.147145,6.915985,8.902097
4.918,12.692933,4.825317,7.270846,9.217466
4.928,12.605479,4.855471,7.257889,9.090959
4.938,12.163557,4.892599,6.923254,8.722565
4.948,12.393903,4.722868,6.992056,9.078243
4.958,12.641008,4.94491,7.148246,9.178537
4.968,12.289316,5.107598,6.785535,8.882356
4.978,12.501024,4.859234,6.98105,9.161244
4.988,13.311063,4.697431,7.826662,9.688235
4.998,13.347107,4.911803,7.982597,9.502505
5.008,12.860606,5.016994,7.738989,8.962868
5.018,13.483604,4.768879,8.25879,9.531933
5.028,14.20121,4.761901,8.81882,10.061167
5.038,14.069712,5.06794,8.765475,9.769301
5.048,13.923994,4.997278,8.710143,9.645633
5.058,14.27705,4.859908,8.911017,10.040381
5.069,14.319185,5.006527,9.035229,9.916571
5.078,14.2062,5.165718,8.940022,9.757432
5.089,14.122466,5.155424,8.821864,9.748866
5.098,14.719659,5.054001,9.263792,10.261948
5.108,14.875771,5.05803,9.456462,10.30923
5.119,14.801416,5.315412,9.389885,10.132046
5.129,14.798034,5.31977,9.398428,10.116887
5.138,14.98055,5.257066,9.534185,10.289773
5.148,15.404214,5.233502,9.963834,10.517713
5.158,15.394215,4.991953,10.067015,10.522237
5.168,15.466936,5.194325,10.073534,10.524686
5.178,15.203097,5.319907,9.881514,10.256141
5.188,14.972348,5.27858,9.462725,10.332697
5.198,14.778067,5.258381,9.315247,10.196415
