time_seconds,total_vibration,rms_x,rms_y,rms_z
4.91,4.566234,1.55062,2.388569,3.569427
4.92,4.677602,1.554697,2.408195,3.696413
4.93,4.684073,1.580168,2.402934,3.697231
4.94,4.678101,1.542357,2.419949,3.694538
4.95,4.648238,1.537655,2.400099,3.671683
4.96,4.691226,1.563427,2.424555,3.699301
4.97,4.618523,1.524138,2.427082,3.621745
4.98,4.666268,1.544573,2.430758,3.67148
4.99,4.734479,1.542868,2.434131,3.756309
5.0,4.719686,1.513703,2.434095,3.749576
5.01,4.753715,1.552045,2.432733,3.777669
5.02,4.731293,1.563093,2.396225,3.768286
5.03,4.707354,1.572814,2.378993,3.745107
5.04,4.729441,1.538812,2.382258,3.784775
5.05,4.729154,1.531883,2.384764,3.785649
5.06,4.717177,1.495543,2.393441,3.779755
5.07,4.687639,1.495509,2.355416,3.766885
5.08,4.68095,1.494571,2.347803,3.763691
5.09,4.674993,1.501177,2.320464,3.770606
5.1,4.575711,1.498012,2.245012,3.694998
5.11,4.459344,1.502487,2.217581,3.565195
5.12,4.43591,1.488062,2.164739,3.574476
5.13,4.38652,1.476184,2.149017,3.527629
5.14,4.396085,1.449055,2.074983,3.594474
5.15,4.344751,1.444413,2.047986,3.549125
5.16,4.259388,1.379036,1.95801,3.522334
5.17,4.204431,1.389826,1.924801,3.469981
5.18,4.057169,1.282634,1.844623,3.37829
5.19,4.004852,1.293164,1.836372,3.315767
5.2,3.985301,1.236512,1.832743,3.315829
5.21,3.948292,1.235278,1.843183,3.265849
5.22,3.940116,1.231503,1.829508,3.265091
5.23,3.851215,1.230655,1.79536,3.17711
5.24,3.853339,1.212002,1.795459,3.186785
5.25,3.8569,1.212831,1.772837,3.203399
5.26,3.792558,1.196427,1.753911,3.142588
5.27,3.66462,1.198411,1.671004,3.033315
5.28,3.665852,1.203142,1.67082,3.033032
5.29,3.601007,1.188571,1.624712,2.985776
5.3,3.61184,1.188522,1.628792,2.996638
5.31,3.550268,1.177045,1.594572,2.945558
5.32,3.572702,1.18995,1.62102,2.953051
5.33,3.496786,1.150085,1.576493,2.901635
5.34,3.380433,1.161804,1.53737,2.777414
5.35,3.401371,1.114398,1.521158,2.830816
5.36,3.411846,1.139924,1.514211,2.836976
5.37,3.363513,1.118654,1.496975,2.796586
5.38,3.365766,1.120973,1.49355,2.800197
5.39,3.294092,1.125904,1.458494,2.7306
5.4,3.283443,1.132099,1.46386,2.71228
5.41,3.487085,1.127621,1.544264,2.916073
5.42,4.469911,1.578272,1.506386,3.901277
5.43,4.728041,1.536944,1.861528,4.065327
5.44,4.713844,1.528284,1.866537,4.049779
5.45,4.812602,1.540067,1.867609,4.159492
5.46,4.792492,1.550147,1.864124,4.134013
5.47,4.854168,1.552891,1.923205,4.17765
5.48,4.844394,1.556558,1.919889,4.166449
5.49,4.815594,1.553934,1.91105,4.138009
5.5,4.89268,1.535922,1.941891,4.21999
5.51,4.885342,1.561048,1.943898,4.201304
5.52,4.895669,1.581835,1.947659,4.203807
5.53,4.84211,1.561917,1.945745,4.149762
5.54,4.852525,1.582262,1.935191,4.159144
5.55,4.914643,1.583944,1.953673,4.222321
5.56,4.926444,1.617817,1.95539,4.222436
5.57,4.97927,1.625928,1.956819,4.280228
5.58,4.98021,1.626752,1.958098,4.280423
5.59,4.989678,1.640308,1.958919,4.285897
5.6,4.993825,1.640244,1.99956,4.271961
5.61,5.073037,1.653489,1.985072,4.36591
5.62,5.115521,1.640481,2.006111,4.410544
5.63,5.136934,1.678649,2.005809,4.421194
5.64,5.11237,1.679522,2.039755,4.376635
5.65,5.110401,1.679559,2.036914,4.375645
5.66,5.124329,1.723003,2.021808,4.382043
5.67,5.142764,1.711859,2.030688,4.403846
5.68,5.256457,1.7571,2.035614,4.516549
5.69,5.215582,1.761764,2.031324,4.469028
5.7,5.263951,1.781633,2.031596,4.517475
5.71,5.436001,1.803446,2.042859,4.703659
5.72,5.464773,1.804265,2.068808,4.725293
5.73,5.504767,1.824597,2.066565,4.764727
5.74,5.589958,1.843258,2.084859,4.84803
5.75,5.575835,1.843964,2.100367,4.824748
5.76,5.632543,1.867753,2.095529,4.883215
5.77,5.656515,1.864964,2.114854,4.903617
5.78,5.73418,1.854104,2.115418,4.996811
5.79,5.761411,1.857261,2.123577,5.023431
5.8,5.755609,1.869207,2.11837,5.01454
5.81,5.954902,1.895536,2.130535,5.227678
5.82,5.945179,1.891098,2.107843,5.227418
5.83,5.951297,1.90516,2.115255,5.22628
5.84,5.965133,1.888074,2.146089,5.235675
5.85,6.000609,1.894968,2.132692,5.279018
5.86,5.995546,1.905844,2.139487,5.266585
5.87,5.992869,1.912132,2.132612,5.264048
5.88,5.998738,1.910507,2.150327,5.264115
5.89,6.08737,1.910783,2.135998,5.370521
5.9,6.082279,1.919979,2.131674,5.363186
5.91,5.899339,1.914539,2.010741,5.205157
5.92,5.144268,1.573951,2.024356,4.459614
5.93,4.941836,1.580473,1.693412,4.365341
5.94,4.938886,1.584466,1.692436,4.360931
5.95,4.841939,1.586084,1.702223,4.24631
5.96,4.835667,1.541685,1.685891,4.262001
