time_seconds,total_vibration,rms_x,rms_y,rms_z
0.341,0.342440,0.007711,0.008500,0.342248
0.351,0.342464,0.007709,0.008248,0.342278
0.360,0.342472,0.007735,0.008246,0.342285
0.370,0.342499,0.007703,0.008147,0.342315
0.380,0.342481,0.007728,0.008150,0.342297
0.390,0.342483,0.007740,0.008151,0.342298
0.400,0.342520,0.007757,0.008072,0.342337
0.410,0.342470,0.007756,0.007947,0.342290
0.420,0.342489,0.007732,0.007987,0.342308
0.430,0.342513,0.007824,0.007764,0.342335
0.440,0.342507,0.007796,0.007442,0.342337
0.450,0.342505,0.007815,0.007309,0.342337
0.460,0.342471,0.007739,0.007214,0.342308
0.470,0.342494,0.007724,0.006945,0.342336
0.480,0.342507,0.007658,0.007069,0.342348
0.490,0.342527,0.007627,0.007073,0.342369
0.500,0.342528,0.007088,0.007052,0.342382
0.510,0.342530,0.006987,0.007120,0.342385
0.520,0.010521,0.006681,0.006512,0.004862
0.530,0.010486,0.006690,0.006469,0.004832
0.540,0.010483,0.006731,0.006416,0.004839
0.550,0.010448,0.006629,0.006427,0.004891
0.560,0.010370,0.006629,0.006259,0.004940
0.570,0.010218,0.006365,0.006267,0.004961
0.580,0.010227,0.006366,0.006339,0.004888
0.590,0.010278,0.006261,0.006455,0.004976
0.600,0.010375,0.006222,0.006711,0.004887
0.610,0.010250,0.006218,0.006671,0.004681
0.620,0.010029,0.006045,0.006648,0.004455
0.630,0.009975,0.005938,0.006703,0.004396
0.640,0.010009,0.005916,0.006680,0.004535
0.650,0.010075,0.006038,0.006662,0.004546
0.660,0.009871,0.005839,0.006613,0.004429
0.670,0.009809,0.005782,0.006524,0.004498
0.680,0.009930,0.005918,0.006519,0.004593
0.690,0.010015,0.006057,0.006523,0.004591
0.700,0.010039,0.006227,0.006458,0.004506
0.710,0.010022,0.006249,0.006410,0.004507
0.720,0.010047,0.006194,0.006606,0.004353
0.730,0.010173,0.006186,0.006786,0.004379
0.740,0.010144,0.006187,0.006751,0.004365
0.750,0.010099,0.006177,0.006735,0.004298
0.760,0.010356,0.006491,0.006711,0.004481
0.770,0.010096,0.006508,0.006305,0.004453
