time_seconds,type,message
0.002,"telemetry","packetCounter: 60782 | sampleTimeFine: 12679479 | Roll: 179.13° Pitch: 0.97° Yaw: -176.29° | Acc: (-0.18, 0.12, -9.81) m/s² | Gyro: (-0.10, 0.05, -0.72) deg/s"
0.004,"telemetry","packetCounter: 60783 | sampleTimeFine: 12679579 | Roll: 179.13° Pitch: 0.97° Yaw: -176.28° | Acc: (-0.18, 0.13, -9.82) m/s² | Gyro: (-0.10, 0.23, -0.38) deg/s"
0.006,"telemetry","packetCounter: 60784 | sampleTimeFine: 12679679 | Roll: 179.13° Pitch: 0.97° Yaw: -176.28° | Acc: (-0.18, 0.12, -9.81) m/s² | Gyro: (-0.25, -0.18, -0.20) deg/s"
0.008,"telemetry","packetCounter: 60785 | sampleTimeFine: 12679779 | Roll: 179.13° Pitch: 0.97° Yaw: -176.29° | Acc: (-0.18, 0.12, -9.81) m/s² | Gyro: (0.11, -0.48, -0.39) deg/s"
0.009,"telemetry","packetCounter: 60786 | sampleTimeFine: 12679879 | Roll: 179.13° Pitch: 0.97° Yaw: -176.30° | Acc: (-0.17, 0.13, -9.82) m/s² | Gyro: (-0.39, 0.03, 0.34) deg/s"
0.011,"telemetry","packetCounter: 60787 | sampleTimeFine: 12679979 | Roll: 179.13° Pitch: 0.97° Yaw: -176.31° | Acc: (-0.17, 0.12, -9.81) m/s² | Gyro: (-0.37, -0.56, 0.23) deg/s"
0.013,"telemetry","packetCounter: 60788 | sampleTimeFine: 12680079 | Roll: 179.13° Pitch: 0.96° Yaw: -176.30° | Acc: (-0.18, 0.11, -9.80) m/s² | Gyro: (-0.78, -0.30, 0.35) deg/s"
0.014,"telemetry","packetCounter: 60789 | sampleTimeFine: 12680179 | Roll: 179.13° Pitch: 0.97° Yaw: -176.29° | Acc: (-0.17, 0.12, -9.82) m/s² | Gyro: (-0.23, -0.27, -0.42) deg/s"
0.016,"telemetry","packetCounter: 60790 | sampleTimeFine: 12680279 | Roll: 179.13° Pitch: 0.97° Yaw: -176.30° | Acc: (-0.18, 0.12, -9.81) m/s² | Gyro: (-0.20, -0.62, 0.14) deg/s"
0.018,"telemetry","packetCounter: 60791 | sampleTimeFine: 12680379 | Roll: 179.13° Pitch: 0.97° Yaw: -176.30° | Acc: (-0.17, 0.13, -9.82) m/s² | Gyro: (-0.55, -0.31, -0.09) deg/s"
0.020,"telemetry","packetCounter: 60792 | sampleTimeFine: 12680479 | Roll: 179.13° Pitch: 0.97° Yaw: -176.30° | Acc: (-0.18, 0.12, -9.81) m/s² | Gyro: (-0.16, -0.28, -0.33) deg/s"
0.021,"telemetry","packetCounter: 60793 | sampleTimeFine: 12680579 | Roll: 179.13° Pitch: 0.97° Yaw: -176.31° | Acc: (-0.18, 0.12, -9.81) m/s² | Gyro: (0.13, -0.20, 0.34) deg/s"
0.023,"telemetry","packetCounter: 60794 | sampleTimeFine: 12680679 | Roll: 179.13° Pitch: 0.97° Yaw: -176.32° | Acc: (-0.17, 0.13, -9.82) m/s² | Gyro: (-0.53, -0.58, 0.15) deg/s"
0.025,"telemetry","packetCounter: 60795 | sampleTimeFine: 12680779 | Roll: 179.13° Pitch: 0.97° Yaw: -176.32° | Acc: (-0.18, 0.13, -9.81) m/s² | Gyro: (-0.10, 0.09, -0.35) deg/s"
0.026,"telemetry","packetCounter: 60796 | sampleTimeFine: 12680879 | Roll: 179.13° Pitch: 0.97° Yaw: -176.32° | Acc: (-0.17, 0.13, -9.81) m/s² | Gyro: (-0.18, 0.07, -0.54) deg/s"
0.028,"telemetry","packetCounter: 60797 | sampleTimeFine: 12680979 | Roll: 179.14° Pitch: 0.97° Yaw: -176.31° | Acc: (-0.18, 0.12, -9.81) m/s² | Gyro: (0.46, -0.63, -0.28) deg/s"
0.030,"telemetry","packetCounter: 60798 | sampleTimeFine: 12681079 | Roll: 179.15° Pitch: 0.97° Yaw: -176.31° | Acc: (-0.18, 0.12, -9.81) m/s² | Gyro: (0.35, -0.06, -0.10) deg/s"
0.031,"telemetry","packetCounter: 60799 | sampleTimeFine: 12681179 | Roll: 179.15° Pitch: 0.97° Yaw: -176.30° | Acc: (-0.17, 0.13, -9.81) m/s² | Gyro: (-0.55, -0.29, -0.44) deg/s"
0.033,"telemetry","packetCounter: 60800 | sampleTimeFine: 12681279 | Roll: 179.15° Pitch: 0.97° Yaw: -176.30° | Acc: (-0.18, 0.12, -9.81) m/s² | Gyro: (-0.15, -0.47, -0.09) deg/s"
0.035,"telemetry","packetCounter: 61327 | sampleTimeFine: 12733979 | Roll: 179.05° Pitch: 0.90° Yaw: -175.00° | Acc: (-0.15, 0.16, -9.81) m/s² | Gyro: (0.30, -0.88, 0.02) deg/s"
0.037,"telemetry","packetCounter: 61328 | sampleTimeFine: 12736123 | Acc: (-0.26, 0.24, -6.97) m/s² | Gyro: (-0.61, -1.41, -0.60) deg/s"
0.038,"telemetry","packetCounter: 61329 | sampleTimeFine: 12736223 | Roll: 178.78° Pitch: 1.54° Yaw: 179.97° | Acc: (-0.26, 0.15, -9.85) m/s² | Gyro: (-1.11, -1.37, -0.65) deg/s"
0.040,"telemetry","packetCounter: 61330 | sampleTimeFine: 12736323 | Roll: 178.78° Pitch: 1.55° Yaw: 179.97° | Acc: (-0.06, 0.05, -9.83) m/s² | Gyro: (0.21, -0.36, -0.15) deg/s"
0.048,"telemetry","packetCounter: 61331 | sampleTimeFine: 12736423 | Roll: 178.78° Pitch: 1.56° Yaw: 179.98° | Acc: (-0.15, 0.04, -9.88) m/s² | Gyro: (0.01, -0.75, -0.61) deg/s"
