time_seconds,packet_counter,sample_time_fine,utc_time,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,free_acc_x,free_acc_y,free_acc_z,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x,mag_y,mag_z,lat,lon,altitude,vel_x,vel_y,vel_z,status_word,temperature,baropressure,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z
0.001357,55938,5633017,,177.15270996,3.32485294,-174.58328247,,,,,-0.45489189,0.88300055,-9.41407204,-0.13285846,0.40383327,-0.35929179,-1.97997664,0.41064551,-0.49441226,0.28611887,0.17087407,1.17632961,,,,,,,3,,,,,,,,,
0.002559,55939,5633117,,177.12710571,3.29740572,-174.58782959,,,,,-0.47485331,0.73595870,-9.73360252,-0.11277539,0.23902076,-0.04618645,0.01423456,-1.14614096,-1.01210245,0.28629464,0.17375408,1.16944945,,,,,,,3,,,,,,,,,
0.003892,55940,5633217,,177.13591003,3.29619980,-174.55609131,,,,,-0.20064232,-0.15159310,-10.14957905,-0.31628728,-0.69025683,0.30830812,1.61483004,2.06124864,-2.47086255,0.28613022,0.17519854,1.16551340,,,,,,,3,,,,,,,,,
0.005406,55941,5633317,,177.16615295,3.26944327,-174.52055359,,,,,-0.23337957,0.85874403,-9.75865459,-0.36034459,0.34270748,-0.02874994,1.35196412,-0.63269248,-1.54090487,0.28662652,0.17470999,1.16600299,,,,,,,3,,,,,,,,,
0.006522,55942,5633417,,177.16903687,3.26556587,-174.50398254,,,,,-0.27013892,1.36722052,-9.54537868,-0.36063004,0.86385262,-0.21480072,-0.14910064,1.13120227,-0.23076488,0.28652212,0.17663257,1.16405380,,,,,,,3,,,,,,,,,
0.007629,55943,5633517,,177.13420105,3.25806308,-174.52061462,,,,,-0.06324399,0.81616801,-9.66459942,-0.51654339,0.28431416,-0.13362134,-0.98412909,0.38242493,-0.69184939,0.28798434,0.17660730,1.16554511,,,,,,,3,,,,,,,,,
0.008746,55944,5633617,,177.11192322,3.25987458,-174.52085876,,,,,-0.26550135,-0.14567278,-9.54790592,-0.21709073,-0.64824188,-0.28668201,0.85571289,-1.91941635,-0.73745739,0.28613073,0.17423877,1.16500354,,,,,,,3,,,,,,,,,
0.009830,55945,5633717,,177.12402344,3.28100395,-174.50593567,,,,,0.19199643,-0.68114072,-10.09934330,-0.64863014,-1.25523651,0.20882988,0.37282713,-0.46315598,-2.54292916,0.28531045,0.17521082,1.16897285,,,,,,,3,,,,,,,,,
0.011009,55946,5633817,,177.13052368,3.28557873,-174.48013306,,,,,-0.24244103,0.54627031,-9.74839115,-0.32191870,0.02581489,-0.05421460,-1.22375795,-1.22415848,-0.53559798,0.28445518,0.17714365,1.17246246,,,,,,,3,,,,,,,,,
0.012261,55947,5633917,,177.11466980,3.28399968,-174.47682190,,,,,-0.25056374,1.25333560,-9.31406879,-0.36064580,0.75221825,-0.45119572,-1.02596218,-0.42267692,-1.47369239,0.28398603,0.17523204,1.17144036,,,,,,,3,,,,,,,,,
