time_seconds,total_vibration,rms_x,rms_y,rms_z
7.619,0.886566,0.272758,0.575235,0.617015
7.629,0.906723,0.267843,0.599758,0.625058
7.639,0.910375,0.266973,0.611968,0.618873
7.649,0.906039,0.26758,0.610639,0.613537
7.659,0.906445,0.2713,0.614531,0.608597
7.669,0.912443,0.275398,0.622343,0.60778
7.679,0.921577,0.273644,0.631742,0.612638
7.689,0.920321,0.270721,0.633733,0.609987
7.699,0.913133,0.264163,0.630961,0.604911
7.709,0.918723,0.263797,0.631786,0.612626
7.719,0.918711,0.261445,0.626422,0.61909
7.729,0.931412,0.259448,0.627147,0.637889
7.739,0.966373,0.258958,0.624739,0.690304
7.749,1.004154,0.261854,0.625426,0.740675
7.759,1.043285,0.269324,0.642514,0.776585
7.769,1.049558,0.272176,0.64955,0.778188
7.779,1.046425,0.271583,0.645714,0.777369
7.789,1.059138,0.272463,0.647765,0.792425
7.799,1.06068,0.272271,0.646195,0.795828
7.809,1.072157,0.272551,0.649725,0.808142
7.819,1.068031,0.274014,0.648635,0.803043
7.829,1.081092,0.279156,0.647923,0.819162
7.839,1.075372,0.278762,0.64942,0.810537
7.849,1.096259,0.280923,0.654299,0.833523
7.859,1.096662,0.280497,0.656518,0.83245
7.869,1.095583,0.276727,0.657241,0.83172
7.879,1.100284,0.285202,0.663582,0.830027
7.889,1.101642,0.287213,0.659741,0.834186
7.899,1.114823,0.291868,0.671582,0.840607
7.909,1.128874,0.290951,0.653886,0.873005
7.919,1.100821,0.282932,0.628832,0.858094
7.929,1.096404,0.270244,0.619731,0.863136
7.939,1.08688,0.265284,0.623004,0.850176
7.949,1.096888,0.263672,0.625092,0.861917
7.959,1.083404,0.257816,0.616346,0.852885
7.969,1.080672,0.256482,0.595628,0.864463
7.979,1.072878,0.251821,0.57766,0.868311
7.989,1.074833,0.25787,0.574803,0.870845
7.999,1.074291,0.264034,0.575696,0.867734
8.009,1.068184,0.266867,0.573656,0.860649
8.019,1.06806,0.266121,0.573768,0.860652
8.029,1.085647,0.312285,0.573839,0.867073
8.04,1.082689,0.311635,0.572177,0.864704
8.049,1.092218,0.325202,0.569256,0.873574
8.059,1.09848,0.321661,0.580736,0.875178
8.069,1.106507,0.330326,0.588502,0.876874
8.079,1.115451,0.333629,0.600169,0.879044
8.089,1.107794,0.335212,0.607957,0.863267
8.099,1.110908,0.33602,0.616376,0.860981
8.109,1.102188,0.352198,0.617148,0.842557
8.119,1.099416,0.351647,0.610335,0.844128
8.129,1.098766,0.397534,0.597888,0.831735
8.139,1.103802,0.426149,0.587658,0.831525
8.149,1.108318,0.430747,0.589705,0.833711
8.159,1.116751,0.428851,0.590744,0.845128
8.169,1.124351,0.431588,0.600934,0.846626
8.179,1.12081,0.434781,0.604652,0.837601
8.189,1.119873,0.43501,0.597752,0.841175
8.199,1.126054,0.447031,0.598835,0.842352
8.209,1.123322,0.446517,0.609617,0.831169
8.219,1.138837,0.453189,0.634869,0.829766
8.229,1.136044,0.453915,0.657994,0.807218
8.239,1.120373,0.45429,0.666754,0.777364
8.249,1.079755,0.455581,0.66771,0.715877
8.259,1.06015,0.452447,0.652792,0.70219
8.269,1.061522,0.44996,0.646191,0.711901
8.279,1.061641,0.451463,0.646344,0.710987
8.289,1.062996,0.451775,0.646627,0.712554
8.299,1.053725,0.451822,0.645912,0.699279
8.309,1.070693,0.454845,0.652274,0.716964
8.319,1.073276,0.45729,0.662238,0.710105
8.329,1.078794,0.458269,0.679063,0.701897
8.339,1.091222,0.458212,0.688327,0.712048
8.349,1.083018,0.45892,0.684775,0.702427
8.359,1.076342,0.458873,0.68278,0.69409
8.369,1.074118,0.458578,0.682693,0.690917
8.379,1.076617,0.454742,0.673482,0.706213
8.389,1.07654,0.456666,0.665355,0.712528
8.399,1.074991,0.45968,0.674607,0.699432
8.409,1.066298,0.459508,0.68386,0.67689
8.419,1.049796,0.459778,0.684877,0.649323
8.429,1.046362,0.46118,0.681777,0.646039
8.439,1.031292,0.462056,0.677717,0.625113
8.449,1.022714,0.462957,0.674567,0.613657
8.459,1.020003,0.480436,0.674179,0.595879
8.469,1.019032,0.480461,0.677821,0.590036
8.479,1.018521,0.487479,0.685727,0.574045
8.489,1.023655,0.487949,0.687951,0.580085
8.499,1.034867,0.488988,0.689307,0.597239
8.509,1.053684,0.487533,0.68967,0.630013
8.519,1.062418,0.493203,0.697502,0.631644
8.529,1.050059,0.466339,0.698691,0.630066
8.539,1.058343,0.468161,0.7072,0.633074
8.549,1.047466,0.451851,0.702451,0.632122
