time_seconds,total_vibration,rms_x,rms_y,rms_z
0.298,2.393082,1.295311,1.574164,1.253403
0.309,2.437013,1.362359,1.577018,1.263338
0.318,2.471764,1.360328,1.632114,1.263064
0.328,2.501697,1.402646,1.638926,1.266883
0.338,2.532823,1.401764,1.687520,1.265910
0.348,2.582400,1.436188,1.732996,1.266049
0.358,2.613459,1.438417,1.768340,1.278319
0.368,2.673216,1.436190,1.838864,1.304616
0.378,2.682193,1.450463,1.843206,1.301119
0.388,2.702267,1.448999,1.859616,1.320786
0.398,2.725147,1.469674,1.870008,1.330246
0.408,2.747245,1.481669,1.890718,1.333116
0.418,2.810656,1.508248,1.964030,1.329497
0.428,2.829021,1.519133,1.975630,1.338835
0.438,2.900447,1.516038,2.073601,1.346996
0.448,2.918325,1.529759,2.082895,1.355732
0.458,2.954497,1.538602,2.112422,1.378197
0.468,2.990296,1.535229,2.154956,1.393236
0.478,3.002713,1.542526,2.169260,1.389680
0.488,3.043349,1.544380,2.193259,1.437526
0.498,3.071556,1.541002,2.236910,1.433877
0.508,3.079817,1.560420,2.236894,1.430617
0.518,3.041177,1.536719,2.293349,1.275855
0.528,3.071715,1.553911,2.325041,1.270817
0.538,3.020588,1.534314,2.270445,1.270792
0.548,3.098228,1.524047,2.339855,1.342153
0.558,3.092575,1.479437,2.357155,1.348741
0.568,3.085736,1.477036,2.350149,1.347936
0.578,3.115911,1.460482,2.389399,1.366261
0.588,3.148518,1.482077,2.437842,1.331743
0.598,3.121294,1.453149,2.423465,1.325766
0.608,3.146056,1.452829,2.446363,1.342485
0.618,3.139994,1.447089,2.448047,1.331377
0.628,3.126471,1.439404,2.440520,1.321665
0.638,3.145401,1.433196,2.476288,1.306710
0.648,3.099753,1.407289,2.445284,1.283975
0.658,3.127205,1.405502,2.473545,1.298289
0.668,3.145409,1.348091,2.537625,1.279338
0.678,3.133499,1.362952,2.511748,1.285418
0.688,3.124499,1.303684,2.545933,1.257428
0.698,3.123388,1.364390,2.510571,1.261359
0.708,3.139156,1.335548,2.539961,1.272482
0.718,3.129094,1.357154,2.526410,1.251645
0.728,3.103333,1.344773,2.517524,1.218333
0.738,3.130853,1.335326,2.546689,1.238355
0.748,3.131425,1.349118,2.537293,1.244124
0.758,3.144127,1.341503,2.551280,1.255738
0.768,3.171722,1.346566,2.596313,1.227085
0.778,3.176530,1.383824,2.567045,1.259228
0.788,3.222651,1.351158,2.645263,1.249974
