time_seconds,total_vibration,rms_x,rms_y,rms_z
0.309,1.256693,0.424147,0.776542,0.892389
0.319,1.290241,0.425387,0.807350,0.912115
0.328,1.309558,0.434680,0.816474,0.927020
0.338,1.329374,0.436628,0.816425,0.953961
0.348,1.336762,0.438801,0.817628,0.962221
0.358,1.337593,0.439804,0.818326,0.962325
0.368,1.339984,0.440652,0.817802,0.965704
0.378,1.342987,0.440387,0.818506,0.969392
0.388,1.346330,0.449499,0.818600,0.969768
0.398,1.347460,0.449089,0.818597,0.971528
0.408,1.355120,0.453087,0.824995,0.974908
0.418,1.356290,0.453713,0.825697,0.975650
0.428,1.358461,0.454619,0.827312,0.976879
0.438,1.360583,0.455687,0.826557,0.979970
0.448,1.368614,0.456667,0.835242,0.983326
0.458,1.390304,0.458982,0.854248,0.996265
0.468,1.401602,0.460680,0.870015,0.997666
0.478,1.421426,0.460130,0.896207,1.002769
0.488,1.455915,0.466105,0.934746,1.014241
0.498,1.498886,0.481383,0.974343,1.032271
0.508,1.524213,0.483199,1.012119,1.032163
0.518,1.398930,0.413755,1.035405,0.844837
0.528,1.424931,0.420488,1.055808,0.859586
0.538,1.443149,0.437748,1.056927,0.879750
0.548,1.435709,0.440328,1.045674,0.879737
0.558,1.425141,0.442816,1.022285,0.888749
0.568,1.439821,0.451605,1.000247,0.932010
0.578,1.446240,0.462525,0.979168,0.958597
0.588,1.438756,0.461842,0.972686,0.954255
0.598,1.427284,0.453603,0.971185,0.942435
0.608,1.440922,0.450645,0.970581,0.964961
0.618,1.437781,0.457899,0.958925,0.968508
0.628,1.405850,0.453655,0.951807,0.929878
0.638,1.409289,0.442461,0.983749,0.906951
0.648,1.426159,0.434403,1.016837,0.900704
0.658,1.451142,0.434166,1.052833,0.899363
0.668,1.474634,0.431786,1.088354,0.896432
0.678,1.499312,0.432169,1.123819,0.893419
0.688,1.518424,0.424514,1.147092,0.899766
0.698,1.530711,0.423904,1.162050,0.901676
0.708,1.525905,0.417128,1.168072,0.888818
0.718,1.524770,0.418945,1.160777,0.895548
0.728,1.502191,0.419129,1.131389,0.894912
0.738,1.486012,0.417934,1.112614,0.891994
0.748,1.483502,0.410392,1.110293,0.894207
0.758,1.499547,0.410211,1.131597,0.894348
0.768,1.513263,0.407996,1.154489,0.889190
0.778,1.505104,0.394347,1.157104,0.878031
0.788,1.498017,0.375904,1.159718,0.870521
0.798,1.499180,0.372782,1.160798,0.872424
