time_seconds,total_vibration,rms_x,rms_y,rms_z
4.938,14.109158,6.168423,8.580797,9.348199
4.948,13.819089,6.044246,8.438187,9.123119
4.958,13.552217,5.940953,8.236877,8.973378
4.968,13.551219,5.987483,8.21581,8.960249
4.978,13.893096,5.758631,8.539203,9.324072
4.988,14.124467,5.771824,8.644973,9.563004
4.998,14.023648,6.058561,8.445181,9.41464
5.008,14.089025,5.938271,8.493103,9.544882
5.018,13.974913,5.975358,8.35434,9.476196
5.028,13.248405,6.237855,7.678858,8.811614
5.038,13.132452,6.124075,7.450902,8.912972
5.048,13.276956,5.967595,7.513759,9.176535
5.058,12.890211,6.21494,7.080786,8.797416
5.068,12.687638,5.972655,7.005302,8.730938
5.078,12.813599,5.853378,7.039862,8.964743
5.088,12.373975,6.036159,6.519268,8.612734
5.098,12.420546,5.880208,6.633542,8.699955
5.108,12.528785,6.093422,6.622177,8.717077
5.118,11.983839,6.123649,6.216586,8.213852
5.128,11.87622,6.121748,6.146973,8.110705
5.138,11.829183,6.027499,6.156914,8.105014
5.148,11.948909,5.970164,6.324874,8.193261
5.158,11.973311,6.100318,6.367334,8.09959
5.168,11.982646,6.010808,6.360176,8.185483
5.178,11.753872,6.0135,6.216393,7.959132
5.188,11.644518,6.174122,6.136434,7.734287
5.198,11.734216,5.981265,6.209813,7.959555
5.208,12.135391,5.987183,6.434337,8.367835
5.218,12.028173,6.280835,6.326929,8.07453
5.228,12.32944,6.054465,6.595836,8.476643
5.238,12.617569,6.18296,6.797017,8.647231
5.248,12.518222,6.366716,6.72519,8.422745
5.258,12.892728,6.127581,7.028969,8.903302
5.268,13.405646,6.204665,7.282622,9.390255
5.278,13.397979,6.16405,7.415903,9.301328
5.288,13.326856,6.125057,7.32316,9.298393
5.298,13.495896,6.166349,7.237848,9.57752
5.308,13.591001,5.917155,7.432729,9.718906
5.318,13.555337,6.283127,7.225174,9.59512
5.328,13.388599,6.056276,7.200945,9.524836
5.338,13.655449,6.191218,7.362154,9.692202
5.348,13.402183,6.478612,7.05301,9.375561
5.358,13.329523,6.237357,6.983582,9.486893
5.368,13.516533,6.368863,7.156438,9.535179
5.378,13.20049,6.562468,6.839312,9.187534
5.388,13.382784,6.296931,6.974045,9.529442
5.398,13.556889,6.461206,7.131971,9.548668
5.408,13.117633,6.504668,6.877571,9.080782
5.418,13.475679,6.168805,7.144464,9.617505
5.428,13.236329,6.31562,6.934224,9.339694
5.438,12.993607,6.268202,6.791229,9.133602
5.448,13.352835,5.996987,7.08301,9.600277
5.458,12.928996,6.229467,6.710456,9.128114
5.468,12.356562,6.271489,6.352078,8.544247
5.478,12.578701,6.160508,6.54281,8.801335
5.488,12.859676,6.286924,6.780842,8.93678
5.498,12.390403,6.443988,6.5105,8.34329
5.508,12.420073,6.313194,6.473081,8.514753
5.518,12.639683,6.085475,6.740092,8.792027
5.528,12.650343,6.397409,6.569234,8.714901
5.538,12.599272,6.030983,6.625167,8.858671
5.548,12.687288,6.119734,6.692715,8.872638
5.558,12.567639,6.314516,6.513113,8.697804
5.568,12.768819,5.99791,6.569647,9.160106
5.578,13.037482,5.94268,6.822941,9.386585
5.588,12.620938,6.164125,6.500461,8.890199
5.598,12.543602,5.843479,6.570192,8.945853
5.608,12.948775,5.89,6.9553,9.197961
5.619,12.645649,6.182009,6.805862,8.681903
5.63,12.553927,6.085838,6.79448,8.625469
5.638,12.966389,5.960393,7.197499,8.988713
5.648,12.81949,6.238985,7.15681,8.61362
5.658,12.891532,6.149349,7.27991,8.682167
5.668,13.461709,6.06068,7.923624,9.038912
5.678,13.526985,6.501362,7.841075,8.901077
5.688,13.281557,6.433637,7.663879,8.733443
5.698,13.712819,6.265752,7.982666,9.222733
5.708,14.414568,6.279846,8.390937,9.896236
5.718,14.28538,6.238628,8.294921,9.815595
5.728,14.100623,6.043199,8.242961,9.713954
5.738,14.261125,6.03044,8.350321,9.863346
5.748,14.595752,5.704112,8.658008,10.273168
5.758,14.646394,5.620052,8.835832,10.240115
5.768,14.245398,5.863765,8.661237,9.671122
5.778,14.371919,5.762086,8.758508,9.830511
5.788,14.627856,5.585154,9.002073,10.086769
5.798,14.35577,5.748636,8.775884,9.799243
5.808,14.206181,5.601873,8.624452,9.800685
5.818,14.632857,5.309627,8.926224,10.307807
5.828,14.730327,5.378321,9.001197,10.345755
5.838,14.239835,5.546178,8.600047,9.902122
5.848,14.33804,5.231423,8.633328,10.182203
5.858,14.43849,5.18695,8.707305,10.283403
5.868,13.81804,5.296762,8.061813,9.893923
5.878,13.554925,4.78509,7.878413,9.938284
5.888,13.808864,4.626747,8.156243,10.136747
5.898,13.381225,4.859017,7.838095,9.695947
5.908,12.673862,4.861717,7.502591,8.983408
5.918,12.82377,4.763104,7.719544,9.064798
5.928,12.993789,5.039083,7.779433,9.106405
5.938,12.540136,5.239408,7.468208,8.604039
5.948,12.490242,5.20819,7.338358,8.661951
5.958,12.856582,5.156664,7.552307,9.036768
