time_s,label,confidence,p_fault
0.8492,fault,0.749468,0.749468
0.9475,fault,0.749468,0.749468
1.0578,normal,1.000000,0.000000
1.1557,normal,1.000000,0.000000
1.2567,normal,1.000000,0.000000
1.3554,normal,1.000000,0.000000
1.4559,normal,1.000000,0.000000
1.5560,normal,1.000000,0.000000
1.6566,normal,1.000000,0.000000
1.7553,normal,1.000000,0.000000
1.8561,normal,1.000000,0.000000
1.9545,normal,1.000000,0.000000
2.0546,normal,1.000000,0.000000
2.1556,normal,1.000000,0.000000
2.2553,normal,1.000000,0.000000
2.3557,normal,1.000000,0.000000
2.4562,normal,1.000000,0.000000
2.5549,normal,1.000000,0.000000
2.6560,normal,1.000000,0.000000
2.7542,normal,1.000000,0.000000
2.8552,normal,1.000000,0.000000
2.9554,normal,1.000000,0.000000
3.0556,normal,1.000000,0.000000
3.1560,normal,1.000000,0.000000
3.2549,normal,1.000000,0.000000
3.3573,normal,1.000000,0.000000
3.4556,normal,1.000000,0.000000
3.5556,normal,1.000000,0.000000
3.6559,normal,1.000000,0.000000
3.7551,normal,1.000000,0.000000
3.8562,normal,1.000000,0.000000
3.9564,normal,1.000000,0.000000
4.0545,normal,1.000000,0.000000
4.1546,normal,1.000000,0.000000
4.2537,normal,1.000000,0.000000
4.3553,normal,1.000000,0.000000
4.4553,normal,1.000000,0.000000
4.5555,normal,1.000000,0.000000
4.6588,normal,1.000000,0.000000
4.7553,normal,1.000000,0.000000
4.8560,normal,1.000000,0.000000
4.9552,normal,1.000000,0.000000
5.0550,normal,1.000000,0.000000
5.1548,normal,1.000000,0.000000
5.2549,normal,1.000000,0.000000
5.3561,normal,1.000000,0.000000
5.4556,normal,1.000000,0.000000
5.5555,normal,1.000000,0.000000
5.6568,normal,1.000000,0.000000
5.7549,normal,1.000000,0.000000
5.8540,normal,1.000000,0.000000
5.9540,normal,1.000000,0.000000
6.0554,normal,1.000000,0.000000
6.1553,normal,1.000000,0.000000
6.2552,normal,1.000000,0.000000
6.3560,normal,1.000000,0.000000
6.4573,normal,1.000000,0.000000
6.5556,normal,1.000000,0.000000
6.6550,normal,1.000000,0.000000
6.7553,normal,1.000000,0.000000
6.8550,normal,1.000000,0.000000
6.9554,normal,1.000000,0.000000
7.0553,normal,1.000000,0.000000
7.1560,normal,1.000000,0.000000
7.2544,normal,1.000000,0.000000
7.3561,normal,1.000000,0.000000
7.4560,normal,1.000000,0.000000
7.5560,normal,1.000000,0.000000
7.6550,normal,1.000000,0.000000
7.7549,normal,1.000000,0.000000
7.8550,normal,1.000000,0.000000
7.9551,normal,1.000000,0.000000
8.0551,normal,1.000000,0.000000
8.1550,normal,1.000000,0.000000
8.2561,normal,1.000000,0.000000
8.3568,normal,1.000000,0.000000
8.4550,normal,1.000000,0.000000
8.5556,normal,1.000000,0.000000
8.6545,normal,1.000000,0.000000
8.7539,normal,1.000000,0.000000
8.8552,normal,1.000000,0.000000
8.9550,normal,1.000000,0.000000
9.0547,normal,1.000000,0.000000
9.1549,normal,1.000000,0.000000
