time_s,label,confidence,p_fault
0.8497,normal,0.987500,0.012500
0.9480,normal,0.987500,0.012500
1.0581,normal,0.987500,0.012500
1.1568,normal,0.995000,0.005000
1.2566,normal,1.000000,0.000000
1.3560,normal,1.000000,0.000000
1.4565,normal,0.997500,0.002500
1.5575,normal,0.980000,0.020000
1.6573,normal,0.987500,0.012500
1.7556,normal,0.977500,0.022500
1.8545,normal,0.942500,0.057500
1.9544,normal,0.935000,0.065000
2.0556,normal,0.972500,0.027500
2.1552,normal,0.985000,0.015000
2.2553,normal,0.980000,0.020000
2.3552,normal,0.980000,0.020000
2.4551,normal,0.987500,0.012500
2.5562,normal,0.980000,0.020000
2.6547,normal,0.975000,0.025000
2.7548,normal,0.915000,0.085000
2.8559,normal,0.872500,0.127500
2.9552,normal,0.892500,0.107500
3.0552,normal,0.852500,0.147500
3.1554,normal,0.842500,0.157500
3.2555,normal,0.830000,0.170000
3.3552,normal,0.852500,0.147500
3.4557,normal,0.940000,0.060000
3.5557,normal,0.987500,0.012500
3.6547,normal,0.975000,0.025000
3.7554,normal,0.965000,0.035000
3.8556,normal,0.967500,0.032500
3.9544,normal,0.932500,0.067500
4.0558,normal,0.912500,0.087500
4.1554,normal,0.900000,0.100000
4.2555,normal,0.910000,0.090000
4.3552,normal,0.917500,0.082500
4.4570,normal,0.940000,0.060000
4.5551,normal,0.975000,0.025000
4.6551,normal,0.975000,0.025000
4.7547,normal,0.990000,0.010000
4.8565,normal,0.992500,0.007500
4.9543,normal,0.985000,0.015000
5.0545,normal,0.990000,0.010000
5.1558,normal,0.990000,0.010000
5.2560,normal,0.990000,0.010000
5.3560,normal,0.990000,0.010000
5.4560,normal,1.000000,0.000000
5.5563,normal,0.995000,0.005000
5.6563,normal,0.995000,0.005000
5.7549,normal,0.995000,0.005000
5.8563,normal,0.990000,0.010000
5.9550,normal,0.987500,0.012500
6.0553,normal,0.995000,0.005000
6.1553,normal,0.990000,0.010000
6.2552,normal,0.982500,0.017500
6.3554,normal,0.995000,0.005000
6.4555,normal,0.995000,0.005000
6.5546,normal,0.987500,0.012500
6.6550,normal,0.997500,0.002500
6.7556,normal,0.990000,0.010000
6.8555,normal,0.990000,0.010000
6.9556,normal,0.957500,0.042500
7.0557,normal,0.900000,0.100000
7.1560,normal,0.880000,0.120000
7.2459,normal,0.892500,0.107500
7.3563,normal,0.895000,0.105000
7.4568,normal,0.895000,0.105000
7.5556,normal,0.912500,0.087500
7.6559,normal,0.935000,0.065000
7.7495,normal,0.970000,0.030000
7.8562,normal,0.980000,0.020000
7.9554,normal,0.987500,0.012500
8.0558,normal,0.987500,0.012500
8.1548,normal,0.935000,0.065000
8.2554,normal,0.962500,0.037500
8.3550,normal,0.990000,0.010000
8.4545,normal,0.980000,0.020000
8.5560,normal,0.975000,0.025000
8.6566,normal,0.985000,0.015000
8.7562,normal,0.992500,0.007500
8.8559,normal,0.982500,0.017500
8.9559,normal,0.962500,0.037500
9.0555,normal,1.000000,0.000000
9.1552,normal,0.995000,0.005000
9.2566,normal,0.995000,0.005000
9.3558,normal,0.982500,0.017500
9.4566,normal,0.995000,0.005000
9.5551,normal,0.990000,0.010000
9.6552,normal,0.997500,0.002500
9.7563,normal,1.000000,0.000000
9.8559,normal,0.997500,0.002500
9.9550,normal,0.997500,0.002500
10.0563,normal,0.997500,0.002500
10.1557,normal,0.990000,0.010000
10.2553,normal,0.987500,0.012500
10.3561,normal,0.987500,0.012500
10.4552,normal,0.980000,0.020000
10.5555,normal,0.997500,0.002500
10.6558,normal,1.000000,0.000000
10.7549,normal,0.990000,0.010000
10.8528,normal,0.990000,0.010000
10.9540,normal,0.985000,0.015000
11.0545,normal,0.985000,0.015000
11.1539,normal,0.960000,0.040000
11.2543,normal,0.970000,0.030000
11.3541,normal,0.942500,0.057500
11.4554,normal,0.950000,0.050000
11.5530,normal,0.937500,0.062500
11.6553,normal,0.940000,0.060000
11.7557,normal,0.960000,0.040000
11.8543,normal,0.957500,0.042500
11.9547,normal,0.965000,0.035000
12.0546,normal,0.970000,0.030000
12.1538,normal,0.980000,0.020000
12.2546,normal,0.995000,0.005000
12.3540,normal,0.992500,0.007500
12.4553,normal,0.987500,0.012500
12.5548,normal,0.987500,0.012500
12.6542,normal,0.987500,0.012500
12.7546,normal,0.987500,0.012500
12.8548,normal,0.985000,0.015000
12.9549,normal,0.985000,0.015000
13.0548,normal,0.962500,0.037500
13.1554,normal,0.972500,0.027500
13.2544,normal,0.980000,0.020000
13.3552,normal,0.980000,0.020000
13.4544,normal,0.980000,0.020000
13.5551,normal,0.990000,0.010000
13.6544,normal,0.995000,0.005000
