time_s,p_fault,fault_bin
0.2979,0.233771,0
0.3078,0.487686,0
0.3173,0.649500,1
0.3271,0.746353,1
0.3371,0.805902,1
0.3471,0.846092,1
0.3573,0.871761,1
0.3672,0.889632,1
0.3772,0.901582,1
0.3872,0.909372,1
0.3972,0.914235,1
0.4072,0.917324,1
0.4172,0.919141,1
0.4272,0.919409,1
0.4372,0.919876,1
0.4471,0.920048,1
0.4572,0.919255,1
0.4671,0.918096,1
0.4771,0.916828,1
0.4871,0.914858,1
0.4972,0.912296,1
0.5071,0.909537,1
0.5172,0.920976,1
0.5271,0.924759,1
0.5372,0.925667,1
0.5471,0.925073,1
0.5572,0.924256,1
0.5672,0.921774,1
0.5772,0.918569,1
0.5872,0.913192,1
0.5971,0.907433,1
0.6072,0.901083,1
0.6172,0.895893,1
0.6272,0.889552,1
0.6372,0.881900,1
0.6472,0.871592,1
0.6572,0.860088,1
0.6672,0.846299,1
0.6772,0.830253,1
0.6871,0.814536,1
0.6972,0.797538,1
0.7071,0.779068,1
0.7172,0.759518,1
0.7271,0.739213,1
0.7372,0.717563,1
0.7472,0.694706,1
0.7572,0.671205,1
0.7672,0.647398,1
0.7771,0.623756,1
0.7872,0.598770,1
