time_seconds,total_vibration,rms_x,rms_y,rms_z
0.299,1.202816,0.270429,0.472971,1.072350
0.308,1.206489,0.284430,0.488548,1.065850
0.318,1.203610,0.286382,0.490795,1.061029
0.328,1.227281,0.291435,0.538853,1.063448
0.338,1.229667,0.292802,0.560880,1.054401
0.348,1.234204,0.290664,0.580533,1.049645
0.358,1.263958,0.288089,0.644550,1.048404
0.368,1.257794,0.289205,0.648010,1.038503
0.378,1.253962,0.287606,0.648391,1.034065
0.388,1.267489,0.284873,0.689400,1.024746
0.398,1.259434,0.287092,0.689764,1.013893
0.408,1.276581,0.285704,0.726590,1.010000
0.418,1.272275,0.282991,0.733297,1.000437
0.428,1.269209,0.279066,0.741630,0.991463
0.438,1.268924,0.275740,0.743668,0.990502
0.448,1.277389,0.276392,0.771647,0.979740
0.458,1.291576,0.272510,0.801265,0.975644
0.468,1.282962,0.268545,0.804313,0.962784
0.478,1.279245,0.263167,0.810850,0.953799
0.488,1.298398,0.259701,0.826871,0.966787
0.498,1.296625,0.257673,0.834450,0.958402
0.508,1.291168,0.263686,0.834461,0.949347
0.518,1.195753,0.255418,0.844520,0.807076
0.528,1.191650,0.256888,0.839890,0.805371
0.538,1.180833,0.258845,0.840373,0.788124
0.548,1.201877,0.258886,0.838266,0.821460
0.558,1.190932,0.256654,0.833041,0.811474
0.568,1.179670,0.272352,0.832596,0.790081
0.578,1.179535,0.273923,0.835924,0.785811
0.588,1.153799,0.280509,0.827101,0.753969
0.598,1.147600,0.280205,0.825699,0.746118
0.608,1.139588,0.278708,0.831953,0.727211
0.618,1.138099,0.279780,0.843054,0.711515
0.628,1.130759,0.275403,0.843000,0.701512
0.638,1.125129,0.277374,0.840264,0.694935
0.648,1.129521,0.277293,0.844616,0.696814
0.658,1.114119,0.276985,0.844803,0.671451
0.668,1.112943,0.278074,0.842032,0.672531
0.678,1.125980,0.276813,0.872615,0.655552
0.688,1.167867,0.294754,0.900180,0.683162
0.698,1.173037,0.297060,0.907054,0.681927
0.708,1.165635,0.298928,0.913600,0.659304
0.718,1.193004,0.302679,0.944567,0.662900
0.728,1.235048,0.298376,1.032906,0.607801
0.738,1.289454,0.295144,1.098590,0.607192
0.748,1.338679,0.299317,1.132537,0.647944
0.758,1.327948,0.304362,1.130205,0.627253
0.768,1.331717,0.300453,1.140378,0.618656
0.778,1.362111,0.312235,1.170253,0.623189
0.788,1.375746,0.307945,1.199278,0.599650
