time_s,p_fault,fault_bin
0.0070,0.122129,0
0.0180,0.715474,1
0.0280,0.911490,1
0.0380,0.967774,1
0.0480,0.986066,1
0.0580,0.992861,1
0.0680,0.995778,1
0.0780,0.997171,1
0.0880,0.997899,1
0.0980,0.998304,1
0.1080,0.998536,1
0.1180,0.998655,1
0.1280,0.998701,1
0.1380,0.998690,1
0.1480,0.998629,1
0.1580,0.998524,1
0.1680,0.998371,1
0.1780,0.998164,1
0.1880,0.997896,1
0.1980,0.997564,1
0.2080,0.997147,1
0.2180,0.998230,1
0.2280,0.998801,1
0.2380,0.999121,1
0.2480,0.999309,1
0.2580,0.999423,1
0.2680,0.999491,1
0.2780,0.999529,1
0.2880,0.999545,1
0.2980,0.999545,1
0.3080,0.999530,1
0.3180,0.999500,1
0.3280,0.999456,1
0.3380,0.999395,1
0.3480,0.999316,1
0.3580,0.999214,1
0.3680,0.999085,1
0.3780,0.998923,1
0.3880,0.998722,1
0.3980,0.998472,1
0.4080,0.998162,1
0.4180,0.997781,1
0.4280,0.997312,1
0.4380,0.996740,1
0.4480,0.996045,1
0.4580,0.995201,1
0.4680,0.994184,1
0.4780,0.992959,1
0.4880,0.991495,1
0.4980,0.989754,1
0.5080,0.987693,1
0.5180,0.985268,1
0.5280,0.982430,1
0.5380,0.979127,1
0.5480,0.975310,1
0.5580,0.970920,1
0.5680,0.965884,1
0.5780,0.960162,1
0.5880,0.953701,1
0.5980,0.946458,1
0.6080,0.938378,1
0.6180,0.929421,1
0.6280,0.919553,1
0.6380,0.908734,1
0.6480,0.896949,1
0.6580,0.884182,1
0.6680,0.870430,1
0.6780,0.855688,1
0.6880,0.839948,1
0.6980,0.823236,1
0.7080,0.805551,1
0.7180,0.787012,1
0.7280,0.767680,1
0.7380,0.747546,1
0.7480,0.726715,1
0.7580,0.705286,1
0.7720,0.683369,1
0.7780,0.661030,1
0.7880,0.638268,1
0.7980,0.615247,1
0.8080,0.591989,1
0.8180,0.568656,1
0.8280,0.545281,1
0.8380,0.522039,1
0.8480,0.498965,0
0.8580,0.476084,0
0.8680,0.453518,0
0.8780,0.431341,0
0.8880,0.409609,0
0.8980,0.388327,0
0.9080,0.367561,0
0.9180,0.347296,0
0.9280,0.327649,0
0.9380,0.308820,0
0.9480,0.290605,0
0.9580,0.273176,0
0.9680,0.256405,0
0.9780,0.240300,0
0.9880,0.224812,0
0.9980,0.209856,0
1.0080,0.195809,0
1.0180,0.182913,0
1.0280,0.170683,0
1.0380,0.159095,0
1.0480,0.148347,0
1.0580,0.138232,0
1.0680,0.128777,0
1.0780,0.119893,0
1.0880,0.111642,0
1.0980,0.103910,0
1.1080,0.097413,0
1.1180,0.091433,0
1.1280,0.086453,0
1.1380,0.081604,0
1.1480,0.077394,0
1.1580,0.073598,0
1.1680,0.070187,0
1.1780,0.067561,0
1.1880,0.065229,0
1.1980,0.062657,0
1.2080,0.062164,0
1.2180,0.063417,0
1.2280,0.064358,0
1.2380,0.068207,0
1.2480,0.080941,0
1.2580,0.092951,0
1.2680,0.103210,0
1.2780,0.124381,0
1.2880,0.161897,0
1.2980,0.197892,0
1.3080,0.221603,0
1.3180,0.251831,0
