time_seconds,total_vibration,rms_x,rms_y,rms_z
4.987,3.353691,1.863262,2.101865,1.832392
4.997,3.44095,1.902716,2.177327,1.865222
5.007,3.399537,1.883756,2.129639,1.863586
5.017,3.412128,1.954286,2.184392,1.746944
5.027,3.329218,1.854558,2.134542,1.75728
5.037,3.354708,1.918178,2.134386,1.737543
5.047,3.468636,1.933747,2.205726,1.85117
5.057,3.400857,1.976883,2.146317,1.746735
5.067,3.496001,2.010651,2.260177,1.7524
5.077,3.381272,1.925227,2.098477,1.822881
5.087,3.452201,1.999169,2.159893,1.804405
5.097,3.485101,1.959629,2.154289,1.914373
5.107,3.461585,2.021891,2.105788,1.860157
5.117,3.504459,2.054663,2.165035,1.836359
5.127,3.450916,1.962631,2.096634,1.913381
5.137,3.544311,2.054092,2.169895,1.90641
5.147,3.604904,1.993162,2.185579,2.060554
5.157,3.591705,2.091856,2.101685,2.026672
5.167,3.60083,2.086143,2.127916,2.021375
5.177,3.46931,2.0466,1.97739,1.984305
5.187,3.532842,2.087022,2.028065,2.003063
5.197,3.462494,1.992024,1.929339,2.073248
5.207,3.580332,2.113955,2.012621,2.073483
5.217,3.585855,2.054947,2.040942,2.114262
5.227,3.632333,2.120481,2.117698,2.0525
5.237,3.655704,2.096825,2.113115,2.121849
5.247,3.527549,2.081146,2.002021,2.025918
5.257,3.594291,2.085198,2.068847,2.071413
5.267,3.527488,2.040304,1.981612,2.086516
5.277,3.674923,2.108899,2.258364,1.989319
5.287,3.627736,2.028813,2.185873,2.065513
5.297,3.594366,2.05796,2.208684,1.950893
5.307,3.601553,2.01938,2.192436,2.021512
5.317,3.56804,1.977169,2.125938,2.07415
5.327,3.652266,2.089458,2.185497,2.048612
5.338,3.611811,1.993753,2.20998,2.046001
5.347,3.56059,2.025798,2.224132,1.904517
5.357,3.511723,1.983854,2.198135,1.888048
5.367,3.512652,1.965246,2.153317,1.95953
5.377,3.505733,1.999981,2.154168,1.910445
5.388,3.552613,1.995519,2.218625,1.927865
5.397,3.507744,2.015826,2.21088,1.831044
5.408,3.435041,1.932423,2.207245,1.786986
5.417,3.395849,1.960794,2.125872,1.779817
5.428,3.320577,1.865419,2.035347,1.84494
5.437,3.313863,1.894548,2.062282,1.771828
5.447,3.37573,1.883597,2.140273,1.807441
5.457,3.283838,1.86776,2.04811,1.760769
5.467,3.291881,1.88337,2.076589,1.72545
5.478,3.169077,1.819613,1.812898,1.856195
5.487,3.146404,1.854078,1.813868,1.781049
5.498,3.180333,1.870033,1.823832,1.814148
5.507,3.198626,1.839154,1.843,1.857976
5.517,3.214937,1.927954,1.870881,1.765961
5.527,3.144211,1.8724,1.86784,1.700398
5.537,3.083309,1.867819,1.757782,1.711212
5.547,3.071225,1.854357,1.718665,1.743552
5.557,3.153556,1.891069,1.76324,1.805481
5.567,3.152392,1.890204,1.80273,1.764898
5.577,3.178035,1.899528,1.838263,1.764226
5.587,3.159281,1.86407,1.817224,1.78997
5.597,3.146238,1.870354,1.812426,1.765134
5.607,3.142572,1.866842,1.807774,1.767091
5.617,3.127752,1.83415,1.836554,1.745221
5.627,3.165196,1.833613,1.820071,1.828571
5.637,3.233028,1.911151,1.799961,1.886826
5.647,3.228751,1.884665,1.836473,1.870893
5.657,3.217843,1.871432,1.840287,1.861614
5.667,3.242478,1.897374,1.873779,1.84461
5.677,3.178064,1.886622,1.880192,1.733675
5.687,3.210279,1.866858,1.879078,1.81378
5.697,3.172203,1.86202,1.825264,1.8067
5.707,3.211978,1.920671,1.883363,1.755212
5.717,3.175537,1.87363,1.868895,1.755215
5.727,3.168833,1.821044,1.894294,1.771142
5.737,3.203446,1.858344,1.899052,1.789476
5.747,3.239005,1.844795,1.901875,1.862997
5.757,3.198358,1.840903,1.833648,1.865022
5.768,3.228512,1.863193,1.916387,1.810873
5.777,3.20951,1.823408,1.895334,1.839523
5.787,3.108893,1.814608,1.789385,1.780594
5.797,3.152549,1.823615,1.82275,1.813995
5.807,3.158305,1.766415,1.783531,1.916686
5.817,3.256559,1.839222,1.860848,1.93899
5.827,3.221583,1.876849,1.915077,1.785642
