time_seconds,total_vibration,rms_x,rms_y,rms_z
9.981,0.518915,0.152574,0.346206,0.355156
9.991,0.518351,0.147797,0.347083,0.355495
10.001,0.524922,0.149728,0.34528,0.365932
10.011,0.521641,0.148986,0.344299,0.362452
10.021,0.519987,0.148353,0.341911,0.362594
10.031,0.521939,0.145783,0.351701,0.357035
10.041,0.518336,0.147674,0.354793,0.347831
10.051,0.519533,0.147632,0.353678,0.350758
10.061,0.514166,0.147813,0.345552,0.350873
10.071,0.51308,0.148375,0.342528,0.35201
10.081,0.509566,0.148366,0.343838,0.345573
10.091,0.509475,0.148311,0.343729,0.34557
10.101,0.5072,0.149294,0.340083,0.345408
10.111,0.502998,0.15008,0.336861,0.342063
10.121,0.505967,0.143,0.346522,0.339818
10.131,0.51034,0.144632,0.352006,0.340031
10.141,0.513677,0.143322,0.356359,0.341073
10.151,0.512024,0.146394,0.351236,0.342594
10.161,0.504285,0.146636,0.338528,0.343802
10.171,0.506207,0.149073,0.334488,0.349487
10.181,0.505746,0.149705,0.335023,0.348033
10.191,0.506267,0.146559,0.338607,0.346658
10.201,0.503662,0.146386,0.337666,0.343844
10.211,0.493341,0.144463,0.337814,0.329238
10.221,0.494922,0.143981,0.341702,0.327807
10.231,0.495226,0.143965,0.342075,0.327884
10.241,0.50026,0.143428,0.34685,0.330732
10.251,0.500471,0.143964,0.345583,0.332142
10.261,0.496699,0.143523,0.340498,0.331922
10.271,0.499078,0.143794,0.342342,0.333473
10.281,0.498753,0.143468,0.341644,0.333843
10.291,0.496051,0.136968,0.340274,0.333946
10.301,0.492839,0.136832,0.338922,0.330603
10.311,0.490395,0.135402,0.338676,0.327798
10.321,0.494924,0.137576,0.339955,0.332345
10.331,0.489354,0.136072,0.342545,0.321892
10.341,0.483572,0.136281,0.342391,0.313111
10.351,0.482931,0.136091,0.341601,0.313066
10.361,0.48157,0.139067,0.336464,0.315217
10.371,0.477227,0.137939,0.334254,0.311437
10.381,0.476271,0.139964,0.333785,0.309568
10.391,0.474263,0.140749,0.334184,0.305673
10.401,0.466515,0.141163,0.330537,0.297413
10.411,0.470359,0.141799,0.338282,0.294441
10.421,0.478396,0.141486,0.348351,0.295798
10.431,0.490546,0.142094,0.349292,0.313751
10.441,0.493046,0.14213,0.344439,0.322886
10.451,0.485053,0.141735,0.332705,0.323258
10.461,0.491147,0.142325,0.334588,0.330182
10.471,0.492042,0.142601,0.337795,0.328124
10.481,0.489777,0.138483,0.337814,0.326475
10.491,0.488576,0.138624,0.335207,0.327302
10.501,0.485062,0.133752,0.34194,0.316974
10.511,0.48206,0.13128,0.344455,0.310642
10.521,0.480522,0.132229,0.341589,0.31102
10.531,0.475518,0.133513,0.334411,0.310581
10.541,0.470525,0.131007,0.331693,0.306938
10.551,0.466974,0.131602,0.32976,0.303321
10.561,0.46622,0.130639,0.327573,0.304944
10.571,0.461995,0.131709,0.32645,0.299203
10.581,0.459921,0.131064,0.32773,0.294861
10.591,0.470029,0.140938,0.328112,0.305624
10.598,0.481899,0.145898,0.344126,0.304167
10.61,0.488901,0.146353,0.342631,0.316558
10.62,0.490664,0.146298,0.330346,0.331993
10.63,0.484699,0.144307,0.323112,0.331221
10.64,0.490149,0.147722,0.321629,0.339086
10.65,0.501353,0.146164,0.336988,0.341219
10.66,0.500831,0.145871,0.33748,0.340089
10.67,0.496844,0.143039,0.337896,0.334992
10.68,0.491445,0.139834,0.338325,0.327873
10.69,0.499525,0.139556,0.350259,0.32767
10.7,0.492809,0.134433,0.35112,0.318595
10.71,0.494094,0.13459,0.351724,0.319851
10.72,0.488064,0.134549,0.343143,0.319931
10.73,0.47876,0.135486,0.328143,0.321211
10.74,0.477208,0.135797,0.325811,0.321144
10.75,0.477611,0.137128,0.326393,0.320586
10.76,0.479133,0.137111,0.326299,0.322951
10.77,0.484734,0.139255,0.326267,0.330341
10.78,0.482332,0.13969,0.319762,0.332991
10.79,0.483831,0.137906,0.322713,0.333063
10.8,0.478742,0.139227,0.321595,0.32617
10.81,0.475356,0.138554,0.32198,0.321085
10.82,0.469762,0.135368,0.319999,0.316153
10.83,0.473797,0.137657,0.318812,0.322325
10.84,0.475931,0.139136,0.3218,0.321863
10.85,0.476076,0.139156,0.321168,0.3227
10.86,0.483084,0.136782,0.320249,0.334816
10.87,0.483101,0.136702,0.31758,0.337405
10.88,0.483677,0.138106,0.318879,0.336432
10.89,0.486882,0.136904,0.324259,0.336403
10.9,0.491583,0.138976,0.324369,0.342234
10.91,0.483305,0.136395,0.313056,0.342019
10.92,0.48351,0.140185,0.304742,0.348228
10.93,0.478941,0.141636,0.304358,0.341599
10.94,0.470403,0.140789,0.303919,0.330288
10.95,0.472057,0.14175,0.306522,0.329832
10.96,0.465041,0.140704,0.303356,0.323172
10.97,0.465661,0.140948,0.30445,0.322931
10.98,0.467476,0.141262,0.307724,0.322312
10.99,0.474794,0.141181,0.308393,0.332252
11.0,0.473265,0.142154,0.303236,0.334394
11.01,0.477035,0.14237,0.308931,0.334446
11.02,0.479134,0.140947,0.313158,0.334118
11.03,0.478895,0.14023,0.312677,0.334528
11.04,0.478703,0.141317,0.311847,0.334571
11.05,0.481016,0.142037,0.312098,0.337338
11.06,0.484124,0.141804,0.312393,0.341582
11.07,0.484852,0.140732,0.313497,0.342046
11.08,0.484363,0.140399,0.310505,0.344213
11.09,0.474057,0.128563,0.310487,0.334364
11.1,0.4602,0.123276,0.293177,0.332618
11.11,0.449861,0.122182,0.291478,0.320136
11.12,0.440716,0.119935,0.293687,0.305931
11.13,0.441787,0.120591,0.294509,0.306427
11.14,0.432866,0.117227,0.288227,0.300924
11.15,0.426133,0.117246,0.274868,0.303793
11.16,0.434051,0.117488,0.285951,0.304679
11.17,0.437017,0.116776,0.292804,0.302676
11.18,0.433961,0.120764,0.287266,0.302021
11.19,0.426511,0.120658,0.272788,0.304861
11.2,0.426173,0.121648,0.270541,0.305994
11.21,0.433339,0.123995,0.274426,0.311606
11.22,0.437734,0.127705,0.275001,0.315717
11.23,0.435044,0.127469,0.269027,0.317237
11.24,0.42705,0.127789,0.259304,0.31433
11.25,0.430118,0.12692,0.264608,0.314444
11.26,0.429214,0.126873,0.265363,0.312587
11.27,0.419629,0.124605,0.266485,0.299245
