time_seconds,total_vibration,rms_x,rms_y,rms_z
0.248,1.028778,0.220197,0.954093,0.3156
0.258,0.999391,0.219713,0.924969,0.308123
0.268,0.978645,0.217934,0.899407,0.318304
0.278,0.924627,0.208563,0.833948,0.340538
0.288,0.9225,0.218804,0.830356,0.337105
0.298,0.906948,0.238953,0.781298,0.393739
0.308,0.910492,0.24637,0.770872,0.417198
0.318,0.882261,0.239913,0.739177,0.417663
0.328,0.899801,0.239135,0.751796,0.432734
0.338,0.894425,0.238395,0.751124,0.423058
0.348,0.928362,0.221516,0.815487,0.384406
0.358,0.966151,0.228246,0.864573,0.365874
0.368,0.990864,0.229111,0.898697,0.348803
0.378,1.058894,0.203064,0.979313,0.347803
0.388,1.038843,0.20214,0.954785,0.355976
0.398,1.036326,0.200045,0.94102,0.385274
0.408,1.017248,0.200334,0.912437,0.40264
0.418,0.955548,0.202837,0.830288,0.42726
0.428,0.959231,0.208663,0.833116,0.427201
0.438,0.893325,0.215916,0.754577,0.426642
0.448,0.922193,0.213606,0.790083,0.424949
0.458,0.910489,0.210617,0.772812,0.432889
0.468,0.966715,0.215597,0.829761,0.446712
0.478,1.050991,0.214386,0.935568,0.428174
0.488,1.059734,0.212729,0.944611,0.430688
0.498,1.080753,0.195307,0.994191,0.376118
0.508,1.069283,0.212086,0.98621,0.354649
0.518,1.072123,0.212152,0.986652,0.361879
0.528,1.052545,0.217673,0.968793,0.349156
0.538,1.056591,0.21827,0.970487,0.356227
0.548,1.007175,0.22726,0.911776,0.362518
0.558,0.97279,0.224289,0.875132,0.360775
0.568,0.966485,0.215458,0.853413,0.399196
0.578,0.933374,0.22923,0.808514,0.406136
0.588,0.946213,0.227552,0.82258,0.408537
0.598,0.966184,0.227426,0.860146,0.376747
0.608,1.03383,0.230383,0.940124,0.363175
0.618,1.046272,0.257353,0.955316,0.340333
0.628,1.069138,0.260248,0.972517,0.359913
0.638,1.069617,0.247997,0.973368,0.367605
0.648,1.065505,0.247578,0.946904,0.421163
0.658,1.065025,0.247498,0.947439,0.418787
0.668,1.003578,0.236369,0.89051,0.397858
0.678,0.926628,0.231883,0.79914,0.407731
0.688,0.963965,0.230075,0.834461,0.424228
0.698,0.942289,0.228525,0.786174,0.466493
0.708,0.995383,0.208247,0.856442,0.462523
0.718,1.032297,0.214174,0.896549,0.464722
0.728,1.04501,0.252072,0.893912,0.478987
0.738,1.051452,0.256733,0.898023,0.482902
0.748,1.046194,0.249035,0.896062,0.479142
0.758,1.048073,0.247671,0.887446,0.499554
0.768,1.067875,0.263525,0.908532,0.495461
0.778,1.07646,0.253413,0.923733,0.491188
0.788,1.098162,0.258099,0.948418,0.489743
0.798,1.10141,0.257951,0.948521,0.496863
0.808,1.036952,0.258412,0.874308,0.494042
0.818,1.008803,0.225519,0.850141,0.494049
0.828,1.016356,0.234884,0.862711,0.483259
0.838,1.013045,0.239149,0.859064,0.480705
0.848,1.001385,0.251212,0.862196,0.443036
0.858,1.019115,0.254534,0.883793,0.438997
0.868,1.040358,0.258915,0.884843,0.482038
0.878,1.084777,0.263688,0.941094,0.470693
0.888,1.044624,0.255482,0.904709,0.455489
0.898,1.044687,0.257377,0.925305,0.41102
0.908,1.03645,0.259781,0.908673,0.425505
0.918,0.998382,0.265286,0.866503,0.419003
0.928,0.99015,0.22854,0.864696,0.424815
0.938,0.993479,0.241371,0.864635,0.425614
0.948,1.016609,0.245774,0.865984,0.472399
0.958,1.02748,0.244665,0.890112,0.451171
0.968,0.971709,0.229274,0.845794,0.419863
0.978,0.944021,0.228278,0.813098,0.421825
0.988,0.932561,0.222518,0.805287,0.414329
0.998,0.904419,0.222202,0.777907,0.404303
1.008,0.956544,0.226605,0.83325,0.411487
1.018,0.978588,0.245214,0.839023,0.439937
1.028,0.951628,0.231632,0.807124,0.447764
1.038,0.947101,0.227579,0.803352,0.447026
1.048,0.971094,0.227103,0.833063,0.444358
1.058,0.954105,0.226355,0.808389,0.453417
1.068,0.939928,0.227811,0.81528,0.408516
1.078,0.932266,0.220986,0.806661,0.411805
1.088,0.918846,0.224537,0.789796,0.412412
1.098,0.951037,0.217955,0.828445,0.413092
1.108,0.902454,0.224181,0.776826,0.400884
1.118,0.905719,0.213544,0.776943,0.413624
1.128,0.886732,0.201704,0.776774,0.377136
1.138,0.891693,0.192535,0.771103,0.404285
1.148,0.871242,0.186426,0.774896,0.351914
1.158,0.855048,0.192813,0.754698,0.352648
1.168,0.870269,0.191598,0.7677,0.362346
1.178,0.946887,0.205847,0.852006,0.358202
1.188,0.937239,0.204992,0.840807,0.359776
1.198,0.941633,0.205236,0.836314,0.380959
1.208,0.906801,0.193667,0.78848,0.403832
1.218,0.878357,0.162097,0.781392,0.366963
1.228,0.881849,0.170796,0.787069,0.359177
1.238,0.886158,0.177483,0.790496,0.359015
1.248,0.859225,0.177297,0.764425,0.349984
1.258,0.862821,0.175286,0.769255,0.34926
1.268,0.854524,0.169071,0.761389,0.34916
1.278,0.837204,0.170942,0.740345,0.351536
1.288,0.838244,0.176833,0.736304,0.359499
1.298,0.803438,0.178396,0.69564,0.360239
1.308,0.816847,0.190462,0.694902,0.384804
1.318,0.811722,0.192882,0.69531,0.371797
1.328,0.815906,0.211298,0.695407,0.370762
1.338,0.809422,0.202374,0.704901,0.342525
1.348,0.854235,0.202997,0.758142,0.33724
1.358,0.841057,0.200618,0.744845,0.335165
1.368,0.882853,0.201125,0.798222,0.319092
1.378,0.761599,0.193522,0.663333,0.320269
1.388,0.762895,0.194078,0.661277,0.327193
1.398,0.749294,0.216823,0.642781,0.318215
1.408,0.739929,0.220837,0.640365,0.297757
1.418,0.748546,0.225352,0.647162,0.301195
1.428,0.746087,0.221265,0.64789,0.296523
1.438,0.744058,0.214124,0.645192,0.302489
1.448,0.752738,0.210085,0.652964,0.310027
1.458,0.741087,0.215502,0.63987,0.305508
1.468,0.773858,0.217054,0.670268,0.320133
1.478,0.72527,0.224411,0.607504,0.326488
1.488,0.729321,0.213253,0.623266,0.313006
1.498,0.716798,0.217479,0.595937,0.333708
1.508,0.706196,0.192252,0.599668,0.31961
1.518,0.702685,0.193018,0.599583,0.311466
1.528,0.716107,0.177687,0.622204,0.306756
1.538,0.715076,0.191784,0.613396,0.313523
1.548,0.656782,0.189618,0.537019,0.327136
1.558,0.692485,0.196767,0.578775,0.325326
1.568,0.621306,0.198974,0.491032,0.324527
1.578,0.645614,0.198498,0.522313,0.323428
1.588,0.636198,0.208283,0.511898,0.315162
1.598,0.627504,0.185852,0.534286,0.271586
1.608,0.658954,0.214238,0.55029,0.29241
1.618,0.658579,0.21024,0.552163,0.290931
1.628,0.653648,0.210605,0.543649,0.295546
1.638,0.659007,0.217184,0.544638,0.300815
1.648,0.639717,0.217158,0.5273,0.289888
1.658,0.657687,0.209971,0.541446,0.308709
1.668,0.620076,0.21433,0.502216,0.293829
1.678,0.638971,0.222179,0.515779,0.304783
1.688,0.638987,0.224357,0.516151,0.302582
1.698,0.627859,0.211449,0.522845,0.275916
1.708,0.646805,0.218808,0.551294,0.257981
1.718,0.648221,0.215819,0.551782,0.262962
1.728,0.650192,0.212014,0.535595,0.30156
1.738,0.644177,0.206951,0.534408,0.294183
1.748,0.638532,0.212113,0.530969,0.284259
1.758,0.633016,0.213597,0.498077,0.327117
1.768,0.645274,0.214325,0.499896,0.347199
1.778,0.623329,0.219639,0.465586,0.351464
1.788,0.676357,0.21122,0.536158,0.354089
1.798,0.664758,0.214498,0.518307,0.356723
1.808,0.662554,0.184835,0.539828,0.336748
1.818,0.662401,0.193556,0.535687,0.338157
1.828,0.697717,0.189934,0.581784,0.335055
1.838,0.690271,0.181872,0.5779,0.3308
1.848,0.701689,0.187831,0.580882,0.345924
1.858,0.701644,0.188068,0.580475,0.346387
