time_seconds,total_vibration,rms_x,rms_y,rms_z
4.798,5.202176,3.006421,3.48484,2.424861
4.808,5.107993,2.979988,3.415843,2.354416
4.818,5.230207,3.100333,3.449049,2.418068
4.828,5.297357,3.032415,3.540879,2.515677
4.838,5.194744,3.031252,3.41393,2.478298
4.848,5.241962,3.07992,3.480302,2.424821
4.858,5.085116,2.971201,3.386431,2.358487
4.868,5.060101,3.045926,3.347372,2.263196
4.878,5.083193,2.970116,3.376332,2.370156
4.888,5.026254,2.928851,3.307011,2.397654
4.898,5.001926,2.811898,3.306646,2.485676
4.908,4.728306,2.802518,3.017288,2.323519
4.918,4.754995,2.823664,3.073256,2.278597
4.928,4.585863,2.682917,2.939438,2.278552
4.938,4.532995,2.694118,2.875024,2.241429
4.948,4.375755,2.587866,2.751836,2.208526
4.958,4.249111,2.654417,2.680178,1.955929
4.968,4.225774,2.522427,2.714553,2.031189
4.978,4.050197,2.508858,2.41845,2.064177
4.988,3.975635,2.472904,2.338326,2.054908
4.998,3.699359,2.428774,2.309434,1.56615
5.008,3.682058,2.367508,2.334539,1.581892
5.018,3.528524,2.167431,2.267927,1.615313
5.028,3.463908,2.299262,2.053504,1.579612
5.038,3.508659,2.298769,2.105668,1.610126
5.048,3.388301,2.154378,2.074913,1.591846
5.058,3.388438,2.26196,2.029797,1.498324
5.068,3.437095,2.231812,2.148337,1.489055
5.078,3.493799,2.17186,2.172443,1.664377
5.088,3.440747,2.173887,2.095889,1.649304
5.098,3.469941,2.289792,2.063626,1.593359
5.108,3.542854,2.276566,2.132861,1.679275
5.118,3.553388,2.186404,2.222032,1.705513
5.128,3.651598,2.384456,2.197761,1.678804
5.138,3.781426,2.413929,2.347454,1.720926
5.148,3.785703,2.294596,2.379256,1.845404
5.158,3.78002,2.346523,2.328244,1.833483
5.168,3.835992,2.434656,2.382486,1.763816
5.178,3.854215,2.441033,2.397119,1.774867
5.188,3.869861,2.446143,2.419916,1.770935
5.198,3.923437,2.46917,2.423939,1.849616
5.208,3.959956,2.428935,2.504049,1.873837
5.218,3.945147,2.495534,2.447384,1.829429
5.228,4.012358,2.479416,2.565367,1.835865
5.238,4.015209,2.415736,2.575056,1.911861
5.248,4.044832,2.619507,2.489604,1.816788
5.258,4.111223,2.583066,2.589512,1.877326
5.268,4.093287,2.55619,2.53747,1.944773
5.278,4.035947,2.590401,2.485572,1.844079
5.288,4.155228,2.604555,2.638646,1.876103
5.298,4.139861,2.5543,2.633879,1.917468
5.308,4.161752,2.599928,2.666237,1.857884
5.318,4.141269,2.613823,2.580554,1.912792
5.328,4.105569,2.547814,2.588571,1.914065
5.338,4.162842,2.642689,2.579585,1.921246
5.348,4.190428,2.665518,2.614713,1.902097
5.358,4.156487,2.605562,2.627845,1.892581
5.368,4.227435,2.601135,2.583444,2.105021
5.378,4.23876,2.641306,2.650158,1.991796
5.388,4.320453,2.7211,2.694782,2.00002
5.398,4.300808,2.625777,2.76362,1.991142
5.408,4.251936,2.640874,2.657338,2.010797
5.418,4.545618,2.799929,2.769113,2.270474
5.428,4.509036,2.723114,2.756341,2.306217
5.438,4.585298,2.90398,2.797123,2.183566
5.448,4.612738,2.704995,3.006015,2.219061
5.458,4.687694,2.798972,3.045511,2.205695
5.468,4.827757,2.777637,3.097054,2.449536
5.478,4.887172,2.847205,3.144842,2.426486
5.488,4.820008,2.823043,3.09836,2.379721
5.498,4.968832,2.930625,3.255681,2.345479
5.508,5.039413,2.876745,3.234119,2.580795
5.518,5.168415,2.951858,3.363897,2.585197
5.528,5.171162,2.967528,3.335189,2.60983
5.538,5.397156,2.891113,3.464584,2.960983
5.548,5.4185,3.067203,3.445016,2.843285
5.558,5.492733,3.034331,3.559202,2.880111
5.568,5.577673,3.059325,3.656654,2.894798
5.578,5.59939,3.127429,3.578919,2.960355
5.588,5.699797,3.042511,3.750068,3.027838
5.598,5.713428,3.201355,3.683087,2.971439
5.608,5.831754,3.210827,3.840569,2.991652
5.618,5.9491,3.118793,3.960274,3.159295
5.628,5.940705,3.219603,3.871804,3.152027
5.638,6.121013,3.043978,4.014652,3.476142
5.648,6.205588,3.201958,3.955041,3.551681
5.658,6.167289,3.184104,3.868928,3.595599
5.668,6.254813,3.232551,3.940748,3.625439
5.678,6.211074,3.227465,3.90894,3.589024
5.688,6.273616,3.233171,3.867947,3.734146
5.698,6.188054,3.215574,3.720596,3.756229
5.708,6.263059,3.206627,3.818326,3.789966
5.718,6.186875,3.264468,3.656772,3.774744
5.728,6.361874,3.225035,3.838317,3.916621
5.738,6.120801,3.286598,3.632676,3.669624
5.748,6.175705,3.148943,3.82993,3.68173
5.758,6.098081,3.1921,3.722902,3.624512
5.768,6.061912,3.15306,3.685506,3.636212
5.778,6.117455,3.066075,3.772163,3.713923
5.788,6.02367,3.16506,3.59362,3.65416
5.798,5.983967,3.032827,3.662783,3.632332
5.808,5.758939,3.043971,3.496609,3.416626
5.818,5.688192,3.100401,3.359727,3.384565
5.828,5.69775,2.979538,3.437954,3.430333
5.838,5.276124,3.066064,3.179295,2.885969
5.848,5.180749,2.98636,3.118023,2.86352
5.858,5.195683,2.914449,3.196042,2.878614
