time_seconds,total_vibration,rms_x,rms_y,rms_z
4.068,8.977822,3.624376,5.426619,6.165792
4.078,9.20698,3.510417,5.536559,6.464671
4.088,9.40179,3.276943,5.812857,6.623141
4.099,9.339582,3.45962,5.804793,6.446952
4.108,9.16899,3.530764,5.594605,6.348582
4.117,9.279665,3.470589,5.577652,6.554158
4.128,9.400815,3.510399,5.645715,6.646678
4.138,9.478859,3.521136,5.798281,6.620447
4.148,9.123395,3.50356,5.616512,6.278232
4.157,9.21609,3.457215,5.569121,6.478338
4.168,9.810093,3.288434,6.03112,7.003551
4.178,9.97333,3.288525,6.386921,6.918103
4.188,10.02445,3.06676,6.584345,6.908761
4.198,9.956229,3.147267,6.519854,6.834671
4.208,10.06956,3.123764,6.544731,6.986032
4.218,10.374483,2.871012,6.827471,7.26449
4.228,10.301776,2.810309,6.975673,7.040507
4.237,9.929981,2.807681,6.863219,6.604368
4.248,9.648296,2.748671,6.647518,6.430002
4.257,9.843378,2.551941,6.762786,6.681648
4.268,10.593655,2.509851,7.330912,7.223842
4.277,10.623821,2.515357,7.514234,7.076359
4.288,10.500919,2.392368,7.501895,6.947478
4.297,10.485816,2.101197,7.552901,6.963547
4.308,10.544185,2.099314,7.579585,7.023005
4.318,10.707906,2.14116,7.618264,7.21365
4.327,10.772927,2.071652,7.69199,7.252414
4.337,10.865346,1.955223,7.84226,7.261667
4.347,10.848804,1.925849,7.841873,7.245183
4.357,10.932057,1.918415,7.972946,7.229225
4.368,11.09668,1.916962,8.169232,7.261212
4.377,11.000176,1.920284,8.053977,7.242225
4.387,10.936323,1.902802,7.954651,7.259892
4.397,11.075314,1.911735,7.998489,7.418356
4.407,11.194744,1.916855,8.137404,7.445174
4.417,11.085331,1.866552,8.100773,7.333349
4.427,10.996462,1.798121,8.001584,7.325543
4.437,10.903121,1.80634,7.87146,7.324978
4.448,10.999103,1.796228,7.869875,7.471205
4.457,11.216838,1.854253,7.936164,7.706913
4.467,11.252625,1.834838,8.09971,7.592737
4.478,11.175871,1.832654,8.123996,7.452661
4.487,11.087373,1.832107,8.00341,7.451084
4.497,11.160042,1.869214,7.983588,7.570661
4.507,11.447046,1.917858,8.183675,7.770723
4.517,11.398511,2.078936,8.277976,7.555077
4.528,11.324207,2.109485,8.302456,7.406548
4.537,11.245203,2.11177,8.207678,7.391145
4.548,11.293143,2.115013,8.204481,7.466478
4.557,11.307162,2.187829,8.246445,7.420341
4.567,11.154709,2.174902,8.221031,7.218863
4.577,11.109087,2.170274,8.198857,7.174989
4.588,11.085808,2.153358,8.145553,7.204732
4.597,11.185494,2.114662,8.240143,7.262473
4.608,11.332763,2.330502,8.236393,7.42712
4.618,11.600324,2.510028,8.429323,7.56398
4.628,11.890009,2.631583,8.736182,7.624055
4.638,12.312194,2.846605,9.201325,7.669588
4.648,12.472634,2.918581,9.506903,7.527767
4.657,12.093066,2.85444,9.426288,7.017088
4.667,11.507837,2.813243,9.006498,6.587789
4.677,11.308312,2.816316,8.775757,6.55228
4.687,11.310795,2.839488,8.733866,6.602347
4.698,11.259648,2.842005,8.684007,6.579567
4.707,11.05452,2.812507,8.523181,6.453495
4.717,11.029607,2.792504,8.395857,6.585115
4.727,11.221525,2.914937,8.222862,7.057642
4.738,11.736095,3.312462,8.360483,7.540945
4.747,12.437433,3.617366,8.793356,8.01756
4.758,12.577316,3.764019,8.877596,8.075229
4.768,12.507716,3.88189,8.871547,7.91641
4.777,12.628176,3.933057,9.006498,7.929998
4.787,12.882538,3.978474,9.375681,7.888482
4.798,12.83669,3.923379,9.549528,7.628513
4.808,12.352909,3.737599,9.366078,7.134513
4.818,11.967434,3.68046,9.022487,6.947547
4.827,12.008419,3.706156,8.732023,7.363309
4.837,12.253711,3.657027,8.57664,7.951152
4.848,12.626726,3.69911,8.885543,8.173
4.858,12.933349,3.732693,9.260061,8.221301
4.868,13.028234,3.74113,9.389255,8.220749
4.877,12.994479,3.738143,9.318603,8.249025
4.888,13.32964,3.774995,9.463058,8.595304
4.897,13.746433,3.751757,9.78522,8.895965
4.907,13.67723,3.673118,9.960682,8.623204
4.917,13.466461,3.593592,9.950151,8.332237
4.927,13.195269,3.461211,9.860127,8.056862
4.937,13.118195,3.072218,9.766844,8.201054
4.947,12.885293,2.785446,9.793712,7.896537
4.958,12.69002,2.52589,9.862629,7.575292
4.968,12.319016,2.351438,9.529001,7.444934
4.977,12.2487,2.265813,9.243142,7.711102
4.988,12.650458,2.293109,9.272577,8.294279
