time_seconds,total_vibration,rms_x,rms_y,rms_z
0.299,4.845294,2.342489,3.836662,1.808216
0.309,4.937147,2.361335,3.908546,1.876908
0.318,4.941337,2.368969,3.908990,1.877388
0.328,5.098271,2.461999,4.012817,1.956586
0.338,5.163845,2.468028,4.060876,2.020747
0.348,5.172860,2.485796,4.061139,2.021498
0.358,5.291968,2.534397,4.142750,2.102233
0.368,5.382743,2.570231,4.197096,2.179959
0.378,5.390823,2.572463,4.201457,2.188874
0.388,5.425402,2.599503,4.215021,2.216115
0.398,5.527049,2.625621,4.283905,2.302724
0.408,5.535701,2.629043,4.292861,2.302924
0.418,5.682712,2.742538,4.368550,2.384842
0.428,5.734520,2.742730,4.409134,2.433452
0.438,5.775508,2.758374,4.447781,2.442357
0.448,5.828824,2.768819,4.508895,2.445139
0.458,5.898101,2.842148,4.521798,2.502625
0.468,6.003389,2.889926,4.579688,2.591422
0.478,6.022471,2.891776,4.595506,2.605592
0.488,6.075169,2.956809,4.610565,2.628241
0.498,6.175335,2.987869,4.675444,2.710650
0.508,6.182787,2.987480,4.680259,2.719741
0.518,5.848505,2.795617,4.353520,2.726975
0.528,5.884496,2.771997,4.392261,2.766111
0.538,5.837604,2.765454,4.346759,2.745101
0.548,5.917836,2.800916,4.411680,2.777181
0.558,5.885184,2.783933,4.353873,2.815829
0.568,5.864304,2.801613,4.321211,2.805024
0.578,5.914063,2.818875,4.366668,2.821755
0.588,5.929973,2.821179,4.380126,2.831964
0.598,5.912498,2.823865,4.361043,2.822184
0.608,5.941503,2.850149,4.361508,2.855759
0.618,5.987979,2.837523,4.388279,2.923586
0.628,5.916420,2.800311,4.361263,2.853362
0.638,5.955277,2.818159,4.407725,2.845219
0.648,5.934566,2.777673,4.396757,2.858694
0.658,5.898755,2.805604,4.337998,2.847046
0.668,5.961515,2.821962,4.399862,2.866601
0.678,5.906185,2.785093,4.349354,2.865206
0.688,5.948579,2.837770,4.369438,2.870657
0.698,5.948154,2.809315,4.389380,2.867340
0.708,5.887704,2.809426,4.331538,2.830187
0.718,5.987653,2.855413,4.402949,2.883166
0.728,5.866452,2.825632,4.280250,2.847897
0.738,5.929930,2.897606,4.291919,2.889183
0.748,5.938827,2.853181,4.313306,2.919661
0.758,5.905626,2.873065,4.276613,2.886606
0.768,5.962080,2.880960,4.329995,2.915066
0.778,5.927040,2.879348,4.284349,2.912645
0.788,5.999772,2.934093,4.336269,2.930040
