time_seconds,total_vibration,rms_x,rms_y,rms_z
3.118,1.277325,0.2776,1.11818,0.551518
3.129,1.278882,0.269372,1.121162,0.553149
3.138,1.316767,0.301083,1.140189,0.585828
3.148,1.325909,0.318092,1.142737,0.592457
3.158,1.342272,0.31292,1.158733,0.600926
3.168,1.38612,0.314117,1.197153,0.624087
3.178,1.424429,0.306764,1.225309,0.658416
3.188,1.459061,0.302127,1.24833,0.692278
3.198,1.461165,0.313006,1.254586,0.680474
3.208,1.409128,0.287361,1.217326,0.648985
3.219,1.285085,0.288366,1.085418,0.624624
3.228,1.168353,0.295942,0.96156,0.594027
3.238,1.109207,0.300086,0.902628,0.570571
3.248,1.051478,0.297907,0.83059,0.571819
3.258,0.984414,0.297348,0.747785,0.566986
3.268,0.972228,0.292059,0.727867,0.574577
3.278,0.960762,0.293711,0.713875,0.571997
3.288,0.971149,0.291979,0.737569,0.560241
3.298,0.99984,0.285134,0.738035,0.611296
3.308,1.050381,0.345724,0.732241,0.669027
3.318,1.088793,0.352527,0.764663,0.690279
3.328,1.14151,0.355634,0.783635,0.74999
3.338,1.13013,0.319616,0.753901,0.778892
3.348,1.122588,0.302936,0.751134,0.777324
3.358,1.099528,0.302763,0.724825,0.769367
3.369,1.061696,0.293734,0.701533,0.74079
3.379,1.033474,0.302622,0.668369,0.727854
3.389,0.986167,0.308441,0.62946,0.693664
3.398,0.958092,0.295808,0.616606,0.670996
3.408,0.995129,0.296256,0.673471,0.670038
3.418,1.061855,0.292492,0.769409,0.670816
3.428,1.141999,0.279008,0.892116,0.656084
3.438,1.268905,0.297794,1.01,0.708052
3.448,1.318503,0.298905,1.071774,0.707394
3.458,1.332697,0.317463,1.078577,0.71552
3.469,1.326118,0.323486,1.072629,0.709516
3.479,1.326662,0.315893,1.075712,0.709288
3.488,1.317452,0.317437,1.059382,0.715976
3.498,1.310515,0.338555,1.059606,0.692869
3.508,1.317634,0.306754,1.105916,0.647312
3.518,1.390131,0.299009,1.206775,0.621895
3.528,1.431052,0.295731,1.279301,0.56907
3.538,1.457856,0.293761,1.338918,0.496332
3.548,1.466976,0.295571,1.347139,0.499871
3.558,1.488029,0.298993,1.363328,0.515916
3.568,1.507175,0.300875,1.368154,0.556062
3.578,1.508064,0.329949,1.355724,0.572192
3.588,1.516017,0.325772,1.362647,0.579114
3.598,1.537933,0.325663,1.375466,0.606031
3.608,1.513506,0.324911,1.345464,0.612258
3.618,1.466184,0.334957,1.290327,0.610374
3.628,1.416101,0.338112,1.232067,0.610764
3.638,1.308348,0.317979,1.142645,0.552292
3.649,1.280101,0.330356,1.079709,0.603117
3.658,1.278754,0.322142,1.066995,0.626864
3.668,1.293171,0.316033,1.066649,0.659299
3.678,1.30062,0.311309,1.078024,0.657695
3.688,1.319657,0.314384,1.078263,0.692826
3.699,1.327474,0.306939,1.10422,0.669831
3.708,1.342845,0.291329,1.126877,0.669707
3.719,1.350464,0.29278,1.139832,0.662431
3.728,1.35128,0.294204,1.152964,0.64037
3.738,1.301433,0.301957,1.089073,0.645343
3.748,1.334162,0.305532,1.099744,0.690797
3.758,1.391061,0.317107,1.167542,0.686542
3.768,1.406549,0.319064,1.208757,0.644581
3.778,1.429651,0.27382,1.260438,0.616619
3.788,1.452839,0.273392,1.291781,0.606053
3.798,1.447048,0.283623,1.295952,0.577941
3.808,1.443432,0.286643,1.293643,0.572554
3.818,1.467085,0.272844,1.303163,0.616168
3.828,1.470345,0.283956,1.292703,0.640471
3.838,1.485041,0.284076,1.308621,0.641996
3.848,1.461971,0.271136,1.309352,0.591136
3.858,1.473282,0.261966,1.310395,0.620323
3.868,1.473948,0.272481,1.30624,0.626111
3.878,1.466468,0.27076,1.297977,0.626477
3.888,1.449849,0.269055,1.302112,0.57808
3.899,1.427361,0.246145,1.276904,0.588463
3.908,1.380659,0.246172,1.214129,0.609515
3.918,1.260126,0.244031,1.0746,0.61123
3.928,1.16262,0.242341,0.958064,0.61243
3.938,1.178138,0.238306,0.977245,0.61336
3.948,1.199571,0.248917,0.999072,0.61552
3.958,1.10411,0.229659,0.893858,0.60608
3.969,1.134489,0.242854,0.914913,0.625318
3.978,1.136814,0.242904,0.897795,0.653688
3.988,1.097955,0.238791,0.837049,0.669203
3.998,1.134497,0.230421,0.878313,0.680114
4.008,1.193785,0.238083,0.940459,0.695684
4.018,1.153119,0.250557,0.913339,0.657812
4.028,1.119983,0.229983,0.899288,0.626697
4.038,1.113337,0.23555,0.887697,0.629308
4.048,1.146474,0.239716,0.922119,0.63768
4.059,1.106505,0.2379,0.915841,0.573579
4.068,1.10895,0.226857,0.946845,0.530838
4.078,1.142443,0.226658,0.98517,0.532206
4.088,1.144076,0.22808,0.987101,0.531527
4.099,1.245469,0.229382,1.108735,0.518927
4.108,1.242602,0.224166,1.119872,0.489588
4.118,1.297888,0.233184,1.180046,0.487473
4.129,1.344624,0.236073,1.229033,0.49169
4.139,1.327661,0.23161,1.209549,0.496016
4.149,1.301907,0.221685,1.203566,0.444123
4.159,1.312593,0.219205,1.209399,0.460655
4.169,1.22692,0.220306,1.127451,0.430874
4.178,1.186089,0.221389,1.081021,0.434957
4.189,1.205601,0.22519,1.080709,0.484594
4.198,1.175091,0.229669,1.024765,0.527208
4.208,1.178992,0.265803,0.970871,0.613826
4.219,1.176819,0.260104,0.970621,0.61249
4.228,1.195578,0.266793,0.980523,0.629922
4.238,1.187422,0.262857,0.958602,0.649585
4.248,1.164306,0.256627,0.936281,0.642752
4.259,1.173448,0.259088,0.942241,0.649642
4.268,1.147426,0.260936,0.907897,0.651323
4.278,1.129985,0.267842,0.863381,0.678011
4.289,1.128315,0.280419,0.855918,0.679605
4.298,1.026773,0.297766,0.68571,0.703848
4.308,1.070005,0.315238,0.687892,0.756532
4.318,1.054282,0.313345,0.644796,0.773022
4.329,1.021703,0.316556,0.552251,0.799179
4.338,1.083279,0.337004,0.610709,0.828829
4.348,1.123872,0.32829,0.700205,0.815492
4.358,1.117864,0.328575,0.698456,0.808589
4.369,1.181691,0.310657,0.798854,0.813461
4.379,1.229205,0.330329,0.87868,0.793568
4.389,1.215136,0.331609,0.893056,0.754348
4.399,1.184442,0.323678,0.891889,0.708991
4.408,1.134689,0.297947,0.892859,0.633679
4.418,1.153113,0.317589,0.892548,0.657393
4.428,1.180892,0.331437,0.926749,0.652527
4.438,1.32494,0.33019,1.116476,0.632393
4.449,1.409141,0.330592,1.215228,0.632145
4.459,1.416614,0.327942,1.216653,0.647305
4.469,1.41428,0.325628,1.214984,0.646506
4.478,1.396771,0.319582,1.214789,0.610838
4.489,1.410229,0.31095,1.222846,0.629845
4.498,1.391559,0.289399,1.220659,0.602228
4.508,1.469994,0.280861,1.342617,0.528562
4.518,1.575042,0.283795,1.463554,0.508161
4.529,1.654964,0.278417,1.551787,0.503334
4.539,1.629223,0.260749,1.538262,0.469177
4.548,1.57048,0.260332,1.475414,0.470945
4.559,1.57425,0.260318,1.473774,0.488352
4.568,1.536023,0.259709,1.436266,0.478598
4.579,1.508747,0.259478,1.408339,0.47494
4.588,1.50773,0.25569,1.407941,0.474945
4.598,1.502904,0.256606,1.406579,0.463044
4.608,1.507502,0.258277,1.410613,0.464786
4.619,1.520367,0.229305,1.439272,0.432934
4.629,1.505532,0.206755,1.430327,0.421951
4.638,1.38421,0.207081,1.303937,0.415817
4.648,1.29298,0.207652,1.204467,0.421826
4.658,1.303064,0.210042,1.218119,0.412364
4.669,1.344873,0.225366,1.219253,0.52088
4.678,1.366793,0.241724,1.226388,0.552868
4.689,1.365939,0.242728,1.234482,0.531908
4.699,1.399916,0.261731,1.268346,0.531565
4.709,1.343588,0.25579,1.205738,0.534787
4.718,1.205635,0.261169,1.045695,0.540248
4.728,1.088092,0.26086,0.932232,0.496831
4.739,1.101768,0.279882,0.947867,0.486935
4.748,1.138392,0.285609,0.981536,0.50095
4.758,1.170087,0.287271,0.998686,0.537778
4.768,1.210329,0.31845,0.982631,0.630811
4.779,1.193008,0.325402,0.953505,0.638913
4.788,1.18989,0.326197,0.947127,0.642172
4.799,1.221878,0.32635,0.966925,0.671966
4.809,1.238057,0.323799,0.986649,0.674139
4.818,1.242623,0.320036,0.996914,0.669218
4.829,1.229268,0.321231,0.962562,0.693819
4.838,1.271909,0.322438,1.013373,0.697755
4.848,1.37257,0.32628,1.138054,0.694494
4.858,1.438343,0.324062,1.219763,0.689923
4.869,1.485848,0.324345,1.310149,0.621333
4.879,1.534566,0.312402,1.377349,0.600174
4.889,1.536338,0.334624,1.374172,0.600009
4.894,1.506752,0.318964,1.334895,0.621787
4.908,1.463743,0.32225,1.272377,0.647884
4.914,1.444459,0.310304,1.246405,0.660793
4.928,1.447699,0.310404,1.23447,0.689614
4.938,1.428429,0.301721,1.213046,0.691299
4.948,1.448817,0.295947,1.243272,0.682466
4.958,1.482306,0.295369,1.29161,0.664628
4.968,1.494177,0.282428,1.344521,0.58742
4.977,1.54737,0.265318,1.40849,0.583194
4.988,1.566789,0.273926,1.42883,0.581583
4.997,1.556839,0.268381,1.424454,0.568023
5.008,1.541199,0.268636,1.40399,0.576141
5.017,1.513796,0.268898,1.373195,0.577588
5.028,1.510803,0.265985,1.375753,0.564871
5.038,1.496728,0.267801,1.340336,0.609898
5.047,1.421506,0.263203,1.255566,0.612336
5.057,1.377082,0.2632,1.208426,0.605629
5.067,1.393495,0.25064,1.231012,0.603008
5.078,1.427412,0.250646,1.269141,0.603294
5.087,1.447225,0.229142,1.292116,0.610238
5.097,1.447871,0.230245,1.299606,0.595266
5.108,1.442794,0.252738,1.299467,0.573726
5.117,1.436312,0.2534,1.29346,0.570739
5.127,1.442112,0.257285,1.293268,0.58391
5.137,1.461941,0.271453,1.289524,0.633019
5.147,1.432771,0.27723,1.244404,0.653785
5.158,1.395426,0.27837,1.203405,0.649261
5.168,1.375244,0.248086,1.191303,0.64074
5.177,1.34418,0.25149,1.153536,0.642595
5.188,1.327208,0.258107,1.132744,0.64168
5.198,1.321287,0.256007,1.12603,0.642119
5.207,1.314196,0.260157,1.124433,0.628554
5.218,1.309814,0.262235,1.118277,0.629526
5.228,1.350484,0.284908,1.122105,0.695353
5.238,1.371321,0.313675,1.12454,0.719402
5.247,1.368442,0.319658,1.111518,0.731423
5.258,1.339212,0.320984,1.064965,0.74586
5.268,1.24192,0.316602,0.946198,0.739484
5.278,1.127328,0.339317,0.781604,0.738124
5.287,1.091701,0.35028,0.727142,0.735105
5.297,1.083999,0.35485,0.717057,0.731414
5.307,1.078497,0.341024,0.725908,0.721053
5.317,1.091423,0.338465,0.751287,0.715692
5.327,1.130136,0.345368,0.779647,0.741674
5.337,1.168506,0.360144,0.841947,0.72583
5.348,1.189808,0.360285,0.875994,0.720051
5.358,1.185509,0.361499,0.864058,0.726742
5.368,1.163175,0.361947,0.834093,0.725437
5.378,1.147007,0.375992,0.807652,0.722464
5.388,1.148008,0.383205,0.803694,0.724674
5.398,1.146894,0.383112,0.813144,0.712312
5.407,1.162867,0.381527,0.832533,0.716649
5.417,1.178035,0.380291,0.854973,0.715659
5.427,1.17902,0.367743,0.899651,0.667443
5.438,1.165075,0.361375,0.918905,0.618401
5.448,1.153098,0.358708,0.916723,0.600487
5.457,1.146534,0.357982,0.918958,0.584726
5.467,1.165815,0.358019,0.94554,0.580432
5.478,1.171939,0.357467,0.941582,0.599234
5.488,1.186058,0.35537,0.951431,0.612557
5.498,1.192218,0.350491,0.959508,0.614722
5.507,1.201458,0.342867,0.951932,0.647895
5.518,1.201106,0.346898,0.931157,0.674733
5.528,1.142763,0.336342,0.91433,0.597312
5.537,1.090173,0.309287,0.885187,0.556113
5.548,1.076777,0.302702,0.876096,0.547974
5.557,1.048833,0.300567,0.858447,0.522283
5.568,1.022156,0.299762,0.822046,0.528381
5.578,1.022564,0.281463,0.831325,0.524705
5.588,1.150139,0.259192,0.988704,0.527356
5.598,1.288065,0.267965,1.144966,0.5257
5.607,1.372802,0.265325,1.231032,0.546579
5.618,1.387164,0.275782,1.236352,0.565334
5.627,1.339619,0.26968,1.203985,0.521797
5.638,1.298099,0.246302,1.168179,0.509662
5.648,1.320327,0.249003,1.161875,0.575592
5.658,1.312406,0.249561,1.153414,0.574252
5.668,1.280484,0.250309,1.117969,0.571952
5.678,1.31079,0.223279,1.168016,0.551414
5.688,1.378708,0.206541,1.220447,0.607195
5.697,1.420615,0.227778,1.234677,0.664708
5.707,1.413371,0.230653,1.243417,0.631134
5.717,1.402605,0.228738,1.247547,0.598836
5.727,1.399131,0.229309,1.243436,0.599042
5.738,1.37555,0.215865,1.218025,0.601626
5.748,1.352972,0.215351,1.197218,0.592306
5.758,1.351226,0.232208,1.191169,0.594144
5.768,1.356551,0.242776,1.191251,0.601841
5.778,1.352008,0.227758,1.164329,0.648375
5.788,1.2636,0.24097,1.017845,0.708951
5.798,1.122094,0.231105,0.838686,0.708726
5.807,1.029332,0.2727,0.710284,0.693293
5.818,1.037151,0.296666,0.726956,0.677648
5.828,1.072686,0.303099,0.773132,0.679008
5.838,1.076124,0.304902,0.790349,0.663647
5.848,1.11987,0.314129,0.843435,0.66637
5.858,1.224802,0.35858,0.908906,0.738546
