time_seconds,total_vibration,rms_x,rms_y,rms_z
0.299,2.152133,0.696688,1.653961,1.187735
0.308,2.250659,0.695345,1.756511,1.223367
0.318,2.253739,0.695848,1.760155,1.223516
0.328,2.271032,0.704476,1.778333,1.224269
0.338,2.301945,0.703719,1.809616,1.236535
0.348,2.334128,0.734221,1.809724,1.278270
0.358,2.411024,0.733860,1.882983,1.314861
0.368,2.412225,0.733337,1.882979,1.317360
0.378,2.429933,0.747560,1.900887,1.316190
0.388,2.452040,0.746562,1.917003,1.334258
0.398,2.453322,0.752467,1.917041,1.333243
0.408,2.514494,0.753949,1.985030,1.346810
0.418,2.521163,0.752020,1.990329,1.352524
0.428,2.582490,0.760264,2.054019,1.368306
0.438,2.609973,0.761581,2.071044,1.393818
0.448,2.660590,0.762991,2.118538,1.417172
0.458,2.687726,0.760461,2.128038,1.455000
0.468,2.693321,0.766538,2.133091,1.454758
0.478,2.709583,0.764140,2.149010,1.462768
0.488,2.714856,0.765927,2.152678,1.466211
0.498,2.787096,0.764279,2.229552,1.487575
0.508,2.785780,0.761591,2.229615,1.486394
0.518,2.753078,0.703428,2.233493,1.447804
0.528,2.756462,0.703915,2.237893,1.447212
0.538,2.734489,0.744042,2.206794,1.433139
0.548,2.799585,0.733040,2.278507,1.452148
0.558,2.729757,0.732626,2.202771,1.436186
0.568,2.787947,0.725034,2.255387,1.469764
0.578,2.773222,0.721815,2.229648,1.482705
0.588,2.836253,0.719926,2.268238,1.543092
0.598,2.824261,0.720572,2.258666,1.534814
0.608,2.794449,0.724852,2.226023,1.525894
0.618,2.813906,0.730836,2.250568,1.522791
0.628,2.788189,0.717787,2.225017,1.519238
0.638,2.829419,0.722719,2.269314,1.527582
0.648,2.810648,0.725157,2.236342,1.540344
0.658,2.829249,0.736787,2.261290,1.532437
0.668,2.824383,0.715368,2.258999,1.536982
0.678,2.801133,0.719154,2.247825,1.508790
0.688,2.810654,0.718245,2.270755,1.492504
0.698,2.809688,0.716068,2.275814,1.484003
0.708,2.840487,0.700202,2.295277,1.519800
0.718,2.821563,0.669306,2.303035,1.486364
0.728,2.790769,0.662846,2.263964,1.491138
0.738,2.791081,0.673341,2.262020,1.489971
0.748,2.840880,0.655262,2.297433,1.537216
0.758,2.790601,0.649801,2.239387,1.533089
0.768,2.816912,0.648215,2.255264,1.558395
0.778,2.808792,0.639139,2.253019,1.550716
0.788,2.783835,0.640541,2.245332,1.515891
