time_seconds,total_vibration,rms_x,rms_y,rms_z
0.299,0.991039,0.194627,0.895304,0.377770
0.309,0.994675,0.199447,0.894982,0.385497
0.318,0.997389,0.202235,0.897387,0.385465
0.328,1.010337,0.202184,0.911780,0.385434
0.338,1.035456,0.203610,0.937436,0.389777
0.349,1.037468,0.206115,0.937124,0.394532
0.358,1.043063,0.210600,0.940430,0.399022
0.368,1.045548,0.210625,0.939839,0.406830
0.378,1.052675,0.210570,0.945239,0.412685
0.388,1.082402,0.212226,0.977123,0.414469
0.398,1.085464,0.212406,0.978771,0.418478
0.408,1.085250,0.213067,0.978279,0.418735
0.418,1.097631,0.216455,0.991232,0.418807
0.428,1.097734,0.219929,0.990421,0.419188
0.438,1.102411,0.220928,0.992409,0.426174
0.448,1.113023,0.221503,1.003475,0.427545
0.458,1.113469,0.222034,1.003073,0.429369
0.468,1.128228,0.223651,1.019104,0.429308
0.478,1.141627,0.224494,1.022828,0.454685
0.488,1.142559,0.226847,1.021669,0.458445
0.498,1.144442,0.226765,1.023169,0.459838
0.508,1.144847,0.233258,1.021773,0.460703
0.518,1.098707,0.210579,1.014888,0.364439
0.528,1.094496,0.211303,1.010189,0.364404
0.538,1.042969,0.210450,0.954074,0.365020
0.548,1.013108,0.205100,0.922646,0.364755
0.558,1.013781,0.207999,0.918076,0.376330
0.568,1.018294,0.206330,0.921261,0.381613
0.578,1.018294,0.204380,0.921151,0.382927
0.588,1.009562,0.204738,0.913457,0.378013
0.598,0.963364,0.205571,0.861509,0.378962
0.608,0.935487,0.206785,0.829718,0.379400
0.618,0.941429,0.206433,0.833693,0.385526
0.628,0.942199,0.203772,0.833818,0.388540
0.638,0.956992,0.204767,0.836326,0.417687
0.648,0.954652,0.205700,0.833611,0.417302
0.658,0.924966,0.204754,0.799732,0.417214
0.668,0.903538,0.199706,0.782866,0.404500
0.678,0.902552,0.200306,0.782642,0.402430
0.688,0.913163,0.204296,0.793633,0.402835
0.698,0.914248,0.203617,0.796559,0.399856
0.708,0.902171,0.194951,0.780442,0.408433
0.718,0.876369,0.194187,0.750033,0.409589
0.728,0.866695,0.201035,0.739519,0.404791
0.738,0.868454,0.201871,0.741309,0.404872
0.748,0.868843,0.191509,0.743366,0.406962
0.758,0.870798,0.191477,0.745939,0.406449
0.768,0.835437,0.196524,0.702227,0.407690
0.778,0.788110,0.194031,0.645078,0.409076
0.788,0.802882,0.190671,0.655283,0.422929
