time_seconds,total_vibration,rms_x,rms_y,rms_z
5.528,19.011244,13.512107,7.970036,10.73913
5.538,18.456187,13.096991,7.837265,10.376749
5.548,18.329393,12.903436,7.829156,10.400591
5.558,18.463012,12.8486,7.903907,10.645401
5.568,18.444514,12.814057,8.041012,10.55188
5.578,18.406885,12.823862,8.15183,10.387957
5.588,18.355921,12.775311,8.013656,10.464826
5.598,18.465083,12.839012,7.957801,10.620379
5.608,18.692535,12.987277,8.060469,10.759662
5.618,18.801887,13.041274,8.277088,10.720352
5.628,18.570431,12.84054,8.39891,10.461345
5.638,17.801253,12.3255,8.147158,9.929273
5.648,17.093425,11.7825,7.627175,9.756232
5.658,17.059768,11.690692,7.329205,10.032256
5.668,17.432969,11.954695,7.435779,10.28119
5.678,18.06712,12.435053,7.68488,10.617575
5.688,18.751484,13.0128,7.96069,10.904706
5.698,19.309901,13.481382,8.125176,11.185085
5.708,19.752068,13.82963,8.289398,11.409268
5.718,19.99373,14.012386,8.420942,11.510431
5.728,19.988864,13.97766,8.616928,11.398608
5.738,19.749665,13.771358,8.738501,11.137215
5.748,19.061684,13.234018,8.610792,10.68002
5.758,18.092132,12.499662,8.349494,10.06825
5.768,17.32262,11.895151,8.03224,9.69854
5.778,16.939833,11.527526,7.686317,9.746519
5.788,17.154115,11.663712,7.731494,9.92197
5.798,17.5722,11.938279,8.07354,10.053737
5.808,17.62658,11.988447,8.196374,9.989641
5.818,17.514872,11.922534,8.050903,9.99034
5.828,17.472318,11.923826,7.914113,10.023527
5.84,17.797328,12.10198,7.908963,10.379561
5.849,18.154397,12.387615,8.046886,10.553519
5.86,18.22583,12.496554,8.341221,10.317026
5.868,18.164878,12.420954,8.450638,10.21124
5.878,17.715983,12.073755,8.439589,9.841434
5.888,17.154506,11.525099,8.311361,9.610955
5.901,16.490914,10.950067,8.169083,9.23647
5.908,16.032742,10.56417,7.942548,9.07541
5.918,16.140379,10.611672,7.927393,9.222836
5.929,16.596183,10.953447,8.101831,9.47711
5.938,16.908903,11.12757,8.321355,9.635519
5.948,16.90419,11.153769,8.25877,9.650791
5.958,16.874195,11.149792,8.182186,9.668113
5.968,16.900084,11.173162,8.168654,9.697752
5.979,17.096683,11.288345,8.190575,9.888595
5.991,17.095614,11.266562,8.100517,9.9853
5.998,17.146031,11.386283,7.932003,10.070861
6.008,17.531772,11.695589,8.015344,10.311667
6.018,17.840122,11.926221,8.212453,10.420693
6.029,17.922373,11.951268,8.360939,10.415054
6.038,17.59311,11.759415,8.423574,10.013845
6.048,17.250092,11.48546,8.276358,9.85656
6.058,17.028394,11.29619,8.049785,9.877411
6.068,16.950688,11.209992,8.000098,9.882325
6.078,16.989483,11.186973,8.107477,9.887516
6.088,16.796784,11.07021,7.946506,9.820156
6.098,16.781349,11.07603,7.854144,9.861422
6.108,16.929939,11.190852,7.848769,9.989218
6.118,17.020922,11.283545,7.822112,10.060216
6.128,17.166972,11.391927,7.729932,10.255588
6.138,17.253952,11.524069,7.539048,10.395069
6.148,17.424775,11.633427,7.573936,10.531936
6.158,17.416035,11.643146,7.572619,10.507657
6.168,17.393467,11.597444,7.577046,10.517622
6.178,17.333519,11.538953,7.607792,10.460639
6.189,17.30476,11.52667,7.681476,10.372343
6.198,17.08208,11.306389,7.790937,10.161905
6.208,16.62462,10.91778,7.671456,9.916088
6.218,16.287184,10.684914,7.44409,9.782153
6.228,16.217869,10.653786,7.267455,9.833627
6.238,16.57382,10.890066,7.338302,10.11174
6.248,17.008085,11.140797,7.926121,10.116037
6.258,17.04492,11.138046,8.248188,9.921724
6.268,16.645977,10.857958,8.13019,9.648488
6.278,16.148214,10.539774,7.763553,9.455433
6.288,16.194381,10.560336,7.687517,9.572845
6.299,16.693311,10.851607,7.799428,10.003908
6.308,17.229701,11.210372,8.084767,10.28721
6.318,17.277151,11.28056,8.330127,10.092467
6.328,16.800763,10.965563,8.277166,9.670088
6.338,16.297129,10.58502,8.133219,9.349038
6.348,16.018233,10.395797,8.004617,9.188977
6.358,16.302967,10.560738,8.010341,9.49168
6.368,16.898514,10.971384,8.274693,9.834529
6.378,17.121938,11.168322,8.557134,9.757294
6.388,16.761971,10.917597,8.528362,9.435932
6.398,16.151821,10.510244,8.171814,9.145357
6.408,15.903168,10.333139,7.933412,9.121291
6.418,16.126914,10.475186,7.941264,9.342599
6.428,16.706173,10.882938,8.231879,9.638155
6.438,17.087874,11.165952,8.580992,9.679025
6.448,16.771374,11.002055,8.256942,9.594619
6.459,16.189824,10.612575,7.820659,9.397924
6.468,15.866668,10.37936,7.541291,9.33536
6.478,16.274359,10.602778,7.678714,9.668154
6.488,16.974678,11.006883,8.184249,10.000314
6.498,17.019643,11.08296,8.436791,9.780429
6.508,16.436026,10.66672,8.325013,9.330499
6.518,15.700529,10.078323,8.042041,8.958772
6.528,15.261996,9.731302,7.746011,8.84475
6.538,15.324151,9.766707,7.600023,9.037737
