time_seconds,total_vibration,rms_x,rms_y,rms_z
4.897,3.31544,0.80133,2.787859,1.605569
4.907,3.297877,0.751183,2.788573,1.592349
4.917,3.318317,0.753188,2.820499,1.577567
4.927,3.315423,0.807626,2.833037,1.521077
4.937,3.252852,0.794617,2.764812,1.518369
4.947,3.26155,0.833259,2.781773,1.484968
4.957,3.272546,0.807153,2.799569,1.490125
4.967,3.176086,0.8378,2.724245,1.401465
4.977,3.26396,0.787632,2.836616,1.409495
4.987,3.158322,0.807262,2.726563,1.374474
4.997,3.223087,0.785309,2.819631,1.34954
5.007,3.199904,0.786786,2.841263,1.244018
5.017,3.217219,0.782638,2.869983,1.225225
5.027,3.117188,0.843895,2.73258,1.240044
5.037,3.126947,0.820955,2.77701,1.17985
5.047,3.089634,0.832838,2.731132,1.180313
5.057,3.104137,0.841498,2.751454,1.164924
5.067,3.096152,0.806887,2.691776,1.299783
5.077,3.027541,0.88296,2.56164,1.350698
5.087,3.045913,0.79004,2.647026,1.283228
5.097,2.976813,0.801616,2.569509,1.271397
5.107,3.010914,0.799249,2.571379,1.347149
5.117,2.891889,0.841937,2.428221,1.325862
5.127,2.958829,0.781938,2.434437,1.48888
5.137,2.921519,0.781987,2.351167,1.547833
5.147,2.881257,0.748398,2.304732,1.558766
5.157,2.81192,0.766485,2.256874,1.491949
5.167,2.851055,0.748197,2.31389,1.488162
5.177,2.736758,0.747982,2.174068,1.484518
5.187,2.614807,0.744735,2.076485,1.40385
5.197,2.418563,0.770921,1.957042,1.193781
5.207,2.464272,0.77395,1.889607,1.3795
5.217,2.430338,0.835833,1.812305,1.386895
5.227,2.411483,0.767172,1.788327,1.424283
5.237,2.253253,0.78902,1.698622,1.252708
5.247,2.281377,0.769602,1.759745,1.231134
5.257,2.160546,0.785154,1.592739,1.230721
5.267,2.17275,0.795634,1.609892,1.223134
5.277,2.208737,0.768659,1.603631,1.309981
5.287,2.016768,0.772106,1.407002,1.221291
5.297,2.033491,0.768843,1.44237,1.209766
5.307,2.066847,0.778601,1.484855,1.208654
5.317,2.061162,0.750166,1.472225,1.232151
5.327,1.995195,0.765493,1.408894,1.187367
5.337,2.036555,0.767162,1.464041,1.189791
5.347,2.064122,0.812762,1.480018,1.187251
5.357,2.087744,0.794981,1.488095,1.229737
5.367,2.045726,0.815609,1.367125,1.284814
5.377,2.062811,0.812667,1.383,1.296948
5.387,2.097085,0.839947,1.416562,1.29831
5.397,2.074001,0.820955,1.424539,1.2642
5.407,1.930192,0.871411,1.280776,1.151476
5.417,1.964133,0.817849,1.349362,1.169686
5.427,1.995835,0.830826,1.349604,1.213118
5.437,1.974844,0.814159,1.356064,1.182474
5.447,1.987076,0.853323,1.299784,1.237285
5.457,1.981968,0.840803,1.303439,1.233812
5.467,2.010721,0.845032,1.32208,1.257388
5.477,1.993925,0.828915,1.352752,1.207766
5.487,2.004459,0.841497,1.390008,1.173719
5.497,2.045511,0.816889,1.420604,1.22421
5.507,2.022153,0.839026,1.37237,1.225456
5.517,1.976521,0.844904,1.38476,1.129253
5.527,2.080793,0.889759,1.404822,1.2508
5.537,2.230313,0.887465,1.511666,1.378974
5.547,2.215383,0.842752,1.488119,1.408259
5.557,2.188714,0.859503,1.438741,1.407745
5.567,2.213172,0.841548,1.515444,1.375993
5.577,2.237076,0.860877,1.563325,1.348857
5.587,2.225174,0.828106,1.462748,1.458083
5.597,2.223798,0.861525,1.440194,1.459074
5.607,2.312377,0.816109,1.583169,1.474663
5.623,2.27665,0.808669,1.54383,1.464848
5.627,2.203368,0.806054,1.484079,1.415137
5.637,2.321721,0.809308,1.674715,1.38951
5.647,2.302225,0.798621,1.674542,1.363214
