time_seconds,total_vibration,rms_x,rms_y,rms_z
4.038,3.054811,1.726895,1.755607,1.807636
4.048,2.931484,1.643898,1.721833,1.710699
4.058,2.890599,1.662859,1.7019,1.64134
4.068,2.687547,1.623893,1.390762,1.628393
4.078,2.696008,1.640999,1.44456,1.577602
4.088,2.643274,1.613749,1.37337,1.580053
4.098,2.543778,1.577958,1.319233,1.496824
4.108,2.475859,1.569608,1.314566,1.392165
4.118,2.343387,1.462252,1.256721,1.331891
4.128,2.298328,1.505571,1.256342,1.198821
4.138,2.099582,1.413692,1.109985,1.085196
4.148,2.003565,1.415139,1.128531,0.859111
4.158,2.032551,1.40958,1.165711,0.886267
4.168,1.945699,1.27517,1.117387,0.954532
4.178,1.932741,1.247823,1.087923,0.997422
4.188,1.999493,1.363222,1.086523,0.97932
4.198,2.005789,1.386027,1.063355,0.985593
4.208,2.031226,1.384551,1.117676,0.979642
4.218,2.04905,1.359253,1.138388,1.027186
4.228,2.004218,1.330658,1.094221,1.024167
4.238,1.940924,1.30899,1.091979,0.928069
4.248,2.078955,1.436657,1.178742,0.932007
4.258,2.337857,1.498298,1.281444,1.256417
4.268,2.346769,1.50665,1.280747,1.263733
4.278,2.533659,1.550383,1.418104,1.415883
4.288,2.558261,1.567754,1.429405,1.429563
4.298,2.621536,1.531823,1.473526,1.534499
4.308,2.696587,1.557594,1.586113,1.526344
4.318,2.795593,1.580934,1.591299,1.668459
4.328,2.961915,1.604937,1.793514,1.726391
4.338,2.979881,1.580377,1.804811,1.767698
4.348,3.108863,1.586534,1.857017,1.92339
4.358,3.077807,1.53036,1.842107,1.933271
4.368,3.277274,1.561859,1.885886,2.178201
4.378,3.320468,1.598731,1.928355,2.179682
4.388,3.35989,1.629255,1.969041,2.181116
4.398,3.342974,1.59963,1.968547,2.177494
4.408,3.49079,1.70466,1.945563,2.344042
4.418,3.539511,1.654012,1.936006,2.458508
4.428,3.600945,1.70695,1.939456,2.508314
4.438,3.702292,1.829387,2.067292,2.467106
4.448,3.630638,1.74336,2.024619,2.458281
4.458,3.538292,1.692257,1.969001,2.403915
4.468,3.629088,1.72823,2.037519,2.456015
4.478,3.545708,1.745648,1.919828,2.416406
4.488,3.521243,1.728468,1.896882,2.411097
4.498,3.525471,1.781523,1.847333,2.417123
4.508,3.5344,1.822222,1.855388,2.393539
4.518,3.376504,1.862253,1.898464,2.080535
4.528,3.217599,1.787739,1.66804,2.091548
4.538,3.268722,1.873034,1.66506,2.098539
4.548,3.020313,1.892762,1.689293,1.638912
4.558,3.049491,1.903793,1.664591,1.704144
4.568,2.986546,1.890791,1.605956,1.662911
4.578,3.003195,1.955833,1.556592,1.664608
4.588,3.025676,1.926848,1.73377,1.560773
4.598,3.052179,1.911621,1.735272,1.627984
4.608,2.981529,1.868327,1.683588,1.601374
4.618,3.060147,1.918251,1.821671,1.538287
4.628,3.077486,1.886412,1.826272,1.605334
4.638,2.985991,1.873107,1.70257,1.583941
4.648,3.096207,1.956222,1.80774,1.578535
4.658,3.162273,1.927836,1.805299,1.739054
4.668,3.129301,1.939207,1.733151,1.740169
4.678,3.19108,1.955125,1.91937,1.636
4.688,3.171464,1.957332,1.917143,1.597372
4.698,3.201429,1.964585,1.961636,1.594219
4.708,3.247802,1.995606,1.908428,1.709877
4.718,3.225273,1.962038,1.885015,1.731909
4.728,3.317712,2.023161,1.981326,1.728693
4.738,3.314421,1.996486,1.9889,1.744622
4.748,3.28498,1.967581,1.925089,1.792694
4.758,3.321363,2.019395,2.0043,1.713556
4.768,3.338803,2.007277,2.02509,1.737083
4.778,3.390757,1.993197,2.102114,1.762246
4.788,3.341758,2.005622,1.956888,1.820828
4.798,3.328377,2.018976,1.959203,1.778582
4.808,3.402794,2.033866,1.99868,1.856791
4.818,3.299446,1.973355,1.842189,1.896986
4.828,3.303579,2.058975,1.917023,1.731843
4.838,3.327004,2.010186,1.992,1.749298
4.848,3.265641,1.945657,1.892879,1.815444
4.858,3.354278,2.059594,1.944525,1.796684
4.868,3.383892,2.002211,1.968434,1.888688
4.878,3.212505,1.969091,1.753669,1.835079
4.888,3.304088,2.055975,1.874537,1.782155
4.898,3.259108,1.994577,1.827729,1.817376
4.908,3.251538,1.993346,1.871669,1.759526
4.918,3.338517,2.007878,1.874779,1.89719
4.928,3.283226,1.98763,1.76996,1.922535
4.938,3.336335,2.01731,1.862646,1.895294
4.948,3.316867,1.995347,1.863818,1.883184
4.958,3.273173,1.980076,1.821542,1.864121
4.968,3.299474,2.034722,1.814708,1.858299
4.978,3.257409,1.991112,1.737795,1.904273
4.988,3.219136,1.990197,1.772548,1.805554
4.998,3.250795,1.999311,1.796694,1.828199
5.008,3.168323,1.95837,1.743437,1.778618
5.018,3.243842,2.032638,1.79203,1.783121
5.028,3.202075,1.94799,1.739706,1.852577
5.038,3.166349,1.99232,1.652452,1.823687
5.048,3.232226,2.020472,1.815505,1.751833
5.058,3.166176,1.906092,1.759333,1.815552
5.068,3.212184,2.00941,1.782225,1.761838
5.078,3.217199,1.96238,1.80753,1.797852
5.088,3.123033,1.872818,1.684063,1.846568
5.098,3.222228,1.987288,1.706293,1.8767
5.108,3.2256,1.906389,1.713877,1.957755
5.118,3.193226,1.977437,1.712929,1.830931
5.128,3.288343,1.983488,1.852033,1.857134
5.138,3.16136,1.890008,1.743005,1.839565
