time_seconds,total_vibration,rms_x,rms_y,rms_z
4.408,12.926661,6.646083,7.623474,8.050515
4.418,12.825026,6.299185,7.71905,8.075755
4.428,12.979903,6.282437,7.931291,8.130406
4.438,12.823897,6.53204,7.620678,7.981859
4.448,13.056678,6.430276,7.629065,8.421743
4.458,13.064816,6.567416,7.607239,8.347956
4.468,13.358255,6.283799,7.929241,8.722613
4.478,13.478201,6.633464,7.907729,8.667577
4.488,13.297766,6.357555,7.831401,8.664943
4.498,13.43249,6.337008,7.791164,8.920308
4.508,13.448077,6.458,7.738901,8.902496
4.518,13.412167,6.452452,7.634616,8.9423
4.528,13.434645,6.468641,7.675887,8.929006
4.538,13.864751,6.596719,7.670667,9.480268
4.548,13.798587,6.477554,7.565672,9.550021
4.558,13.609272,6.281097,7.579663,9.397276
4.568,13.583776,6.361236,7.476904,9.3888
4.578,13.801214,6.271951,7.60816,9.656709
4.588,13.20573,6.106711,7.269106,9.179296
4.598,13.096925,6.366977,6.895859,9.13445
4.608,13.628499,6.401915,7.251004,9.600751
4.618,13.811365,6.644452,7.222948,9.717719
4.628,13.659542,6.770204,6.936126,9.624841
4.638,13.653444,6.612229,7.051859,9.6419
4.648,13.415808,6.642216,7.048444,9.28355
4.658,13.430117,6.504581,7.033604,9.412061
4.668,13.380046,6.706887,6.782853,9.382761
4.678,13.196562,6.516662,6.682265,9.328972
4.688,13.583381,6.394636,6.836383,9.842802
4.698,13.68432,6.507437,6.905892,9.860149
4.708,13.536846,6.665789,6.725961,9.673412
4.718,13.478587,6.512211,6.722563,9.698998
4.728,13.687446,6.521516,6.860924,9.886542
4.738,13.008967,6.240153,6.564712,9.338002
4.748,12.847141,6.137586,6.626276,9.136276
4.758,13.089972,6.341954,6.718619,9.272926
4.768,13.114992,6.477428,6.735932,9.201802
4.778,13.049576,6.45922,6.759051,9.104127
4.788,13.203768,6.322766,6.922948,9.297038
4.798,12.985064,6.263966,6.917316,9.029139
4.808,12.62506,6.24425,6.623345,8.748302
4.818,13.20311,6.019127,6.963702,9.465679
4.828,13.169526,6.222613,6.885877,9.343458
4.838,13.136569,6.1485,6.89054,9.34269
4.848,13.44605,6.062822,7.062651,9.703474
4.858,13.356976,6.139303,7.023497,9.55972
4.868,13.405949,5.949606,7.2598,9.571675
4.878,13.524661,6.115457,7.323983,9.585244
4.888,13.312994,6.120727,7.398628,9.221323
4.898,13.14903,6.109043,7.406633,8.98434
4.908,12.866637,5.894757,7.177419,8.904316
4.918,13.252684,5.734323,7.407186,9.374688
4.928,13.150522,5.825839,7.257648,9.290983
4.938,13.030638,5.729963,7.212684,9.216411
4.948,13.118959,5.711418,7.195525,9.365426
4.958,13.398675,5.513285,7.423803,9.696151
4.968,13.525092,5.436697,7.591043,9.785015
4.978,13.242536,5.591613,7.348603,9.491926
4.988,13.587788,5.478974,7.59833,9.842469
4.998,13.84714,5.359391,7.845925,10.072819
5.008,13.444689,5.455283,7.609266,9.648763
5.018,13.294916,5.266489,7.635168,9.524867
5.028,13.756311,5.058775,7.938142,10.03149
5.038,13.69376,5.504341,7.794887,9.821457
5.049,13.570539,5.381957,7.834012,9.686193
5.059,13.806478,5.341905,7.974723,9.924046
5.068,13.509621,5.443964,7.678907,9.690589
5.078,13.64452,5.138796,7.741655,9.991621
5.088,13.957679,5.263748,7.95242,10.191603
5.098,13.790234,5.522441,7.698052,10.020639
5.108,13.906345,5.403218,7.879069,10.105046
5.118,13.712675,5.674919,7.776791,9.764951
5.128,13.437061,5.692758,7.563803,9.536037
5.138,13.665757,5.480575,7.815726,9.779092
5.148,14.180898,5.864121,8.077156,10.073207
5.158,13.632705,5.849564,7.656478,9.644252
5.168,14.050834,5.58002,7.932609,10.166761
5.178,14.428529,5.560312,8.188634,10.498174
5.188,13.900685,5.909062,7.710468,9.942873
5.198,13.963893,5.928515,7.670463,10.050225
5.208,14.609947,5.904363,8.048169,10.66846
5.218,14.236873,6.133639,7.8164,10.196613
5.228,13.794975,6.070561,7.538996,9.829199
5.238,14.054311,5.643828,7.732778,10.289558
5.248,14.121307,5.851102,7.679829,10.305152
5.258,13.842206,5.945868,7.45438,10.034219
5.268,14.144774,5.752253,7.676777,10.39487
5.278,14.860851,5.752504,8.200274,10.977664
5.288,14.620795,5.636567,8.120812,10.772612
5.298,14.543038,5.185841,8.264112,10.784779
5.308,14.375957,5.206423,8.087014,10.684639
5.318,14.466531,4.96099,8.163734,10.863818
5.328,14.88746,4.820504,8.533201,11.206413
5.338,14.67606,4.988847,8.346341,10.992577
5.348,13.925957,4.684025,7.912035,10.459057
5.358,14.525753,4.643858,8.304888,10.975469
5.368,14.479462,4.667663,8.487381,10.762533
5.378,14.17401,4.778347,8.301066,10.448075
5.388,14.31522,4.608717,8.357813,10.669218
5.398,15.296767,4.754025,8.727133,11.628735
5.408,14.722767,4.785044,8.419049,11.089762
5.418,14.639173,4.898071,8.297368,11.021251
5.428,15.035173,4.874374,8.675265,11.271055
5.438,15.215488,4.878978,9.278708,11.027794
5.448,15.591565,5.551345,9.728641,10.845876
5.458,15.911902,6.156267,9.796061,10.923652
5.468,15.714262,6.182944,9.682317,10.722032
5.478,15.331878,6.165345,9.476139,10.356534
5.488,15.540481,6.357602,9.448179,10.574468
5.498,15.762562,6.854779,9.442468,10.597648
5.508,16.281249,6.835087,9.655811,11.185972
5.518,16.283759,6.873243,9.876976,10.971083
5.528,16.004802,6.849154,9.811227,10.629328
5.538,16.080881,6.875137,9.932731,10.614522
5.548,16.033159,6.764778,9.923023,10.622315
5.558,15.796577,6.888244,9.527247,10.550616
5.568,16.085802,6.905631,9.313788,11.149827
5.578,16.45533,6.781442,9.567498,11.543523
5.588,16.322089,6.954884,9.507798,11.297873
5.598,15.376882,6.897358,9.120188,10.28091
5.608,15.77223,6.828666,9.335446,10.722966
5.618,15.757203,6.857989,9.309451,10.704745
5.628,15.284694,6.94887,8.876358,10.32208
5.638,15.508053,6.932144,8.607536,10.879127
5.648,14.999102,6.09826,8.204105,10.9762
5.658,15.045499,5.470939,8.737535,10.95862
5.668,14.91955,5.417026,8.892625,10.685038
5.678,14.527252,5.441131,8.458205,10.48303
5.688,14.549672,5.249313,8.324953,10.716008
5.698,14.425911,4.500532,8.378056,10.847133
5.708,13.824792,4.579919,8.100736,10.223859
5.718,13.770538,4.567525,7.917983,10.299076
5.728,14.144185,4.543575,7.960089,10.772691
5.738,14.312282,4.879644,7.879438,10.906189
5.748,14.330586,5.066634,7.948925,10.793957
5.758,14.590663,4.956714,8.613217,10.683208
5.768,13.898583,4.982715,8.463071,9.834612
5.778,13.389041,4.960016,8.138104,9.404037
5.788,13.753416,4.735902,8.312488,9.880801
5.798,13.722804,4.65119,8.286631,9.900178
5.808,13.355721,4.716172,8.084836,9.527247
5.818,13.806572,4.275927,8.491356,10.01173
5.828,14.072014,4.206153,8.683633,10.243259
5.838,13.408862,4.537063,8.227289,9.566837
5.848,13.706962,4.615255,8.13182,10.022662
5.858,14.527791,4.685649,8.206431,11.034305
5.868,15.268205,4.773121,8.625609,11.659086
5.878,15.349844,4.73763,8.991945,11.502934
5.888,14.894884,4.767995,8.969659,10.89353
5.898,14.873618,4.815402,8.813462,10.970838
5.908,15.408407,4.78389,8.942776,11.600007
5.918,15.272461,4.928313,8.769116,11.49184
5.928,14.967502,4.942001,8.552511,11.245324
5.938,15.422714,4.525993,8.81083,11.821368
5.948,15.697345,4.338563,9.042126,12.075739
5.958,15.200836,4.552539,8.515178,11.740168
5.968,15.13315,4.640026,8.375143,11.719188
5.978,15.470864,4.393871,8.615563,12.075331
5.988,15.336029,4.433295,8.658186,11.856454
5.998,15.115685,4.696934,8.534925,11.557586
6.008,15.32447,4.636842,8.604098,11.802905
6.018,15.49089,4.673281,8.515711,12.066929
6.028,15.436156,4.739298,8.547083,11.948277
6.038,15.403585,4.596926,8.57874,11.939176
6.048,15.189585,4.567878,8.557497,11.688765
6.058,14.429662,4.54031,8.349213,10.85778
6.068,13.668438,4.675105,7.713642,10.269826
6.078,13.633065,4.753779,7.391096,10.422751
6.088,14.275652,4.836047,7.896828,10.864944
6.098,14.350446,5.152443,8.007256,10.736455
6.108,13.927089,5.304767,7.961543,10.121121
6.118,14.159569,5.158625,8.231731,10.301485
6.128,14.18467,5.286527,8.276059,10.235446
6.138,13.532336,5.522461,7.912057,9.488198
6.148,13.741952,5.472782,8.118959,9.64222
6.158,14.006969,5.381657,8.328316,9.893033
6.168,14.013418,5.68274,8.273918,9.778784
6.178,13.862238,5.714405,8.192488,9.611991
6.188,14.375763,5.598731,8.390983,10.242469
6.198,14.605691,5.718893,8.485842,10.421659
6.208,14.344917,5.795997,8.411179,10.071501
6.218,14.197036,5.771051,8.289024,9.977118
6.228,14.316618,5.641742,8.441523,10.093414
6.238,14.410816,5.583472,8.604673,10.122059
6.248,14.344345,5.792672,8.471699,10.021751
6.258,14.38394,5.785741,8.400017,10.142123
6.268,14.686072,5.681341,8.600479,10.461111
6.278,14.517644,5.83734,8.480674,10.235507
6.288,14.339487,5.781428,8.327526,10.141414
6.298,14.73241,5.450627,8.650489,10.606772
6.308,14.716977,5.594715,8.552736,10.589584
6.318,14.440945,5.75119,8.245641,10.366971
6.328,14.919632,5.480152,8.613527,10.87982
6.338,14.947649,5.372281,8.748863,10.864079
6.348,14.33513,5.554998,8.206572,10.358095
6.358,14.473906,5.491924,8.117937,10.650437
6.368,14.849514,5.106962,8.372886,11.149968
6.378,14.775971,5.294092,8.303547,11.016035
6.388,14.197089,5.461315,7.954148,10.414553
6.398,14.24855,5.122915,8.099956,10.543607
6.408,14.331359,5.128525,8.183986,10.588127
6.418,13.956718,5.231898,8.050096,10.129816
6.428,13.829316,5.235012,7.909879,10.063719
6.438,13.986692,5.474845,7.853921,10.196546
6.448,13.876954,5.361842,7.826402,10.127583
6.458,13.852673,5.344876,7.749113,10.162681
6.468,13.898173,5.41943,7.821155,10.130081
6.478,13.913375,5.459265,7.82394,10.127407
6.488,13.761627,5.525345,7.58802,10.063542
6.498,13.592777,5.490066,7.363155,10.020314
6.508,13.637589,5.407483,7.455388,10.05784
6.518,13.451078,5.412805,7.376701,9.859885
6.528,13.329435,5.49212,7.112717,9.844782
6.538,13.854346,5.390096,7.330922,10.44736
6.548,14.067214,5.271766,7.60753,10.593417
6.558,13.696525,5.366852,7.477644,10.142808
6.568,13.486395,5.475266,7.36063,9.885618
6.578,14.249262,5.262338,7.752411,10.735426
6.588,14.455451,5.088683,7.931969,10.961261
6.598,14.115049,5.206541,7.698432,10.623591
6.608,14.039705,5.234474,7.611785,10.572338
6.618,14.452547,5.137935,7.698113,11.100306
6.628,14.812296,5.128461,7.969198,11.383975
6.638,14.966424,4.822319,8.414152,11.399172
6.648,14.923855,4.751052,8.441696,11.352829
6.658,14.911021,4.947219,8.423051,11.265691
6.668,15.424986,4.773733,8.780392,11.749313
6.678,15.63663,4.523172,8.900344,12.034493
6.688,15.432733,4.899625,8.763451,11.720274
6.698,15.245228,4.943401,8.756579,11.458712
6.708,15.739805,4.768632,9.0046,11.996617
6.718,15.888661,4.85393,9.012203,12.151919
6.728,15.695794,4.860301,9.092092,11.835087
6.738,15.598683,5.061503,9.079723,11.630079
6.748,15.449003,5.294377,8.858172,11.496698
6.758,15.808115,5.136924,9.136351,11.833664
6.768,15.813969,5.326868,9.075626,11.804199
6.778,15.085323,5.509265,8.819112,10.92878
6.788,15.258208,5.508469,8.977127,11.039966
6.798,15.27514,5.683017,8.910737,11.028689
6.808,15.443311,5.523459,8.993638,11.27394
6.818,15.207465,5.704547,9.034372,10.821518
6.828,14.5215,5.917319,8.458212,10.213617
6.838,14.583157,5.836219,8.108246,10.623717
6.848,14.85365,6.097055,8.241063,10.749034
6.858,14.375935,6.086832,7.839339,10.400133
6.868,13.945343,6.039205,7.477942,10.103513
6.878,13.969555,6.262807,7.587427,9.917492
6.888,13.935341,6.017569,7.588948,10.019504
6.898,14.071707,6.028896,7.43472,10.314567
6.908,13.537641,6.341824,6.985546,9.708302
6.918,13.492718,6.128607,7.13607,9.673165
6.928,13.233763,6.268345,6.799499,9.466106
6.938,13.023763,6.177402,6.495811,9.447886
6.948,13.205289,6.004799,6.736765,9.640438
6.958,12.825727,6.229754,6.453689,9.167296
6.968,12.940943,5.935032,6.715842,9.334928
6.978,12.827637,6.106999,6.449761,9.254914
6.988,12.49824,6.106446,6.287703,8.909664
6.998,12.772207,6.052191,6.420852,9.234334
7.008,12.799053,6.160518,6.456158,9.175063
7.018,12.958242,5.996785,6.758577,9.288501
7.028,13.090205,6.069526,6.871784,9.343068
7.038,12.941298,6.112926,6.900586,9.082469
7.048,13.160746,5.861637,7.369399,9.194477
7.058,13.212936,6.090619,7.368175,9.121185
7.068,12.974765,6.090673,7.209003,8.903848
7.078,12.759915,5.958638,7.031084,8.82462
7.088,12.855912,6.039355,7.078312,8.871198
7.098,12.970312,6.042709,7.244192,8.901481
7.108,12.937814,5.858536,7.243886,8.977233
7.118,12.909344,5.926845,7.252549,8.883929
7.128,13.624504,5.740906,7.896241,9.503603
7.138,13.988606,5.695254,8.374006,9.649934
7.148,13.708357,5.689246,8.180323,9.414554
7.158,13.779259,5.501404,8.328391,9.499496
7.168,13.86672,5.609848,8.297702,9.58977
7.178,13.853823,5.525907,8.298751,9.618913
7.188,14.022252,5.546441,8.37688,9.782047
7.198,14.20782,5.354843,8.62297,9.941438
7.208,14.055842,5.403923,8.514841,9.790904
7.218,13.886796,5.407246,8.362336,9.678642
7.228,14.130801,5.187051,8.532251,9.998737
7.238,13.919955,5.382656,8.342592,9.756707
7.248,13.771387,5.260414,8.176408,9.753231
7.258,13.935564,5.207952,8.276115,9.928902
7.268,13.902341,5.34463,8.21807,9.857653
7.278,14.077197,5.209796,8.308969,10.098839
7.288,13.973806,5.369128,8.290374,9.884806
7.298,13.833642,5.265303,8.308731,9.72683
7.308,13.848631,5.311944,8.326523,9.707566
7.318,13.873959,5.261197,8.379731,9.725568
7.328,13.24396,5.569689,7.917783,9.038238
7.338,13.086455,5.581498,7.322559,9.299586
7.348,13.432011,5.669896,7.521238,9.576126
7.358,13.225332,5.910265,7.363505,9.260505
7.368,13.51848,5.79279,7.60194,9.560512
7.378,13.645444,5.745661,7.773706,9.63094
7.388,13.243992,5.942262,7.58233,9.088515
7.398,13.375217,5.861127,7.740326,9.199509
7.408,13.482194,6.02125,7.811925,9.191731
7.418,13.136354,5.994336,7.642702,8.844255
7.428,13.119768,6.172505,7.528894,8.794558
7.438,13.278978,6.078929,7.552722,9.073823
7.448,13.213641,6.248878,7.422391,8.969947
7.458,13.089207,6.140978,7.328927,8.938824
7.468,13.394651,6.040743,7.552245,9.267669
7.478,13.182545,6.187571,7.459949,8.935471
7.488,13.238454,5.982141,7.555044,9.077001
7.498,13.260535,6.015356,7.618098,9.034482
7.508,13.284498,6.01377,7.614593,9.073612
7.518,13.216243,6.016546,7.590777,8.991682
7.528,13.032371,6.019943,7.43108,8.853363
7.538,13.037392,5.967395,7.521338,8.820048
7.548,13.120061,6.194585,7.572504,8.74187
7.558,13.065391,6.088605,7.588994,8.720121
7.568,12.919524,6.115347,7.446319,8.606332
7.578,12.83423,6.338022,7.263638,8.472691
7.588,12.791011,6.07533,7.240562,8.61827
7.598,12.560367,6.379714,6.755585,8.451281
7.608,12.529373,6.197805,6.7052,8.579785
7.618,12.728547,6.319218,6.720364,8.77041
7.628,12.470453,6.211065,6.562984,8.594307
7.638,12.422877,6.14212,6.679722,8.484312
7.648,12.105611,6.352265,6.386013,8.087855
7.658,12.143806,6.228165,6.55937,8.10288
7.668,11.84947,6.395953,6.276993,7.752489
7.678,12.22601,6.349925,6.684717,8.029217
7.688,12.11995,6.595838,6.528315,7.79546
7.698,12.033801,6.544466,6.307028,7.886934
7.708,12.110935,6.689573,6.307416,7.882947
7.718,12.006666,6.789269,6.145074,7.765559
7.728,12.177904,6.483959,6.40961,8.073198
7.738,11.954279,6.799643,6.188048,7.640532
7.748,11.847855,6.522762,6.334948,7.595636
7.76,12.221418,6.407413,6.593133,8.052249
7.769,11.903102,6.683793,6.139998,7.701375
7.78,11.80997,6.409659,6.159322,7.775243
7.788,12.378479,6.410598,6.514452,8.348227
7.798,12.549592,6.161011,7.02622,8.37654
7.808,12.551054,6.181185,7.158875,8.250601
7.818,12.333545,6.146769,7.088603,8.005328
7.829,12.846079,5.935152,7.485938,8.588158
7.839,12.981005,6.011033,7.518771,8.708735
7.848,12.924546,5.883494,7.5373,8.695832
7.858,12.962654,5.830093,7.465157,8.849399
7.868,13.420743,5.703988,7.810731,9.30448
7.878,13.264054,5.892814,7.618916,9.11932
7.888,13.169315,5.623475,7.60632,9.162493
7.898,13.346708,5.671939,7.716337,9.296337
7.908,13.405042,5.782002,7.763513,9.273159
7.918,13.555073,5.768079,7.828217,9.443956
7.928,13.986212,5.73686,8.058597,9.887445
7.938,14.34989,5.832762,8.267308,10.175944
7.948,14.024366,6.000589,7.919967,9.896963
7.958,13.72827,5.87724,7.763496,9.677374
7.968,13.817306,5.790016,7.80374,9.823202
7.978,13.983499,5.875345,7.85286,9.967505
7.988,13.583096,5.950295,7.63135,9.531894
7.998,13.405024,6.404973,7.025021,9.450929
8.008,13.478798,6.353331,7.024221,9.590282
8.018,13.867876,6.396881,7.330351,9.882502
8.028,13.560556,6.810321,6.858499,9.511529
8.038,13.432769,6.682357,6.87335,9.409699
8.048,13.756732,6.749705,7.06771,9.681769
8.058,13.710059,6.964632,6.985321,9.521812
8.068,13.364103,6.913778,6.993423,9.049362
8.078,13.198941,6.930865,6.82453,8.921935
8.088,13.352398,6.879897,6.998997,9.053596
8.098,13.243248,6.87705,7.126876,8.791896
8.108,13.120228,6.708595,7.078873,8.776371
8.118,13.187527,6.648177,7.030326,8.960308
8.128,12.763343,6.58462,6.973474,8.421186
8.138,12.455786,6.392833,6.82422,8.228506
8.148,12.505074,6.237007,6.879979,8.375112
8.158,12.605156,6.325086,6.9878,8.369821
8.168,12.495301,6.327612,6.910868,8.266425
8.178,12.409562,6.195941,6.852643,8.285458
8.188,12.282883,6.497786,6.71428,7.972856
8.198,12.117434,6.163983,6.749614,7.954888
8.208,12.219487,6.165013,6.777897,8.085084
8.218,11.91253,6.369097,6.553291,7.641816
8.228,11.868992,6.050273,6.593671,7.796838
8.238,12.196771,6.129421,6.657248,8.177559
8.248,11.910614,6.166379,6.457116,7.883156
8.258,11.954333,5.90213,6.509146,8.105675
8.268,11.990109,6.179351,6.196483,8.19646
8.278,12.027983,5.923138,6.368917,8.308171
8.288,12.077181,5.984629,6.453347,8.270237
8.298,11.975239,6.140539,6.124286,8.257922
8.308,12.279138,6.003556,6.378707,8.605036
8.318,12.018822,6.296984,6.187446,8.155709
8.328,11.762235,6.281217,5.859083,8.035399
8.338,12.070511,6.347108,5.847858,8.438838
8.348,12.061583,6.475637,5.869646,8.31235
8.358,11.965374,6.394401,5.857026,8.24482
8.368,12.019563,6.484493,5.851826,8.25696
8.378,12.10272,6.467344,6.104057,8.209128
8.388,12.079204,6.270923,6.257977,8.210994
8.398,12.272944,6.298237,6.357371,8.398881
8.408,12.3932,6.372822,6.363283,8.513941
8.418,12.212392,6.297436,6.214489,8.418133
8.428,12.378017,6.233534,6.444939,8.533529
8.438,12.153892,6.503881,6.293409,8.112314
8.448,12.207945,6.210023,6.474186,8.279761
8.458,12.501445,6.436275,6.709087,8.357551
8.468,12.227142,6.298406,6.63366,8.113424
8.478,12.641431,6.252959,6.727976,8.685657
8.488,12.846705,6.238247,6.994807,8.786056
8.498,12.694659,6.252096,6.998972,8.548688
8.508,12.460222,6.235996,6.807991,8.367839
8.518,12.410774,6.122177,6.804366,8.381339
8.528,12.53051,6.178873,6.954317,8.394801
8.538,12.568465,6.230308,7.008624,8.368319
8.548,12.671712,6.241975,7.109325,8.430156
8.558,12.727295,6.206474,7.236837,8.431602
8.568,12.767532,6.062413,7.336711,8.510562
8.578,12.624788,6.204627,7.094374,8.399865
8.588,12.770045,5.934896,7.109508,8.792381
8.598,12.997787,5.807461,7.206173,9.126168
8.608,12.755349,5.774702,7.200696,8.803506
8.618,12.715766,5.456852,7.200804,8.947732
8.628,12.934495,5.505042,7.132062,9.280592
8.638,13.071838,5.622214,7.117026,9.413375
8.648,13.00743,5.802447,6.938329,9.347964
8.658,13.241937,5.558288,7.094966,9.701329
8.668,13.503134,5.488041,7.539656,9.765736
8.678,13.122791,5.525911,7.5434,9.207012
8.688,12.654329,5.449482,7.051132,8.984249
8.698,12.930353,5.148569,7.106455,9.496555
8.708,13.503977,5.158088,7.409012,10.042812
8.718,13.514683,4.943638,7.55235,10.058286
