time_seconds,total_vibration,rms_x,rms_y,rms_z
10.94,0.831042,0.204566,0.380644,0.709855
10.95,0.817075,0.205405,0.379973,0.69357
10.96,0.826838,0.208048,0.368039,0.710581
10.97,0.813284,0.20973,0.365796,0.69544
10.98,0.8124,0.218127,0.367077,0.691135
10.99,0.811803,0.217091,0.367466,0.690554
11.0,0.816625,0.212766,0.363116,0.699824
11.011,0.783504,0.20711,0.368662,0.6596
11.02,0.791537,0.205784,0.375343,0.665808
11.031,0.80467,0.208097,0.378067,0.679157
11.04,0.813797,0.20986,0.39432,0.680247
11.05,0.812202,0.204257,0.400323,0.676531
11.06,0.824625,0.20854,0.40541,0.687139
11.071,0.83859,0.216478,0.407751,0.700079
11.08,0.841911,0.215354,0.410979,0.702519
11.091,0.856014,0.217757,0.427503,0.708931
11.1,0.889451,0.22244,0.429707,0.746321
11.11,0.889829,0.220309,0.422231,0.751651
11.12,0.891992,0.220653,0.432825,0.748081
11.131,0.889692,0.219108,0.428675,0.748185
11.14,0.885445,0.216648,0.424329,0.746338
11.15,0.887104,0.216682,0.428734,0.745781
11.161,0.884033,0.217414,0.428706,0.741927
11.17,0.888418,0.225472,0.42368,0.747625
11.18,0.89497,0.228125,0.44132,0.744424
11.191,0.897813,0.226129,0.453354,0.741218
11.2,0.899472,0.223572,0.451944,0.744857
11.211,0.882751,0.225131,0.446335,0.727564
11.22,0.86788,0.224144,0.449588,0.707704
11.231,0.864094,0.222916,0.442698,0.707803
11.24,0.861073,0.221871,0.442419,0.704618
11.251,0.847644,0.21878,0.443467,0.688457
11.26,0.846105,0.218634,0.432088,0.693824
11.271,0.846825,0.219169,0.429865,0.695912
11.28,0.846374,0.219535,0.436364,0.691188
11.291,0.844345,0.21366,0.437184,0.690027
11.3,0.842751,0.213412,0.437063,0.68823
11.311,0.840722,0.218589,0.430877,0.688025
11.32,0.840116,0.218162,0.429492,0.688285
11.331,0.833247,0.217951,0.429964,0.679653
11.341,0.821716,0.218442,0.428803,0.666055
11.351,0.825077,0.218896,0.410071,0.681673
11.361,0.824293,0.220727,0.41386,0.677833
11.371,0.827377,0.219741,0.429038,0.672452
11.38,0.828519,0.205783,0.429256,0.678113
11.391,0.84176,0.211036,0.42645,0.694381
11.401,0.830648,0.211593,0.425619,0.681214
11.411,0.819177,0.209826,0.424373,0.668529
11.421,0.827313,0.215478,0.4138,0.683217
11.431,0.82847,0.212728,0.417829,0.683029
11.44,0.830851,0.212723,0.422007,0.683354
11.451,0.829414,0.211833,0.421696,0.682075
11.46,0.82023,0.211677,0.422312,0.670538
11.471,0.830666,0.212138,0.422723,0.682868
11.48,0.837742,0.203998,0.422038,0.69432
11.491,0.839644,0.208686,0.434352,0.687597
11.501,0.841924,0.207922,0.436516,0.689245
11.511,0.851753,0.208049,0.431928,0.704016
11.521,0.845798,0.208205,0.433524,0.695759
11.531,0.83506,0.205568,0.431009,0.685053
11.541,0.832053,0.205424,0.415805,0.690811
11.551,0.834477,0.207564,0.415917,0.693023
11.56,0.844415,0.20913,0.424234,0.699519
11.571,0.844632,0.206439,0.42122,0.702395
11.58,0.850904,0.208318,0.41821,0.711156
11.591,0.837762,0.211945,0.406722,0.701071
11.601,0.811363,0.205962,0.410671,0.66876
11.611,0.816714,0.206489,0.428223,0.664085
11.62,0.811426,0.20577,0.415157,0.66612
11.631,0.806187,0.213971,0.416454,0.656292
11.641,0.808822,0.213449,0.421342,0.656585
11.651,0.809497,0.213512,0.423999,0.655685
11.661,0.807921,0.21178,0.427547,0.651989
11.671,0.801315,0.204428,0.429567,0.644816
11.681,0.798069,0.206835,0.409401,0.653089
11.691,0.796311,0.209528,0.396124,0.658252
11.701,0.80114,0.211982,0.398326,0.661985
11.711,0.805802,0.211241,0.399501,0.667153
11.721,0.806924,0.209712,0.400608,0.668326
11.731,0.807871,0.209664,0.403206,0.667924
11.741,0.800427,0.207527,0.402608,0.659942
11.751,0.803061,0.205485,0.403899,0.662985
11.761,0.817141,0.20611,0.403345,0.680111
11.771,0.817223,0.205533,0.406518,0.678493
11.781,0.813013,0.2007,0.39903,0.679327
11.791,0.815193,0.200409,0.398373,0.682404
11.801,0.822905,0.200747,0.399344,0.69094
11.811,0.841818,0.203553,0.403626,0.710148
11.821,0.84455,0.205105,0.409737,0.709445
11.831,0.843441,0.20578,0.407473,0.709234
11.841,0.84606,0.20909,0.408217,0.710956
11.851,0.842993,0.207518,0.407761,0.708029
11.861,0.843044,0.208599,0.422358,0.699159
11.871,0.834624,0.20848,0.405272,0.699206
