time_seconds,total_vibration,rms_x,rms_y,rms_z
1.838,0.766711,0.205959,0.632652,0.381024
1.843,0.755572,0.217027,0.610411,0.388828
1.858,0.753807,0.220879,0.622878,0.362574
1.863,0.77752,0.218362,0.646852,0.372071
1.877,0.733613,0.218539,0.594026,0.370893
1.887,0.743725,0.212435,0.610713,0.367461
1.897,0.702327,0.178385,0.595192,0.327398
1.907,0.738475,0.173857,0.628737,0.346135
1.917,0.714798,0.176876,0.600451,0.345122
1.927,0.706741,0.167305,0.591112,0.349397
1.937,0.700304,0.163679,0.5832,0.351445
1.947,0.700398,0.177416,0.583393,0.344577
1.957,0.671213,0.17598,0.562198,0.3217
1.967,0.684947,0.175937,0.57572,0.326718
1.977,0.663287,0.173884,0.550392,0.326776
1.987,0.660757,0.170315,0.548741,0.326308
1.997,0.667174,0.174313,0.555953,0.325041
2.007,0.678533,0.181028,0.556132,0.344024
2.017,0.652059,0.174555,0.551927,0.300146
2.027,0.629957,0.174608,0.531546,0.289512
2.037,0.640322,0.173721,0.547921,0.282162
2.047,0.664568,0.155807,0.584003,0.276252
2.057,0.633546,0.147188,0.547641,0.282498
2.067,0.603307,0.145182,0.522526,0.264325
2.077,0.668815,0.146464,0.597172,0.26315
2.087,0.649083,0.150802,0.573165,0.264667
2.097,0.651935,0.171659,0.562731,0.280866
2.107,0.641741,0.17601,0.562388,0.254108
2.117,0.64179,0.17037,0.564506,0.253382
2.127,0.664686,0.178506,0.587016,0.255648
2.137,0.670672,0.178147,0.58969,0.265198
2.147,0.670308,0.169144,0.590433,0.2685
2.157,0.685135,0.16758,0.599303,0.286641
2.167,0.693053,0.179772,0.582972,0.328858
2.177,0.701699,0.19309,0.575379,0.352187
2.187,0.705201,0.190111,0.576557,0.358816
2.197,0.712737,0.203725,0.565263,0.383364
2.207,0.695472,0.192894,0.557062,0.368993
2.217,0.711821,0.198463,0.573622,0.371832
2.227,0.702334,0.198614,0.567828,0.362487
2.237,0.702992,0.202246,0.564029,0.36765
2.247,0.689731,0.203167,0.537641,0.381306
2.257,0.682369,0.210922,0.536373,0.365298
2.267,0.68701,0.219672,0.530821,0.376771
2.277,0.624831,0.222307,0.439571,0.384409
2.287,0.630238,0.217462,0.449129,0.384958
2.297,0.60685,0.203073,0.435425,0.370719
2.307,0.569493,0.196816,0.38511,0.370509
2.317,0.576451,0.194312,0.394649,0.372546
2.327,0.565269,0.196472,0.372394,0.377162
2.337,0.566075,0.194718,0.367719,0.383807
2.347,0.582943,0.208229,0.381003,0.388973
