elapsed_s,prediction,confidence,p_deformed
1.011,1,1.0000,1.0000
1.111,1,1.0000,1.0000
1.211,0,0.8956,0.1044
1.311,0,0.8956,0.1044
1.411,0,0.8956,0.1044
1.511,0,0.8956,0.1044
1.611,0,0.8956,0.1044
1.711,0,0.8956,0.1044
1.811,0,0.8956,0.1044
1.911,0,0.8956,0.1044
2.011,0,0.8956,0.1044
2.111,0,0.8956,0.1044
2.209,0,0.8956,0.1044
2.311,0,0.8956,0.1044
2.411,0,0.8956,0.1044
2.511,0,0.8956,0.1044
2.611,0,0.8956,0.1044
2.711,0,0.8956,0.1044
2.811,0,0.8956,0.1044
2.911,0,0.8956,0.1044
3.011,0,0.8956,0.1044
3.111,0,0.8956,0.1044
3.211,0,0.8956,0.1044
3.311,0,0.8956,0.1044
3.411,0,0.8956,0.1044
3.511,0,0.8956,0.1044
3.611,0,0.8956,0.1044
3.711,0,0.8956,0.1044
3.811,0,0.8956,0.1044
3.911,1,0.9180,0.9180
4.011,1,0.9180,0.9180
4.111,1,0.9180,0.9180
4.211,1,0.9180,0.9180
4.311,1,0.9180,0.9180
4.411,0,0.9812,0.0188
4.511,0,0.8956,0.1044
4.611,1,0.9180,0.9180
4.711,1,0.9180,0.9180
4.811,0,0.8956,0.1044
4.911,0,0.8956,0.1044
5.011,0,0.8956,0.1044
5.111,0,0.8956,0.1044
5.211,0,0.8956,0.1044
5.311,0,0.8956,0.1044
5.411,1,0.9180,0.9180
5.511,1,0.9180,0.9180
5.611,0,0.7804,0.2196
5.711,0,0.7804,0.2196
5.811,0,0.7804,0.2196
5.911,0,0.9812,0.0188
6.011,0,0.9812,0.0188
6.111,0,0.9812,0.0188
6.211,0,0.9812,0.0188
6.311,0,0.7924,0.2076
6.411,0,0.9964,0.0036
6.511,0,0.9964,0.0036
6.611,0,0.9964,0.0036
6.711,0,0.9964,0.0036
6.811,0,0.9964,0.0036
6.911,0,0.9964,0.0036
7.011,0,0.9964,0.0036
7.111,0,0.9964,0.0036
7.211,0,0.9964,0.0036
7.311,0,0.9964,0.0036
7.410,0,0.9964,0.0036
7.511,0,0.9964,0.0036
7.611,0,0.9964,0.0036
7.710,0,0.9964,0.0036
7.810,0,0.9964,0.0036
7.910,0,0.9964,0.0036
