elapsed_s,prediction,confidence,p_deformed,p_deformed_ema
1.011,1,1.0000,1.0000,1.0000
1.111,1,1.0000,1.0000,1.0000
1.211,1,0.7761,0.1044,0.7761
1.311,1,0.6082,0.1044,0.6082
1.411,0,0.5178,0.1044,0.4822
1.511,0,0.6122,0.1044,0.3878
1.611,0,0.6831,0.1044,0.3169
1.711,0,0.7362,0.1044,0.2638
1.811,0,0.7761,0.1044,0.2239
1.911,0,0.8060,0.1044,0.1940
2.011,0,0.8284,0.1044,0.1716
2.111,0,0.8452,0.1044,0.1548
2.211,0,0.8578,0.1044,0.1422
2.311,0,0.8673,0.1044,0.1327
2.411,0,0.8743,0.1044,0.1257
2.511,0,0.8797,0.1044,0.1203
2.611,0,0.8837,0.1044,0.1163
2.711,0,0.8866,0.1044,0.1134
2.811,0,0.8889,0.1044,0.1111
2.911,0,0.8906,0.1044,0.1094
3.011,0,0.8918,0.1044,0.1082
3.111,0,0.8928,0.1044,0.1072
3.211,0,0.8935,0.1044,0.1065
3.311,0,0.8940,0.1044,0.1060
3.411,0,0.8944,0.1044,0.1056
3.511,0,0.8947,0.1044,0.1053
3.611,0,0.6916,0.9180,0.3084
3.711,0,0.5392,0.9180,0.4608
3.811,1,0.5751,0.9180,0.5751
3.911,1,0.6608,0.9180,0.6608
4.011,1,0.7251,0.9180,0.7251
4.111,1,0.5987,0.2196,0.5987
4.211,0,0.5501,0.0036,0.4499
4.311,0,0.6616,0.0036,0.3384
4.411,0,0.7453,0.0036,0.2547
4.511,0,0.8081,0.0036,0.1919
4.611,0,0.8552,0.0036,0.1448
4.711,0,0.8905,0.0036,0.1095
4.811,0,0.9170,0.0036,0.0830
4.911,0,0.9368,0.0036,0.0632
5.011,0,0.9517,0.0036,0.0483
5.111,0,0.9629,0.0036,0.0371
5.211,0,0.9713,0.0036,0.0287
5.311,0,0.9776,0.0036,0.0224
5.411,0,0.9823,0.0036,0.0177
5.511,0,0.9858,0.0036,0.0142
5.611,0,0.9885,0.0036,0.0115
5.711,0,0.9904,0.0036,0.0096
5.811,0,0.8777,0.4605,0.1223
5.911,0,0.7932,0.4605,0.2068
6.011,0,0.7298,0.4605,0.2702
6.111,0,0.6822,0.4605,0.3178
6.211,0,0.6465,0.4605,0.3535
6.311,0,0.6198,0.4605,0.3802
6.411,0,0.5997,0.4605,0.4003
6.510,0,0.5847,0.4605,0.4153
6.611,0,0.6365,0.2079,0.3635
6.711,0,0.6754,0.2079,0.3246
6.811,0,0.7046,0.2079,0.2954
6.911,0,0.7265,0.2079,0.2735
7.011,0,0.7429,0.2079,0.2571
7.111,0,0.7552,0.2079,0.2448
7.211,0,0.7644,0.2079,0.2356
7.311,0,0.7713,0.2079,0.2287
7.412,0,0.7134,0.4605,0.2866
7.511,0,0.6699,0.4605,0.3301
7.611,0,0.6373,0.4605,0.3627
7.711,0,0.6129,0.4605,0.3871
7.811,0,0.5945,0.4605,0.4055
7.911,0,0.5808,0.4605,0.4192
8.011,0,0.5705,0.4605,0.4295
8.111,0,0.5627,0.4605,0.4373
8.211,0,0.6201,0.2079,0.3799
8.311,0,0.6631,0.2079,0.3369
8.412,0,0.6954,0.2076,0.3046
8.511,0,0.7197,0.2076,0.2803
8.612,0,0.7379,0.2076,0.2621
8.710,0,0.7515,0.2076,0.2485
