elapsed_s,prediction,confidence
1.012,front_right,0.5216
1.112,front_right,0.5216
1.212,front_right,0.5216
1.311,front_right,0.5216
1.412,front_right,0.5216
1.511,front_right,0.5216
1.612,front_right,0.5216
1.712,normal,1.0000
1.812,front_right,0.8840
1.912,front_right,0.5216
2.013,front_right,0.5216
2.112,front_right,0.5216
2.212,front_right,0.5216
2.312,front_right,0.8840
2.406,normal,1.0000
2.504,normal,1.0000
2.612,normal,1.0000
2.712,normal,1.0000
2.812,normal,1.0000
2.912,normal,1.0000
3.012,normal,1.0000
3.112,normal,1.0000
3.212,normal,1.0000
3.312,normal,1.0000
3.411,normal,1.0000
3.511,normal,1.0000
3.611,normal,1.0000
3.709,normal,1.0000
3.811,normal,1.0000
3.911,normal,1.0000
4.010,normal,1.0000
4.111,front_right,0.8840
4.210,normal,1.0000
4.311,normal,1.0000
4.411,normal,1.0000
4.511,front_right,0.8840
4.611,front_right,0.5216
4.711,normal,1.0000
4.811,normal,1.0000
4.910,normal,1.0000
5.010,normal,1.0000
5.111,normal,1.0000
5.211,normal,1.0000
5.311,normal,1.0000
5.412,normal,1.0000
5.511,front_right,0.8840
5.611,front_right,0.8840
5.711,front_right,0.8840
5.811,front_right,0.8840
5.911,normal,1.0000
6.011,normal,1.0000
6.111,normal,1.0000
6.211,normal,1.0000
6.311,normal,1.0000
6.411,normal,1.0000
6.510,normal,1.0000
6.611,normal,1.0000
6.711,normal,1.0000
6.811,front_right,1.0000
6.910,front_right,1.0000
7.011,front_right,1.0000
7.110,front_right,1.0000
7.215,front_right,1.0000
7.305,front_right,1.0000
7.411,front_right,1.0000
7.511,front_right,1.0000
7.611,front_right,1.0000
7.711,front_right,1.0000
7.811,front_right,1.0000
7.909,front_right,1.0000
8.012,front_right,1.0000
8.112,front_right,1.0000
8.210,front_right,1.0000
8.309,front_right,1.0000
8.409,front_right,1.0000
8.511,front_right,1.0000
8.611,front_right,0.8840
8.710,front_right,0.8840
8.811,front_right,0.5216
8.911,front_right,0.5216
9.011,front_right,0.5216
9.111,rear_left,1.0000
9.211,rear_left,1.0000
9.311,rear_left,1.0000
9.411,rear_left,1.0000
9.511,rear_left,1.0000
9.612,rear_left,1.0000
9.711,rear_left,1.0000
9.811,rear_left,1.0000
9.911,rear_left,1.0000
10.008,rear_left,1.0000
10.105,rear_left,1.0000
10.211,normal,1.0000
10.312,normal,1.0000
10.411,normal,1.0000
10.511,normal,1.0000
10.612,front_right,0.8840
10.711,front_right,0.5216
10.812,front_right,1.0000
10.911,front_right,1.0000
11.011,front_right,0.8840
11.111,front_right,0.8840
11.212,front_right,0.8840
11.311,front_right,0.8840
11.411,front_right,0.8840
11.511,front_right,0.5216
11.612,front_right,0.5216
11.711,front_right,0.5216
11.812,front_right,0.5216
11.911,front_right,0.5216
12.012,front_right,0.5216
12.111,front_right,0.5216
12.211,normal,1.0000
12.310,front_right,0.5216
12.411,front_right,0.5216
12.510,front_right,0.5216
12.611,normal,1.0000
12.710,normal,1.0000
12.810,normal,1.0000
12.910,normal,1.0000
13.011,normal,1.0000
13.111,normal,1.0000
13.211,normal,1.0000
13.311,normal,1.0000
13.411,normal,1.0000
13.511,normal,1.0000
13.610,normal,1.0000
13.711,normal,1.0000
13.810,normal,1.0000
13.910,normal,1.0000
14.011,normal,1.0000
14.110,normal,1.0000
14.210,normal,1.0000
14.311,normal,1.0000
14.410,normal,1.0000
14.510,normal,1.0000
14.610,normal,1.0000
14.711,front_right,0.5216
14.810,front_right,0.5216
14.911,front_right,0.5216
15.011,front_right,0.5216
15.111,front_right,0.5216
15.211,front_right,0.8840
15.311,front_right,0.5216
15.411,front_right,0.5216
