time_s,p_fault,fault_bin
0.5003,0.512364,1
0.5104,0.814562,1
0.5198,0.924278,1
0.5297,0.966295,1
0.5397,0.982870,1
0.5497,0.990736,1
0.5597,0.994547,1
0.5697,0.996451,1
0.5796,0.997550,1
0.5897,0.998181,1
0.5996,0.998596,1
0.6097,0.998870,1
0.6196,0.999074,1
0.6297,0.999205,1
0.6396,0.999282,1
0.6496,0.999343,1
0.6597,0.999386,1
0.6697,0.999427,1
0.6797,0.999518,1
0.6897,0.999571,1
0.6997,0.999632,1
0.7098,0.999665,1
0.7197,0.999680,1
0.7298,0.999688,1
0.7397,0.999723,1
0.7497,0.999752,1
0.7597,0.999767,1
0.7698,0.999777,1
0.7797,0.999794,1
0.7898,0.999793,1
0.7998,0.999801,1
0.8098,0.999802,1
0.8196,0.999796,1
0.8297,0.999805,1
0.8397,0.999793,1
0.8497,0.999775,1
0.8597,0.999782,1
0.8697,0.999784,1
0.8797,0.999790,1
0.8897,0.999809,1
0.8997,0.999815,1
0.9097,0.999827,1
0.9196,0.999847,1
0.9296,0.999849,1
0.9396,0.999862,1
0.9497,0.999866,1
0.9597,0.999863,1
0.9697,0.999859,1
0.9797,0.999852,1
0.9897,0.999851,1
0.9996,0.999852,1
1.0175,0.999847,1
1.0196,0.999833,1
1.0297,0.999831,1
1.0397,0.999818,1
1.0496,0.999800,1
1.0597,0.999780,1
1.0697,0.999748,1
1.0797,0.999713,1
1.0897,0.999700,1
1.0997,0.999677,1
1.1166,0.999645,1
1.1196,0.999640,1
1.1297,0.999618,1
1.1397,0.999572,1
1.1497,0.999541,1
1.1597,0.999520,1
1.1697,0.999496,1
1.1797,0.999424,1
1.1896,0.999391,1
1.1998,0.999286,1
1.2166,0.999205,1
1.2197,0.999201,1
1.2297,0.999202,1
1.2397,0.999117,1
1.2497,0.999018,1
1.2597,0.999060,1
1.2697,0.999008,1
1.2798,0.998880,1
1.2897,0.998822,1
1.2997,0.998616,1
1.3169,0.998436,1
1.3197,0.998186,1
1.3298,0.997861,1
1.3398,0.997498,1
1.3498,0.997312,1
1.3598,0.997115,1
1.3698,0.996863,1
1.3797,0.996508,1
1.3898,0.995919,1
1.3998,0.995886,1
1.4196,0.995751,1
1.4205,0.995476,1
1.4298,0.995462,1
1.4397,0.995421,1
1.4498,0.995330,1
1.4598,0.995086,1
1.4697,0.994922,1
1.4797,0.995009,1
1.4897,0.994804,1
1.4998,0.994244,1
1.5172,0.994292,1
1.5198,0.994029,1
1.5299,0.993431,1
1.5398,0.993226,1
1.5499,0.992769,1
