time_s,label,confidence
1.0164,rear_left,0.914005
1.1153,rear_left,0.800562
1.2153,rear_left,0.792115
1.3153,rear_left,0.609310
1.4157,rear_left,0.596135
1.5157,rear_left,0.535919
1.6178,rear_left,0.557730
1.7153,rear_left,0.560548
1.8178,rear_left,0.586566
1.9177,rear_left,0.559024
2.0155,rear_left,0.581583
2.1154,rear_left,0.521042
2.2178,rear_left,0.594389
2.3181,rear_left,0.554542
2.4158,rear_left,0.553023
2.5155,rear_left,0.547712
2.6156,rear_left,0.509617
2.7178,rear_left,0.469216
2.8180,rear_left,0.477467
2.9177,rear_left,0.456891
3.0156,rear_left,0.457030
3.1181,rear_left,0.452311
3.2178,normal,0.375729
3.3180,normal,0.399258
3.4182,normal,0.417391
3.5181,normal,0.409720
3.6180,normal,0.437059
3.7180,normal,0.515611
3.8182,normal,0.662710
3.9180,normal,0.649473
4.0182,normal,0.733713
4.1181,normal,0.716369
4.2181,normal,0.708463
4.3180,normal,0.572212
4.4178,normal,0.555450
4.5181,front_right,0.628868
4.6183,normal,0.596996
4.7183,front_right,0.492909
4.8182,normal,0.574294
4.9182,front_right,0.550366
5.0189,normal,0.495413
5.1182,front_right,0.510425
5.2180,normal,0.518969
5.3181,front_right,0.514077
5.4178,normal,0.475986
5.5184,normal,0.634255
5.6160,normal,0.596053
5.7179,normal,0.505792
5.8161,normal,0.478758
5.9180,normal,0.435700
6.0184,normal,0.416065
