time_s,label,confidence
1.6178,rear_left,0.686539
1.7153,rear_left,0.636045
1.8178,rear_left,0.605475
1.9177,rear_left,0.572176
2.0155,rear_left,0.568215
2.1154,rear_left,0.557487
2.2178,rear_left,0.565840
2.3181,rear_left,0.565385
2.4158,rear_left,0.564310
2.5155,rear_left,0.558759
2.6156,rear_left,0.551701
2.7178,rear_left,0.535649
2.8180,rear_left,0.529424
2.9177,rear_left,0.509781
3.0156,rear_left,0.495851
3.1181,rear_left,0.481463
3.2178,rear_left,0.470422
3.3180,rear_left,0.462583
3.4182,rear_left,0.460925
3.5181,normal,0.400525
3.6180,normal,0.407832
3.7180,normal,0.425795
3.8182,normal,0.459640
3.9180,normal,0.498746
4.0182,normal,0.546525
4.1181,normal,0.589237
4.2181,normal,0.631914
4.3180,normal,0.651222
4.4178,normal,0.656913
4.5181,normal,0.655947
4.6183,normal,0.647201
4.7183,normal,0.629898
4.8182,normal,0.601483
4.9182,normal,0.574738
5.0189,normal,0.555538
5.1182,front_right,0.545642
5.2180,normal,0.546418
5.3181,front_right,0.516944
5.4178,normal,0.516165
5.5184,normal,0.531156
5.6160,normal,0.544135
5.7179,normal,0.546211
5.8161,normal,0.534969
5.9180,normal,0.521091
6.0184,normal,0.506087
