time_s,p_fault,fault_bin
1.3780,1.000000,1
1.3880,1.000000,1
1.3980,1.000000,1
1.4080,1.000000,1
1.4180,1.000000,1
1.4280,1.000000,1
1.4380,1.000000,1
1.4480,1.000000,1
1.4580,1.000000,1
1.4680,1.000000,1
1.4780,1.000000,1
1.4880,1.000000,1
1.4980,1.000000,1
1.5080,1.000000,1
1.5180,1.000000,1
1.5280,1.000000,1
1.5380,1.000000,1
1.5480,1.000000,1
1.5580,1.000000,1
1.5680,1.000000,1
1.5780,1.000000,1
1.5880,1.000000,1
1.5980,1.000000,1
1.6080,1.000000,1
1.6180,1.000000,1
1.6280,1.000000,1
1.6380,1.000000,1
1.6480,1.000000,1
1.6580,1.000000,1
1.6680,1.000000,1
1.6780,1.000000,1
1.6880,1.000000,1
1.6980,1.000000,1
1.7080,1.000000,1
1.7180,1.000000,1
1.7280,1.000000,1
1.7380,1.000000,1
1.7480,1.000000,1
1.7580,1.000000,1
1.7680,1.000000,1
1.7780,1.000000,1
1.7880,1.000000,1
1.7980,1.000000,1
1.8080,1.000000,1
1.8180,1.000000,1
1.8280,1.000000,1
1.8380,1.000000,1
1.8480,1.000000,1
1.8580,1.000000,1
1.8680,1.000000,1
1.8780,1.000000,1
1.8880,1.000000,1
1.8980,1.000000,1
1.9080,1.000000,1
1.9180,1.000000,1
1.9280,1.000000,1
1.9380,1.000000,1
1.9480,1.000000,1
1.9580,1.000000,1
1.9680,1.000000,1
1.9780,1.000000,1
1.9880,1.000000,1
1.9980,1.000000,1
2.0080,1.000000,1
2.0180,1.000000,1
2.0280,1.000000,1
2.0380,1.000000,1
2.0480,1.000000,1
2.0580,1.000000,1
2.0680,1.000000,1
2.0780,1.000000,1
2.0880,1.000000,1
2.0980,1.000000,1
2.1080,1.000000,1
2.1180,1.000000,1
2.1280,1.000000,1
2.1380,1.000000,1
2.1480,1.000000,1
2.1580,1.000000,1
2.1680,1.000000,1
2.1780,1.000000,1
2.1880,1.000000,1
2.1980,1.000000,1
2.2080,1.000000,1
2.2180,1.000000,1
2.2280,1.000000,1
2.2380,1.000000,1
2.2480,1.000000,1
2.2580,1.000000,1
2.2680,1.000000,1
2.2780,1.000000,1
2.2880,1.000000,1
2.2980,1.000000,1
2.3080,0.999999,1
2.3180,0.999998,1
2.3280,0.999997,1
2.3380,0.999996,1
2.3480,0.999992,1
2.3580,0.999990,1
2.3680,0.999982,1
2.3780,0.999967,1
2.3880,0.999946,1
2.3980,0.999905,1
2.4080,0.999893,1
2.4180,0.999820,1
2.4280,0.999777,1
2.4380,0.999706,1
2.4480,0.999596,1
2.4580,0.999596,1
2.4680,0.999518,1
2.4780,0.999503,1
2.4880,0.999255,1
2.4980,0.999340,1
2.5080,0.999207,1
2.5180,0.999331,1
2.5280,0.999464,1
2.5380,0.999424,1
2.5480,0.999362,1
2.5580,0.999138,1
2.5680,0.999031,1
2.5780,0.998683,1
2.5880,0.998544,1
2.5980,0.998428,1
2.6080,0.998374,1
2.6180,0.998814,1
2.6280,0.998381,1
2.6380,0.998870,1
2.6480,0.998337,1
2.6580,0.999069,1
2.6680,0.998766,1
2.6780,0.998584,1
2.6880,0.998724,1
2.6980,0.998163,1
2.7080,0.998990,1
2.7180,0.998522,1
2.7280,0.998838,1
2.7380,0.998631,1
2.7480,0.998266,1
2.7580,0.998180,1
2.7680,0.997552,1
2.7780,0.998515,1
2.7890,0.997923,1
2.7980,0.997992,1
2.8080,0.997626,1
2.8190,0.997305,1
2.8300,0.998654,1
2.8430,0.998336,1
2.8490,0.999159,1
2.8590,0.998748,1
2.8690,0.998659,1
2.8780,0.998450,1
2.8880,0.998271,1
2.8950,0.998576,1
2.9080,0.998188,1
2.9170,0.997937,1
2.9280,0.998124,1
2.9370,0.997698,1
2.9470,0.998965,1
2.9570,0.998926,1
2.9670,0.999130,1
2.9770,0.999002,1
2.9870,0.999118,1
2.9970,0.999701,1
3.0070,0.999786,1
3.0170,0.999930,1
3.0270,0.999963,1
3.0370,0.999985,1
3.0470,0.999993,1
3.0570,0.999998,1
3.0670,1.000000,1
3.0770,1.000000,1
3.0870,1.000000,1
3.0970,1.000000,1
3.1070,1.000000,1
3.1170,1.000000,1
3.1270,1.000000,1
3.1370,1.000000,1
3.1470,1.000000,1
3.1570,1.000000,1
3.1670,1.000000,1
3.1770,1.000000,1
3.1870,1.000000,1
3.1970,1.000000,1
3.2080,1.000000,1
3.2170,1.000000,1
3.2280,1.000000,1
3.2370,1.000000,1
3.2470,1.000000,1
3.2570,1.000000,1
3.2670,1.000000,1
3.2770,1.000000,1
3.2870,1.000000,1
3.2970,1.000000,1
3.3070,1.000000,1
3.3170,1.000000,1
3.3270,1.000000,1
3.3370,1.000000,1
3.3470,1.000000,1
3.3570,1.000000,1
3.3670,1.000000,1
3.3770,1.000000,1
3.3880,1.000000,1
3.3970,1.000000,1
3.4070,1.000000,1
3.4170,1.000000,1
3.4270,1.000000,1
3.4370,1.000000,1
3.4470,1.000000,1
3.4570,1.000000,1
3.4670,1.000000,1
3.4770,1.000000,1
3.4870,1.000000,1
3.4970,1.000000,1
3.5070,1.000000,1
3.5170,1.000000,1
3.5270,1.000000,1
3.5370,1.000000,1
3.5470,1.000000,1
3.5570,1.000000,1
3.5670,1.000000,1
3.5770,1.000000,1
3.5870,1.000000,1
3.5970,1.000000,1
3.6070,1.000000,1
3.6180,1.000000,1
3.6270,1.000000,1
3.6380,1.000000,1
3.6470,1.000000,1
3.6570,1.000000,1
3.6670,1.000000,1
3.6770,1.000000,1
3.6870,1.000000,1
3.6970,1.000000,1
3.7080,1.000000,1
3.7170,1.000000,1
3.7270,1.000000,1
3.7370,1.000000,1
3.7470,1.000000,1
3.7570,1.000000,1
3.7670,1.000000,1
3.7770,1.000000,1
3.7870,1.000000,1
3.7970,1.000000,1
3.8070,1.000000,1
3.8170,1.000000,1
3.8270,1.000000,1
3.8370,1.000000,1
3.8470,1.000000,1
3.8570,1.000000,1
3.8680,1.000000,1
3.8770,1.000000,1
3.8880,1.000000,1
3.8970,1.000000,1
3.9080,1.000000,1
3.9170,1.000000,1
3.9270,1.000000,1
3.9370,1.000000,1
3.9470,1.000000,1
3.9570,1.000000,1
3.9670,1.000000,1
3.9780,1.000000,1
3.9870,1.000000,1
3.9980,1.000000,1
4.0080,1.000000,1
4.0170,1.000000,1
4.0280,1.000000,1
4.0370,1.000000,1
4.0470,1.000000,1
4.0570,1.000000,1
4.0680,1.000000,1
4.0770,1.000000,1
4.0870,1.000000,1
4.0970,1.000000,1
4.1070,1.000000,1
4.1170,1.000000,1
4.1270,1.000000,1
4.1380,1.000000,1
4.1470,1.000000,1
4.1570,1.000000,1
4.1670,1.000000,1
4.1770,1.000000,1
4.1870,1.000000,1
4.1970,1.000000,1
4.2080,1.000000,1
4.2170,1.000000,1
4.2270,1.000000,1
4.2370,1.000000,1
4.2470,1.000000,1
4.2570,1.000000,1
4.2670,1.000000,1
4.2770,1.000000,1
4.2870,1.000000,1
4.2970,1.000000,1
4.3070,1.000000,1
4.3180,1.000000,1
4.3270,1.000000,1
4.3380,1.000000,1
4.3470,1.000000,1
4.3570,0.999999,1
4.3670,0.999999,1
4.3770,0.999999,1
4.3880,0.999999,1
4.3970,0.999999,1
4.4070,0.999999,1
4.4170,0.999999,1
4.4270,0.999999,1
4.4370,0.999998,1
4.4470,0.999998,1
4.4580,0.999999,1
4.4670,0.999999,1
4.4770,0.999998,1
4.4880,0.999998,1
