time_s,label,confidence
2.5580,rear_left,0.911196
2.6580,rear_left,0.912918
2.7580,rear_left,0.922130
2.8590,rear_left,0.928726
2.9570,rear_left,0.933036
3.0570,rear_left,0.933143
3.1570,rear_left,0.941979
3.2570,rear_left,0.950694
3.3570,rear_left,0.960768
3.4570,rear_left,0.967938
3.5570,rear_left,0.975109
3.6570,rear_left,0.984229
3.7570,rear_left,0.998149
3.8570,rear_left,0.999670
3.9570,rear_left,1.000000
4.0570,rear_left,1.000000
4.1570,rear_left,1.000000
4.2570,rear_left,1.000000
4.3570,rear_left,1.000000
4.4580,rear_left,1.000000
4.5570,rear_left,0.997504
4.6570,rear_left,0.994010
4.7580,rear_left,0.992097
4.8580,rear_left,0.991636
4.9580,rear_left,0.990446
5.0580,rear_left,0.990446
5.1580,rear_left,0.990446
5.2580,rear_left,0.992707
5.3570,rear_left,0.996200
5.4580,rear_left,0.998113
5.5580,rear_left,0.998574
5.6610,rear_left,0.999313
5.7590,rear_left,0.999313
5.8580,rear_left,0.998961
5.9580,rear_left,0.998844
6.0580,rear_left,0.998492
6.1580,rear_left,0.998492
6.2580,rear_left,0.998492
6.3580,rear_left,0.998943
6.4580,rear_left,0.998943
6.5580,rear_left,0.999295
6.6580,rear_left,0.999648
6.7580,rear_left,1.000000
6.8580,rear_left,1.000000
6.9580,rear_left,1.000000
7.0580,rear_left,0.995791
7.1580,rear_left,0.991582
7.2580,rear_left,0.991112
7.3580,rear_left,0.991112
7.4580,rear_left,0.991112
7.5580,rear_left,0.990620
7.6580,rear_left,0.990620
7.7580,rear_left,0.994829
