time_seconds,total_vibration,rms_x,rms_y,rms_z
0.510,2.189825,1.195041,1.758611,0.523922
0.520,2.225864,1.224565,1.782103,0.528222
0.530,2.240859,1.242143,1.788057,0.530453
0.540,2.300758,1.242275,1.853502,0.561042
0.550,2.335333,1.267902,1.874997,0.574973
0.560,2.356152,1.289621,1.884932,0.579105
0.570,2.407678,1.289663,1.933414,0.628962
0.580,2.438833,1.313777,1.947267,0.655780
0.591,2.457220,1.342224,1.950703,0.656600
0.600,2.484999,1.344961,1.974246,0.684580
0.610,2.507245,1.358404,1.983189,0.712726
0.620,2.524362,1.389528,1.982825,0.714157
0.630,2.545542,1.398249,2.000973,0.721661
0.640,2.565344,1.403881,2.015903,0.739085
0.650,2.587540,1.439627,2.015923,0.747591
0.660,2.618839,1.453757,2.045591,0.748642
0.670,2.633002,1.457445,2.056415,0.761388
0.680,2.661033,1.485638,2.068632,0.771192
0.691,2.702717,1.497622,2.113045,0.772560
0.700,2.706755,1.498411,2.115908,0.777317
0.710,2.739136,1.519927,2.139857,0.783390
0.720,2.650800,1.457924,2.077617,0.764663
0.730,2.637199,1.429815,2.082374,0.757736
0.740,2.643969,1.436239,2.086819,0.756951
0.750,2.660599,1.462469,2.090831,0.753922
0.760,2.653005,1.439076,2.101599,0.742145
0.770,2.626096,1.428359,2.073454,0.746297
0.780,2.618284,1.451531,2.046925,0.747373
0.790,2.632005,1.440557,2.075437,0.738109
0.800,2.602543,1.424870,2.044984,0.749008
0.810,2.569869,1.442071,1.989777,0.751964
0.820,2.601644,1.441165,2.030357,0.754484
0.826,2.588853,1.429050,2.018088,0.766352
0.839,2.574738,1.434064,1.995812,0.767769
0.849,2.603602,1.434943,2.025827,0.784669
0.859,2.604935,1.430064,2.027107,0.794633
0.869,2.592690,1.422795,2.016649,0.794243
0.879,2.598371,1.426641,2.016390,0.806475
0.889,2.597601,1.414039,2.025969,0.802168
0.899,2.584298,1.404235,2.016480,0.800332
0.909,2.557235,1.409138,1.973635,0.811507
0.919,2.549655,1.397890,1.973333,0.807837
0.929,2.546198,1.390204,1.974682,0.806899
0.939,2.510129,1.397716,1.922401,0.807164
0.949,2.506775,1.399110,1.906693,0.831223
0.959,2.517080,1.404748,1.909121,0.847130
0.969,2.513995,1.406122,1.904981,0.845010
0.979,2.520728,1.411691,1.891856,0.884353
0.989,2.535008,1.424520,1.891885,0.904311
0.999,2.559847,1.422611,1.926740,0.903697
1.009,2.547371,1.423999,1.903374,0.915692
1.038,2.542787,1.427798,1.893245,0.918031
1.038,2.573948,1.426890,1.935148,0.918908
1.039,2.539023,1.427084,1.894374,0.906319
1.049,2.520282,1.425497,1.874433,0.897932
1.059,2.535327,1.423932,1.895930,0.897638
1.069,2.521180,1.424217,1.890969,0.867291
1.079,2.504865,1.419455,1.881739,0.847677
1.089,2.516391,1.417367,1.897887,0.849305
1.099,2.540149,1.415596,1.937672,0.832990
1.109,2.540756,1.420432,1.942181,0.815934
1.146,2.548698,1.414390,1.955910,0.818402
1.146,2.570963,1.406903,1.986960,0.826115
1.147,2.568106,1.417139,1.978656,0.819641
1.149,2.565085,1.403264,1.986592,0.814837
1.159,2.552731,1.389897,1.971335,0.835739
1.169,2.548975,1.399134,1.959494,0.836710
1.179,2.534967,1.393943,1.948848,0.827631
1.189,2.498542,1.382808,1.904762,0.838115
1.199,2.504208,1.393568,1.900370,0.847124
1.209,2.484000,1.394109,1.875564,0.842006
1.236,2.446727,1.381165,1.835397,0.842719
1.236,2.450300,1.387730,1.831487,0.850781
1.239,2.444027,1.393886,1.818509,0.850513
1.249,2.436764,1.376661,1.821958,0.850349
1.259,2.445036,1.380726,1.825593,0.859655
1.269,2.448236,1.383296,1.829497,0.856326
1.279,2.462551,1.369302,1.859371,0.855516
1.289,2.463803,1.369701,1.854623,0.868687
1.299,2.454598,1.367120,1.848721,0.859223
1.309,2.454926,1.356173,1.857755,0.858021
1.335,2.445965,1.357137,1.840529,0.867974
1.335,2.444087,1.352330,1.846122,0.858252
1.339,2.430667,1.354724,1.825395,0.860697
1.349,2.440024,1.366562,1.830993,0.856557
1.359,2.471713,1.352953,1.884402,0.853177
1.370,2.471993,1.354448,1.879662,0.862026
1.379,2.493184,1.381921,1.891141,0.854311
1.389,2.530087,1.380553,1.941425,0.852224
1.399,2.540938,1.365563,1.959947,0.866148
1.409,2.549640,1.393117,1.955779,0.857217
1.436,2.548218,1.406008,1.954437,0.834702
1.437,2.563929,1.385450,1.985242,0.844435
1.439,2.584434,1.388528,2.005019,0.855095
1.449,2.566281,1.403516,1.993072,0.802249
1.459,2.573823,1.381258,2.021354,0.794242
1.469,2.596010,1.376343,2.044440,0.815605
1.479,2.576148,1.390279,2.031580,0.759173
1.489,2.575999,1.377170,2.045694,0.744521
1.499,2.575735,1.369033,2.046793,0.755510
1.509,2.578799,1.375780,2.054414,0.732678
1.536,2.571843,1.380387,2.043344,0.730517
1.537,2.574098,1.381551,2.045290,0.730811
1.539,2.602399,1.381876,2.081029,0.729530
1.549,2.606045,1.383607,2.080635,0.740310
1.559,2.617240,1.390454,2.090436,0.739364
1.569,2.630085,1.394512,2.104006,0.738812
1.579,2.626726,1.381868,2.103721,0.751325
1.589,2.622651,1.386991,2.093526,0.756109
1.599,2.610378,1.410213,2.065678,0.747226
1.609,2.612497,1.392088,2.080531,0.747408
1.637,2.602276,1.382510,2.069272,0.760670
1.638,2.594739,1.419270,2.039158,0.748451
1.639,2.613853,1.420416,2.065243,0.741225
1.649,2.606764,1.398887,2.067166,0.751768
1.659,2.604540,1.412178,2.054371,0.754283
1.669,2.619440,1.429196,2.057442,0.765376
1.679,2.613700,1.422482,2.054745,0.765501
1.689,2.621289,1.421325,2.061835,0.774485
1.700,2.630246,1.431244,2.063828,0.781248
1.709,2.630923,1.433978,2.063848,0.778456
1.736,2.653911,1.432290,2.088016,0.794969
1.737,2.665115,1.425087,2.102402,0.807384
1.739,2.656541,1.417713,2.096891,0.806443
1.749,2.635721,1.429847,2.061253,0.808577
1.759,2.649104,1.440902,2.073257,0.801971
1.769,2.675860,1.420686,2.119625,0.805647
1.780,2.637474,1.420875,2.067817,0.813337
1.789,2.633891,1.444761,2.051175,0.801706
1.799,2.675533,1.439636,2.108530,0.800016
1.810,2.651612,1.420780,2.088553,0.806459
1.836,2.637285,1.440837,2.056017,0.807499
1.836,2.646421,1.459007,2.054201,0.809382
1.839,2.643078,1.440104,2.062866,0.810274
1.849,2.629449,1.432538,2.031002,0.858411
1.859,2.605954,1.456978,1.976825,0.871995
1.869,2.608120,1.459658,1.980081,0.866583
1.880,2.596777,1.433620,1.970442,0.897408
1.889,2.566319,1.436841,1.922692,0.908149
1.899,2.558059,1.455026,1.903387,0.896484
1.910,2.560343,1.443537,1.914898,0.897066
1.936,2.580488,1.424724,1.950421,0.908261
1.936,2.580125,1.439287,1.937325,0.912286
1.939,2.576919,1.458231,1.924246,0.900751
1.949,2.619243,1.449687,1.985928,0.902736
1.959,2.613596,1.444091,1.980944,0.906282
1.969,2.591738,1.462637,1.945172,0.891124
1.979,2.616533,1.474573,1.970076,0.889204
1.989,2.610835,1.461090,1.973660,0.886760
1.999,2.587755,1.466799,1.936734,0.891088
2.009,2.588062,1.492455,1.915278,0.895740
2.036,2.599012,1.480756,1.939672,0.894372
2.036,2.566541,1.465728,1.903014,0.904052
2.039,2.536430,1.482198,1.841490,0.919499
2.049,2.543711,1.486732,1.851312,0.912544
2.059,2.513796,1.472162,1.819371,0.917496
2.069,2.478078,1.471115,1.763381,0.931225
2.079,2.485135,1.487916,1.760461,0.928859
2.089,2.474683,1.481874,1.753019,0.924679
2.099,2.464204,1.463562,1.750205,0.931166
2.109,2.470190,1.467357,1.751475,0.938635
2.136,2.473507,1.481400,1.749625,0.928711
2.136,2.482059,1.466747,1.777432,0.921959
2.139,2.479784,1.450582,1.785090,0.926605
2.149,2.475062,1.458293,1.772798,0.925472
2.159,2.487206,1.466873,1.794890,0.901580
2.169,2.482347,1.445689,1.813507,0.885000
2.179,2.477122,1.431120,1.813586,0.893829
2.189,2.477940,1.448855,1.807184,0.880393
2.199,2.472896,1.442873,1.812078,0.865855
2.209,2.459798,1.419575,1.810293,0.870776
2.237,2.437858,1.426537,1.776162,0.867984
2.237,2.432726,1.445610,1.759806,0.855248
2.239,2.432619,1.434552,1.770149,0.852213
2.249,2.428505,1.412555,1.776372,0.864191
2.259,2.411282,1.419783,1.741963,0.874106
2.270,2.381858,1.429782,1.696086,0.867331
2.280,2.382202,1.414688,1.705976,0.873606
2.289,2.373415,1.412159,1.689710,0.885319
2.299,2.335064,1.414518,1.634465,0.883281
2.309,2.339644,1.413918,1.637829,0.890105
2.336,2.336281,1.410463,1.636064,0.889998
2.336,2.328903,1.394977,1.642498,0.883192
2.339,2.331874,1.383392,1.649248,0.896574
2.349,2.315365,1.400720,1.631260,0.859005
2.359,2.310271,1.391684,1.640832,0.841568
2.369,2.309882,1.370317,1.655038,0.847724
2.380,2.294867,1.382189,1.630105,0.835897
2.389,2.295396,1.397008,1.623702,0.825107
2.400,2.300593,1.373095,1.646590,0.834314
2.410,2.295406,1.368111,1.636132,0.848666
2.437,2.266917,1.387065,1.583079,0.841916
2.437,2.250537,1.371604,1.578568,0.831709
2.439,2.238786,1.354460,1.567250,0.849309
2.449,2.194096,1.363207,1.492966,0.852511
2.459,2.192995,1.366388,1.489608,0.850457
2.469,2.190088,1.353901,1.490566,0.861191
2.480,2.167149,1.338708,1.469552,0.863024
2.489,2.168478,1.335160,1.467636,0.875037
2.500,2.166821,1.335863,1.464015,0.875926
2.509,2.161077,1.316319,1.479906,0.864543
2.536,2.159693,1.294867,1.484533,0.885300
2.536,2.157832,1.308569,1.468479,0.887387
2.539,2.175194,1.305431,1.510666,0.863252
2.549,2.200163,1.275835,1.565704,0.872660
2.559,2.194226,1.278136,1.552411,0.878077
2.570,2.227826,1.297637,1.595157,0.857218
2.580,2.260189,1.271504,1.662141,0.853826
2.589,2.253602,1.260576,1.659238,0.858253
2.600,2.270078,1.269927,1.678947,0.849517
2.610,2.297177,1.263643,1.724155,0.841142
2.636,2.288576,1.248776,1.723551,0.841136
2.636,2.279562,1.238020,1.717548,0.844831
2.639,2.293251,1.236799,1.736434,0.845061
2.649,2.296526,1.246550,1.738916,0.834456
2.659,2.284887,1.232814,1.732447,0.836366
2.670,2.293059,1.226420,1.745937,0.840069
2.679,2.296431,1.245362,1.742759,0.827924
2.689,2.309811,1.224389,1.766254,0.846431
2.700,2.318036,1.214763,1.775960,0.862327
2.710,2.321513,1.227754,1.774390,0.856494
2.736,2.349204,1.213307,1.808900,0.880073
2.737,2.355847,1.211786,1.810517,0.896447
2.739,2.358766,1.221802,1.808420,0.894759
2.749,2.368554,1.218129,1.821616,0.898847
2.759,2.366488,1.216513,1.821612,0.895594
2.770,2.368922,1.212823,1.826561,0.896954
2.780,2.356650,1.212086,1.813508,0.892098
2.789,2.367732,1.201636,1.841620,0.877874
2.800,2.389028,1.185903,1.873660,0.889094
2.809,2.381870,1.195108,1.862219,0.881567
2.836,2.423930,1.187089,1.926743,0.868285
2.837,2.461641,1.168255,1.979509,0.881135
2.839,2.455720,1.192268,1.962649,0.870095
2.849,2.477362,1.180789,2.002292,0.856670
2.859,2.493870,1.158719,2.033671,0.860781
2.870,2.488063,1.179374,2.017313,0.854392
2.879,2.486836,1.166212,2.026622,0.846821
2.890,2.467711,1.143678,2.017868,0.842500
2.900,2.470566,1.161075,2.015192,0.833427
2.910,2.458039,1.145590,2.013124,0.822745
2.936,2.462232,1.137422,2.024159,0.819535
2.936,2.496760,1.147032,2.062755,0.814352
2.939,2.491728,1.138054,2.065669,0.804086
2.949,2.499078,1.123499,2.083432,0.801530
2.960,2.525190,1.120353,2.116867,0.800168
2.970,2.523633,1.125957,2.116223,0.789017
2.980,2.514738,1.110535,2.111979,0.793829
2.989,2.497211,1.113938,2.094921,0.778786
3.000,2.510812,1.125401,2.109932,0.765398
3.010,2.494329,1.104182,2.100285,0.768935
3.036,2.481126,1.119391,2.086447,0.741411
3.037,2.532286,1.117164,2.148891,0.739384
3.039,2.532309,1.100300,2.152471,0.754187
3.049,2.497835,1.119743,2.107010,0.738826
3.059,2.511834,1.108806,2.127109,0.745162
3.070,2.473195,1.091914,2.086432,0.755790
3.080,2.449066,1.106462,2.052153,0.749892
3.090,2.442811,1.092800,2.053076,0.746991
3.099,2.430771,1.096203,2.036699,0.747559
3.110,2.422519,1.096993,2.024051,0.753938
3.140,2.425838,1.094035,2.028489,0.756975
3.140,2.407619,1.093400,2.005510,0.760942
3.140,2.386451,1.102236,1.960233,0.798569
3.149,2.392333,1.103789,1.963080,0.806986
3.159,2.384839,1.092650,1.961382,0.804083
3.169,2.363303,1.099679,1.932419,0.801040
3.179,2.377154,1.087529,1.951776,0.811611
3.190,2.357104,1.086465,1.935109,0.794283
3.200,2.346898,1.085422,1.932050,0.772638
3.210,2.362202,1.072216,1.945602,0.803109
3.236,2.334008,1.091514,1.912145,0.774529
3.236,2.338633,1.074030,1.939266,0.744924
3.239,2.339643,1.059663,1.948931,0.743445
3.249,2.330088,1.072322,1.932990,0.736876
3.259,2.319242,1.044017,1.935294,0.737260
3.270,2.314604,1.045109,1.930708,0.733147
3.280,2.366573,1.046732,1.989976,0.738252
3.290,2.355210,1.041349,1.978074,0.741505
3.300,2.322711,1.046010,1.938295,0.737471
3.310,2.324568,1.041023,1.938916,0.748660
3.336,2.312527,1.033888,1.926743,0.752675
3.336,2.308369,1.035565,1.926669,0.737647
3.339,2.306496,1.032805,1.926166,0.736969
3.349,2.270808,1.019623,1.886163,0.747883
3.359,2.250916,1.025846,1.865005,0.732131
3.369,2.316162,1.004065,1.951822,0.739492
3.380,2.307934,1.011104,1.940912,0.732865
3.390,2.322724,1.010012,1.960610,0.728650
3.400,2.308556,0.997832,1.948574,0.732680
3.410,2.338378,0.998455,1.972111,0.762809
3.436,2.316926,0.982664,1.950467,0.773431
3.437,2.294451,0.982208,1.925157,0.770416
3.439,2.293739,0.974126,1.930004,0.766421
3.449,2.276802,0.962459,1.910062,0.780489
3.460,2.232833,0.969492,1.852086,0.784477
3.470,2.251347,0.955655,1.882319,0.782409
3.480,2.248130,0.946619,1.884789,0.778185
3.490,2.259019,0.942077,1.901195,0.775317
3.500,2.248052,0.919930,1.896180,0.782284
3.510,2.249635,0.928367,1.894777,0.780265
3.537,2.236216,0.916899,1.882922,0.783940
3.537,2.206949,0.906837,1.856384,0.775957
3.539,2.179428,0.907206,1.828043,0.764947
3.549,2.178800,0.879708,1.835762,0.776701
3.559,2.156595,0.883691,1.815936,0.756552
3.570,2.158505,0.870424,1.823886,0.758252
3.580,2.140704,0.853885,1.810319,0.759103
3.590,2.199023,0.852970,1.866005,0.791309
3.600,2.168154,0.853923,1.827401,0.795181
3.610,2.149412,0.855896,1.803296,0.797205
3.636,2.143169,0.851591,1.799661,0.793212
3.637,2.122340,0.831855,1.787328,0.786004
3.639,2.107797,0.825238,1.787791,0.752059
3.649,2.090426,0.801486,1.782754,0.741140
3.659,2.104746,0.799928,1.800309,0.740917
3.669,2.102570,0.786125,1.801741,0.746014
3.680,2.119895,0.783434,1.826408,0.737847
3.690,2.113052,0.796788,1.816294,0.728830
3.700,2.130685,0.780482,1.840678,0.736594
3.710,2.107020,0.789038,1.821764,0.705783
3.737,2.123946,0.763750,1.847757,0.716677
3.737,2.097546,0.763453,1.817559,0.716461
3.739,2.086352,0.761995,1.805327,0.716256
3.749,2.077627,0.748575,1.801427,0.714864
3.759,2.068706,0.747371,1.799109,0.695835
3.770,2.070151,0.728580,1.806619,0.700586
3.780,2.009453,0.732622,1.738002,0.693194
3.790,2.013796,0.717945,1.745575,0.702068
3.800,2.010142,0.714728,1.749249,0.685536
3.810,2.044492,0.705492,1.792312,0.685452
3.836,2.004129,0.719059,1.737310,0.693716
3.836,1.943973,0.722482,1.667859,0.689417
3.839,1.953735,0.693271,1.691488,0.689439
3.849,1.946700,0.696044,1.687010,0.677613
3.860,1.980081,0.685233,1.722015,0.697023
3.870,1.899681,0.712753,1.620166,0.689807
3.880,1.954567,0.695843,1.680521,0.715529
3.890,1.940987,0.699588,1.663105,0.715605
3.900,1.952984,0.694593,1.674665,0.726075
3.910,1.928429,0.706550,1.657118,0.688176
3.935,1.927374,0.705300,1.657669,0.685168
3.936,1.938580,0.711144,1.665595,0.691491
3.939,1.940478,0.723819,1.662008,0.692294
3.949,1.943433,0.714503,1.670495,0.689829
3.960,1.938874,0.721270,1.670197,0.670406
3.970,1.951511,0.719410,1.663258,0.724167
3.980,1.955033,0.738039,1.659164,0.724312
3.990,1.954417,0.734869,1.658139,0.728209
4.000,1.950494,0.735446,1.656548,0.720691
4.010,1.951887,0.733920,1.657177,0.724562
4.037,1.960420,0.726879,1.663502,0.740038
4.037,1.917067,0.725425,1.614439,0.736540
4.039,1.923110,0.718318,1.619425,0.748222
4.049,1.911961,0.726995,1.608761,0.734139
4.060,1.929247,0.725686,1.629735,0.734396
4.070,1.919258,0.727776,1.620733,0.726029
4.080,1.915843,0.719640,1.619803,0.727193
4.090,1.858135,0.718944,1.565712,0.695939
4.100,1.848094,0.699837,1.564988,0.690283
4.110,1.831880,0.698203,1.543856,0.696280
4.134,1.842631,0.685751,1.559510,0.702114
4.134,1.858584,0.684846,1.581085,0.696771
4.139,1.865028,0.691551,1.585885,0.696458
4.149,1.870957,0.692871,1.592785,0.695302
4.159,1.861021,0.688764,1.580451,0.700842
4.169,1.861104,0.694884,1.579829,0.696408
4.179,1.856459,0.691171,1.570535,0.708620
4.189,1.866973,0.705437,1.571732,0.719446
4.200,1.861954,0.705154,1.564440,0.722605
4.210,1.865404,0.712355,1.564483,0.724345
4.235,1.846543,0.714278,1.544997,0.715898
4.236,1.848155,0.712894,1.542871,0.725955
4.239,1.852644,0.727182,1.538721,0.732006
4.249,1.883685,0.724630,1.572027,0.742907
4.259,1.891399,0.738895,1.574694,0.742810
4.269,1.912097,0.738888,1.599724,0.742321
4.280,1.913378,0.742047,1.599727,0.742466
4.290,1.939970,0.741954,1.636247,0.731904
4.300,1.946907,0.742424,1.647140,0.725384
4.310,1.903976,0.742773,1.602001,0.712044
4.336,1.892513,0.728412,1.598427,0.704308
4.336,1.893343,0.726273,1.600239,0.704635
4.339,1.883178,0.727378,1.586135,0.708135
4.349,1.887216,0.732301,1.585620,0.714933
4.359,1.871443,0.739700,1.574408,0.690204
4.369,1.872610,0.737326,1.572958,0.699159
4.379,1.856887,0.740328,1.562373,0.677447
4.390,1.857875,0.748087,1.559502,0.678246
4.400,1.853265,0.746679,1.558928,0.668433
4.410,1.840547,0.749099,1.542683,0.668278
4.436,1.835812,0.741910,1.542373,0.663973
4.436,1.818207,0.731526,1.525759,0.665435
4.439,1.813525,0.722134,1.526413,0.661408
4.449,1.824447,0.723074,1.545904,0.644943
4.459,1.835088,0.709054,1.564003,0.647058
4.469,1.797752,0.707128,1.541151,0.597273
4.480,1.792395,0.694707,1.540594,0.597189
4.490,1.816188,0.691736,1.563873,0.611835
4.500,1.823450,0.708637,1.562434,0.617741
4.510,1.834011,0.703759,1.575247,0.622024
4.536,1.831368,0.718878,1.571946,0.605072
4.536,1.834128,0.723541,1.572868,0.605475
4.539,1.829635,0.722165,1.563376,0.617979
4.549,1.840870,0.734565,1.565848,0.630346
4.559,1.842451,0.737116,1.562588,0.640003
4.570,1.847746,0.745359,1.564289,0.641565
4.580,1.885553,0.745921,1.605632,0.648738
4.590,1.898298,0.750788,1.623136,0.636617
4.600,1.916635,0.754892,1.638687,0.646787
4.610,1.912722,0.770491,1.625664,0.649663
4.636,1.928977,0.768498,1.650661,0.636933
4.637,1.914217,0.784986,1.621936,0.646026
4.639,1.984861,0.780820,1.703263,0.654897
4.649,1.999595,0.805398,1.709063,0.654840
4.659,1.984701,0.802874,1.692129,0.656603
4.669,1.984022,0.802341,1.693319,0.652120
4.679,1.956044,0.804042,1.660580,0.649690
4.690,1.943771,0.780869,1.660550,0.641142
4.700,1.956031,0.781090,1.676312,0.637130
4.709,1.970353,0.781313,1.688419,0.648908
4.736,1.967112,0.789389,1.687246,0.632135
4.736,1.962120,0.791443,1.685879,0.617532
4.739,1.967162,0.779179,1.691991,0.632277
4.749,1.944503,0.789301,1.663700,0.624659
4.759,1.978779,0.783136,1.701257,0.638742
4.769,1.964104,0.795712,1.679633,0.635121
4.779,1.970329,0.805629,1.681726,0.636362
4.790,1.945297,0.806011,1.650818,0.639788
4.800,1.937941,0.822835,1.633762,0.639825
4.810,1.962367,0.824933,1.638791,0.696230
4.836,2.006372,0.851644,1.676644,0.699354
4.836,2.064225,0.851801,1.736398,0.721376
4.839,2.066871,0.876005,1.728272,0.719477
4.849,2.081797,0.871016,1.752201,0.710633
