time_seconds,total,rms_x,rms_y,rms_z,baseline_total,baseline_x,baseline_y,baseline_z,d2,ewma_d2,p_fault,decision
0.501,0.344841,0.006036,0.009241,0.344664,0.709714,0.204291,0.484018,0.422750,58.0315,5.8032,0.7857,FAULT
0.511,0.344841,0.005821,0.009242,0.344668,0.679028,0.187600,0.444089,0.416183,48.3490,10.0577,0.9605,FAULT
0.521,0.344825,0.005863,0.009288,0.344650,0.652960,0.173424,0.410174,0.410604,40.7974,13.1317,0.9894,FAULT
0.531,0.344827,0.005796,0.009294,0.344653,0.630532,0.161223,0.380995,0.405803,34.8890,15.3074,0.9959,FAULT
0.541,0.344853,0.005811,0.009282,0.344679,0.611025,0.150611,0.355613,0.401630,30.1456,16.7913,0.9979,FAULT
0.551,0.344875,0.005780,0.009151,0.344705,0.593897,0.141290,0.333316,0.397966,26.3334,17.7455,0.9986,FAULT
0.561,0.344833,0.005736,0.009183,0.344663,0.578727,0.133034,0.313575,0.394720,23.1303,18.2839,0.9989,FAULT
0.571,0.344849,0.005803,0.009190,0.344677,0.565196,0.125673,0.295965,0.391825,20.4536,18.5009,0.9990,FAULT
0.581,0.344842,0.005949,0.009191,0.344668,0.553047,0.119072,0.280153,0.389225,18.1846,18.4693,0.9990,FAULT
0.591,0.344849,0.005905,0.009296,0.344673,0.542074,0.113108,0.265878,0.386877,16.2547,18.2478,0.9989,FAULT
0.601,0.344857,0.005878,0.009317,0.344681,0.532111,0.107691,0.252918,0.384745,14.6190,17.8849,0.9987,FAULT
0.611,0.344831,0.005862,0.009330,0.344655,0.523021,0.102748,0.241094,0.382799,13.2033,17.4168,0.9984,FAULT
0.621,0.344809,0.005867,0.009454,0.344630,0.514690,0.098219,0.230265,0.381015,11.9435,16.8694,0.9980,FAULT
0.631,0.344826,0.005734,0.009388,0.344650,0.507026,0.094047,0.220300,0.379374,10.9034,16.2728,0.9973,FAULT
0.641,0.344819,0.006175,0.009385,0.344636,0.499950,0.090213,0.211099,0.377859,9.9077,15.6363,0.9965,FAULT
0.651,0.344832,0.006162,0.009398,0.344649,0.493394,0.086661,0.202575,0.376455,9.0748,14.9802,0.9953,FAULT
0.661,0.344791,0.006189,0.009388,0.344608,0.487301,0.083361,0.194653,0.375149,8.3312,14.3153,0.9936,FAULT
0.671,0.344839,0.006281,0.009312,0.344656,0.481623,0.080289,0.187266,0.373934,7.6796,13.6517,0.9915,FAULT
0.681,0.344848,0.006287,0.009267,0.344666,0.476318,0.077419,0.180362,0.372799,7.0958,12.9961,0.9887,FAULT
0.691,0.344867,0.006187,0.009270,0.344687,0.471349,0.074726,0.173894,0.371736,6.5726,12.3538,0.9851,FAULT
