time_seconds,total_vibration,rms_x,rms_y,rms_z
0.512,0.343613,0.007128,0.013561,0.343272
0.522,0.343596,0.006798,0.013343,0.343269
0.531,0.343586,0.006816,0.013516,0.343252
0.541,0.343528,0.006806,0.012970,0.343216
0.551,0.343530,0.006782,0.012801,0.343224
0.561,0.343489,0.006653,0.012454,0.343198
0.571,0.343505,0.006488,0.012488,0.343217
0.581,0.343506,0.006445,0.012330,0.343224
0.591,0.343494,0.006447,0.012289,0.343214
0.601,0.343544,0.006444,0.011955,0.343276
0.611,0.343572,0.006024,0.011868,0.343314
0.621,0.343604,0.006271,0.011730,0.343346
0.631,0.343633,0.006166,0.011398,0.343389
0.641,0.343632,0.006468,0.011061,0.343393
0.651,0.343619,0.006242,0.010802,0.343392
0.661,0.343615,0.006264,0.010423,0.343400
0.671,0.343603,0.006216,0.010336,0.343392
0.681,0.343545,0.005731,0.009829,0.343356
0.691,0.343547,0.005695,0.009340,0.343373
0.701,0.343523,0.005713,0.008799,0.343363
0.711,0.343510,0.005804,0.008374,0.343359
0.721,0.009608,0.005586,0.005832,0.005206
0.731,0.009500,0.005557,0.005689,0.005195
0.741,0.009415,0.005721,0.005437,0.005133
0.751,0.009407,0.005740,0.005437,0.005097
0.761,0.009443,0.005767,0.005412,0.005160
0.771,0.009674,0.005705,0.005768,0.005269
0.781,0.009665,0.005668,0.005794,0.005265
0.791,0.009855,0.005984,0.005793,0.005268
0.801,0.009923,0.006067,0.005828,0.005263
0.811,0.009985,0.006076,0.005930,0.005255
0.821,0.009881,0.006077,0.005878,0.005115
0.831,0.009800,0.005992,0.005859,0.005080
0.841,0.009738,0.005859,0.005883,0.005088
0.851,0.009915,0.005887,0.006121,0.005118
0.861,0.010009,0.005859,0.006142,0.005303
0.871,0.010013,0.005909,0.006090,0.005315
0.881,0.009904,0.006049,0.006005,0.005044
0.891,0.009836,0.005955,0.005985,0.005046
0.901,0.009807,0.006019,0.005988,0.004908
0.911,0.009830,0.006043,0.005998,0.004914
0.921,0.009779,0.006055,0.005995,0.004798
0.931,0.009738,0.006055,0.005980,0.004734
0.941,0.009659,0.006058,0.005801,0.004789
0.951,0.009529,0.005963,0.005627,0.004855
0.961,0.009433,0.005797,0.005617,0.004881
0.971,0.009392,0.005604,0.005734,0.004891
0.981,0.009312,0.005589,0.005602,0.004907
0.991,0.009541,0.005608,0.005563,0.005351
1.001,0.009683,0.005729,0.005596,0.005443
1.012,0.009640,0.005711,0.005577,0.005404
1.022,0.009780,0.005807,0.005664,0.005463
1.031,0.009664,0.005803,0.005471,0.005458
1.041,0.009766,0.005832,0.005645,0.005432
1.051,0.009749,0.005860,0.005573,0.005444
1.061,0.009799,0.005844,0.005579,0.005545
1.071,0.009892,0.005877,0.005568,0.005684
1.081,0.009922,0.005827,0.005542,0.005812
1.092,0.010065,0.005807,0.005535,0.006078
1.101,0.010051,0.005909,0.005556,0.005936
1.111,0.009892,0.006002,0.005277,0.005829
1.121,0.009755,0.005827,0.005294,0.005761
1.131,0.009762,0.005838,0.005323,0.005733
1.141,0.009582,0.005582,0.005309,0.005698
1.151,0.009467,0.005358,0.005391,0.005644
1.161,0.009428,0.005310,0.005366,0.005648
1.171,0.009372,0.005389,0.005329,0.005514
1.181,0.009389,0.005403,0.005344,0.005514
1.191,0.009590,0.005404,0.005331,0.005861
1.201,0.009649,0.005437,0.005370,0.005891
1.211,0.009537,0.005342,0.005269,0.005888
1.221,0.009502,0.005309,0.005282,0.005847
1.231,0.009475,0.005308,0.005225,0.005857
