time_seconds,total_vibration,rms_x,rms_y,rms_z
0.004,0.831173,0.325665,0.571104,0.508558
0.004,0.767712,0.326057,0.472473,0.509743
0.004,0.759240,0.323627,0.448986,0.519733
0.005,0.746011,0.312282,0.443416,0.512246
0.005,0.742154,0.305429,0.443957,0.510302
0.005,0.735938,0.301546,0.435349,0.511024
0.005,0.712924,0.301526,0.407594,0.501209
0.005,0.712056,0.300133,0.402178,0.505170
0.005,0.694182,0.296994,0.400158,0.483277
0.006,0.687493,0.297303,0.405120,0.469185
0.006,0.678793,0.280260,0.406812,0.465530
0.006,0.671778,0.277802,0.391792,0.469692
0.006,0.659114,0.260069,0.382485,0.469574
0.006,0.636691,0.251041,0.359704,0.461484
0.006,0.639926,0.248544,0.365584,0.462687
0.006,0.615930,0.234006,0.364917,0.437546
0.007,0.607360,0.233617,0.358274,0.431218
0.007,0.602523,0.224902,0.358007,0.429284
0.007,0.609605,0.225168,0.368148,0.430564
0.007,0.605362,0.220926,0.360684,0.433084
0.007,0.586765,0.223179,0.347796,0.416560
0.007,0.585375,0.220911,0.350427,0.413598
0.007,0.562960,0.216751,0.337491,0.395022
0.007,0.556749,0.217674,0.326113,0.395269
0.008,0.557736,0.220026,0.321267,0.399306
0.008,0.546068,0.216716,0.310990,0.393077
0.008,0.516786,0.207702,0.307315,0.359840
0.008,0.519088,0.205469,0.308780,0.363167
0.008,0.530465,0.206611,0.308797,0.378614
0.008,0.524826,0.206838,0.300117,0.377612
0.008,0.522848,0.210895,0.293796,0.377593
0.008,0.516099,0.209877,0.294156,0.368485
0.009,0.512113,0.200208,0.293769,0.368614
0.009,0.515067,0.208510,0.287716,0.372877
0.009,0.521836,0.210006,0.295082,0.375682
0.009,0.524645,0.210589,0.298964,0.376198
0.009,0.527023,0.208770,0.295766,0.383002
0.009,0.523210,0.210969,0.288584,0.382047
0.009,0.527648,0.223681,0.287578,0.381678
0.009,0.523818,0.222926,0.285181,0.378631
0.010,0.526255,0.207973,0.296083,0.382134
0.010,0.525711,0.214958,0.305310,0.370070
0.010,0.531284,0.211006,0.316597,0.370818
0.010,0.527180,0.211004,0.312429,0.368489
0.010,0.536783,0.209327,0.313546,0.382108
0.010,0.537827,0.209788,0.313185,0.383617
0.010,0.547358,0.210882,0.335195,0.377854
0.010,0.553701,0.230942,0.332185,0.378026
0.011,0.553893,0.230964,0.329417,0.380706
0.011,0.559672,0.234240,0.327153,0.389019
0.011,0.572974,0.247588,0.331963,0.395981
0.011,0.568010,0.247014,0.329456,0.391252
0.011,0.557782,0.244900,0.328997,0.378029
0.011,0.572078,0.241055,0.331977,0.398694
0.011,0.587223,0.237330,0.330426,0.423467
0.011,0.596585,0.240441,0.331430,0.433885
0.012,0.596164,0.241122,0.331931,0.432542
0.012,0.649969,0.258749,0.350450,0.482384
0.012,0.669346,0.262084,0.359281,0.500253
0.012,0.670033,0.262677,0.357793,0.501926
0.012,0.666491,0.261044,0.358998,0.497178
0.012,0.689472,0.258207,0.358302,0.529453
0.012,0.695180,0.275624,0.358293,0.528141
0.012,0.708278,0.279308,0.358391,0.543323
0.013,0.710041,0.279006,0.354777,0.548131
0.013,0.711583,0.279461,0.358841,0.547251
0.013,0.720381,0.283190,0.373148,0.547278
0.013,0.736019,0.283331,0.375949,0.565782
0.013,0.742387,0.285748,0.366335,0.579039
0.013,0.745741,0.290358,0.365598,0.581516
0.013,0.745714,0.291248,0.365517,0.581086
0.013,0.751328,0.287114,0.365684,0.590198
0.014,0.752945,0.286542,0.365656,0.592549
0.014,0.753904,0.286122,0.367265,0.592977
0.014,0.765181,0.291819,0.385760,0.592902
0.014,0.779784,0.292534,0.398865,0.602821
0.014,0.781202,0.292489,0.398790,0.604726
0.014,0.779261,0.295835,0.401550,0.598738
0.014,0.776427,0.296337,0.400748,0.595335
0.014,0.783037,0.296398,0.402790,0.602541
0.015,0.786702,0.294504,0.409413,0.603779
0.015,0.780468,0.296676,0.411355,0.593213
0.015,0.782295,0.301436,0.411685,0.592991
0.015,0.802689,0.300713,0.442069,0.598712
0.015,0.799597,0.305687,0.436808,0.595911
0.015,0.797321,0.307155,0.432413,0.595312
0.015,0.795715,0.321287,0.431774,0.586096
0.015,0.796789,0.320060,0.424563,0.593447
0.016,0.791883,0.309996,0.423021,0.593325
0.016,0.826581,0.310027,0.485478,0.592815
0.016,0.817450,0.312315,0.477762,0.585172
0.016,0.821447,0.308343,0.473153,0.596511
0.016,0.837281,0.319473,0.464999,0.618670
0.016,0.844275,0.321117,0.477019,0.618173
0.016,0.840696,0.321397,0.493740,0.599745
0.016,0.867102,0.335404,0.494626,0.628264
0.017,0.871996,0.335224,0.481197,0.645330
0.017,0.880893,0.339839,0.495810,0.643937
0.017,0.889279,0.341939,0.497670,0.652855
0.017,0.899743,0.340890,0.497919,0.667389
0.017,0.896764,0.340142,0.493720,0.666881
0.017,0.909436,0.340100,0.516612,0.666722
0.017,0.917485,0.351319,0.523508,0.666554
0.017,0.922443,0.350712,0.536748,0.663177
0.017,0.925498,0.349907,0.536454,0.668079
0.018,0.936829,0.364470,0.537746,0.675011
0.018,0.936191,0.366404,0.535394,0.674948
0.018,0.920102,0.354419,0.545161,0.650980
0.018,0.909341,0.352950,0.538859,0.641839
0.018,0.916360,0.352491,0.549942,0.642673
0.018,0.926334,0.369065,0.555069,0.643261
0.018,0.920533,0.367475,0.574797,0.618023
0.019,0.916499,0.354112,0.575669,0.619016
0.019,0.906280,0.353528,0.575456,0.604327
0.019,0.899783,0.353530,0.584633,0.585517
0.019,0.904898,0.353268,0.592703,0.585444
0.019,0.906296,0.350119,0.596394,0.585750
0.019,0.895695,0.350395,0.597027,0.568376
0.019,0.885200,0.351753,0.600289,0.547267
0.019,0.888848,0.349113,0.603672,0.551137
0.020,0.898659,0.352913,0.615541,0.551499
0.020,0.889189,0.351424,0.612910,0.539907
0.020,0.896827,0.358270,0.616609,0.543815
0.020,0.907305,0.362510,0.613725,0.561364
0.020,0.897574,0.355309,0.603557,0.561350
0.020,0.892242,0.356846,0.604151,0.551142
0.020,0.891904,0.358364,0.603348,0.550491
0.020,0.899356,0.355810,0.615862,0.550413
0.020,0.909728,0.353611,0.617688,0.566591
0.021,0.904662,0.353163,0.617431,0.558988
0.021,0.903412,0.353594,0.615829,0.558463
0.021,0.902466,0.361099,0.612227,0.556085
0.021,0.901425,0.357080,0.613555,0.555529
0.021,0.886481,0.354687,0.596335,0.551752
0.021,0.934588,0.361859,0.662760,0.550692
0.021,0.950369,0.373996,0.679652,0.549001
0.021,0.948500,0.360002,0.685704,0.547595
0.022,0.953231,0.359767,0.686384,0.555063
0.022,0.969575,0.361172,0.682563,0.586292
0.022,0.939695,0.361044,0.635426,0.590684
0.022,0.954281,0.365713,0.648726,0.596708
0.022,0.953309,0.365616,0.656095,0.587079
0.022,0.932534,0.365374,0.654436,0.554829
0.022,0.934635,0.363910,0.652413,0.561667
0.022,0.928780,0.364279,0.643530,0.561963
0.023,0.908783,0.350424,0.644401,0.536504
0.023,0.896459,0.350358,0.642312,0.518000
0.023,0.875580,0.330061,0.626880,0.514512
0.023,0.877310,0.327170,0.641017,0.501727
0.023,0.865092,0.330422,0.644687,0.472847
0.023,0.872312,0.323429,0.650868,0.482383
0.023,0.875435,0.323770,0.639741,0.502285
0.023,0.870055,0.315366,0.636953,0.501827
0.024,0.867397,0.322550,0.627412,0.504672
0.024,0.857494,0.324528,0.628420,0.484836
0.024,0.845674,0.307624,0.625810,0.478428
0.024,0.847016,0.305492,0.628706,0.478372
0.024,0.840287,0.316821,0.612068,0.480707
0.024,0.844159,0.315626,0.613291,0.486682
0.024,0.848451,0.319340,0.607118,0.499298
0.024,0.840460,0.300857,0.606382,0.498157
0.025,0.828843,0.301619,0.591197,0.496480
0.025,0.829453,0.301291,0.589581,0.499609
0.025,0.836322,0.300150,0.594621,0.505738
0.025,0.853928,0.314869,0.609500,0.508488
0.025,0.851057,0.320956,0.602489,0.508224
0.025,0.846060,0.322094,0.596077,0.506719
0.025,0.848308,0.328984,0.595420,0.506824
0.025,0.842825,0.323758,0.589816,0.507594
0.026,0.840823,0.323064,0.585632,0.509557
0.026,0.827443,0.315936,0.571012,0.508716
0.026,0.830473,0.316641,0.575260,0.508429
0.026,0.832610,0.318538,0.579716,0.505671
0.026,0.831792,0.317114,0.578683,0.506402
0.026,0.832809,0.317711,0.577989,0.508488
0.026,0.833113,0.314457,0.572335,0.517326
0.026,0.831936,0.312508,0.570488,0.518653
0.027,0.831949,0.311970,0.550392,0.540260
0.027,0.824267,0.313290,0.543566,0.534603
0.027,0.827675,0.316288,0.545322,0.536314
0.027,0.828044,0.319076,0.542687,0.537902
0.027,0.828598,0.310523,0.542616,0.543799
0.027,0.832684,0.310505,0.544901,0.547752
0.027,0.855002,0.313287,0.547876,0.576812
0.027,0.791183,0.297100,0.448771,0.579919
0.028,0.763339,0.285724,0.405984,0.579849
0.028,0.748077,0.286441,0.375942,0.579861
0.028,0.738847,0.288387,0.387198,0.559291
0.028,0.728895,0.291394,0.386660,0.544860
0.028,0.721611,0.292825,0.393566,0.529228
0.028,0.708095,0.294692,0.385381,0.515787
0.028,0.712098,0.294532,0.387464,0.519813
0.028,0.707370,0.284362,0.387198,0.519218
0.029,0.697608,0.291064,0.388417,0.501070
0.029,0.699003,0.288944,0.393982,0.499894
0.029,0.703195,0.289490,0.387283,0.510579
0.029,0.702762,0.290895,0.382508,0.512778
0.029,0.706636,0.298969,0.383366,0.512818
0.029,0.696200,0.299680,0.371071,0.507142
0.029,0.697134,0.298516,0.370603,0.509448
0.029,0.700307,0.298415,0.373078,0.512047
0.030,0.678216,0.296540,0.378581,0.478244
0.030,0.675750,0.291672,0.383737,0.473615
0.030,0.682513,0.287820,0.389263,0.481101
0.030,0.681938,0.287378,0.382435,0.486002
0.030,0.681768,0.289059,0.386764,0.481317
0.030,0.678671,0.288890,0.384912,0.478518
0.030,0.681511,0.280593,0.384837,0.487469
0.030,0.680265,0.280162,0.385244,0.485651
0.031,0.669273,0.275821,0.401795,0.458704
0.031,0.672576,0.277341,0.399959,0.464191
0.031,0.670293,0.279673,0.392987,0.465442
0.031,0.673830,0.281752,0.396336,0.466456
0.031,0.668088,0.282917,0.395192,0.458391
0.031,0.656963,0.269505,0.370883,0.470545
0.031,0.656527,0.265881,0.370529,0.472274
0.031,0.653571,0.263852,0.367562,0.471631
0.032,0.650120,0.256583,0.368127,0.470428
0.032,0.659350,0.272157,0.366833,0.475507
0.032,0.658025,0.270823,0.368765,0.472932
0.032,0.660420,0.271431,0.370696,0.474410
0.032,0.657612,0.271559,0.363801,0.475771
0.032,0.652853,0.266218,0.354990,0.478881
0.032,0.645895,0.266035,0.356291,0.468468
0.032,0.643461,0.267135,0.359231,0.462206
0.033,0.651937,0.268777,0.375965,0.459816
0.033,0.656533,0.275668,0.379670,0.459232
0.033,0.643057,0.275245,0.376004,0.443152
0.033,0.635051,0.272705,0.375712,0.433315
0.033,0.632992,0.274089,0.374197,0.430733
0.033,0.638226,0.270560,0.374951,0.439934
0.033,0.634695,0.271504,0.374712,0.434413
0.033,0.640403,0.271489,0.385074,0.433738
0.033,0.614403,0.269131,0.382087,0.398835
0.034,0.604273,0.270471,0.379275,0.384891
0.034,0.599637,0.260528,0.380249,0.383536
0.034,0.599597,0.260301,0.380265,0.383612
0.034,0.600778,0.258257,0.386131,0.380973
0.034,0.593821,0.254204,0.383744,0.375159
0.034,0.585367,0.254099,0.369164,0.376571
0.034,0.586883,0.248344,0.375272,0.376734
