time_seconds,total,rms_x,rms_y,rms_z,baseline_total,baseline_x,baseline_y,baseline_z,d2,ewma_d2,p_fault,decision
0.002,6.045454,3.252214,3.898559,3.282050,1.232493,0.501989,0.840588,0.692175,2885.4308,144.2715,1.0000,FAULT
0.002,5.961626,3.262060,3.782457,3.254685,1.633830,0.736222,1.090249,0.909642,2383.6996,256.2429,1.0000,FAULT
0.002,6.040944,3.248205,3.846148,3.339059,1.982323,0.934857,1.308172,1.101749,2035.4761,345.2046,1.0000,FAULT
0.002,6.044196,3.287133,3.787240,3.373999,2.283464,1.109251,1.491966,1.270210,1781.0414,416.9964,1.0000,FAULT
0.003,6.077218,3.290233,3.814556,3.399428,2.548599,1.261674,1.654286,1.419015,1548.4170,473.5675,1.0000,FAULT
0.003,6.115438,3.271064,3.867274,3.426794,2.784705,1.394685,1.800774,1.551920,1343.2067,517.0494,1.0000,FAULT
0.003,6.126525,3.314697,3.848602,3.425691,2.995120,1.515577,1.929713,1.669900,1208.7385,551.6339,1.0000,FAULT
0.003,6.143028,3.257132,3.855386,3.501983,3.184367,1.620277,2.045482,1.780042,1044.4119,576.2728,1.0000,FAULT
0.003,6.238169,3.364755,3.889896,3.530139,3.360261,1.720755,2.151717,1.880844,1015.0368,598.2110,1.0000,FAULT
0.003,6.114378,3.297072,3.850650,3.418688,3.512714,1.808012,2.245761,1.965971,822.8636,609.4436,1.0000,FAULT
0.003,6.304356,3.293411,4.001821,3.589397,3.661643,1.887255,2.339443,2.052578,794.9934,618.7211,1.0000,FAULT
0.003,6.225197,3.369214,3.879995,3.513846,3.793786,1.963645,2.418854,2.127901,729.0694,624.2385,1.0000,FAULT
0.003,6.427998,3.267775,4.141256,3.672983,3.925295,2.028752,2.504842,2.205037,672.9138,626.6723,1.0000,FAULT
0.003,6.320022,3.402856,4.047040,3.461896,4.041333,2.095335,2.579570,2.265939,614.3006,626.0537,1.0000,FAULT
0.003,6.345289,3.226306,4.127208,3.580474,4.149908,2.148632,2.652503,2.327887,509.3105,620.2165,1.0000,FAULT
0.003,6.524419,3.401631,4.172598,3.685971,4.258934,2.206165,2.722299,2.390244,570.6803,617.7397,1.0000,FAULT
0.003,6.437945,3.367209,4.084588,3.664037,4.356583,2.258195,2.783348,2.447327,489.6591,611.3357,1.0000,FAULT
0.004,6.610939,3.370020,4.193570,3.842062,4.455338,2.306899,2.845124,2.508425,502.6863,605.9032,1.0000,FAULT
0.004,6.593526,3.415754,4.117448,3.854067,4.547033,2.354452,2.899687,2.566132,472.4435,599.2302,1.0000,FAULT
0.004,6.610437,3.419289,4.146009,3.849280,4.633778,2.399218,2.952082,2.620076,436.7229,591.1049,1.0000,FAULT
0.004,6.658471,3.395962,4.197498,3.896625,4.717325,2.440347,3.003473,2.672751,408.3057,581.9649,1.0000,FAULT
0.004,6.753775,3.435102,4.286269,3.929560,4.799903,2.480685,3.055490,2.723715,407.8111,573.2572,1.0000,FAULT
0.004,6.696347,3.444084,4.238190,3.875191,4.875557,2.519117,3.102671,2.769650,361.8490,562.6868,1.0000,FAULT
0.004,6.789880,3.409096,4.405745,3.882002,4.950763,2.554081,3.153864,2.813350,344.2858,551.7668,1.0000,FAULT
0.004,6.736572,3.428475,4.345403,3.839848,5.019920,2.587942,3.200007,2.853102,307.3365,539.5452,1.0000,FAULT
0.004,6.674370,3.388701,4.255553,3.867066,5.083133,2.618538,3.240337,2.891843,268.2126,525.9786,1.0000,FAULT
0.004,6.681011,3.419184,4.247298,3.860771,5.143419,2.648745,3.278329,2.928400,254.9485,512.4271,1.0000,FAULT
0.004,6.660094,3.396813,4.199708,3.896276,5.199968,2.676637,3.312682,2.964487,231.4383,498.3777,1.0000,FAULT
0.004,6.727326,3.365055,4.232995,4.001884,5.256286,2.702021,3.346617,3.002739,228.2931,484.8734,1.0000,FAULT
0.005,6.719422,3.425097,4.252458,3.916114,5.309678,2.728407,3.379672,3.036069,213.9797,471.3288,1.0000,FAULT
0.005,6.792141,3.342232,4.431523,3.914622,5.363248,2.750588,3.417682,3.067816,202.0182,457.8632,1.0000,FAULT
0.005,6.809777,3.387098,4.429109,3.909428,5.415044,2.773379,3.453898,3.097952,193.5112,444.6456,1.0000,FAULT
0.005,6.752666,3.364896,4.400419,3.861643,5.462529,2.794378,3.487499,3.125063,165.0876,430.6677,1.0000,FAULT
0.005,6.838787,3.379340,4.508036,3.876427,5.510993,2.814977,3.523437,3.151522,170.2152,417.6451,1.0000,FAULT
0.005,6.762225,3.376890,4.425425,3.839258,5.554723,2.834615,3.554961,3.175557,143.4270,403.9342,1.0000,FAULT
0.005,6.740094,3.351167,4.421909,3.826913,5.595857,2.852541,3.585045,3.198160,127.7876,390.1269,1.0000,FAULT
0.005,6.752764,3.379992,4.423494,3.822064,5.635736,2.870722,3.613947,3.219667,122.6133,376.7512,1.0000,FAULT
0.005,6.724914,3.425376,4.434903,3.717916,5.673047,2.889722,3.642069,3.236735,109.8728,363.4073,1.0000,FAULT
0.006,6.617495,3.397949,4.397985,3.592063,5.705210,2.907030,3.667812,3.248835,82.6038,349.3671,1.0000,FAULT
0.006,6.687128,3.304122,4.488356,3.695284,5.738465,2.920479,3.695602,3.263956,82.4027,336.0189,1.0000,FAULT
0.006,6.593941,3.453417,4.336268,3.570819,5.767289,2.938435,3.717188,3.274295,81.3223,323.2840,1.0000,FAULT
0.006,6.441409,3.269811,4.252061,3.566521,5.789892,2.949546,3.735122,3.284093,41.3356,309.1866,1.0000,FAULT
0.006,6.559924,3.336654,4.327080,3.629838,5.815594,2.962467,3.754880,3.295633,54.6530,296.4599,1.0000,FAULT
0.006,6.325264,3.294555,4.075904,3.541451,5.832532,2.973503,3.765549,3.303803,33.6900,283.3214,1.0000,FAULT
0.006,6.518170,3.286281,4.288958,3.645783,5.855228,2.983857,3.782875,3.315123,42.7803,271.2944,1.0000,FAULT
0.006,6.415408,3.373471,4.205061,3.477730,5.873701,2.996705,3.796797,3.320485,41.3649,259.7979,1.0000,FAULT
0.006,6.561009,3.251238,4.390177,3.633543,5.896286,3.005069,3.816296,3.330772,41.4935,248.8827,1.0000,FAULT
0.006,6.569416,3.449649,4.345495,3.517643,5.918332,3.019630,3.833628,3.336893,53.5043,239.1138,1.0000,FAULT
0.006,6.456805,3.326125,4.326003,3.451511,5.935913,3.029637,3.849704,3.340635,26.3421,228.4752,1.0000,FAULT
0.006,6.673681,3.381231,4.459824,3.635281,5.959931,3.041083,3.869566,3.350227,46.6378,219.3833,1.0000,FAULT
0.007,6.438952,3.440065,4.185579,3.479508,5.975482,3.054035,3.879825,3.354424,45.4232,210.6853,1.0000,FAULT
0.007,6.508042,3.298949,4.282487,3.623790,5.992727,3.061966,3.892864,3.363146,26.1627,201.4592,1.0000,FAULT
0.007,6.568831,3.437434,4.207700,3.691727,6.011337,3.074095,3.903034,3.373760,45.2567,193.6491,1.0000,FAULT
0.007,6.430817,3.341905,4.068384,3.692605,6.024856,3.082726,3.908363,3.384037,26.3612,185.2847,1.0000,FAULT
0.007,6.574588,3.384893,4.188133,3.771902,6.042536,3.092444,3.917361,3.396511,35.6200,177.8014,1.0000,FAULT
0.007,6.425185,3.401795,4.047103,3.651267,6.054818,3.102373,3.921525,3.404687,32.5604,170.5394,1.0000,FAULT
0.007,6.548709,3.297405,4.233784,3.753371,6.070640,3.108621,3.931529,3.415858,24.7122,163.2480,1.0000,FAULT
0.007,6.542046,3.414367,4.186873,3.689249,6.085716,3.118399,3.939694,3.424601,30.2643,156.5988,1.0000,FAULT
0.007,6.489124,3.292350,4.185816,3.707844,6.098595,3.123953,3.947552,3.433644,16.7672,149.6073,1.0000,FAULT
0.008,6.602933,3.383947,4.264558,3.736465,6.114672,3.132240,3.957657,3.443297,26.3296,143.4434,1.0000,FAULT
0.008,6.436071,3.294856,4.145029,3.658642,6.124902,3.137417,3.963622,3.450152,11.2765,136.8350,1.0000,FAULT
0.008,6.567336,3.282405,4.239808,3.792064,6.138966,3.142025,3.972401,3.461020,21.0167,131.0441,1.0000,FAULT
0.008,6.552485,3.399034,4.163855,3.747524,6.152094,3.150184,3.978479,3.470115,23.4164,125.6627,1.0000,FAULT
0.008,6.595616,3.341355,4.243156,3.785912,6.166157,3.156246,3.986871,3.480129,20.0310,120.3811,1.0000,FAULT
0.008,6.628822,3.373574,4.227482,3.832581,6.180810,3.163129,3.994492,3.491291,23.0835,115.5163,1.0000,FAULT
0.008,6.621029,3.361740,4.228312,3.828589,6.194738,3.169413,4.001889,3.501963,20.5991,110.7704,1.0000,FAULT
0.008,6.646167,3.371961,4.269276,3.817682,6.209006,3.175815,4.010341,3.511942,20.6952,106.2666,1.0000,FAULT
0.008,6.607537,3.298955,4.297028,3.783119,6.221591,3.179703,4.019393,3.520505,16.6269,101.7847,1.0000,FAULT
0.008,6.597218,3.309090,4.270569,3.786218,6.233441,3.183785,4.027318,3.528888,14.4785,97.4193,1.0000,FAULT
0.008,6.535291,3.334589,4.138303,3.803288,6.242957,3.188539,4.030816,3.537538,11.4404,93.1204,1.0000,FAULT
0.008,6.517153,3.333680,4.103691,3.810457,6.251594,3.193111,4.033112,3.546134,10.5751,88.9931,1.0000,FAULT
0.009,6.568851,3.359386,4.179389,3.794342,6.261579,3.198344,4.037716,3.553947,11.9681,85.1419,1.0000,FAULT
0.009,6.465150,3.397941,4.102783,3.663242,6.267983,3.204623,4.039763,3.557385,13.6940,81.5695,1.0000,FAULT
0.009,6.561424,3.335462,4.236522,3.738831,6.277207,3.208735,4.045948,3.563088,8.4524,77.9136,1.0000,FAULT
0.009,6.545141,3.388974,4.284974,3.604541,6.285624,3.214398,4.053457,3.564391,8.3944,74.4377,1.0000,FAULT
0.009,6.514819,3.261637,4.320526,3.624589,6.292820,3.215881,4.061842,3.566281,6.5439,71.0430,1.0000,FAULT
0.009,6.717744,3.357438,4.532529,3.648545,6.306155,3.220323,4.076613,3.568862,14.8509,68.2334,1.0000,FAULT
0.009,6.573622,3.295090,4.446307,3.547569,6.314544,3.222668,4.088208,3.568194,6.8987,65.1666,1.0000,FAULT
0.009,6.716565,3.296172,4.470506,3.776517,6.327147,3.224973,4.100193,3.574725,20.0912,62.9129,1.0000,FAULT
0.009,6.617128,3.420396,4.266734,3.725890,6.336234,3.231096,4.105412,3.579462,11.8363,60.3590,1.0000,FAULT
0.009,6.649268,3.337506,4.321013,3.795084,6.346040,3.234430,4.112166,3.586216,10.0153,57.8419,1.0000,FAULT
0.009,6.703758,3.479671,4.386715,3.686325,6.357241,3.242109,4.120762,3.589351,16.3176,55.7656,1.0000,FAULT
0.009,6.572481,3.363393,4.346450,3.604646,6.363978,3.245905,4.127826,3.589830,4.0627,53.1805,1.0000,FAULT
0.010,6.744910,3.368318,4.528174,3.693764,6.375897,3.249735,4.140353,3.593082,12.4251,51.1427,1.0000,FAULT
0.010,6.598436,3.416614,4.403192,3.532422,6.382858,3.254955,4.148575,3.591184,6.6318,48.9172,1.0000,FAULT
0.010,6.653798,3.316174,4.453693,3.666147,6.391330,3.256869,4.158116,3.593529,8.0693,46.8748,1.0000,FAULT
0.010,6.686651,3.414887,4.328931,3.782883,6.400562,3.261809,4.163456,3.599448,9.6073,45.0114,1.0000,FAULT
0.010,6.567654,3.386120,4.199608,3.745872,6.405785,3.265694,4.164586,3.604024,5.9022,43.0560,1.0000,FAULT
0.010,6.738724,3.372914,4.405174,3.824695,6.416187,3.269044,4.172103,3.610919,11.2284,41.4646,1.0000,FAULT
0.010,6.608479,3.381718,4.337819,3.663236,6.422194,3.272564,4.177280,3.612554,3.6654,39.5746,1.0000,FAULT
0.010,6.652309,3.258301,4.453405,3.715355,6.429381,3.272119,4.185903,3.615764,13.1141,38.2516,1.0000,FAULT
0.010,6.615479,3.406561,4.369189,3.615257,6.435192,3.276317,4.191626,3.615748,4.4472,36.5614,1.0000,FAULT
0.010,6.581358,3.240492,4.398895,3.669224,6.439755,3.275198,4.198097,3.617418,8.8075,35.1737,1.0000,FAULT
0.010,6.722653,3.353554,4.504718,3.695302,6.448585,3.277644,4.207668,3.619849,7.5433,33.7922,1.0000,FAULT
0.010,6.554146,3.331827,4.310363,3.643698,6.451880,3.279335,4.210873,3.620593,1.0146,32.1533,1.0000,FAULT
0.010,6.706346,3.333266,4.428377,3.775433,6.459820,3.281018,4.217659,3.625425,7.7989,30.9356,1.0000,FAULT
0.011,6.475932,3.433510,4.059751,3.696907,6.460322,3.285775,4.212733,3.627655,17.7787,30.2777,1.0000,FAULT
0.011,6.463966,3.323883,4.085978,3.746924,6.460436,3.286964,4.208779,3.631375,2.3655,28.8821,1.0000,FAULT
0.011,6.421900,3.445746,4.106937,3.535634,6.459234,3.291916,4.205603,3.628389,21.5272,28.5144,1.0000,FAULT
0.011,6.313205,3.252349,4.141078,3.482851,6.454680,3.290682,4.203590,3.623850,2.3907,27.2082,1.0000,FAULT
0.011,6.512974,3.366123,4.280793,3.572515,6.456498,3.293035,4.205998,3.622249,1.7432,25.9349,1.0000,FAULT
0.011,6.316762,3.300147,4.096451,3.497084,6.452141,3.293257,4.202582,3.618347,4.2938,24.8529,0.9999,FAULT
0.011,6.483130,3.292315,4.270443,3.599300,6.453107,3.293227,4.204698,3.617753,0.4161,23.6310,0.9999,FAULT
0.011,6.284924,3.373525,4.012881,3.466466,6.447864,3.295730,4.198718,3.613037,18.3588,23.3674,0.9999,FAULT
0.011,6.363969,3.248126,4.152971,3.564073,6.445249,3.294246,4.197292,3.611511,0.7478,22.2364,0.9998,FAULT
0.011,6.369323,3.395755,4.163635,3.420711,6.442883,3.297410,4.196243,3.605564,12.8568,21.7675,0.9998,FAULT
0.011,6.224269,3.259259,4.164492,3.282644,6.436070,3.296221,4.195254,3.595501,9.6074,21.1595,0.9997,FAULT
0.011,6.345400,3.349382,4.201694,3.375131,6.433244,3.297878,4.195454,3.588633,7.2712,20.4650,0.9996,FAULT
0.011,6.198703,3.330741,4.115183,3.224183,6.425936,3.298902,4.192953,3.577277,20.5183,20.4677,0.9996,FAULT
0.012,6.291262,3.347131,4.218847,3.252386,6.421740,3.300405,4.193760,3.567154,12.6995,20.0793,0.9995,FAULT
0.012,6.256309,3.376104,4.116106,3.286487,6.416586,3.302763,4.191341,3.558409,18.6843,20.0095,0.9995,FAULT
0.012,6.369101,3.334630,4.206369,3.428142,6.415106,3.303756,4.191809,3.554351,2.1586,19.1170,0.9993,FAULT
0.012,6.279790,3.422981,4.091637,3.313227,6.410891,3.307470,4.188688,3.546839,24.5076,19.3865,0.9993,FAULT
0.012,6.217437,3.333535,4.031896,3.359744,6.404865,3.308282,4.183804,3.541011,11.2487,18.9796,0.9992,FAULT
0.012,6.297715,3.450063,4.065204,3.351476,6.401527,3.312698,4.180110,3.535107,26.4954,19.3554,0.9993,FAULT
0.012,6.196910,3.408863,4.024698,3.253175,6.395153,3.315694,4.175269,3.526325,29.1534,19.8453,0.9995,FAULT
0.012,6.241511,3.389845,4.082106,3.286611,6.390368,3.318003,4.172367,3.518859,16.6755,19.6868,0.9994,FAULT
0.012,6.257010,3.399410,4.053374,3.341310,6.386214,3.320539,4.168661,3.513329,15.1658,19.4608,0.9994,FAULT
0.012,6.354752,3.402437,4.120223,3.439485,6.385235,3.323090,4.167152,3.511029,6.1829,18.7969,0.9991,FAULT
0.012,6.344391,3.443130,4.079724,3.428120,6.383963,3.326828,4.164430,3.508447,13.5823,18.5361,0.9990,FAULT
0.013,6.342803,3.394040,4.123808,3.421383,6.382681,3.328921,4.163164,3.505736,4.9278,17.8557,0.9987,FAULT
0.013,6.396488,3.472435,4.145287,3.416701,6.383111,3.333390,4.162608,3.502963,13.3962,17.6328,0.9985,FAULT
0.013,6.273444,3.422031,4.024624,3.383519,6.379696,3.336151,4.158311,3.499244,14.2072,17.4615,0.9984,FAULT
0.013,6.318362,3.456188,4.041410,3.412253,6.377786,3.339889,4.154671,3.496535,15.9403,17.3854,0.9984,FAULT
0.013,6.226556,3.471422,3.935381,3.351417,6.373077,3.343984,4.147842,3.492016,31.4594,18.0891,0.9988,FAULT
0.013,6.440641,3.445131,4.152034,3.517604,6.375180,3.347134,4.147973,3.492813,4.2118,17.3953,0.9984,FAULT
0.013,6.359066,3.549662,4.049415,3.382285,6.374679,3.353440,4.144904,3.489371,33.3981,18.1954,0.9989,FAULT
0.013,6.386409,3.398311,4.140592,3.477528,6.375044,3.354837,4.144770,3.489002,0.9968,17.3355,0.9983,FAULT
0.013,6.412354,3.603690,4.023997,3.455307,6.376206,3.362586,4.141009,3.487953,43.1332,18.6254,0.9991,FAULT
0.014,6.352643,3.443609,4.055681,3.471179,6.375472,3.365108,4.138352,3.487431,6.1091,17.9995,0.9988,FAULT
0.014,6.494877,3.540305,4.226344,3.433319,6.379190,3.370563,4.141092,3.485746,11.8982,17.6945,0.9986,FAULT
0.014,6.287608,3.498653,4.062309,3.284980,6.376338,3.374551,4.138639,3.479496,22.3126,17.9254,0.9987,FAULT
0.014,6.468071,3.454646,4.218533,3.479273,6.379194,3.377045,4.141127,3.479489,1.7051,17.1144,0.9982,FAULT
0.014,6.352803,3.601092,4.020295,3.350741,6.378373,3.384020,4.137365,3.475480,43.7260,18.4449,0.9990,FAULT
0.014,6.378392,3.431854,4.110920,3.465055,6.378373,3.385509,4.136541,3.475156,1.5114,17.5983,0.9985,FAULT
0.014,6.489283,3.619195,4.103400,3.489173,6.381826,3.392785,4.135510,3.475592,28.3072,18.1337,0.9988,FAULT
0.014,6.354787,3.499729,4.027400,3.451849,6.380984,3.396114,4.132144,3.474853,10.8389,17.7690,0.9986,FAULT
0.014,6.545373,3.545444,4.202522,3.551132,6.386102,3.400763,4.134335,3.477228,7.2513,17.2431,0.9983,FAULT
0.014,6.462920,3.574706,4.165983,3.411071,6.388494,3.406178,4.135320,3.475168,15.0752,17.1347,0.9982,FAULT
0.015,6.469277,3.511516,4.204067,3.441892,6.391009,3.409458,4.137460,3.474132,3.8626,16.4711,0.9976,FAULT
0.015,6.287082,3.581262,3.953834,3.327035,6.387773,3.414806,4.131744,3.469553,38.8254,17.5888,0.9985,FAULT
0.015,6.342837,3.455311,4.067268,3.427790,6.386374,3.416067,4.129737,3.468253,2.6040,16.8396,0.9979,FAULT
0.015,6.556720,3.634231,4.196032,3.489450,6.391677,3.422859,4.131800,3.468913,18.3505,16.9151,0.9980,FAULT
0.015,6.486489,3.571711,4.159834,3.466006,6.394629,3.427492,4.132673,3.468822,9.4144,16.5401,0.9976,FAULT
0.015,6.599741,3.612334,4.234086,3.546849,6.401014,3.433247,4.135830,3.471251,10.8385,16.2550,0.9973,FAULT
0.015,6.394443,3.670061,3.996529,3.383387,6.400809,3.440619,4.131494,3.468516,47.2996,17.8072,0.9987,FAULT
0.015,6.463844,3.567597,4.096505,3.503165,6.402772,3.444571,4.130405,3.469594,8.3587,17.3348,0.9983,FAULT
0.015,6.436483,3.699876,4.031223,3.389465,6.403821,3.452519,4.127317,3.467100,47.6581,18.8510,0.9992,FAULT
0.015,6.457542,3.513753,4.164082,3.466094,6.405493,3.454425,4.128462,3.467069,1.1852,17.9677,0.9987,FAULT
0.015,6.572435,3.650455,4.163940,3.540152,6.410690,3.460527,4.129566,3.469344,14.9225,17.8154,0.9987,FAULT
0.015,6.376851,3.558481,3.962655,3.506964,6.409637,3.463577,4.124370,3.470515,11.3574,17.4925,0.9984,FAULT
0.016,6.526115,3.620114,4.055524,3.610771,6.413263,3.468449,4.122227,3.474881,12.6280,17.2493,0.9983,FAULT
0.016,6.323482,3.601838,3.911836,3.422094,6.410468,3.472602,4.115678,3.473238,25.9038,17.6820,0.9986,FAULT
0.016,6.354685,3.542022,4.021240,3.415514,6.408731,3.474763,4.112738,3.471441,6.9338,17.1446,0.9982,FAULT
0.016,6.299649,3.542156,3.981117,3.359973,6.405336,3.476860,4.108641,3.467971,11.3325,16.8540,0.9979,FAULT
0.016,6.142121,3.495988,3.879121,3.233596,6.397142,3.477456,4.101496,3.460675,21.1003,17.0663,0.9981,FAULT
0.016,6.159596,3.432369,3.938983,3.262497,6.389748,3.476052,4.096438,3.454506,7.9260,16.6093,0.9977,FAULT
0.016,5.929392,3.463477,3.716226,3.058052,6.375418,3.475661,4.084602,3.442165,52.2527,18.3915,0.9990,FAULT
0.016,5.973723,3.336573,3.831857,3.141581,6.362914,3.471331,4.076735,3.432809,16.7213,18.3080,0.9989,FAULT
0.016,5.924027,3.380352,3.769940,3.074878,6.349252,3.468499,4.067185,3.421667,27.6417,18.7747,0.9991,FAULT
0.016,5.998002,3.348898,3.842238,3.161980,6.338318,3.464776,4.060183,3.413584,12.7036,18.4711,0.9990,FAULT
0.016,5.900705,3.353782,3.754490,3.078029,6.324696,3.461321,4.050667,3.403138,23.9377,18.7444,0.9991,FAULT
0.016,5.593228,3.268000,3.504974,2.884361,6.301927,3.455304,4.033681,3.386990,66.3216,21.1233,0.9997,FAULT
0.017,5.705562,3.169138,3.689952,2.982324,6.283364,3.446396,4.022981,3.374394,35.7295,21.8536,0.9998,FAULT
0.017,5.471340,3.170109,3.466566,2.805154,6.258087,3.437796,4.005661,3.356675,70.3212,24.2770,0.9999,FAULT
0.017,5.510187,3.058834,3.491126,2.969466,6.234807,3.426000,3.989645,3.344622,51.4527,25.6358,1.0000,FAULT
0.017,5.412466,3.100376,3.424824,2.820111,6.209210,3.415864,3.972064,3.328295,64.7637,27.5922,1.0000,FAULT
0.017,5.378188,3.039247,3.407622,2.841830,6.183342,3.404141,3.954494,3.313152,63.3544,29.3803,1.0000,FAULT
0.017,5.301615,3.039373,3.405682,2.696417,6.155896,3.392786,3.937411,3.293955,78.4091,31.8317,1.0000,FAULT
0.017,5.113730,2.958427,3.295049,2.557458,6.123456,3.379266,3.917416,3.271030,111.3104,35.8057,1.0000,FAULT
0.017,5.226214,3.014675,3.333435,2.667069,6.095527,3.367917,3.899238,3.252230,79.7059,38.0007,1.0000,FAULT
0.017,5.007450,2.880185,3.228339,2.521293,6.061658,3.352735,3.878355,3.229478,117.9987,42.0006,1.0000,FAULT
0.017,5.031557,2.961828,3.194970,2.517202,6.029594,3.340567,3.857083,3.207307,110.1703,45.4091,1.0000,FAULT
