elapsed_s,prediction,confidence
1.045,1,0.7384
1.137,1,0.7430
1.243,1,0.6221
1.343,1,0.5873
1.443,1,0.5814
1.543,1,0.5822
1.644,1,0.5606
1.742,1,0.5629
1.844,1,0.5668
1.942,1,0.5746
2.033,1,0.5643
2.142,1,0.5755
2.233,1,0.6157
2.342,1,0.5790
2.433,1,0.5644
2.543,1,0.5772
2.642,1,0.5999
2.742,1,0.5829
2.834,1,0.5453
2.933,1,0.5408
3.034,1,0.5596
3.143,1,0.5480
3.243,1,0.5699
3.333,1,0.5867
3.444,1,0.5597
3.543,1,0.5657
3.633,1,0.5131
3.733,0,0.5947
3.833,0,0.7614
3.943,0,0.7987
4.044,0,0.8631
4.134,0,0.9403
4.234,0,0.9573
4.343,0,0.9678
4.434,0,0.9445
4.543,0,0.9910
4.660,0,0.9917
4.738,0,0.9821
4.843,0,0.9790
4.932,0,0.9950
5.042,0,0.9897
5.143,0,0.9846
5.233,0,0.9913
5.342,0,0.9847
5.433,0,0.9893
5.543,0,0.9958
5.644,0,0.9853
5.731,0,0.9900
5.844,0,0.9736
5.942,0,0.9768
6.033,0,0.9620
6.132,0,0.9672
6.232,0,0.9872
6.343,0,0.9492
6.442,0,0.8023
6.532,0,0.6431
6.634,0,0.5928
6.732,0,0.6355
6.843,0,0.7454
6.942,0,0.7651
7.043,0,0.7758
7.133,0,0.7232
7.233,0,0.7426
7.332,0,0.8099
7.442,0,0.8600
7.543,0,0.8936
7.641,0,0.9165
7.732,0,0.9076
7.832,0,0.9056
7.932,0,0.8926
8.033,0,0.8903
8.143,0,0.8833
8.243,0,0.8617
8.342,0,0.8679
8.433,0,0.8807
8.541,0,0.8201
8.631,0,0.6832
8.742,0,0.6377
8.842,0,0.5675
8.942,1,0.6137
9.034,1,0.7331
9.143,1,0.9690
9.242,1,0.7441
9.342,1,0.6333
9.442,0,0.5244
9.542,0,0.6787
9.643,0,0.5439
9.742,1,0.5727
9.832,0,0.5687
9.942,0,0.6922
10.043,0,0.7676
10.142,0,0.8292
10.242,0,0.8143
10.332,0,0.7914
10.444,0,0.8008
10.541,0,0.8056
10.642,0,0.7882
10.742,0,0.7946
10.842,0,0.7831
10.943,0,0.7061
11.042,0,0.8135
11.143,0,0.8496
11.243,0,0.8260
11.342,0,0.7903
11.443,0,0.6878
11.530,0,0.5410
11.643,1,0.6445
11.732,1,0.6474
11.843,1,0.6143
11.933,1,0.5855
12.087,1,0.5293
12.142,0,0.5026
12.243,0,0.5644
12.341,0,0.5350
12.442,0,0.5444
12.543,1,0.5104
12.643,1,0.5664
12.743,1,0.5470
12.843,1,0.6105
12.933,1,0.6759
13.043,1,0.6864
13.133,1,0.6620
13.243,1,0.6584
13.342,1,0.5849
13.443,1,0.5015
13.544,0,0.5033
13.640,1,0.5262
13.742,1,0.5274
13.841,1,0.5216
13.942,1,0.5118
14.041,0,0.5000
14.141,0,0.5930
14.241,0,0.7086
14.342,0,0.8047
14.441,0,0.8011
14.542,0,0.6958
14.641,0,0.6047
14.741,0,0.5618
14.842,0,0.5261
14.942,0,0.5017
15.041,0,0.5685
15.142,0,0.6480
15.242,0,0.7635
15.341,0,0.8278
15.442,0,0.8432
15.533,0,0.8454
15.642,0,0.8633
15.742,0,0.9070
15.842,0,0.8754
15.942,0,0.7597
16.042,0,0.6387
16.142,0,0.5291
16.243,1,0.5692
16.344,1,0.6294
16.442,1,0.5551
16.541,1,0.5587
16.642,1,0.5693
16.733,1,0.5387
16.843,1,0.5081
16.932,0,0.6039
17.043,0,0.6283
17.142,0,0.6324
17.243,0,0.5147
17.341,1,0.5689
17.442,1,0.5270
17.542,0,0.5544
17.641,0,0.5595
17.732,0,0.5616
17.842,0,0.5214
17.942,1,0.5223
18.042,1,0.5653
18.143,1,0.5320
18.243,1,0.5770
18.332,1,0.5834
18.443,1,0.5862
18.542,1,0.5864
18.642,1,0.5707
18.742,1,0.5054
18.842,1,0.5216
18.931,0,0.5061
19.042,0,0.5357
19.132,0,0.5506
19.243,0,0.5538
19.342,0,0.5233
19.442,0,0.5826
19.542,0,0.6056
19.643,0,0.5618
19.741,0,0.5542
19.843,0,0.5384
19.942,0,0.5724
20.043,0,0.6230
20.143,0,0.6579
20.242,0,0.6418
20.342,0,0.6929
20.438,0,0.6951
20.532,0,0.6773
20.643,0,0.6677
20.762,0,0.6664
20.835,0,0.6497
20.945,0,0.6277
21.043,0,0.5844
21.142,0,0.5433
21.243,0,0.5211
21.342,0,0.5166
21.443,0,0.5282
21.543,0,0.5442
21.643,1,0.5807
21.785,1,0.6210
21.839,1,0.6212
21.943,1,0.5316
22.042,0,0.5201
22.142,0,0.5384
22.242,0,0.6135
22.329,0,0.5985
22.442,0,0.5869
22.542,0,0.5724
22.640,1,0.5152
22.741,1,0.5579
22.841,1,0.6044
22.941,1,0.6113
23.041,1,0.6350
23.131,1,0.5629
23.242,1,0.5144
23.330,0,0.5658
23.441,0,0.5339
23.541,0,0.5649
23.640,0,0.5913
23.742,0,0.5494
23.842,0,0.5155
23.941,0,0.5099
24.037,1,0.5201
24.141,1,0.5095
24.242,0,0.5260
24.341,0,0.5449
24.431,0,0.5346
24.532,0,0.5443
24.631,0,0.5629
24.742,0,0.6011
24.831,0,0.6490
24.942,0,0.6345
25.042,0,0.5798
25.142,0,0.5603
25.241,0,0.5183
25.341,1,0.5199
25.442,0,0.5804
25.541,0,0.5992
25.641,0,0.6176
25.741,0,0.6095
25.841,0,0.6211
25.942,0,0.5852
26.038,0,0.5532
26.132,0,0.5461
26.242,0,0.5515
26.341,0,0.5846
26.443,0,0.5983
26.586,0,0.5761
26.630,1,0.5065
26.742,1,0.6045
26.842,1,0.5424
26.941,1,0.5450
27.040,1,0.5009
27.142,0,0.5209
27.242,0,0.5156
27.342,0,0.5465
27.432,0,0.5046
27.542,1,0.5299
27.631,0,0.5142
27.741,1,0.5602
27.842,1,0.5214
27.941,0,0.5250
28.042,0,0.6110
28.132,0,0.6482
28.242,0,0.6637
28.341,0,0.6868
28.442,0,0.6287
28.542,0,0.5878
28.640,0,0.6173
28.742,0,0.5558
28.842,0,0.5536
28.932,0,0.5637
29.043,0,0.5643
29.141,0,0.5702
29.231,0,0.5427
29.342,0,0.5434
29.441,0,0.5935
29.528,0,0.6585
29.642,0,0.6874
29.741,0,0.6217
29.843,0,0.5518
29.942,0,0.5143
30.033,1,0.5361
30.142,1,0.5211
30.243,0,0.5595
30.342,0,0.6097
30.442,0,0.5670
30.532,0,0.5389
30.642,1,0.5209
30.732,1,0.5841
30.842,1,0.6314
30.941,1,0.6550
31.047,1,0.6520
31.145,1,0.6247
31.242,1,0.6676
31.339,1,0.5903
31.441,1,0.5847
31.542,0,0.5197
31.641,0,0.5592
31.740,0,0.5228
31.841,0,0.5733
31.941,0,0.6733
32.041,0,0.7267
32.141,0,0.7658
32.240,0,0.7608
32.341,0,0.5656
32.441,0,0.5380
32.541,1,0.5121
32.630,0,0.5048
32.741,1,0.5035
32.841,0,0.5602
32.942,0,0.6531
33.041,0,0.6868
33.141,0,0.6987
33.242,0,0.6784
33.341,0,0.6866
33.440,0,0.6771
33.531,0,0.6378
33.640,0,0.6367
33.742,0,0.5840
33.842,0,0.5704
33.941,0,0.5359
34.041,0,0.5509
34.131,0,0.5108
34.242,0,0.5401
34.341,1,0.5108
34.441,1,0.5546
34.541,1,0.5069
34.631,0,0.5643
34.741,0,0.5745
34.841,0,0.5202
34.942,1,0.5046
35.041,1,0.5127
35.140,0,0.5037
35.241,0,0.5001
35.341,0,0.5433
35.440,0,0.5937
35.553,0,0.5496
35.639,1,0.5034
35.741,1,0.5365
35.840,1,0.5147
35.941,0,0.5825
36.032,0,0.6320
36.141,0,0.5948
36.242,0,0.6118
36.341,0,0.6093
36.441,0,0.5946
36.569,0,0.6173
36.624,0,0.6109
36.741,0,0.5900
36.831,0,0.5714
36.942,0,0.5416
37.031,0,0.5109
37.141,1,0.5038
37.230,1,0.5375
37.342,1,0.5209
37.441,0,0.5167
37.541,0,0.5942
37.630,0,0.6414
37.741,0,0.6511
37.841,0,0.6662
37.942,0,0.6776
38.041,0,0.6842
38.142,0,0.7006
38.241,0,0.6569
38.342,0,0.6303
38.441,0,0.6241
38.542,0,0.6117
38.629,0,0.6048
38.741,0,0.5974
38.841,1,0.5274
38.942,1,0.5516
39.042,1,0.5767
39.141,1,0.5714
39.241,0,0.5216
39.341,0,0.5889
39.431,0,0.5935
39.541,0,0.6255
39.642,0,0.7446
39.741,0,0.7774
39.841,0,0.8617
39.941,0,0.8628
40.041,0,0.8555
40.153,0,0.8484
40.240,0,0.8116
40.341,0,0.8094
40.441,0,0.8205
40.542,0,0.7527
40.640,0,0.6570
40.741,0,0.6179
40.841,0,0.5406
40.941,0,0.5266
41.040,1,0.5058
41.141,0,0.5619
41.240,0,0.6003
41.341,0,0.5973
41.430,0,0.5779
41.541,0,0.5055
41.640,1,0.5573
41.741,1,0.7501
41.840,1,0.7554
41.941,1,0.6955
42.040,1,0.5329
42.140,1,0.5316
42.240,1,0.5400
42.339,1,0.5931
42.430,1,0.6493
42.541,1,0.6626
42.639,1,0.6192
42.740,1,0.5606
42.830,0,0.5025
42.940,0,0.6010
43.041,0,0.6159
43.141,0,0.6097
43.231,1,0.5358
43.341,1,0.6978
43.431,1,0.8132
43.541,1,1.0000
43.639,1,0.9979
43.740,1,0.9983
43.841,1,0.8017
43.941,1,0.6760
44.030,0,0.5839
44.140,0,0.6975
44.229,0,0.7522
44.341,0,0.7197
44.440,0,0.5215
44.541,1,0.5822
44.641,1,0.6141
44.764,1,0.6385
44.833,1,0.6722
44.941,1,0.6405
45.040,1,0.6012
45.140,1,0.5796
45.241,1,0.5918
45.340,1,0.5689
45.431,1,0.5772
45.540,1,0.5602
45.640,1,0.5587
45.741,1,0.5702
45.841,1,0.5969
45.940,1,0.5585
46.040,1,0.5589
46.140,1,0.5678
46.231,1,0.5648
46.341,1,0.5716
46.441,1,0.5732
46.540,1,0.5790
46.641,1,0.5795
46.740,1,0.5746
46.835,1,0.5692
46.934,1,0.5817
47.041,1,0.5671
47.141,1,0.5566
47.241,1,0.5458
47.341,1,0.5465
47.441,1,0.5568
47.541,1,0.5682
47.630,1,0.5780
47.741,1,0.5755
47.840,1,0.5952
