elapsed_s,prediction,confidence,p_deformed,p_deformed_ema
10.334,1,0.9896,0.9896,0.9896
10.432,1,0.9876,0.9817,0.9876
10.532,1,0.9868,0.9841,0.9868
10.632,1,0.9841,0.9760,0.9841
10.731,1,0.9846,0.9863,0.9846
10.831,1,0.9816,0.9725,0.9816
10.932,1,0.9806,0.9775,0.9806
11.032,1,0.9670,0.9263,0.9670
11.132,1,0.9394,0.8567,0.9394
11.231,1,0.8894,0.7395,0.8894
11.331,1,0.8299,0.6511,0.8299
11.431,1,0.7668,0.5775,0.7668
11.532,1,0.6965,0.4859,0.6965
11.631,1,0.6517,0.5170,0.6517
11.731,1,0.6298,0.5641,0.6298
11.834,1,0.5853,0.4519,0.5853
11.928,0,0.4768,0.3368,0.5232
12.032,0,0.5455,0.2486,0.4545
12.132,0,0.6028,0.2252,0.3972
12.231,0,0.6271,0.3002,0.3729
12.331,0,0.6292,0.3642,0.3708
12.432,0,0.6036,0.4735,0.3964
12.532,0,0.5448,0.6313,0.4552
12.632,0,0.4822,0.7058,0.5178
12.731,1,0.5620,0.6946,0.5620
12.832,1,0.5756,0.6162,0.5756
12.932,0,0.4838,0.3381,0.5162
13.031,0,0.5777,0.1406,0.4223
13.132,0,0.6625,0.0832,0.3375
13.228,0,0.7307,0.0648,0.2693
13.331,0,0.7653,0.1310,0.2347
13.430,0,0.7898,0.1366,0.2102
13.532,0,0.8203,0.0881,0.1797
13.631,0,0.8526,0.0506,0.1474
13.730,0,0.8778,0.0465,0.1222
13.830,0,0.8709,0.1499,0.1291
13.931,0,0.8399,0.2529,0.1601
14.032,0,0.7680,0.4477,0.2320
14.131,0,0.6711,0.6195,0.3289
14.230,0,0.5391,0.8571,0.4609
14.331,1,0.5569,0.8447,0.5569
14.430,1,0.6559,0.9529,0.6559
14.530,1,0.7311,0.9569,0.7311
14.632,1,0.7895,0.9646,0.7895
14.730,1,0.8377,0.9823,0.8377
14.831,1,0.8767,0.9939,0.8767
14.930,1,0.9062,0.9944,0.9062
15.031,1,0.9280,0.9937,0.9280
15.131,1,0.9454,0.9976,0.9454
15.231,1,0.9566,0.9900,0.9566
15.331,1,0.9663,0.9955,0.9663
15.431,1,0.9665,0.9670,0.9665
15.531,1,0.9615,0.9464,0.9615
15.632,1,0.9569,0.9432,0.9569
15.731,1,0.9525,0.9392,0.9525
15.831,1,0.9412,0.9074,0.9412
15.932,1,0.9452,0.9573,0.9452
16.032,1,0.9575,0.9943,0.9575
16.132,1,0.9643,0.9847,0.9643
16.231,1,0.9713,0.9921,0.9713
16.331,1,0.9776,0.9967,0.9776
16.431,1,0.9813,0.9922,0.9813
16.531,1,0.9839,0.9920,0.9839
16.632,1,0.9866,0.9946,0.9866
16.731,1,0.9866,0.9864,0.9866
16.831,1,0.9567,0.8672,0.9567
16.931,1,0.9049,0.7495,0.9049
17.031,1,0.8755,0.7872,0.8755
17.131,1,0.8541,0.7898,0.8541
17.232,1,0.8088,0.6732,0.8088
17.331,1,0.7737,0.6681,0.7737
17.431,1,0.7025,0.4891,0.7025
17.531,1,0.6198,0.3717,0.6198
17.631,1,0.5720,0.4286,0.5720
17.730,1,0.5909,0.6476,0.5909
17.860,1,0.6102,0.6679,0.6102
17.931,1,0.6262,0.6741,0.6262
18.031,1,0.6392,0.6783,0.6392
18.115,1,0.6556,0.7047,0.6556
18.231,1,0.6697,0.7122,0.6697
18.331,1,0.7181,0.8632,0.7181
18.431,1,0.7762,0.9507,0.7762
18.531,1,0.8229,0.9629,0.8229
18.631,1,0.8615,0.9773,0.8615
18.731,1,0.8858,0.9587,0.8858
18.831,1,0.8813,0.8680,0.8813
18.931,1,0.8861,0.9002,0.8861
19.032,1,0.8748,0.8409,0.8748
19.130,1,0.8546,0.7940,0.8546
19.231,1,0.8150,0.6964,0.8150
19.330,1,0.8048,0.7740,0.8048
19.431,1,0.8025,0.7956,0.8025
19.531,1,0.8027,0.8034,0.8027
19.632,1,0.8163,0.8569,0.8163
19.731,1,0.8213,0.8363,0.8213
19.832,1,0.8354,0.8779,0.8354
19.932,1,0.8527,0.9043,0.8527
20.031,1,0.8827,0.9730,0.8827
20.132,1,0.9065,0.9780,0.9065
20.231,1,0.9279,0.9920,0.9279
20.331,1,0.9407,0.9791,0.9407
20.431,1,0.9523,0.9872,0.9523
20.531,1,0.9616,0.9894,0.9616
20.632,1,0.9693,0.9926,0.9693
20.731,1,0.9747,0.9906,0.9747
20.831,1,0.9780,0.9880,0.9780
20.931,1,0.9782,0.9789,0.9782
21.031,1,0.9765,0.9715,0.9765
21.131,1,0.9784,0.9839,0.9784
21.232,1,0.9797,0.9837,0.9797
21.331,1,0.9811,0.9851,0.9811
21.432,1,0.9844,0.9943,0.9844
21.531,1,0.9863,0.9920,0.9863
21.632,1,0.9869,0.9886,0.9869
21.731,1,0.9879,0.9908,0.9879
21.832,1,0.9886,0.9909,0.9886
21.932,1,0.9861,0.9786,0.9861
22.032,1,0.9856,0.9842,0.9856
22.132,1,0.9840,0.9790,0.9840
22.232,1,0.9819,0.9758,0.9819
22.330,1,0.9816,0.9806,0.9816
22.430,1,0.9772,0.9642,0.9772
22.530,1,0.9666,0.9348,0.9666
22.631,1,0.9642,0.9569,0.9642
22.730,1,0.9578,0.9386,0.9578
22.832,1,0.9413,0.8916,0.9413
22.931,1,0.9262,0.8809,0.9262
23.031,1,0.9112,0.8664,0.9112
23.131,1,0.8663,0.7315,0.8663
23.230,1,0.7903,0.5623,0.7903
23.330,1,0.6826,0.3596,0.6826
23.431,1,0.5626,0.2025,0.5626
23.530,0,0.5497,0.1133,0.4503
23.631,0,0.6598,0.0101,0.3402
23.730,0,0.7432,0.0066,0.2568
23.831,0,0.7975,0.0397,0.2025
23.930,0,0.8409,0.0287,0.1591
24.030,0,0.8606,0.0805,0.1394
24.131,0,0.8371,0.2334,0.1629
24.231,0,0.8200,0.2314,0.1800
24.330,0,0.8376,0.1097,0.1624
24.431,0,0.7991,0.3164,0.2009
24.531,0,0.7342,0.4604,0.2658
24.632,0,0.6325,0.6727,0.3675
24.732,0,0.5175,0.8276,0.4825
24.831,1,0.5821,0.8809,0.5821
24.931,1,0.6812,0.9785,0.6812
25.031,1,0.7589,0.9920,0.7589
25.131,1,0.8152,0.9839,0.8152
25.230,1,0.8470,0.9423,0.8470
25.331,1,0.8716,0.9456,0.8716
25.430,1,0.8847,0.9237,0.8847
25.538,1,0.8970,0.9340,0.8970
25.631,1,0.9156,0.9713,0.9156
25.731,1,0.9327,0.9840,0.9327
25.830,1,0.9457,0.9846,0.9457
25.932,1,0.9566,0.9894,0.9566
26.031,1,0.9641,0.9868,0.9641
26.131,1,0.9691,0.9839,0.9691
26.230,1,0.9750,0.9929,0.9750
26.331,1,0.9770,0.9827,0.9770
26.432,1,0.9767,0.9759,0.9767
26.531,1,0.9790,0.9860,0.9790
26.632,1,0.9824,0.9924,0.9824
26.731,1,0.9832,0.9859,0.9832
26.831,1,0.9851,0.9906,0.9851
26.931,1,0.9863,0.9898,0.9863
27.031,1,0.9871,0.9897,0.9871
27.130,1,0.9883,0.9917,0.9883
27.231,1,0.9885,0.9894,0.9885
27.331,1,0.9846,0.9729,0.9846
27.431,1,0.9700,0.9263,0.9700
27.531,1,0.9481,0.8824,0.9481
27.632,1,0.9378,0.9068,0.9378
27.731,1,0.9353,0.9278,0.9353
27.831,1,0.9387,0.9489,0.9387
27.931,1,0.9406,0.9465,0.9406
28.031,1,0.9472,0.9668,0.9472
28.132,1,0.9460,0.9425,0.9460
28.231,1,0.9499,0.9617,0.9499
28.331,1,0.9558,0.9736,0.9558
28.430,1,0.9612,0.9772,0.9612
28.531,1,0.9643,0.9735,0.9643
28.632,1,0.9692,0.9839,0.9692
28.730,1,0.9738,0.9878,0.9738
28.832,1,0.9795,0.9966,0.9795
28.931,1,0.9817,0.9884,0.9817
29.031,1,0.9740,0.9507,0.9740
29.130,1,0.9305,0.8000,0.9305
29.231,1,0.8804,0.7300,0.8804
29.340,1,0.7907,0.5218,0.7907
29.431,1,0.7182,0.5006,0.7182
29.531,1,0.6851,0.5860,0.6851
29.631,1,0.7053,0.7657,0.7053
29.731,1,0.7638,0.9392,0.7638
29.831,1,0.8163,0.9737,0.8163
29.931,1,0.8583,0.9845,0.8583
30.032,1,0.8884,0.9789,0.8884
30.131,1,0.9059,0.9581,0.9059
30.231,1,0.9077,0.9132,0.9077
30.331,1,0.9222,0.9656,0.9222
30.431,1,0.9370,0.9813,0.9370
30.531,1,0.9480,0.9811,0.9480
30.632,1,0.9550,0.9759,0.9550
30.732,1,0.9644,0.9927,0.9644
30.831,1,0.9714,0.9925,0.9714
30.931,1,0.9733,0.9790,0.9733
31.031,1,0.9648,0.9392,0.9648
31.131,1,0.9418,0.8729,0.9418
31.232,1,0.9143,0.8315,0.9143
31.330,1,0.8828,0.7886,0.8828
31.430,1,0.8350,0.6915,0.8350
31.530,1,0.8040,0.7110,0.8040
31.631,1,0.7978,0.7792,0.7978
31.731,1,0.8065,0.8327,0.8065
31.830,1,0.8165,0.8465,0.8165
31.930,1,0.8322,0.8793,0.8322
32.030,1,0.8449,0.8829,0.8449
32.130,1,0.8566,0.8918,0.8566
32.230,1,0.8611,0.8746,0.8611
32.330,1,0.8587,0.8515,0.8587
32.430,1,0.8641,0.8803,0.8641
32.531,1,0.8671,0.8759,0.8671
32.631,1,0.8716,0.8854,0.8716
32.730,1,0.8742,0.8817,0.8742
32.831,1,0.8857,0.9202,0.8857
32.930,1,0.9001,0.9435,0.9001
33.030,1,0.9069,0.9271,0.9069
33.130,1,0.9196,0.9579,0.9196
33.230,1,0.9367,0.9880,0.9367
33.330,1,0.9485,0.9838,0.9485
33.430,1,0.9552,0.9754,0.9552
33.530,1,0.9640,0.9905,0.9640
33.631,1,0.9701,0.9884,0.9701
33.730,1,0.9701,0.9699,0.9701
33.831,1,0.9706,0.9723,0.9706
33.930,1,0.9684,0.9618,0.9684
34.030,1,0.9538,0.9099,0.9538
34.131,1,0.9270,0.8465,0.9270
34.231,1,0.9193,0.8963,0.9193
34.331,1,0.9249,0.9418,0.9249
34.426,1,0.9348,0.9645,0.9348
34.531,1,0.9479,0.9871,0.9479
34.631,1,0.9548,0.9754,0.9548
34.731,1,0.9599,0.9752,0.9599
34.831,1,0.9610,0.9644,0.9610
34.928,1,0.9626,0.9672,0.9626
35.031,1,0.9609,0.9561,0.9609
35.131,1,0.9583,0.9504,0.9583
35.230,1,0.9480,0.9172,0.9480
35.331,1,0.9341,0.8924,0.9341
35.431,1,0.9252,0.8985,0.9252
35.530,1,0.9166,0.8908,0.9166
35.631,1,0.9087,0.8850,0.9087
35.730,1,0.9077,0.9046,0.9077
35.830,1,0.9092,0.9137,0.9092
35.931,1,0.9149,0.9321,0.9149
36.031,1,0.9222,0.9439,0.9222
36.131,1,0.9254,0.9350,0.9254
36.231,1,0.9280,0.9359,0.9280
36.331,1,0.9315,0.9418,0.9315
36.430,1,0.9356,0.9482,0.9356
36.531,1,0.9350,0.9331,0.9350
