time_seconds,total_vibration,rms_x,rms_y,rms_z
0.008,0.009131,0.005639,0.005295,0.004851
0.008,0.009010,0.005942,0.005043,0.004522
0.018,0.531882,0.011494,0.010209,0.531660
0.028,0.531962,0.011626,0.010335,0.531735
0.038,0.532025,0.011625,0.010045,0.531804
0.048,0.532069,0.011509,0.009818,0.531854
0.058,0.532182,0.011536,0.009904,0.531965
0.068,0.532040,0.011296,0.009920,0.531827
0.078,0.532163,0.011254,0.009900,0.531952
0.088,0.532148,0.011294,0.009904,0.531936
0.098,0.532117,0.011304,0.009983,0.531903
0.108,0.532226,0.011157,0.010120,0.532012
0.118,0.532288,0.011418,0.010217,0.532068
0.128,0.532287,0.011552,0.010186,0.532064
0.138,0.532388,0.011360,0.010466,0.532164
0.148,0.532382,0.011260,0.010464,0.532160
0.158,0.532393,0.011416,0.010460,0.532167
0.168,0.532339,0.011358,0.010464,0.532115
0.178,0.532208,0.011448,0.010404,0.531984
0.188,0.532115,0.011449,0.010427,0.531890
0.198,0.532125,0.011511,0.010471,0.531897
0.208,0.532181,0.012183,0.010451,0.531939
0.218,0.010105,0.007238,0.005355,0.004588
0.228,0.009934,0.006893,0.005290,0.004814
0.238,0.010068,0.006958,0.005393,0.004885
0.248,0.010113,0.006962,0.005392,0.004973
0.258,0.010174,0.006737,0.005740,0.005018
0.268,0.009701,0.006559,0.005572,0.004477
0.278,0.009693,0.006487,0.005592,0.004539
0.288,0.009980,0.006742,0.005677,0.004682
0.298,0.009942,0.006742,0.005611,0.004681
0.308,0.010215,0.007342,0.005397,0.004617
0.318,0.009859,0.006902,0.005412,0.004504
0.328,0.010032,0.006663,0.005752,0.004812
0.338,0.009837,0.006756,0.005358,0.004734
0.348,0.010155,0.006787,0.005803,0.004835
0.358,0.010224,0.006900,0.005811,0.004812
0.368,0.010419,0.007044,0.006006,0.004781
0.378,0.010234,0.006957,0.005933,0.004597
0.388,0.010448,0.006892,0.005796,0.005298
0.398,0.010604,0.007054,0.005632,0.005565
0.408,0.010104,0.005958,0.005972,0.005561
0.418,0.009845,0.005674,0.005435,0.005932
0.428,0.009802,0.005822,0.005487,0.005663
0.438,0.010048,0.006012,0.005915,0.005461
0.448,0.010280,0.006216,0.006119,0.005441
0.458,0.009806,0.005947,0.005647,0.005376
0.468,0.010007,0.006142,0.005847,0.005312
0.478,0.010016,0.006235,0.005771,0.005305
0.488,0.010086,0.006243,0.005872,0.005317
0.498,0.010068,0.006131,0.005850,0.005435
0.508,0.009721,0.005497,0.005867,0.005463
0.518,0.010000,0.005518,0.006209,0.005568
0.528,0.009836,0.005458,0.006020,0.005542
0.538,0.009717,0.005333,0.006112,0.005351
0.548,0.009834,0.005424,0.006186,0.005388
0.558,0.009865,0.005161,0.006494,0.005340
0.568,0.010611,0.005937,0.006691,0.005708
0.578,0.010632,0.005907,0.006814,0.005631
0.588,0.010759,0.006275,0.007070,0.005137
0.598,0.010478,0.005907,0.007286,0.004669
0.608,0.010405,0.005870,0.007207,0.004676
0.618,0.010888,0.006302,0.007714,0.004396
0.628,0.011085,0.006700,0.007664,0.004390
0.638,0.010950,0.006646,0.007576,0.004282
0.648,0.010709,0.006492,0.007524,0.003989
0.658,0.010900,0.006586,0.007501,0.004377
0.668,0.010726,0.006450,0.007403,0.004319
0.678,0.010640,0.006283,0.007381,0.004386
0.688,0.010451,0.006190,0.007209,0.004353
0.698,0.010540,0.006286,0.007208,0.004430
0.708,0.010610,0.006291,0.007291,0.004455
0.718,0.010474,0.006170,0.007244,0.004378
0.728,0.011388,0.007505,0.007479,0.004173
0.738,0.017243,0.008502,0.014437,0.004074
0.748,0.018324,0.009993,0.014803,0.004095
0.758,0.019792,0.012284,0.014940,0.004198
0.768,0.024714,0.015202,0.017302,0.008961
0.778,0.032932,0.020683,0.023273,0.010729
0.788,0.033221,0.020400,0.023717,0.011178
0.798,0.043999,0.034105,0.024705,0.012744
0.808,0.051468,0.039266,0.024769,0.022218
0.818,0.054517,0.039329,0.030416,0.022364
0.828,0.056561,0.039317,0.033939,0.022393
0.841,0.058107,0.041342,0.033743,0.022995
0.848,0.058757,0.042094,0.033735,0.023291
0.858,0.061815,0.043638,0.037071,0.023295
0.868,0.064375,0.045285,0.037865,0.025684
0.880,0.065661,0.045274,0.039148,0.027001
0.888,0.069188,0.047223,0.042748,0.027011
0.898,0.070999,0.048302,0.044350,0.027218
0.911,0.073176,0.050485,0.044781,0.028297
0.918,0.073847,0.051382,0.044866,0.028289
0.928,0.075139,0.052617,0.045253,0.028802
0.938,0.074442,0.052530,0.044181,0.028812
0.948,0.078359,0.057846,0.044286,0.028856
0.958,0.080887,0.060115,0.045771,0.028876
0.968,0.080846,0.061383,0.044652,0.027831
0.978,0.084165,0.066528,0.043434,0.027773
0.988,0.084974,0.067907,0.042960,0.027635
0.998,0.081687,0.064690,0.042033,0.026854
1.008,0.090653,0.077216,0.042593,0.021012
1.018,0.093635,0.082835,0.037975,0.021537
1.028,0.093753,0.083365,0.036849,0.021956
1.038,0.104948,0.096065,0.036669,0.020997
1.048,0.122015,0.112188,0.040974,0.024957
1.058,0.127820,0.117665,0.043249,0.024948
1.068,0.128019,0.117610,0.044406,0.024186
1.078,0.144382,0.136184,0.042248,0.022695
1.088,0.171872,0.165506,0.040094,0.023246
1.098,0.181487,0.174487,0.043436,0.024601
1.108,0.183630,0.173861,0.054163,0.023640
1.118,0.193659,0.180304,0.066149,0.024870
1.128,0.216151,0.203463,0.068745,0.024459
1.138,0.242253,0.230812,0.068209,0.027567
1.148,0.255983,0.242938,0.071455,0.037458
1.158,0.261185,0.244219,0.082793,0.041475
1.168,0.268658,0.246316,0.098505,0.042450
1.178,0.284248,0.258086,0.110784,0.043771
1.188,0.308773,0.283619,0.113945,0.043791
1.198,0.339160,0.316214,0.114471,0.043981
1.208,0.353532,0.331210,0.115075,0.045197
1.218,0.362239,0.337223,0.123477,0.047445
1.228,0.366893,0.337166,0.136686,0.047402
1.238,0.373818,0.338135,0.152176,0.047399
1.248,0.391822,0.353456,0.162368,0.047215
1.258,0.432174,0.394439,0.170080,0.047595
1.268,0.473907,0.438571,0.173339,0.046870
1.278,0.501667,0.468040,0.173893,0.048673
1.288,0.532033,0.499484,0.175422,0.052928
1.298,0.559354,0.526602,0.181192,0.052310
1.308,0.585447,0.550669,0.190953,0.055218
1.318,0.619514,0.581207,0.206684,0.057254
1.328,0.643057,0.602732,0.216533,0.057881
1.338,0.671115,0.631889,0.218472,0.058148
1.348,0.717348,0.675524,0.234218,0.058286
1.358,0.789866,0.741109,0.267027,0.057810
1.368,0.855070,0.771086,0.364946,0.058191
1.378,0.931746,0.768892,0.499143,0.166774
1.388,1.110172,0.811799,0.701455,0.285351
1.398,1.178184,0.841808,0.767151,0.301590
1.408,1.206662,0.878504,0.767065,0.309639
1.418,1.236405,0.880170,0.810007,0.312867
1.428,1.376204,0.907459,0.926239,0.461017
1.438,1.464525,0.964091,0.948622,0.561675
1.448,1.478236,0.967187,0.966692,0.561459
1.458,1.599407,0.989282,1.087501,0.629892
1.468,1.776261,1.072678,1.237123,0.688470
1.478,1.776740,1.070894,1.238874,0.689336
1.488,1.885335,1.095320,1.355345,0.719586
1.498,2.026613,1.162340,1.466652,0.777854
1.508,2.021083,1.154790,1.463901,0.779889
1.518,2.146115,1.182864,1.578334,0.845875
1.528,2.228367,1.199593,1.623835,0.943269
1.538,2.229124,1.180506,1.637389,0.945703
1.548,2.309038,1.175228,1.710431,1.012384
1.558,2.333322,1.135953,1.712989,1.104386
1.568,2.363520,1.130616,1.757267,1.104512
1.578,2.431009,1.164047,1.796345,1.152364
1.588,2.391024,1.145129,1.747958,1.162032
1.598,2.658512,1.220328,2.046269,1.179520
1.608,2.802373,1.207920,2.196742,1.252418
1.618,2.892772,1.303774,2.251918,1.263790
1.628,3.135694,1.464884,2.476671,1.246110
1.638,3.163306,1.439832,2.502857,1.291933
1.648,3.512796,1.470211,2.872559,1.388029
1.658,3.860905,1.476669,3.132401,1.707073
1.668,3.789090,1.405419,3.085856,1.691004
1.678,3.944629,1.423193,3.117269,1.953780
1.688,4.025685,1.406265,3.090069,2.163338
1.698,4.142825,1.407300,3.236810,2.169232
1.708,4.217769,1.404852,3.264204,2.271769
1.718,4.347104,1.562041,3.357989,2.276236
1.728,4.476958,1.712356,3.393429,2.365509
1.738,4.493055,1.712277,3.414603,2.365617
1.748,4.611369,1.732540,3.392305,2.599096
1.758,4.756447,1.830545,3.389020,2.790598
1.768,4.838689,1.995064,3.389787,2.818151
1.778,4.840245,1.984066,3.359081,2.864966
1.788,4.943975,2.095943,3.385834,2.930195
1.798,4.925300,2.079118,3.231907,3.080685
1.808,4.962039,2.270314,3.179224,3.059418
1.818,5.042561,2.237987,3.206856,3.183538
1.828,5.072765,2.337810,3.197871,3.168787
1.838,5.453937,2.348825,3.634642,3.319311
1.848,5.342741,2.616336,3.302060,3.285737
1.858,5.130095,2.609256,3.084341,3.161723
1.868,5.233783,2.736112,3.139432,3.170196
1.878,5.384971,2.940362,3.323500,3.050661
1.888,5.701365,3.173201,3.717563,2.935317
1.898,5.617132,3.219793,3.556341,2.921908
1.908,5.590693,3.226018,3.546244,2.876249
1.918,5.609706,3.334586,3.491079,2.856869
1.928,5.540959,3.329153,3.469788,2.753096
1.938,6.021870,3.638283,3.881500,2.821306
1.948,5.960640,3.723105,3.874710,2.579600
1.958,5.920705,3.660084,3.983768,2.405851
1.968,6.013020,3.825025,3.989174,2.368984
1.978,6.116164,3.928500,3.987948,2.463864
1.988,6.429672,4.229529,4.230032,2.357666
1.998,6.330440,4.198061,4.215116,2.164151
2.008,6.366261,4.126345,4.256484,2.320539
2.018,6.719876,4.625828,4.360333,2.178519
2.028,6.775104,4.547794,4.501753,2.225721
2.038,6.613870,4.645614,4.276865,1.967226
2.048,6.625687,4.509285,4.405400,2.039247
2.058,6.787342,4.658303,4.501824,2.025291
2.068,6.860008,4.625473,4.548505,2.230652
2.078,6.770525,4.660768,4.393676,2.193823
2.088,6.484459,4.560438,4.075557,2.154170
2.098,6.529763,4.530258,4.112588,2.280612
2.108,6.912614,4.885536,4.325720,2.281210
2.118,7.016039,4.782399,4.585495,2.307963
2.128,7.126666,4.914039,4.606679,2.328112
2.138,6.794222,4.776296,4.264366,2.272365
2.148,6.768813,4.699579,4.310951,2.268587
2.158,7.047186,5.025890,4.307909,2.417679
2.168,7.024615,4.890700,4.317211,2.605372
2.178,7.320331,4.896534,4.783792,2.593556
2.188,7.051711,4.695644,4.566913,2.611677
2.198,7.068989,4.712849,4.569983,2.622006
2.208,7.028902,4.706104,4.538824,2.580139
2.218,6.746546,4.366987,4.427487,2.615849
2.228,6.671261,4.368146,4.195142,2.797465
2.238,6.636953,4.278350,4.235657,2.793578
2.248,6.758207,4.449826,4.270035,2.763914
2.258,6.581783,4.284265,4.134439,2.805593
2.268,6.429730,4.226729,4.058204,2.647105
2.278,6.315512,4.040424,4.037910,2.693687
2.288,6.312075,4.023947,4.048760,2.694008
2.298,6.330659,4.123297,4.054317,2.576466
2.308,5.848720,3.648426,3.789422,2.556715
2.318,5.688125,3.694460,3.483913,2.562827
2.328,5.521565,3.442924,3.484502,2.547980
2.338,5.529933,3.448021,3.504911,2.531188
2.348,5.550432,3.451171,3.498048,2.580769
2.358,5.087512,2.959225,3.392921,2.369358
2.368,5.020111,2.978841,3.336605,2.279274
2.378,4.456498,2.882060,2.671374,2.101873
2.388,4.379545,2.730829,2.650132,2.167900
2.398,4.522414,2.713957,2.903651,2.157654
