time_seconds,packet_counter,sample_time_fine,utc_time,euler_roll_deg,euler_pitch_deg,euler_yaw_deg,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,free_acc_x,free_acc_y,free_acc_z,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x,mag_y,mag_z,lat,lon,altitude,vel_x,vel_y,vel_z,status_word,temperature,baropressure,delta_v_x,delta_v_y,delta_v_z,delta_q_w,delta_q_x,delta_q_y,delta_q_z
0.001044,38865,23661435,,178.64503479,0.84778112,177.43592834,,,,,-0.10066622,0.21363878,-9.80853748,-0.04558003,-0.01661877,-0.00438094,-0.41233812,-0.50594295,-0.16238355,0.00785084,0.31817532,1.03922820,,,,,,,3,,,,,,,,,
0.001920,38866,23661535,,178.64483643,0.84781772,177.44038391,,,,,-0.10918681,0.20727108,-9.79821301,-0.03738435,-0.02313690,-0.01472712,-0.32528992,-0.56037273,0.12492808,0.00643977,0.31915882,1.03973150,,,,,,,3,,,,,,,,,
0.002661,38867,23661635,,178.64427185,0.84755719,177.44898987,,,,,-0.11764144,0.20722659,-9.80782413,-0.02888847,-0.02392808,-0.00499344,-0.39354854,-0.34110397,-0.47691630,0.00966848,0.32342413,1.04030991,,,,,,,3,,,,,,,,,
0.003294,38868,23661735,,178.64195251,0.85031360,177.45932007,,,,,-0.11493415,0.20727710,-9.81573772,-0.03236285,-0.02426992,0.00287366,-0.43012196,-0.68075796,-0.58138410,0.01255117,0.32097548,1.04078043,,,,,,,3,,,,,,,,,
0.003916,38869,23661835,,178.63964844,0.85464263,177.45663452,,,,,-0.10720466,0.21482490,-9.81021786,-0.04037950,-0.01706843,-0.00258589,-0.94343514,-0.69595903,-0.15821209,0.01146563,0.31859618,1.03529489,,,,,,,3,,,,,,,,,
0.004658,38870,23661935,,178.63735962,0.85140336,177.45449829,,,,,-0.11015065,0.20595355,-9.80131149,-0.03667569,-0.02591514,-0.01165104,-0.50703034,0.21907169,-0.25201747,0.00861944,0.31720480,1.03377438,,,,,,,3,,,,,,,,,
0.005300,38871,23662035,,178.64013672,0.84725702,177.46110535,,,,,-0.11067486,0.19741757,-9.80514622,-0.03625755,-0.03377523,-0.00801206,0.12010610,-0.22227627,-0.21956516,0.00920186,0.31671369,1.03673804,,,,,,,3,,,,,,,,,
0.005826,38872,23662135,,178.64128113,0.84790260,177.46981812,,,,,-0.11030806,0.20500985,-9.80957317,-0.03623027,-0.02649940,-0.00341129,-0.43950613,-0.16887085,-0.46174197,0.00827036,0.31624937,1.03672600,,,,,,,3,,,,,,,,,
0.006224,38873,23662235,,178.63812256,0.84886473,177.47097778,,,,,-0.11096592,0.20922816,-9.80507469,-0.03591249,-0.02251045,-0.00779939,-0.39884383,-0.68029127,-0.16814405,0.00732163,0.31578556,1.03621912,,,,,,,3,,,,,,,,,
0.006623,38874,23662335,,178.63609314,0.84929788,177.47760010,,,,,-0.10808973,0.21077386,-9.81299210,-0.03886985,-0.02165898,0.00010610,-0.67175583,-0.57356039,0.16149901,0.00973260,0.31622410,1.03821719,,,,,,,3,,,,,,,,,
0.006999,38875,23662435,,178.63989258,0.85054713,177.48005676,,,,,-0.11480405,0.20681760,-9.80784512,-0.03213369,-0.02465367,-0.00503016,0.18582323,-0.27777478,-0.17241904,0.01111605,0.31860057,1.03875661,,,,,,,3,,,,,,,,,
0.007331,38876,23662535,,178.63989258,0.85117167,177.47607422,,,,,-0.11274958,0.20657061,-9.80439568,-0.03413186,-0.02498392,-0.00851631,-0.29696062,-0.10287952,0.18139076,0.01060202,0.32004938,1.03828216,,,,,,,3,,,,,,,,,
0.007647,38877,23662635,,178.64366150,0.85029161,177.47676086,,,,,-0.10858829,0.21017417,-9.81265640,-0.03857438,-0.02063893,-0.00023437,-0.00379888,-0.59896218,-0.15526047,0.01154239,0.32003355,1.03828669,,,,,,,3,,,,,,,,,
0.007986,38878,23662735,,178.64479065,0.85452592,177.47583008,,,,,-0.10846421,0.21829933,-9.80985928,-0.03881947,-0.01236166,-0.00284147,-0.28080076,-0.61936844,-0.15828399,0.01155962,0.32003304,1.03878152,,,,,,,3,,,,,,,,,
0.008306,38879,23662835,,178.64735413,0.85577542,177.47483826,,,,,-0.10706864,0.21270208,-9.81230450,-0.04059953,-0.01758473,-0.00055194,-0.30447932,-0.35762718,-0.17373707,0.01007964,0.32101861,1.03730536,,,,,,,3,,,,,,,,,
0.008616,38880,23662935,,178.64872742,0.85761744,177.47790527,,,,,-0.12441231,0.20358232,-9.80093002,-0.02402034,-0.02686917,-0.01187491,-0.28170256,-0.65548365,-0.13335519,0.00917423,0.32007363,1.03778064,,,,,,,3,,,,,,,,,
0.008954,38881,23663035,,178.65086365,0.85673618,177.48548889,,,,,-0.10632684,0.19931731,-9.80067348,-0.04184467,-0.03005393,-0.01250100,-0.33168159,-0.20932988,-0.61215544,0.01064484,0.32052800,1.03977418,,,,,,,3,,,,,,,,,
0.009363,38882,23663135,,178.64927673,0.85912663,177.48704529,,,,,-0.11348859,0.20427650,-9.80577755,-0.03516919,-0.02565320,-0.00717783,-0.36905516,-0.60759581,-0.49477602,0.00879070,0.31911927,1.03974259,,,,,,,3,,,,,,,,,
0.009746,38883,23663235,,178.65127563,0.86037588,177.48944092,,,,,-0.10030543,0.20457150,-9.81408691,-0.04877481,-0.02462037,0.00093699,-0.18658156,-0.70703061,0.34776026,0.00874840,0.31768087,1.03774059,,,,,,,3,,,,,,,,,
0.010095,38884,23663335,,178.65405273,0.86004615,177.49739075,,,,,-0.10990286,0.19979882,-9.80375004,-0.03858656,-0.02886925,-0.00935745,0.14371633,0.03527593,-0.56291020,0.01109779,0.32052061,1.03928161,,,,,,,3,,,,,,,,,
0.010662,38885,23663435,,178.66064453,0.86117750,177.50042725,,,,,-0.11293060,0.20451687,-9.80647659,-0.03592437,-0.02342132,-0.00647783,0.07680524,-0.47038776,-0.63375911,0.01068816,0.32004684,1.04075634,,,,,,,3,,,,,,,,,
0.017291,39066,23683615,,,,,,,,,-0.06329992,0.15838470,-7.35033846,,,,-0.41860282,0.19705260,-0.36183106,0.01192542,0.32194772,1.03683460,,,,,,,1,,,,,,,,,
0.027542,39067,23683715,,178.79579163,0.56315684,179.98722839,,,,,-0.11690526,0.19298129,-9.81476784,0.00316473,-0.01581870,0.00165009,-0.63076696,-0.02932736,0.11946384,0.01197761,0.32098642,1.03780913,,,,,,,3,,,,,,,,,
0.037877,39068,23683815,,178.78910828,0.56528658,179.99354553,,,,,-0.12122186,0.19247617,-9.80821514,0.02417266,-0.01505448,-0.00483155,-0.58883104,-0.39360422,-0.57697516,0.01154188,0.32099333,1.03879654,,,,,,,3,,,,,,,,,
0.047529,39069,23683915,,178.79084778,0.56879115,179.99861145,,,,,-0.10931706,0.20449895,-9.81268406,0.01178433,-0.00273491,-0.00022626,-0.05549156,-0.27448006,-0.52314356,0.01057541,0.32148978,1.03830481,,,,,,,3,,,,,,,,,
0.057507,39070,23684015,,178.78257751,0.57041281,179.99694824,,,,,-0.11556423,0.19351684,-9.80409813,0.01772171,-0.01507539,-0.00898266,-0.69894372,-0.33160048,0.05897958,0.00966899,0.32246438,1.03980005,,,,,,,3,,,,,,,,,
0.069268,39071,23684115,,178.78036499,0.57637745,-179.99961853,,,,,-0.11498895,0.20190772,-9.80785561,0.01608325,-0.00703441,-0.00505066,-0.27226252,-0.54330580,-0.39774595,0.01067929,0.32052699,1.04076385,,,,,,,3,,,,,,,,,
0.079279,39072,23684215,,178.77738953,0.58268994,179.99937439,,,,,-0.11638968,0.20581567,-9.80748558,0.01655955,-0.00352002,-0.00532055,-0.17695515,-0.38993758,0.03372043,0.01061038,0.32052901,1.03878450,,,,,,,3,,,,,,,,,
0.089266,39073,23684315,,178.77648926,0.58411241,-179.99394226,,,,,-0.11376306,0.20801790,-9.80611420,0.01362742,-0.00145827,-0.00667143,-0.10226758,-0.21677852,-0.77703919,0.01108057,0.32052112,1.03878677,,,,,,,3,,,,,,,,,
0.098272,39074,23684415,,178.77319336,0.58374852,-179.99073792,,,,,-0.10900255,0.20485045,-9.81302357,0.00899038,-0.00545947,0.00011730,-0.36120866,0.01635710,-0.41102883,0.01295244,0.32096958,1.03880322,,,,,,,3,,,,,,,,,
0.107528,39075,23684515,,178.76667786,0.58939379,-179.98466492,,,,,-0.11493843,0.19444361,-9.80960274,0.01373672,-0.01697529,-0.00346518,-0.60496325,-0.59155393,-0.42659737,0.01196874,0.32146654,1.03781664,,,,,,,3,,,,,,,,,
