time_s,label,confidence
0.8055,normal,0.767226
0.9037,normal,0.767226
1.0033,fault,0.961916
1.1036,normal,0.999998
1.2037,normal,0.999998
1.3044,normal,0.999998
1.4036,normal,0.999998
1.5040,normal,0.999998
1.6035,normal,0.999983
1.7033,normal,0.999983
1.8037,normal,0.999922
1.9043,normal,0.999567
2.0035,normal,0.995823
2.1035,normal,0.995807
2.2036,normal,0.999894
2.3036,normal,0.999894
2.4036,normal,0.999894
2.5039,normal,0.999894
2.6035,normal,0.999894
2.7035,normal,0.999932
2.8036,normal,0.999932
2.9035,normal,0.999932
3.0044,normal,0.999932
3.1038,normal,1.000000
3.2037,normal,1.000000
3.3038,normal,1.000000
3.4038,normal,1.000000
3.5036,normal,1.000000
3.6036,normal,0.999999
3.7036,normal,0.999999
3.8038,normal,1.000000
3.9036,normal,1.000000
4.0041,normal,1.000000
4.1035,normal,1.000000
4.2039,normal,1.000000
4.3036,normal,0.999999
4.4039,normal,0.999999
4.5050,normal,1.000000
4.6037,normal,1.000000
4.7036,normal,1.000000
4.8036,normal,1.000000
4.9042,normal,1.000000
5.0042,normal,1.000000
5.1040,normal,1.000000
5.2040,normal,1.000000
5.3038,normal,1.000000
5.4042,normal,1.000000
5.5045,normal,1.000000
5.6037,normal,1.000000
5.7037,normal,1.000000
5.8039,normal,1.000000
5.9040,normal,1.000000
6.0039,normal,1.000000
6.1042,normal,1.000000
6.2037,normal,1.000000
6.3044,normal,1.000000
6.4043,normal,1.000000
6.5042,normal,0.999999
6.6039,normal,0.999999
6.7037,normal,0.999999
6.8039,normal,1.000000
6.9038,normal,1.000000
7.0041,normal,1.000000
7.1038,normal,1.000000
7.2039,normal,1.000000
7.3039,normal,1.000000
7.4040,normal,1.000000
7.5053,normal,1.000000
7.6039,normal,0.999999
7.7038,normal,0.999999
7.8048,normal,0.999999
7.9043,normal,0.999999
8.0038,normal,1.000000
8.1039,normal,1.000000
8.2039,normal,1.000000
8.3050,normal,1.000000
8.4042,normal,1.000000
8.5045,normal,1.000000
8.6042,normal,1.000000
8.7039,normal,0.999999
8.8040,normal,0.999999
8.9046,normal,0.999999
9.0040,normal,0.999999
9.1043,normal,1.000000
9.2037,normal,1.000000
9.3030,normal,1.000000
9.4039,normal,1.000000
9.5046,normal,1.000000
9.6044,normal,0.999983
9.7032,normal,0.999983
9.8035,normal,0.999983
9.9033,normal,0.999983
10.0031,normal,0.999983
10.1042,normal,0.999820
10.2032,normal,0.999900
10.3030,normal,1.000000
10.4035,normal,1.000000
10.5039,normal,1.000000
10.6040,normal,1.000000
10.7032,normal,1.000000
10.8031,normal,0.999997
10.9032,normal,0.999997
11.0035,normal,0.999997
11.1034,normal,0.999997
11.2029,normal,0.999982
11.3032,normal,0.999996
11.4035,normal,0.999998
11.5045,normal,1.000000
11.6035,normal,1.000000
11.7033,normal,1.000000
11.8032,normal,1.000000
11.9032,normal,1.000000
12.0044,normal,0.999996
12.1034,normal,0.999998
12.2035,normal,0.999998
12.3033,normal,0.999998
12.4032,normal,0.999998
12.5035,normal,0.999998
12.6040,normal,0.999999
12.7033,normal,0.999999
12.8038,normal,1.000000
12.9036,normal,1.000000
13.0044,normal,1.000000
13.1039,normal,1.000000
13.2031,normal,1.000000
13.3033,normal,1.000000
13.4036,normal,1.000000
13.5036,normal,1.000000
13.6034,normal,1.000000
13.7038,normal,1.000000
13.8039,normal,1.000000
13.9034,normal,1.000000
14.0042,normal,1.000000
14.1035,normal,1.000000
14.2032,normal,0.999999
14.3034,normal,0.999994
14.4035,normal,0.999999
14.5039,normal,1.000000
14.6035,normal,1.000000
14.7034,normal,1.000000
14.8038,normal,1.000000
14.9035,normal,1.000000
15.0043,normal,1.000000
15.1034,normal,1.000000
15.2034,normal,1.000000
15.3035,normal,1.000000
15.4041,normal,1.000000
15.5032,normal,1.000000
15.6036,normal,1.000000
15.7036,normal,0.999999
15.8036,normal,0.999999
15.9036,normal,0.999999
16.0038,normal,0.999999
16.1040,normal,0.999999
16.2035,normal,1.000000
16.3040,normal,1.000000
16.4039,normal,1.000000
16.5045,normal,1.000000
16.6035,normal,1.000000
16.7035,normal,0.999977
16.8042,normal,0.999977
16.9037,normal,0.999978
17.0044,normal,1.000000
17.1035,normal,1.000000
17.2035,normal,1.000000
17.3045,normal,1.000000
17.4037,normal,1.000000
17.5039,normal,1.000000
17.6038,normal,1.000000
17.7038,normal,1.000000
17.8041,normal,1.000000
17.9038,normal,1.000000
18.0039,normal,1.000000
18.1038,normal,1.000000
18.2026,normal,1.000000
18.3035,normal,0.999999
18.4028,normal,0.999999
18.5031,normal,0.999999
18.6028,normal,0.999999
18.7026,normal,0.999996
18.8028,normal,0.999996
18.9031,normal,0.999996
19.0031,normal,0.999996
19.1030,normal,0.999996
19.2027,normal,0.999994
19.3027,normal,0.999994
19.4029,normal,0.999994
19.5029,normal,0.999994
19.6031,normal,0.999994
19.7028,normal,0.999999
19.8028,normal,0.999999
19.9030,normal,0.999999
20.0041,normal,1.000000
20.1035,normal,1.000000
20.2028,normal,1.000000
20.3030,normal,1.000000
20.4029,normal,1.000000
20.5029,normal,1.000000
20.6033,normal,1.000000
20.7027,normal,1.000000
20.8033,normal,0.999967
20.9029,normal,0.999967
21.0033,normal,0.999945
21.1031,normal,0.999945
21.2030,normal,0.999945
21.3034,normal,0.999945
21.4031,normal,0.999874
21.5037,normal,0.999685
21.6034,normal,0.999685
21.7031,normal,0.999987
21.8036,normal,0.999987
21.9035,normal,0.999987
22.0039,normal,0.999987
22.1031,normal,0.999987
22.2029,normal,0.999971
22.3031,normal,0.999992
22.4031,normal,0.999992
22.5036,normal,0.999992
22.6032,normal,0.999992
22.7030,normal,0.999995
22.8032,normal,1.000000
22.9032,normal,1.000000
23.0036,normal,1.000000
23.1033,normal,1.000000
23.2031,normal,1.000000
23.3032,normal,0.999997
23.4032,normal,0.999997
23.5034,normal,1.000000
23.6036,normal,1.000000
23.7046,normal,1.000000
23.8039,normal,1.000000
23.9034,normal,1.000000
24.0034,normal,1.000000
24.1035,normal,1.000000
24.2037,normal,0.999999
24.3035,normal,0.999999
24.4033,normal,0.999999
24.5034,normal,0.999999
24.6037,normal,0.999999
24.7031,normal,0.999999
24.8033,normal,0.999999
24.9034,normal,0.999999
25.0036,normal,0.999999
25.1033,normal,0.999997
25.2034,normal,0.999981
25.3038,normal,0.999981
25.4030,normal,1.000000
25.5035,normal,1.000000
25.6035,normal,1.000000
25.7036,normal,1.000000
25.8034,normal,1.000000
25.9032,normal,0.999967
26.0033,normal,0.999967
26.1035,normal,0.906678
26.2034,normal,0.999965
26.3035,normal,0.999965
26.4032,normal,0.999965
26.5032,normal,0.999965
26.6035,normal,0.999965
26.7037,normal,0.999931
26.8037,normal,0.999823
26.9033,normal,0.999999
27.0035,normal,0.999999
27.1035,normal,0.999999
27.2024,normal,0.999999
27.3026,normal,0.999999
27.4026,normal,0.999997
27.5032,normal,0.999997
27.6025,normal,0.999997
27.7024,normal,0.999997
27.8030,normal,0.999982
27.9025,normal,0.999982
28.0028,normal,0.999982
28.1027,normal,0.999931
28.2025,normal,0.999931
28.3026,normal,0.999835
28.4028,normal,1.000000
28.5030,normal,1.000000
28.6025,normal,1.000000
28.7025,normal,1.000000
28.8028,normal,1.000000
28.9026,normal,1.000000
29.0029,normal,1.000000
29.1027,normal,1.000000
29.2027,normal,1.000000
29.3028,normal,1.000000
29.4026,normal,1.000000
29.5029,normal,1.000000
29.6029,normal,1.000000
29.7026,normal,1.000000
29.8031,normal,0.999563
29.9028,normal,0.999563
30.0026,normal,0.999907
30.1028,normal,0.999907
30.2028,normal,0.999907
30.3027,normal,0.999907
30.4026,normal,0.999997
30.5030,normal,0.999997
30.6027,normal,1.000000
30.7028,normal,1.000000
30.8028,normal,1.000000
30.9028,normal,1.000000
31.0029,normal,1.000000
31.1031,normal,1.000000
31.2028,normal,1.000000
31.3029,normal,1.000000
31.4029,normal,1.000000
31.5032,normal,1.000000
31.6029,normal,1.000000
31.7035,normal,1.000000
31.8029,normal,1.000000
31.9030,normal,0.999999
32.0031,normal,0.999987
32.1032,normal,0.999987
32.2029,normal,0.999966
32.3029,normal,0.997896
32.4028,normal,0.997896
32.5025,normal,0.997896
32.6030,normal,0.997896
32.7030,fault,0.951129
32.8031,fault,0.951129
32.9030,fault,0.951129
33.0029,normal,0.999878
33.1033,normal,0.999991
33.2032,normal,0.999991
33.3030,normal,0.999991
33.4029,normal,0.999991
33.5030,normal,0.999991
33.6027,normal,0.999984
33.7030,normal,0.999964
33.8037,normal,0.999999
33.9031,normal,0.999999
34.0032,normal,1.000000
34.1031,normal,1.000000
34.2044,normal,1.000000
