time_s,label,confidence,p_fault
0.8058,normal,0.984668,0.015332
0.9042,normal,0.998508,0.001492
1.0037,normal,0.831572,0.168428
1.1045,normal,0.994534,0.005466
1.2044,normal,0.995372,0.004628
1.3037,normal,0.999995,0.000005
1.4051,normal,0.998953,0.001047
1.5038,normal,0.999947,0.000053
1.6038,normal,0.999955,0.000045
1.7042,normal,0.999996,0.000004
1.8036,normal,1.000000,0.000000
1.9037,normal,0.999993,0.000007
2.0037,normal,0.999999,0.000001
2.1040,normal,0.999996,0.000004
2.2043,normal,0.999999,0.000001
2.3037,normal,0.999999,0.000001
2.4036,normal,0.999861,0.000139
2.5039,normal,1.000000,0.000000
2.6038,normal,0.999978,0.000022
2.7044,normal,0.999860,0.000140
2.8037,normal,0.999991,0.000009
2.9036,normal,0.999991,0.000009
3.0036,normal,0.995698,0.004302
3.1037,normal,0.999998,0.000002
3.2064,normal,0.999840,0.000160
3.3041,normal,0.999999,0.000001
3.4037,normal,0.999999,0.000001
3.5037,normal,0.999998,0.000002
3.6038,normal,0.999910,0.000090
3.7041,normal,0.999998,0.000002
3.8039,normal,0.999999,0.000001
3.9037,normal,0.999992,0.000008
4.0040,normal,0.999999,0.000001
4.1039,normal,0.999996,0.000004
4.2044,normal,0.999999,0.000001
4.3039,normal,0.999371,0.000629
4.4049,normal,0.999997,0.000003
4.5040,normal,0.999995,0.000005
4.6039,normal,0.999474,0.000526
4.7039,normal,0.999907,0.000093
4.8040,normal,0.999982,0.000018
4.9040,normal,1.000000,0.000000
5.0043,normal,1.000000,0.000000
5.1039,normal,0.999983,0.000017
5.2046,normal,0.999999,0.000001
5.3045,normal,0.999981,0.000019
5.4038,normal,0.998216,0.001784
5.5041,normal,0.999814,0.000186
5.6055,normal,0.999976,0.000024
5.7043,normal,0.999986,0.000014
5.8039,normal,1.000000,0.000000
5.9042,normal,1.000000,0.000000
6.0042,normal,1.000000,0.000000
6.1039,normal,0.999916,0.000084
6.2040,normal,1.000000,0.000000
6.3041,normal,1.000000,0.000000
6.4039,normal,1.000000,0.000000
6.5041,normal,0.999996,0.000004
6.6045,normal,0.995689,0.004311
6.7045,normal,0.999999,0.000001
6.8048,normal,1.000000,0.000000
6.9038,normal,0.999999,0.000001
7.0041,normal,1.000000,0.000000
7.1042,normal,1.000000,0.000000
7.2044,normal,0.999999,0.000001
7.3041,normal,1.000000,0.000000
7.4040,normal,0.999988,0.000012
7.5047,normal,0.999990,0.000010
7.6045,normal,0.999996,0.000004
7.7042,normal,1.000000,0.000000
7.8044,normal,0.999949,0.000051
7.9042,normal,0.999752,0.000248
8.0042,normal,0.999992,0.000008
8.1045,normal,1.000000,0.000000
8.2043,normal,0.999999,0.000001
8.3046,normal,1.000000,0.000000
8.4057,normal,0.943867,0.056133
8.5038,normal,0.999997,0.000003
8.6032,normal,1.000000,0.000000
8.7036,normal,0.999999,0.000001
8.8032,normal,0.999998,0.000002
8.9032,normal,0.999844,0.000156
9.0031,normal,0.999978,0.000022
9.1033,normal,0.998068,0.001932
9.2068,normal,0.998114,0.001886
9.3035,normal,0.999646,0.000354
9.4033,normal,0.999386,0.000614
9.5036,fault,0.560033,0.560033
9.6033,normal,0.999417,0.000583
9.7036,normal,0.999563,0.000437
9.8037,normal,0.995913,0.004087
9.9037,normal,0.605830,0.394170
10.0038,fault,0.703676,0.703676
10.1034,normal,0.984096,0.015904
10.2038,normal,0.999751,0.000249
10.3035,normal,0.999961,0.000039
10.4031,normal,0.999940,0.000060
10.5037,normal,0.999999,0.000001
10.6037,normal,0.999917,0.000083
10.7036,normal,0.999771,0.000229
10.8035,normal,0.999997,0.000003
10.9032,normal,0.999977,0.000023
11.0034,normal,0.999954,0.000046
11.1035,normal,0.999803,0.000197
11.2039,normal,0.999999,0.000001
11.3041,normal,1.000000,0.000000
11.4034,normal,1.000000,0.000000
11.5043,normal,0.999998,0.000002
11.6041,normal,0.999994,0.000006
11.7035,normal,0.999995,0.000005
11.8033,normal,0.999999,0.000001
11.9034,normal,1.000000,0.000000
12.0036,normal,1.000000,0.000000
12.1036,normal,1.000000,0.000000
12.2047,normal,1.000000,0.000000
12.3034,normal,0.999997,0.000003
12.4035,normal,1.000000,0.000000
12.5035,normal,0.999998,0.000002
12.6038,normal,0.999999,0.000001
12.7041,normal,0.999999,0.000001
12.8039,normal,0.999985,0.000015
12.9034,normal,0.745214,0.254786
13.0036,normal,0.999997,0.000003
13.1037,normal,1.000000,0.000000
13.2037,normal,0.991368,0.008632
13.3039,normal,0.999971,0.000029
13.4036,normal,0.999996,0.000004
13.5040,normal,1.000000,0.000000
13.6045,normal,1.000000,0.000000
13.7035,normal,1.000000,0.000000
13.8037,normal,1.000000,0.000000
13.9035,normal,1.000000,0.000000
14.0050,normal,0.999985,0.000015
14.1039,normal,0.999960,0.000040
14.2084,normal,0.999999,0.000001
14.3045,normal,1.000000,0.000000
14.4038,normal,1.000000,0.000000
14.5037,normal,1.000000,0.000000
14.6036,normal,1.000000,0.000000
14.7050,normal,1.000000,0.000000
14.8042,normal,0.999997,0.000003
14.9035,normal,0.999720,0.000280
15.0040,normal,0.998777,0.001223
15.1037,normal,1.000000,0.000000
15.2052,normal,1.000000,0.000000
15.3039,normal,1.000000,0.000000
15.4043,normal,0.999998,0.000002
15.5037,normal,0.999991,0.000009
15.6037,normal,0.999920,0.000080
15.7051,normal,0.999989,0.000011
15.8041,normal,1.000000,0.000000
15.9040,normal,1.000000,0.000000
16.0041,normal,1.000000,0.000000
16.1036,normal,0.999999,0.000001
16.2035,normal,0.999999,0.000001
16.3052,normal,1.000000,0.000000
16.4039,normal,0.999997,0.000003
16.5038,normal,0.999999,0.000001
16.6038,normal,0.999535,0.000465
16.7040,normal,1.000000,0.000000
16.8042,normal,1.000000,0.000000
16.9044,normal,0.999996,0.000004
17.0045,normal,0.999992,0.000008
17.1042,normal,0.999999,0.000001
17.2040,normal,1.000000,0.000000
17.3040,normal,1.000000,0.000000
17.4044,normal,0.999999,0.000001
17.5027,normal,1.000000,0.000000
17.6031,normal,1.000000,0.000000
17.7039,normal,1.000000,0.000000
17.8038,normal,0.999995,0.000005
17.9028,normal,0.999997,0.000003
18.0031,normal,1.000000,0.000000
18.1031,normal,0.999999,0.000001
18.2031,normal,0.999856,0.000144
18.3038,normal,0.999997,0.000003
18.4030,normal,0.999479,0.000521
18.5035,normal,1.000000,0.000000
18.6033,normal,1.000000,0.000000
18.7035,normal,0.999994,0.000006
18.8035,normal,1.000000,0.000000
18.9031,normal,1.000000,0.000000
19.0032,normal,1.000000,0.000000
19.1029,normal,1.000000,0.000000
19.2033,normal,0.999996,0.000004
19.3030,normal,0.999998,0.000002
19.4030,normal,0.999973,0.000027
19.5032,normal,1.000000,0.000000
19.6035,normal,1.000000,0.000000
19.7033,normal,1.000000,0.000000
19.8031,normal,0.999997,0.000003
19.9030,normal,1.000000,0.000000
20.0038,normal,0.999998,0.000002
20.1033,normal,1.000000,0.000000
20.2033,normal,0.999999,0.000001
20.3041,normal,1.000000,0.000000
20.4030,normal,1.000000,0.000000
20.5032,normal,1.000000,0.000000
20.6035,normal,1.000000,0.000000
20.7033,normal,1.000000,0.000000
20.8033,normal,0.999849,0.000151
20.9036,normal,0.999942,0.000058
21.0035,normal,0.999743,0.000257
21.1033,normal,0.999168,0.000832
21.2034,normal,0.996455,0.003545
21.3037,normal,0.996458,0.003542
21.4034,normal,0.997999,0.002001
21.5034,normal,0.999999,0.000001
21.6034,normal,0.999997,0.000003
21.7039,normal,0.999998,0.000002
21.8033,normal,1.000000,0.000000
21.9037,normal,0.999999,0.000001
22.0032,normal,0.998697,0.001303
22.1034,normal,0.991505,0.008495
22.2036,normal,0.999999,0.000001
22.3033,normal,0.999999,0.000001
22.4037,normal,1.000000,0.000000
22.5037,normal,1.000000,0.000000
22.6038,normal,0.999982,0.000018
22.7039,normal,0.999999,0.000001
22.8037,normal,0.999975,0.000025
22.9037,normal,0.999977,0.000023
23.0044,normal,0.999998,0.000002
23.1034,normal,0.999982,0.000018
23.2040,normal,0.997142,0.002858
23.3039,normal,0.999998,0.000002
23.4042,normal,0.999987,0.000013
23.5038,normal,0.999999,0.000001
23.6037,normal,0.999806,0.000194
23.7037,normal,0.998404,0.001596
