time_s,p_fault,fault_bin
0.3086,1.000000,1
0.3188,1.000000,1
0.3282,1.000000,1
0.3381,1.000000,1
0.3481,1.000000,1
0.3581,1.000000,1
0.3681,1.000000,1
0.3781,1.000000,1
0.3881,1.000000,1
0.3981,1.000000,1
0.4081,1.000000,1
0.4181,1.000000,1
0.4281,1.000000,1
0.4381,1.000000,1
0.4482,1.000000,1
0.4581,1.000000,1
0.4681,1.000000,1
0.4781,1.000000,1
0.4881,1.000000,1
0.4981,1.000000,1
0.5081,1.000000,1
0.5181,1.000000,1
0.5281,1.000000,1
0.5381,1.000000,1
0.5481,1.000000,1
0.5581,1.000000,1
0.5681,1.000000,1
0.5781,1.000000,1
0.5881,1.000000,1
0.5981,1.000000,1
0.6081,1.000000,1
0.6181,1.000000,1
0.6281,1.000000,1
0.6381,1.000000,1
0.6481,1.000000,1
0.6581,1.000000,1
0.6681,1.000000,1
0.6781,1.000000,1
0.6881,1.000000,1
0.6981,1.000000,1
0.7081,1.000000,1
0.7181,1.000000,1
0.7281,1.000000,1
0.7381,1.000000,1
0.7481,1.000000,1
0.7582,1.000000,1
0.7681,1.000000,1
0.7781,1.000000,1
0.7881,1.000000,1
0.7981,1.000000,1
