time_s,label,confidence,p_fault
0.8159,fault,1.000000,1.000000
0.9139,fault,1.000000,1.000000
1.0140,fault,1.000000,1.000000
1.1136,fault,1.000000,1.000000
1.2141,fault,1.000000,1.000000
1.3139,fault,1.000000,1.000000
1.4141,fault,1.000000,1.000000
1.5137,fault,1.000000,1.000000
1.6138,fault,1.000000,1.000000
1.7142,fault,1.000000,1.000000
1.8143,fault,1.000000,1.000000
1.9139,fault,1.000000,1.000000
2.0137,fault,1.000000,1.000000
2.1141,fault,1.000000,1.000000
2.2143,fault,1.000000,1.000000
2.3139,fault,1.000000,1.000000
2.4137,fault,1.000000,1.000000
2.5137,fault,1.000000,1.000000
2.6140,fault,1.000000,1.000000
2.7143,fault,1.000000,1.000000
2.8141,fault,1.000000,1.000000
2.9140,fault,1.000000,1.000000
3.0141,fault,1.000000,1.000000
3.1140,fault,1.000000,1.000000
3.2145,fault,1.000000,1.000000
3.3142,fault,1.000000,1.000000
3.4140,fault,1.000000,1.000000
3.5141,fault,1.000000,1.000000
3.6141,fault,1.000000,1.000000
3.7139,fault,1.000000,1.000000
3.8140,fault,1.000000,1.000000
3.9139,fault,1.000000,1.000000
4.0148,fault,1.000000,1.000000
4.1145,fault,1.000000,1.000000
4.2151,fault,1.000000,1.000000
4.3149,fault,1.000000,1.000000
4.4139,fault,1.000000,1.000000
4.5148,fault,1.000000,1.000000
4.6136,fault,1.000000,1.000000
4.7134,fault,1.000000,1.000000
4.8134,fault,1.000000,1.000000
4.9133,fault,1.000000,1.000000
5.0138,fault,1.000000,1.000000
5.1134,fault,1.000000,1.000000
5.2131,fault,1.000000,1.000000
5.3133,fault,1.000000,1.000000
5.4133,fault,1.000000,1.000000
5.5134,fault,1.000000,1.000000
5.6144,fault,1.000000,1.000000
5.7141,fault,1.000000,1.000000
5.8133,fault,1.000000,1.000000
5.9132,fault,1.000000,1.000000
6.0130,fault,1.000000,1.000000
6.1133,fault,1.000000,1.000000
6.2132,fault,1.000000,1.000000
6.3134,fault,1.000000,1.000000
6.4133,fault,1.000000,1.000000
6.5136,fault,1.000000,1.000000
6.6159,fault,1.000000,1.000000
6.7134,fault,1.000000,1.000000
6.8134,fault,1.000000,1.000000
6.9133,fault,1.000000,1.000000
7.0137,fault,1.000000,1.000000
7.1139,fault,1.000000,1.000000
7.2134,fault,1.000000,1.000000
7.3136,fault,1.000000,1.000000
7.4133,fault,1.000000,1.000000
7.5134,fault,1.000000,1.000000
7.6134,fault,1.000000,1.000000
7.7140,fault,1.000000,1.000000
7.8134,fault,1.000000,1.000000
7.9130,fault,1.000000,1.000000
8.0137,fault,1.000000,1.000000
8.1134,fault,1.000000,1.000000
8.2136,fault,1.000000,1.000000
8.3134,fault,1.000000,1.000000
8.4134,fault,1.000000,1.000000
8.5137,fault,1.000000,1.000000
8.6137,fault,1.000000,1.000000
8.7141,fault,1.000000,1.000000
8.8140,fault,1.000000,1.000000
8.9136,fault,1.000000,1.000000
9.0135,fault,1.000000,1.000000
9.1135,fault,1.000000,1.000000
9.2139,fault,1.000000,1.000000
9.3136,fault,1.000000,1.000000
9.4137,fault,1.000000,1.000000
9.5137,fault,1.000000,1.000000
9.6136,fault,1.000000,1.000000
9.7140,fault,1.000000,1.000000
9.8136,fault,1.000000,1.000000
9.9136,fault,1.000000,1.000000
10.0139,fault,1.000000,1.000000
10.1145,fault,1.000000,1.000000
10.2134,fault,1.000000,1.000000
10.3137,fault,1.000000,1.000000
10.4137,fault,1.000000,1.000000
10.5137,fault,1.000000,1.000000
10.6138,fault,1.000000,1.000000
10.7139,fault,1.000000,1.000000
10.8138,fault,1.000000,1.000000
10.9135,fault,1.000000,1.000000
11.0144,fault,1.000000,1.000000
11.1138,fault,1.000000,1.000000
11.2137,fault,1.000000,1.000000
11.3138,fault,1.000000,1.000000
11.4141,fault,1.000000,1.000000
11.5145,fault,1.000000,1.000000
11.6139,fault,1.000000,1.000000
11.7140,fault,1.000000,1.000000
11.8138,fault,1.000000,1.000000
11.9138,fault,1.000000,1.000000
12.0144,fault,1.000000,1.000000
12.1138,fault,1.000000,1.000000
12.2143,fault,1.000000,1.000000
12.3139,fault,1.000000,1.000000
12.4138,fault,1.000000,1.000000
12.5140,fault,1.000000,1.000000
12.6140,fault,1.000000,1.000000
12.7140,fault,1.000000,1.000000
12.8140,fault,1.000000,1.000000
12.9139,fault,1.000000,1.000000
13.0143,fault,1.000000,1.000000
13.1138,fault,1.000000,1.000000
13.2142,fault,1.000000,1.000000
13.3141,fault,1.000000,1.000000
13.4140,fault,1.000000,1.000000
13.5141,fault,1.000000,1.000000
13.6130,fault,1.000000,1.000000
13.7134,fault,1.000000,1.000000
13.8129,fault,1.000000,1.000000
13.9129,fault,1.000000,1.000000
14.0140,fault,1.000000,1.000000
14.1135,fault,1.000000,1.000000
14.2129,fault,1.000000,1.000000
14.3132,fault,1.000000,1.000000
14.4129,fault,1.000000,1.000000
14.5130,fault,1.000000,1.000000
14.6138,fault,1.000000,1.000000
14.7135,fault,1.000000,1.000000
14.8131,fault,1.000000,1.000000
