time_seconds,total_vibration,rms_x,rms_y,rms_z
0.298,0.991736,0.284899,0.747730,0.585896
0.308,1.002309,0.292971,0.748537,0.598736
0.317,1.009804,0.294146,0.757959,0.598900
0.327,1.022424,0.292967,0.763499,0.613669
0.337,1.045057,0.313974,0.764804,0.639249
0.347,1.056274,0.312469,0.769383,0.652785
0.357,1.059772,0.314379,0.769954,0.656851
0.367,1.061274,0.314967,0.771612,0.657049
0.377,1.062120,0.314282,0.771897,0.658408
0.387,1.070081,0.313543,0.779281,0.662937
0.397,1.082744,0.314814,0.793150,0.666439
0.407,1.100314,0.314411,0.802279,0.684240
0.417,1.101881,0.311821,0.805276,0.684427
0.427,1.108990,0.312177,0.809051,0.691261
0.437,1.139452,0.311875,0.836994,0.707478
0.447,1.161643,0.308355,0.863406,0.713345
0.457,1.191746,0.307161,0.903796,0.713486
0.467,1.203793,0.306938,0.913430,0.721494
0.477,1.218918,0.302672,0.934330,0.721927
0.487,1.254621,0.297951,0.981836,0.722009
0.497,1.259608,0.298792,0.987834,0.722162
0.507,1.262722,0.295895,0.987607,0.729071
0.517,1.159900,0.301202,0.856534,0.721800
0.527,1.155148,0.314306,0.836001,0.732585
0.537,1.140131,0.314762,0.814422,0.733171
0.547,1.148352,0.317964,0.826084,0.731571
0.557,1.149972,0.324542,0.830061,0.726710
0.567,1.144970,0.323855,0.823112,0.727022
0.577,1.161224,0.323920,0.824985,0.750278
0.587,1.167642,0.326685,0.833448,0.749685
0.597,1.164736,0.321779,0.844475,0.734799
0.607,1.162801,0.319391,0.847126,0.729707
0.617,1.156656,0.318861,0.845976,0.721461
0.627,1.151488,0.319452,0.846068,0.712773
0.637,1.165357,0.321175,0.849586,0.730141
0.647,1.197967,0.323464,0.889170,0.734762
0.657,1.219240,0.324101,0.922985,0.727738
0.667,1.210250,0.324720,0.915440,0.721963
0.677,1.216609,0.328391,0.907758,0.740455
0.687,1.252106,0.343865,0.907987,0.790623
0.697,1.266279,0.360092,0.902780,0.811656
0.707,1.266074,0.360235,0.902561,0.811516
0.717,1.274801,0.359608,0.914496,0.812094
0.727,1.261056,0.360104,0.906192,0.799628
0.737,1.222387,0.347379,0.881116,0.772782
0.747,1.209378,0.345034,0.865031,0.771536
0.757,1.215970,0.343662,0.878496,0.767283
0.767,1.238432,0.332757,0.934605,0.741282
0.777,1.227773,0.296838,0.954332,0.713137
0.787,1.234246,0.296643,0.955845,0.722306
