time_s,label,confidence,p_fault
0.9546,normal,0.731275,0.268725
1.0523,normal,0.999003,0.000997
1.1527,normal,0.999983,0.000017
1.2526,normal,0.999390,0.000610
1.3529,normal,0.999988,0.000012
1.4521,normal,0.999870,0.000130
1.5521,normal,0.993744,0.006256
1.6523,normal,0.999797,0.000203
1.7528,normal,0.999970,0.000030
1.8524,normal,0.999962,0.000038
1.9522,normal,0.999369,0.000631
2.0526,normal,0.999924,0.000076
2.1523,normal,0.999956,0.000044
2.2524,normal,0.999471,0.000529
2.3536,normal,0.999990,0.000010
2.4523,normal,0.997285,0.002715
2.5526,normal,0.999873,0.000127
2.6522,normal,1.000000,0.000000
2.7523,normal,1.000000,0.000000
2.8529,normal,0.999978,0.000022
2.9524,normal,1.000000,0.000000
3.0528,normal,1.000000,0.000000
3.1525,normal,0.999486,0.000514
3.2524,normal,0.956007,0.043993
3.3525,normal,0.992269,0.007731
3.4532,normal,0.999661,0.000339
3.5537,normal,0.999999,0.000001
3.6524,normal,0.999994,0.000006
3.7526,normal,0.999999,0.000001
3.8528,normal,0.999994,0.000006
3.9529,normal,1.000000,0.000000
4.0523,normal,1.000000,0.000000
4.1524,normal,0.999995,0.000005
4.2529,normal,1.000000,0.000000
4.3525,normal,1.000000,0.000000
4.4530,normal,1.000000,0.000000
4.5529,normal,1.000000,0.000000
4.6524,normal,1.000000,0.000000
4.7524,normal,1.000000,0.000000
4.8525,normal,0.999972,0.000028
4.9526,normal,0.999607,0.000393
5.0524,fault,0.892355,0.892355
5.1522,normal,0.903361,0.096639
5.2525,normal,0.999994,0.000006
5.3523,normal,0.999992,0.000008
5.4529,normal,0.999987,0.000013
5.5526,normal,1.000000,0.000000
5.6526,normal,1.000000,0.000000
5.7529,normal,1.000000,0.000000
5.8527,normal,0.999999,0.000001
5.9534,normal,0.999988,0.000012
6.0523,normal,0.999999,0.000001
6.1529,normal,1.000000,0.000000
6.2526,normal,0.999998,0.000002
6.3530,normal,1.000000,0.000000
6.4530,normal,1.000000,0.000000
6.5529,normal,0.999996,0.000004
6.6524,normal,0.999967,0.000033
6.7530,normal,0.999056,0.000944
6.8524,normal,0.999915,0.000085
6.9528,normal,0.999461,0.000539
7.0530,normal,0.779886,0.220114
7.1524,normal,0.999988,0.000012
7.2534,normal,0.999989,0.000011
7.3524,normal,0.999999,0.000001
7.4528,normal,1.000000,0.000000
7.5529,normal,1.000000,0.000000
7.6526,normal,1.000000,0.000000
7.7524,normal,1.000000,0.000000
7.8529,normal,1.000000,0.000000
7.9529,normal,1.000000,0.000000
8.0528,normal,0.958679,0.041321
8.1526,normal,0.997625,0.002375
8.2531,normal,0.999996,0.000004
8.3533,normal,0.999786,0.000214
8.4537,normal,0.999999,0.000001
8.5529,normal,1.000000,0.000000
8.6527,normal,0.999999,0.000001
8.7532,normal,0.999994,0.000006
8.8531,normal,0.999974,0.000026
8.9535,normal,0.999999,0.000001
9.0530,normal,1.000000,0.000000
9.1530,normal,0.999999,0.000001
9.2534,normal,0.999999,0.000001
9.3517,normal,0.999974,0.000026
9.4517,normal,1.000000,0.000000
9.5524,normal,0.997885,0.002115
9.6517,normal,0.999987,0.000013
9.7553,normal,0.999320,0.000680
9.8516,normal,0.999995,0.000005
9.9516,normal,1.000000,0.000000
10.0519,normal,0.999955,0.000045
10.1519,normal,0.999999,0.000001
10.2519,normal,0.999978,0.000022
10.3516,normal,0.999992,0.000008
10.4519,normal,1.000000,0.000000
10.5522,normal,1.000000,0.000000
10.6518,normal,1.000000,0.000000
10.7520,normal,0.999954,0.000046
10.8520,normal,1.000000,0.000000
10.9528,normal,0.999218,0.000782
11.0516,normal,0.999999,0.000001
11.1520,normal,0.999996,0.000004
11.2542,normal,0.999990,0.000010
11.3517,normal,1.000000,0.000000
11.4522,normal,0.999987,0.000013
11.5521,normal,1.000000,0.000000
11.6519,normal,0.999999,0.000001
11.7519,normal,0.999996,0.000004
11.8519,normal,1.000000,0.000000
11.9517,normal,0.882307,0.117693
12.0518,normal,0.997424,0.002576
12.1516,normal,0.999813,0.000187
12.2522,normal,0.999969,0.000031
12.3519,normal,1.000000,0.000000
12.4521,normal,0.999999,0.000001
12.5520,normal,0.999996,0.000004
12.6517,normal,0.999904,0.000096
12.7520,normal,0.999998,0.000002
12.8575,normal,1.000000,0.000000
12.9520,normal,0.891331,0.108669
13.0520,normal,0.987959,0.012041
13.1522,normal,0.997565,0.002435
13.2519,normal,1.000000,0.000000
13.3519,normal,0.995935,0.004065
13.4522,normal,1.000000,0.000000
13.5522,normal,0.999839,0.000161
13.6519,normal,1.000000,0.000000
13.7519,normal,0.999980,0.000020
13.8518,normal,0.997001,0.002999
13.9518,normal,0.935424,0.064576
14.0525,normal,0.993957,0.006043
14.1519,normal,0.999998,0.000002
14.2519,normal,0.999996,0.000004
14.3524,normal,1.000000,0.000000
14.4517,normal,1.000000,0.000000
14.5521,normal,0.999999,0.000001
14.6518,normal,1.000000,0.000000
14.7519,normal,1.000000,0.000000
14.8521,normal,1.000000,0.000000
14.9520,normal,1.000000,0.000000
15.0522,normal,1.000000,0.000000
15.1518,normal,1.000000,0.000000
15.2520,normal,1.000000,0.000000
15.3519,normal,1.000000,0.000000
15.4518,normal,1.000000,0.000000
15.5520,normal,1.000000,0.000000
15.6520,normal,1.000000,0.000000
15.7520,normal,1.000000,0.000000
15.8520,normal,1.000000,0.000000
15.9523,normal,1.000000,0.000000
16.0524,normal,1.000000,0.000000
16.1525,normal,1.000000,0.000000
16.2520,normal,1.000000,0.000000
16.3521,normal,1.000000,0.000000
16.4524,normal,0.999997,0.000003
16.5526,normal,0.999944,0.000056
16.6520,normal,0.879360,0.120640
16.7520,normal,0.997720,0.002280
16.8519,normal,0.978127,0.021873
16.9522,normal,1.000000,0.000000
17.0532,normal,1.000000,0.000000
17.1520,normal,1.000000,0.000000
17.2522,normal,1.000000,0.000000
17.3521,normal,1.000000,0.000000
17.4525,normal,0.999978,0.000022
17.5521,normal,0.999998,0.000002
17.6522,normal,0.999999,0.000001
17.7528,normal,0.999998,0.000002
17.8521,normal,0.999999,0.000001
17.9525,normal,0.999992,0.000008
18.0522,normal,0.997774,0.002226
18.1521,normal,1.000000,0.000000
18.2523,normal,1.000000,0.000000
18.3514,normal,0.999997,0.000003
18.4514,normal,0.983787,0.016213
18.5517,normal,0.985433,0.014567
18.6512,normal,0.999965,0.000035
18.7521,normal,0.943141,0.056859
18.8513,normal,0.999868,0.000132
18.9515,normal,0.990037,0.009963
19.0515,normal,0.997887,0.002113
