time_s,p_fault,fault_bin
0.2986,1.000000,1
0.3085,1.000000,1
0.3181,1.000000,1
0.3281,1.000000,1
0.3381,1.000000,1
0.3481,1.000000,1
0.3581,1.000000,1
0.3681,1.000000,1
0.3781,1.000000,1
0.3882,1.000000,1
0.3982,1.000000,1
0.4081,1.000000,1
0.4182,1.000000,1
0.4281,1.000000,1
0.4382,1.000000,1
0.4482,1.000000,1
0.4582,1.000000,1
0.4681,1.000000,1
0.4781,1.000000,1
0.4881,1.000000,1
0.4981,1.000000,1
0.5082,1.000000,1
0.5181,1.000000,1
0.5281,1.000000,1
0.5381,1.000000,1
0.5481,1.000000,1
0.5581,1.000000,1
0.5681,1.000000,1
0.5781,1.000000,1
0.5881,1.000000,1
0.5981,1.000000,1
0.6081,1.000000,1
0.6181,1.000000,1
0.6281,1.000000,1
0.6381,1.000000,1
0.6481,1.000000,1
0.6581,1.000000,1
0.6681,1.000000,1
0.6781,1.000000,1
0.6881,1.000000,1
0.6981,1.000000,1
0.7081,1.000000,1
0.7181,1.000000,1
0.7281,1.000000,1
0.7381,1.000000,1
0.7481,1.000000,1
0.7581,1.000000,1
0.7681,1.000000,1
0.7782,1.000000,1
0.7882,1.000000,1
