time_s,p_fault,fault_bin
0.0070,0.109191,0
0.0180,0.697471,1
0.0280,0.902343,1
0.0380,0.963376,1
0.0480,0.983788,1
0.0580,0.991541,1
0.0680,0.994927,1
0.0780,0.996565,1
0.0880,0.997430,1
0.0980,0.997915,1
0.1080,0.998194,1
0.1180,0.998338,1
0.1280,0.998394,1
0.1380,0.998381,1
0.1480,0.998310,1
0.1580,0.998184,1
0.1680,0.998003,1
0.1780,0.997757,1
0.1880,0.997442,1
0.1980,0.997051,1
0.2080,0.996563,1
0.2180,0.997877,1
0.2280,0.998569,1
0.2380,0.998956,1
0.2480,0.999183,1
0.2580,0.999321,1
0.2680,0.999405,1
0.2780,0.999452,1
0.2880,0.999474,1
0.2980,0.999476,1
0.3080,0.999462,1
0.3180,0.999431,1
0.3280,0.999384,1
0.3380,0.999318,1
0.3480,0.999232,1
0.3580,0.999122,1
0.3680,0.998982,1
0.3780,0.998808,1
0.3880,0.998591,1
0.3980,0.998322,1
0.4080,0.997990,1
0.4180,0.997583,1
0.4280,0.997083,1
0.4380,0.996476,1
0.4480,0.995738,1
0.4580,0.994846,1
0.4680,0.993774,1
0.4780,0.992486,1
0.4880,0.990950,1
0.4980,0.989130,1
0.5080,0.986979,1
0.5180,0.984455,1
0.5280,0.981507,1
0.5380,0.978085,1
0.5480,0.974137,1
0.5580,0.969608,1
0.5680,0.964422,1
0.5780,0.958541,1
0.5880,0.951912,1
0.5980,0.944496,1
0.6080,0.936235,1
0.6180,0.927094,1
0.6280,0.917039,1
0.6380,0.906031,1
0.6480,0.894058,1
0.6580,0.881106,1
0.6680,0.867173,1
0.6780,0.852256,1
0.6880,0.836347,1
0.6980,0.819477,1
0.7080,0.801644,1
0.7180,0.782970,1
0.7280,0.763518,1
0.7380,0.743277,1
0.7480,0.722357,1
0.7580,0.700855,1
0.7720,0.678882,1
0.7780,0.656505,1
0.7880,0.633721,1
0.7980,0.610696,1
0.8080,0.587449,1
0.8180,0.564143,1
0.8280,0.540811,1
0.8380,0.517627,1
0.8480,0.494624,0
0.8580,0.471827,0
0.8680,0.449356,0
0.8780,0.427285,0
0.8880,0.405665,0
0.8980,0.384504,0
0.9080,0.363865,0
0.9180,0.343731,0
0.9280,0.324220,0
0.9380,0.305532,0
0.9480,0.287460,0
0.9580,0.270175,0
0.9680,0.253548,0
