time_seconds,total_vibration,rms_x,rms_y,rms_z
0.310,0.400317,0.042308,0.186298,0.351791
0.320,0.399974,0.042292,0.185461,0.351845
0.330,0.398827,0.041628,0.183189,0.351812
0.340,0.397733,0.041246,0.181140,0.351679
0.350,0.396066,0.039752,0.177958,0.351594
0.360,0.393967,0.035112,0.175182,0.351125
0.370,0.386820,0.032537,0.172114,0.344889
0.380,0.385065,0.030624,0.169236,0.344523
0.390,0.379738,0.029110,0.163545,0.341478
0.400,0.376711,0.028117,0.156415,0.341548
0.410,0.374692,0.028000,0.151265,0.341656
0.420,0.372635,0.026681,0.146256,0.341693
0.430,0.370097,0.023217,0.140156,0.341744
0.440,0.367779,0.022132,0.133945,0.341804
0.450,0.364835,0.021864,0.126260,0.341592
0.460,0.360426,0.019049,0.113097,0.341692
0.470,0.356476,0.014616,0.101223,0.341490
0.480,0.352839,0.014071,0.087447,0.341541
0.490,0.349414,0.014082,0.072349,0.341552
0.500,0.346215,0.013446,0.054581,0.341621
0.510,0.341956,0.010962,0.011366,0.341591
0.520,0.017244,0.010917,0.011442,0.006873
0.530,0.016720,0.010279,0.011283,0.006825
0.540,0.016693,0.010264,0.011347,0.006676
0.550,0.016548,0.010003,0.011387,0.006642
0.560,0.016616,0.010183,0.011320,0.006654
0.570,0.017043,0.009903,0.012205,0.006590
0.580,0.017057,0.009868,0.012239,0.006616
0.590,0.017085,0.009783,0.012345,0.006616
0.600,0.017626,0.010595,0.012376,0.006728
0.610,0.017580,0.010709,0.012217,0.006716
0.620,0.017423,0.010930,0.011913,0.006494
0.630,0.017324,0.010759,0.011901,0.006537
0.640,0.017060,0.010436,0.012005,0.006166
0.650,0.017425,0.010715,0.012280,0.006166
0.660,0.017470,0.010617,0.012324,0.006371
0.670,0.018099,0.011359,0.012516,0.006472
0.680,0.017985,0.011383,0.012314,0.006499
0.690,0.017997,0.011347,0.012303,0.006618
0.700,0.018004,0.011459,0.012316,0.006417
0.710,0.019494,0.013456,0.012498,0.006539
0.720,0.019646,0.013637,0.012547,0.006527
0.730,0.019623,0.013634,0.012519,0.006514
0.740,0.019707,0.013954,0.012390,0.006335
0.750,0.020346,0.014417,0.012815,0.006471
0.760,0.020367,0.014423,0.012858,0.006439
0.770,0.020440,0.014571,0.012803,0.006445
0.780,0.020677,0.014486,0.013134,0.006722
0.790,0.020726,0.014397,0.013148,0.007029
0.800,0.021474,0.014640,0.014031,0.007066
0.810,0.021533,0.014353,0.014407,0.007076
0.820,0.021623,0.014508,0.014388,0.007075
0.830,0.021165,0.014473,0.013717,0.007096
0.840,0.021653,0.014663,0.014200,0.007224
0.850,0.021921,0.014779,0.014500,0.007200
0.860,0.022351,0.014905,0.014906,0.007432
0.870,0.022387,0.014994,0.014907,0.007358
0.880,0.022518,0.015092,0.015011,0.007346
